time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.07,1544432926,0.02,51.490333,7.412292,161.88,6.76,0.00,76.84,0,-99,-12,0,0,39,0,0,146
0.07,1544432926,0.02,51.490333,7.412292,161.88,6.76,0.00,76.84,0,-103,-14,0,0,38,0,0,450
0.07,1544432926,0.02,51.490333,7.412292,161.88,6.76,0.00,76.84,0,-103,-16,0,0,39,0,0,266
1.07,1544432927,6.80,51.490357,7.412422,162.54,7.65,0.00,77.47,0,-104,-14,0,0,36,0,0,450
1.07,1544432927,6.81,51.490357,7.412422,162.54,7.65,0.00,77.47,0,-107,-17,0,0,35,0,0,146
2.07,1544432928,14.45,51.490375,7.412551,162.67,8.57,0.00,76.36,0,-104,-14,0,0,36,0,0,450
2.07,1544432928,14.46,51.490375,7.412551,162.67,8.57,0.00,76.36,0,-107,-17,0,0,35,0,0,146
3.07,1544432929,23.01,51.490398,7.412716,162.96,10.08,0.00,77.02,0,-100,-17,0,0,42,0,0,450
4.07,1544432930,33.10,51.490417,7.412865,162.87,10.73,0.00,77.88,0,-100,-17,0,0,42,0,0,450
5.07,1544432931,43.83,51.490439,7.413013,162.82,10.93,0.00,78.33,0,-98,-11,0,0,38,0,0,450
5.07,1544432931,43.84,51.490439,7.413013,162.82,10.93,0.00,78.33,0,-104,-17,0,0,38,0,0,339
6.07,1544432932,54.77,51.490456,7.413143,162.83,11.19,0.00,79.23,0,-98,-11,0,0,38,0,0,450
6.07,1544432932,54.78,51.490456,7.413143,162.83,11.19,0.00,79.23,0,-104,-17,0,0,38,0,0,339
12.07,1544432938,124.67,51.490557,7.414148,160.73,12.02,0.00,78.10,0,-107,-17,0,0,35,0,0,450
12.07,1544432938,124.69,51.490557,7.414148,160.73,12.02,0.00,78.10,0,-108,-17,0,0,34,0,0,62
13.07,1544432939,136.69,51.490579,7.414330,160.46,12.25,0.00,78.20,0,-107,-17,0,0,35,0,0,450
