time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.38,1544432936,100.93,51.490521,7.413815,161.41,11.80,0.13,79.23,1,-99,-9,-1,8,36,9,13828122,452,0,6.00,2.38,54.00,1845
28.46,1544432955,300.95,51.490628,7.416688,155.68,8.02,0.15,100.75,1,-96,-12,5,5,42,7,13416987,62,1,10.00,0.90,1573.00,1845
30.86,1544432957,316.60,51.490581,7.416909,156.66,7.93,0.23,102.61,1,-96,-12,5,5,42,7,13416987,62,2,7.00,1.09,144.00,1845
47.81,1544432974,464.65,51.491753,7.416834,154.60,10.08,-0.15,344.61,1,-100,-13,-1,7,38,7,13416987,62,3,7.00,0.45,1346.00,1845
56.27,1544432983,562.62,51.492567,7.416226,155.12,12.44,-0.16,337.81,1,-101,-14,-3,5,39,7,13416987,62,4,9.00,0.51,5662.00,1845
63.97,1544432990,650.24,51.493342,7.415965,153.76,12.03,-0.47,348.88,1,-105,-15,-4,5,36,7,13416987,62,5,3.00,0.42,786.00,1845
70.96,1544432998,734.34,51.494077,7.415697,150.99,11.52,-0.25,344.80,1,-112,-18,-6,3,31,7,13416987,62,6,3.00,0.71,151.00,1845
82.26,1544433009,780.33,51.494387,7.415546,152.07,0.00,0.00,347.22,1,-99,-15,-4,4,41,12,13542402,34,7,0.50,0.63,444.00,850
92.95,1544433019,780.33,51.494387,7.415546,152.34,0.00,0.00,347.22,1,-98,-13,-6,6,41,13,13880067,38,8,5.00,0.36,1329.00,850
104.08,1544433030,780.33,51.494434,7.415530,153.14,0.00,0.00,348.09,1,-97,-14,-4,4,44,13,13880067,38,9,2.00,0.30,1487.00,850
113.07,1544433040,792.38,51.494516,7.415474,154.34,0.00,-0.48,353.53,1,-98,-16,-6,5,44,13,13880067,38,10,9.00,0.78,1204.00,850
123.45,1544433049,800.25,51.494514,7.415153,157.62,5.01,0.94,267.07,1,-99,-16,-3,5,42,13,13880066,37,11,4.00,0.35,2526.00,850
136.23,1544433063,939.41,51.494214,7.412970,159.63,12.47,0.12,258.14,1,-95,-14,-2,6,45,11,13542402,34,12,7.00,0.76,1535.00,850
143.23,1544433070,1029.44,51.494060,7.411695,160.28,13.28,-0.13,257.83,1,-93,-15,-6,5,47,13,13880067,38,13,2.00,0.31,577.00,850
153.37,1544433080,1165.43,51.493794,7.409747,164.13,14.07,0.22,257.99,1,-99,-19,-8,1,46,13,13880067,38,14,1.00,0.24,289.00,850
163.98,1544433090,1303.32,51.493538,7.407812,166.79,14.13,-0.22,258.10,1,-97,-16,-4,4,45,8,13542402,34,15,4.00,0.63,1620.00,850
172.02,1544433098,1425.98,51.493305,7.406075,166.34,13.46,-0.16,257.74,1,-93,-14,-1,6,46,8,13542402,34,16,2.00,0.54,626.00,850
188.17,1544433114,1650.42,51.492977,7.402901,165.47,12.05,-1.00,266.41,1,-101,-17,-6,3,41,8,13542402,34,17,9.00,2.51,1403.00,850
191.98,1544433118,1682.29,51.492980,7.402481,165.39,8.61,-0.74,269.94,1,-98,-13,-6,5,41,10,13542403,35,18,6.00,1.03,622.00,850
202.23,1544433129,1714.49,51.492998,7.402092,163.01,0.00,0.00,271.85,1,-91,-11,6,6,48,10,13542403,35,19,5.00,0.39,1025.00,850
222.55,1544433148,1714.49,51.493011,7.401990,162.56,0.00,0.00,281.04,1,-90,-12,5,6,48,10,13542403,35,21,10.00,0.81,1246.00,850
