time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.05,1544432927,0.00,51.490350,7.412391,168.50,3.35,0.00,77.76,1,-91,-6,12,11,45,7,26385408,95
1.06,1544432928,3.37,51.490378,7.412549,167.87,3.81,0.45,77.48,1,-91,-6,12,11,45,7,26385408,95
2.07,1544432929,7.22,51.490396,7.412672,166.91,9.01,5.15,76.10,1,-88,-6,18,15,47,7,26385408,95
3.06,1544432930,16.13,51.490422,7.412827,165.84,10.84,1.84,77.15,1,-88,-6,18,15,47,7,26385408,95
4.06,1544432931,26.97,51.490445,7.413001,164.72,11.14,0.30,77.67,1,-88,-6,18,15,47,7,26385408,95
5.05,1544432932,38.10,51.490462,7.413147,163.09,11.22,0.08,78.63,1,-86,-6,20,12,49,7,26385408,95
6.05,1544432933,49.32,51.490479,7.413309,161.57,11.44,0.22,79.16,1,-86,-6,20,12,49,7,26385408,95
7.05,1544432934,60.76,51.490496,7.413469,160.25,11.75,0.31,78.54,1,-88,-7,19,15,49,7,26385408,95
8.05,1544432935,72.51,51.490516,7.413633,159.36,11.86,0.11,79.12,1,-88,-7,19,15,49,7,26385408,95
9.06,1544432936,84.38,51.490535,7.413797,158.29,11.80,-0.06,79.20,1,-85,-5,22,10,50,7,26385408,95
10.07,1544432937,96.30,51.490553,7.413966,157.63,11.83,0.03,79.35,1,-85,-5,22,10,50,7,26385408,95
11.05,1544432938,107.98,51.490572,7.414134,157.05,11.97,0.14,78.44,1,-83,-5,18,10,51,7,26385408,95
12.05,1544432939,119.95,51.490592,7.414306,156.39,12.21,0.24,77.59,1,-83,-5,18,10,51,7,26385408,95
13.05,1544432940,132.19,51.490617,7.414484,155.72,12.37,0.16,78.51,1,-82,-5,15,11,53,7,26385408,95
14.05,1544432941,144.56,51.490640,7.414654,155.35,12.31,-0.06,77.76,1,-82,-5,15,11,53,7,26385408,95
15.05,1544432942,156.87,51.490663,7.414847,154.38,12.27,-0.04,78.72,1,-85,-5,14,13,48,7,26385408,95
16.05,1544432943,169.15,51.490676,7.415014,153.98,12.04,-0.23,80.01,1,-85,-5,14,13,48,7,26385408,95
17.06,1544432944,181.20,51.490686,7.415189,153.70,12.04,-0.00,81.22,1,-85,-5,3,11,50,7,26385408,95
18.06,1544432945,193.23,51.490697,7.415366,153.36,11.89,-0.14,82.39,1,-85,-5,3,11,50,7,26385408,95
19.06,1544432946,205.13,51.490707,7.415533,152.78,11.77,-0.12,83.01,1,-84,-6,11,13,52,4,29391105,167
20.06,1544432947,216.95,51.490714,7.415693,152.47,11.45,-0.32,85.25,1,-84,-6,11,13,52,4,29391105,167
21.06,1544432948,228.35,51.490717,7.415835,152.53,11.17,-0.28,87.24,1,-82,-5,25,15,55,4,29391105,167
22.05,1544432949,239.49,51.490715,7.416002,152.41,10.76,-0.42,89.45,1,-82,-5,25,15,55,4,29391105,167
