time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.55,1544433277,126.36,51.490534,7.413869,160.59,13.13,-0.10,78.54,1,-91,-6,7,15,46,1,26385408,95,0,5.00,15.08,35.00,1815
20.57,1544433287,255.36,51.490702,7.415746,155.97,12.13,-0.21,85.86,1,-85,-6,3,6,51,4,29391105,167,1,5.00,10.44,53.00,1815
30.55,1544433296,334.54,51.490596,7.416780,155.70,1.90,-0.96,104.41,1,-88,-6,14,11,49,4,29391105,167,2,7.00,24.73,46.00,1815
40.52,1544433307,338.43,51.490589,7.416816,155.49,0.00,0.00,103.29,1,-81,-5,22,14,55,4,29391105,167,3,0.50,7.48,60.00,1815
50.59,1544433317,338.43,51.490589,7.416816,155.60,0.00,0.00,103.29,1,-81,-7,23,14,57,4,29391105,167,4,6.00,17.19,60.00,1815
60.55,1544433327,355.23,51.490581,7.417209,157.57,4.63,0.13,47.64,1,-86,-7,20,11,52,4,29391105,167,5,7.00,21.18,59.00,1815
70.53,1544433337,432.05,51.491319,7.417028,159.89,9.90,0.65,348.03,1,-92,-6,11,15,46,4,29391105,167,6,6.00,10.76,87.00,1815
80.54,1544433346,533.74,51.492156,7.416508,159.15,12.06,1.39,332.87,1,-86,-5,27,10,50,4,29391105,167,7,4.00,16.32,59.00,1815
90.53,1544433356,658.96,51.493257,7.416049,152.13,12.65,-0.12,350.99,1,-96,-9,4,13,41,4,29391105,167,8,10.00,15.50,47.00,1815
100.52,1544433366,770.86,51.494212,7.415626,153.02,7.24,-1.09,346.30,1,-89,-7,12,15,48,4,29391105,167,9,2.00,8.27,78.00,1815
110.55,1544433376,793.86,51.494353,7.415551,153.90,0.00,0.00,348.41,1,-93,-8,7,15,46,4,29391105,167,10,5.00,7.68,115.00,1815
120.57,1544433387,793.86,51.494353,7.415551,153.49,0.00,0.00,348.41,1,-96,-8,11,11,43,4,29391105,167,11,6.00,9.90,49.00,1815
130.59,1544433397,799.05,51.494468,7.415569,150.76,0.00,0.00,348.42,1,-95,-10,4,6,47,4,29391105,167,12,3.00,4.89,47.00,1815
140.55,1544433406,862.70,51.494415,7.414437,153.46,12.39,0.76,258.01,1,-92,-8,5,6,46,3,29391104,165,13,4.00,13.14,33.00,1815
150.53,1544433417,988.74,51.494176,7.412636,162.05,13.07,0.03,258.19,1,-86,-6,17,9,51,3,29391104,165,14,1.00,13.91,31.00,1815
160.52,1544433426,1123.07,51.493930,7.410738,166.88,13.38,-0.08,258.36,1,-82,-7,24,12,56,3,29391104,165,15,0.10,5.03,33.00,1815
170.66,1544433436,1259.06,51.493682,7.408821,166.94,13.35,-0.04,257.52,1,-81,-8,13,10,58,3,29391104,165,16,0.10,2.48,35.00,1815
180.53,1544433446,1401.46,51.493414,7.406812,168.06,14.26,-0.28,257.99,1,-83,-7,19,10,55,3,29391106,166,17,2.00,14.49,38.00,1815
190.61,1544433457,1549.39,51.493131,7.404710,168.22,14.57,-0.32,258.13,1,-91,-7,8,10,47,3,29391106,166,18,0.50,4.33,55.00,1815
200.54,1544433466,1685.72,51.492991,7.402782,167.25,11.32,-1.12,267.89,1,-96,-13,0,6,47,3,29391106,166,19,0.50,3.61,69.00,1815
210.60,1544433476,1741.61,51.493007,7.402081,162.64,0.00,0.00,269.97,1,-91,-6,25,8,47,6,26385410,94,20,9.00,18.14,52.00,1815
220.59,1544433486,1767.34,51.492797,7.401738,162.61,8.21,1.19,190.51,1,-89,-7,27,10,50,6,26385410,94,21,4.00,26.34,54.00,1815
230.56,1544433496,1878.69,51.491786,7.401748,167.01,12.52,0.07,180.69,1,-86,-8,30,11,54,6,26385410,94,22,10.00,19.21,48.00,1815
240.55,1544433506,2005.70,51.490649,7.401711,169.19,12.65,0.09,180.59,1,-83,-6,17,15,54,6,26385410,94,23,0.10,4.47,80.00,1815
250.56,1544433517,2117.45,51.489681,7.401749,171.80,6.84,-1.50,180.16,1,-76,-6,32,11,59,6,26385410,94,24,10.00,27.22,48.00,1815
260.57,1544433527,2129.56,51.489615,7.401752,172.04,0.00,0.00,183.21,1,-66,-7,40,13,63,6,26385410,94,25,8.00,24.42,47.00,1815
270.55,1544433537,2129.56,51.489499,7.401754,173.33,2.95,0.00,181.67,1,-69,-6,16,14,63,6,26385410,94,26,2.00,22.54,119.00,1815
280.55,1544433546,2144.63,51.489386,7.401985,175.61,6.72,1.88,94.79,1,-69,-5,37,12,63,6,26385410,94,27,0.10,4.88,56.00,1815
290.57,1544433557,2250.04,51.489386,7.403546,181.68,11.76,-0.04,90.89,1,-72,-6,15,12,63,6,26385410,94,28,6.00,18.16,58.00,1815
300.55,1544433566,2374.73,51.489404,7.405353,185.26,12.04,-0.11,89.30,1,-76,-7,18,12,62,2,26385408,95,29,10.00,25.09,31.00,1815
310.58,1544433576,2499.35,51.489602,7.407121,183.66,13.10,-0.11,77.77,1,-73,-6,12,9,63,2,26385408,95,30,5.00,18.07,50.00,1815
320.54,1544433586,2631.15,51.489840,7.408966,180.96,13.57,-0.00,77.99,1,-80,-6,13,11,55,2,26385408,95,31,10.00,24.88,51.00,1815
