time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.02,1544433600,0.00,51.490201,7.411443,165.91,12.19,0.00,79.50,1,-101,-14,-2,5,40,13,13416962,275
1.03,1544433601,12.27,51.490226,7.411628,166.05,12.04,-0.16,79.17,1,-98,-10,0,8,37,13,13416962,275
2.03,1544433602,24.33,51.490251,7.411821,166.26,12.31,0.28,78.81,1,-98,-10,0,8,37,13,13416962,275
3.03,1544433603,36.59,51.490274,7.412005,166.51,12.00,-0.31,78.72,1,-97,-9,3,6,38,13,13416962,275
4.03,1544433604,48.59,51.490296,7.412168,166.65,12.24,0.24,79.11,1,-97,-9,3,6,38,13,13416962,275
5.03,1544433605,60.86,51.490320,7.412336,166.67,12.80,0.56,78.85,1,-102,-15,-2,4,40,13,13416962,275
6.03,1544433606,73.65,51.490348,7.412536,166.84,13.19,0.38,78.49,1,-102,-15,-2,4,40,13,13416962,275
7.03,1544433607,86.82,51.490373,7.412706,167.01,13.50,0.31,79.08,1,-98,-12,-5,6,39,32,13884417,385
8.03,1544433608,100.32,51.490402,7.412909,166.98,13.37,-0.13,78.45,1,-98,-12,-5,6,39,32,13884417,385
9.04,1544433609,113.83,51.490427,7.413098,166.76,13.44,0.07,77.94,1,-108,-17,-9,2,35,32,13884417,385
10.03,1544433610,127.16,51.490454,7.413305,166.59,13.59,0.15,78.52,1,-108,-17,-9,2,35,32,13884417,385
11.03,1544433611,140.75,51.490475,7.413484,166.28,13.54,-0.06,78.20,1,-108,-17,-9,2,35,32,13884417,385
12.03,1544433612,154.26,51.490495,7.413664,166.04,13.53,-0.00,78.78,1,-107,-18,-9,2,37,32,13884417,385
13.03,1544433613,167.79,51.490517,7.413855,165.49,13.52,-0.01,78.72,1,-107,-18,-9,2,37,32,13884417,385
14.03,1544433614,181.33,51.490538,7.414030,164.90,13.50,-0.03,78.54,1,-108,-18,-9,1,36,9,13416962,385
15.03,1544433615,194.81,51.490561,7.414225,164.14,13.58,0.09,78.31,1,-108,-18,-9,1,36,9,13416962,385
16.03,1544433616,208.43,51.490582,7.414413,163.61,13.63,0.04,78.90,1,-100,-13,-6,5,39,9,13416962,275
17.03,1544433617,222.06,51.490606,7.414607,163.32,13.47,-0.15,79.14,1,-100,-13,-6,5,39,9,13416962,275
18.03,1544433618,235.49,51.490626,7.414795,162.62,13.35,-0.13,79.79,1,-98,-12,-3,6,40,9,13416962,275
19.03,1544433619,248.85,51.490648,7.414987,161.83,13.18,-0.17,80.40,1,-98,-12,-3,6,40,9,13416962,275
20.03,1544433620,262.02,51.490663,7.415166,161.17,12.98,-0.20,81.65,1,-96,-11,0,6,41,9,13416962,275
21.03,1544433621,274.98,51.490677,7.415352,160.35,12.77,-0.21,82.96,1,-96,-11,0,6,41,9,13416962,275
22.03,1544433622,287.74,51.490687,7.415539,159.62,12.53,-0.24,84.57,1,-92,-11,3,10,45,9,13416962,275
23.03,1544433623,300.30,51.490691,7.415706,159.08,12.26,-0.27,86.35,1,-92,-11,3,10,45,9,13416962,275
24.03,1544433624,312.55,51.490691,7.415867,158.46,11.92,-0.34,88.39,1,-92,-12,6,8,47,9,13416962,275
25.03,1544433625,324.47,51.490687,7.416044,157.81,11.74,-0.17,90.75,1,-92,-12,6,8,47,9,13416962,275
26.03,1544433626,336.21,51.490677,7.416226,157.17,11.44,-0.30,93.20,1,-89,-8,6,8,45,9,13416962,275
27.03,1544433627,347.64,51.490660,7.416371,156.76,10.18,-1.27,95.66,1,-89,-8,6,8,45,9,13416962,275
28.03,1544433628,357.82,51.490644,7.416504,156.70,8.66,-1.52,98.18,1,-87,-7,12,9,46,9,13416962,275
29.03,1544433629,366.48,51.490622,7.416674,156.33,7.69,-0.96,101.74,1,-87,-7,12,9,46,9,13416962,275
30.03,1544433630,374.23,51.490604,7.416781,156.21,6.81,-0.88,102.94,1,-87,-8,10,8,47,9,13416962,275
31.03,1544433631,381.00,51.490587,7.416870,155.89,5.79,-1.02,102.21,1,-87,-8,10,8,47,9,13416962,275
32.03,1544433632,386.77,51.490578,7.416920,155.86,3.62,-2.18,101.64,1,-87,-8,10,8,47,9,13416962,275
33.03,1544433633,390.39,51.490572,7.416945,155.84,1.49,-2.12,101.55,1,-87,-10,8,10,50,9,13416962,275
34.03,1544433634,391.89,51.490572,7.416945,155.84,0.00,-1.49,101.55,1,-87,-10,8,10,50,9,13416962,275
35.03,1544433635,391.89,51.490572,7.416945,155.84,0.00,0.00,101.55,1,-86,-11,7,10,51,9,13416962,275
36.03,1544433636,391.89,51.490572,7.416945,155.84,0.00,0.00,101.55,1,-86,-11,7,10,51,9,13416962,275
37.03,1544433637,391.89,51.490572,7.416945,155.84,0.00,0.00,101.55,1,-88,-8,7,9,46,9,13416962,275
38.02,1544433638,391.89,51.490572,7.416945,155.83,0.00,0.00,101.55,1,-88,-8,7,9,46,9,13416962,275
39.03,1544433639,391.89,51.490572,7.416945,155.83,0.00,0.00,101.55,1,-87,-7,10,9,45,9,13416962,275
40.03,1544433640,391.89,51.490572,7.416945,155.83,0.00,0.00,101.55,1,-87,-7,10,9,45,9,13416962,275
41.03,1544433641,391.89,51.490572,7.416945,155.83,0.00,0.00,101.55,1,-88,-9,6,8,47,9,13416962,275
42.03,1544433642,391.89,51.490572,7.416945,155.82,0.00,0.00,101.55,1,-88,-9,6,8,47,9,13416962,275
43.02,1544433643,391.89,51.490572,7.416945,155.82,0.00,0.00,101.55,1,-87,-8,3,9,48,9,13416962,275
44.02,1544433644,391.89,51.490572,7.416945,155.82,0.00,0.00,101.55,1,-87,-8,3,9,48,9,13416962,275
45.03,1544433645,391.89,51.490572,7.416945,155.82,0.00,0.00,101.55,1,-87,-11,5,7,50,9,13416962,275
46.03,1544433646,391.89,51.490572,7.416945,155.83,0.00,0.00,101.55,1,-87,-11,5,7,50,9,13416962,275
