time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.17,1544433617,128.36,51.490450,7.413423,163.91,13.46,-0.01,78.35,1,-116,-11,-5,12,10,71,13067274,289,0,7.00,1.49,150.00,20.78,1770
29.88,1544433637,361.61,51.490606,7.416740,156.45,6.92,-0.95,100.76,1,-113,-10,2,8,27,21,13392904,347,1,5.00,4.17,92.00,20.95,1770
30.17,1544433637,368.56,51.490595,7.416822,156.31,5.49,-1.42,100.80,1,-105,-6,8,2,33,17,12806666,385,2,8.00,6.64,154.00,21.06,1770
40.14,1544433647,379.42,51.490581,7.416919,156.14,0.00,0.00,100.99,1,-111,-10,2,9,16,20,13392904,347,3,7.00,8.59,89.00,21.25,1770
50.09,1544433657,379.42,51.490581,7.416919,155.92,0.00,0.00,100.99,1,-110,-9,0,6,15,20,13392904,347,4,0.10,3.76,58.00,21.19,1770
60.46,1544433667,379.42,51.490581,7.416919,155.75,0.00,0.00,100.99,1,-111,-9,-2,7,15,20,13392904,347,5,10.00,4.16,54.00,20.86,1770
71.99,1544433679,421.23,51.490981,7.417107,154.86,11.12,0.93,350.06,1,-112,-9,3,9,12,17,12806666,385,6,3.00,2.69,694.00,21.23,1770
80.49,1544433687,522.01,51.491827,7.416775,156.78,10.35,-0.27,341.76,1,-112,-12,0,8,16,17,12806666,385,7,6.00,8.13,317.00,21.39,1770
90.06,1544433697,636.18,51.492763,7.416067,159.31,11.73,0.75,343.56,1,-105,-7,5,8,20,17,12806666,385,8,3.00,9.00,59.00,21.22,1770
110.14,1544433717,847.23,51.494538,7.415161,154.02,8.90,1.34,270.88,1,-94,-7,21,12,30,17,12806666,385,10,1.00,10.51,63.00,15.77,1770
120.06,1544433727,970.05,51.494299,7.413319,157.58,13.24,0.19,257.72,1,-105,-8,13,15,23,17,12806666,385,11,0.50,8.37,55.00,20.42,1770
130.11,1544433737,1108.49,51.494006,7.411352,163.93,14.07,0.05,257.63,1,-101,-8,12,10,25,17,12806666,385,12,9.00,12.44,57.00,21.08,1770
140.09,1544433747,1247.61,51.493748,7.409407,165.33,14.04,0.12,257.96,1,-105,-8,10,10,21,17,12806666,385,13,5.00,11.88,55.00,21.08,1770
150.09,1544433757,1389.31,51.493494,7.407403,167.06,13.61,-0.21,258.33,1,-101,-8,18,11,24,17,12806666,385,14,0.10,3.83,55.00,16.58,1770
160.09,1544433767,1529.69,51.493232,7.405385,168.86,14.50,0.26,257.95,1,-103,-8,10,10,22,17,12806666,385,15,3.00,8.14,60.00,20.94,1770
170.08,1544433777,1669.68,51.493000,7.403419,167.17,13.61,0.10,263.19,1,-109,-9,4,7,17,17,12806666,385,16,4.00,7.17,52.00,21.17,1770
180.11,1544433787,1771.39,51.492986,7.402067,171.54,0.00,-1.40,270.63,1,-108,-9,11,8,17,17,12806666,385,17,4.00,10.80,64.00,21.95,1770
200.12,1544433807,1771.39,51.492986,7.402067,171.59,0.00,0.00,270.63,1,-107,-7,11,10,17,17,12806666,385,19,0.10,3.74,85.00,21.67,1770
210.08,1544433817,1776.66,51.492938,7.401770,177.78,6.77,1.49,211.91,1,-106,-8,7,9,18,17,12806666,385,20,5.00,5.61,51.00,21.14,1770
220.07,1544433827,1877.45,51.492005,7.401698,174.63,12.32,-0.22,180.46,1,-113,-10,1,7,13,17,12806666,385,21,0.10,3.72,76.00,20.47,1770
230.10,1544433837,2014.73,51.490745,7.401688,177.51,14.70,-0.17,180.92,1,-109,-8,10,11,17,17,12806666,385,22,9.00,8.67,66.00,20.77,1770
240.10,1544433847,2139.37,51.489687,7.401709,184.15,5.53,-1.29,179.31,1,-109,-8,10,8,17,17,12806666,385,23,7.00,7.32,54.00,20.92,1770
260.08,1544433867,2163.44,51.489439,7.401722,185.22,3.25,1.28,126.81,1,-108,-10,-3,8,23,17,12806666,385,25,7.00,6.54,74.00,20.98,1770
270.09,1544433877,2248.40,51.489401,7.403044,177.76,12.83,0.09,90.82,1,-113,-11,-7,7,22,17,12806666,385,26,7.00,4.77,67.00,20.41,1770
281.61,1544433889,2378.51,51.489386,7.404936,175.37,12.57,0.44,92.09,1,-110,-11,-5,9,22,17,12806666,385,27,4.00,7.03,379.00,21.20,1770
