time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
13.08,1544518159,166.38,51.490484,7.413743,159.52,13.54,0.00,78.45,0,-96,-9,0,0,45,0,0,167
14.09,1544518160,179.99,51.490509,7.413940,159.94,13.44,0.00,78.66,0,-96,-9,0,0,45,0,0,167
19.09,1544518165,246.69,51.490626,7.414898,159.23,13.51,0.00,80.09,0,-93,-7,0,0,45,0,0,167
20.09,1544518166,260.26,51.490646,7.415095,159.03,13.49,0.00,80.96,0,-93,-7,0,0,45,0,0,167
78.09,1544518224,518.97,51.491576,7.416920,152.73,8.81,0.00,346.39,0,-99,-9,0,0,42,0,0,222
78.09,1544518224,518.97,51.491576,7.416920,152.73,8.81,0.00,346.39,0,-99,-8,0,0,38,0,0,45
79.08,1544518225,527.74,51.491652,7.416884,152.54,8.65,0.00,345.15,0,-99,-9,0,0,42,0,0,222
79.08,1544518225,527.74,51.491652,7.416884,152.54,8.65,0.00,345.15,0,-99,-8,0,0,38,0,0,45
80.08,1544518226,536.40,51.491732,7.416845,152.22,8.59,0.00,343.49,0,-99,-9,0,0,42,0,0,222
80.08,1544518226,536.40,51.491732,7.416845,152.22,8.59,0.00,343.49,0,-97,-9,0,0,41,0,0,45
81.08,1544518227,544.99,51.491801,7.416806,152.03,8.46,0.00,341.67,0,-99,-9,0,0,42,0,0,222
81.09,1544518227,545.00,51.491801,7.416806,152.03,8.46,0.00,341.67,0,-97,-9,0,0,41,0,0,45
99.09,1544518245,703.89,51.493183,7.416007,160.59,9.57,0.00,349.62,0,-100,-9,0,0,42,0,0,222
99.09,1544518245,703.89,51.493183,7.416007,160.59,9.57,0.00,349.62,0,-101,-12,0,0,43,0,0,165
99.09,1544518245,703.90,51.493183,7.416007,160.59,9.57,0.00,349.62,0,-99,-11,0,0,41,0,0,292
99.09,1544518245,703.91,51.493183,7.416007,160.59,9.57,0.00,349.62,0,-99,-9,0,0,39,0,0,45
100.09,1544518246,713.49,51.493249,7.415973,159.71,9.18,0.00,349.10,0,-100,-9,0,0,42,0,0,222
100.09,1544518246,713.50,51.493249,7.415973,159.71,9.18,0.00,349.10,0,-101,-12,0,0,43,0,0,165
100.09,1544518246,713.51,51.493249,7.415973,159.71,9.18,0.00,349.10,0,-99,-11,0,0,41,0,0,292
100.09,1544518246,713.52,51.493249,7.415973,159.71,9.18,0.00,349.10,0,-99,-9,0,0,39,0,0,45
101.09,1544518247,722.65,51.493316,7.415938,159.06,8.93,0.00,348.75,0,-103,-13,0,0,41,0,0,165
101.09,1544518247,722.66,51.493316,7.415938,159.06,8.93,0.00,348.75,0,-99,-10,0,0,39,0,0,292
101.09,1544518247,722.67,51.493316,7.415938,159.06,8.93,0.00,348.75,0,-103,-11,0,0,36,0,0,45
102.09,1544518248,731.56,51.493394,7.415904,158.77,8.57,0.00,348.24,0,-103,-13,0,0,41,0,0,165
102.09,1544518248,731.56,51.493394,7.415904,158.77,8.57,0.00,348.24,0,-99,-10,0,0,39,0,0,292
102.09,1544518248,731.57,51.493394,7.415904,158.77,8.57,0.00,348.24,0,-103,-11,0,0,36,0,0,45
103.09,1544518249,740.15,51.493478,7.415869,158.73,8.48,0.00,347.89,0,-102,-12,0,0,42,0,0,165
103.09,1544518249,740.15,51.493478,7.415869,158.73,8.48,0.00,347.89,0,-103,-12,0,0,41,0,0,418
103.09,1544518249,740.16,51.493478,7.415869,158.73,8.48,0.00,347.89,0,-100,-10,0,0,38,0,0,349
103.09,1544518249,740.17,51.493478,7.415869,158.73,8.48,0.00,347.89,0,-100,-12,0,0,40,0,0,292
104.09,1544518250,748.63,51.493563,7.415837,159.00,8.60,0.00,347.96,0,-102,-12,0,0,42,0,0,165
104.09,1544518250,748.63,51.493563,7.415837,159.00,8.60,0.00,347.96,0,-103,-12,0,0,41,0,0,418
104.09,1544518250,748.63,51.493563,7.415837,159.00,8.60,0.00,347.96,0,-100,-10,0,0,38,0,0,349
104.09,1544518250,748.64,51.493563,7.415837,159.00,8.60,0.00,347.96,0,-100,-12,0,0,40,0,0,292
105.09,1544518251,757.21,51.493650,7.415806,159.45,8.91,0.00,347.89,0,-102,-11,0,0,40,0,0,165
