time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.24,1544518156,125.31,51.490405,7.413177,160.55,13.81,-0.22,77.68,1,-88,-6,12,12,47,1,26385408,95,0,6.00,19.84,45.00,16.36,1720
20.24,1544518166,260.25,51.490646,7.415095,159.03,13.49,-0.02,80.96,1,-86,-5,13,11,50,1,26385408,95,1,7.00,25.26,67.00,13.23,1720
30.23,1544518176,377.83,51.490620,7.416667,154.13,6.74,-1.77,99.42,1,-82,-5,34,11,55,5,29391105,167,2,4.00,25.24,51.00,2.73,1720
40.24,1544518187,397.62,51.490588,7.416885,153.58,0.00,0.00,103.12,1,-80,-6,39,13,58,5,29391105,167,3,6.00,28.39,65.00,8.38,1720
50.20,1544518197,397.62,51.490588,7.416885,153.50,0.00,0.00,103.12,1,-80,-7,34,13,59,5,29391105,167,4,2.00,22.38,49.00,-3.16,1720
60.19,1544518206,397.62,51.490588,7.416885,153.36,0.00,0.00,103.12,1,-80,-9,36,13,60,5,29391105,167,5,0.10,4.17,47.00,0.00,1720
70.21,1544518217,447.26,51.490955,7.417171,152.08,9.32,0.26,350.90,1,-91,-6,13,9,46,5,29391105,167,6,2.00,18.29,68.00,14.89,1720
80.22,1544518226,536.39,51.491732,7.416845,152.22,8.59,-0.06,343.49,1,-93,-7,21,14,43,5,29391105,167,7,0.50,9.90,66.00,19.33,1720
90.22,1544518237,624.58,51.492464,7.416247,156.55,9.16,0.18,339.57,1,-91,-6,28,15,47,5,29391105,167,8,1.00,11.25,63.00,10.53,1720
100.22,1544518247,713.48,51.493249,7.415973,159.71,9.18,-0.39,349.10,1,-94,-8,17,13,45,5,29391105,167,9,3.00,14.29,53.00,18.52,1720
110.20,1544518256,802.17,51.494058,7.415631,161.32,10.53,1.04,344.45,1,-90,-7,30,11,47,5,29391105,167,10,0.50,7.84,52.00,13.97,1720
120.21,1544518266,889.85,51.494509,7.414925,158.59,10.50,1.83,265.56,1,-95,-10,13,12,45,5,29391105,167,11,3.00,20.24,52.00,18.61,1720
130.24,1544518276,1015.48,51.494247,7.413101,161.62,13.31,0.68,258.89,1,-85,-6,16,9,53,4,29391104,165,12,5.00,26.99,39.00,13.41,1720
140.19,1544518286,1148.12,51.493999,7.411189,165.15,13.49,0.22,258.20,1,-74,-5,27,15,61,4,29391104,165,13,1.00,14.65,36.00,-4.66,1720
150.41,1544518296,1283.92,51.493742,7.409286,167.53,14.09,-0.07,257.61,1,-81,-7,4,11,58,4,29391104,165,14,4.00,13.75,49.00,5.48,1720
160.25,1544518307,1432.01,51.493466,7.407206,169.53,14.54,-0.16,258.13,1,-82,-7,21,15,56,3,29391106,166,15,9.00,27.29,60.00,12.62,1720
170.26,1544518316,1573.23,51.493194,7.405220,171.38,14.56,0.29,257.97,1,-90,-7,14,12,49,3,29391106,166,16,10.00,22.51,67.00,17.38,1720
180.21,1544518326,1717.59,51.492980,7.403203,169.79,13.43,-0.49,265.84,1,-90,-7,8,12,49,3,29391106,166,17,4.00,12.41,66.00,19.25,1720
190.27,1544518336,1805.11,51.492990,7.402026,162.93,5.26,0.10,271.69,1,-91,-8,4,12,48,7,26385410,94,18,2.00,15.56,78.00,17.50,1720
200.29,1544518346,1895.35,51.492244,7.401758,167.75,13.30,0.07,180.29,1,-85,-7,15,10,53,7,26385410,94,19,7.00,22.58,73.00,16.41,1720
210.25,1544518356,2031.69,51.490997,7.401717,174.45,13.72,0.07,180.86,1,-80,-6,16,12,57,7,26385410,94,20,7.00,27.57,39.00,11.73,1720
220.23,1544518367,2157.86,51.489864,7.401715,178.76,9.83,-1.16,179.77,1,-81,-7,22,13,57,7,26385410,94,21,2.00,20.51,46.00,-0.07,1720
230.29,1544518377,2189.27,51.489645,7.401716,180.71,0.00,0.00,179.78,1,-70,-6,29,15,63,7,26385410,94,22,6.00,25.18,46.00,-1.73,1720
240.23,1544518386,2189.27,51.489645,7.401716,180.88,0.00,0.00,179.78,1,-70,-5,28,12,63,7,26385410,94,23,3.00,19.69,53.00,-1.55,1720
250.27,1544518397,2189.27,51.489645,7.401716,181.10,0.00,0.00,179.78,1,-73,-6,19,12,63,7,26385410,94,24,9.00,26.37,54.00,-5.72,1720
260.23,1544518406,2189.27,51.489645,7.401716,181.42,0.00,0.00,179.78,1,-70,-7,28,12,63,7,26385410,94,25,0.10,3.23,55.00,-7.03,1720
270.26,1544518416,2191.01,51.489542,7.401708,182.87,1.73,-0.00,180.59,1,-69,-7,27,12,63,7,26385410,94,26,3.00,23.28,48.00,-0.41,1720
280.24,1544518427,2196.40,51.489423,7.401737,182.86,4.64,0.00,138.43,1,-68,-6,31,12,63,7,26385410,94,27,6.00,26.67,47.00,-4.73,1720
290.25,1544518437,2301.89,51.489374,7.403407,180.05,16.11,-0.23,90.77,1,-67,-6,20,11,63,7,26385410,94,28,5.00,22.09,47.00,-0.27,1720
300.23,1544518447,2452.38,51.489389,7.405565,180.00,14.23,-0.13,86.68,1,-72,-6,10,15,63,1,26385408,95,29,7.00,32.26,44.00,1.88,1720
310.20,1544518457,2591.91,51.489662,7.407510,180.59,12.58,-1.46,78.62,1,-74,-6,11,12,62,1,26385408,95,30,2.00,18.85,44.00,4.50,1720
