time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
20.90,1544518169,272.71,51.490675,7.415400,153.02,12.78,-0.34,82.26,1,-102,-17,-8,3,39,9,13828122,452,1,2.00,4.44,59.00,18.30,1750
31.04,1544518178,380.47,51.490598,7.416837,151.09,2.47,-2.18,102.89,1,-95,-12,5,6,43,7,13416987,62,2,5.00,13.54,56.00,17.14,1750
51.39,1544518199,382.92,51.490598,7.416837,151.25,0.00,0.00,102.89,1,-98,-13,1,6,40,7,13416987,62,4,3.00,3.14,521.00,11.47,1750
61.37,1544518209,387.52,51.490568,7.417102,156.23,5.00,0.40,97.19,1,-96,-11,3,5,39,7,13416987,62,5,9.00,10.79,93.00,20.38,1750
71.62,1544518219,464.54,51.491226,7.417052,156.87,9.00,-0.19,348.78,1,-89,-12,11,11,47,7,13416987,62,6,0.10,0.40,187.00,4.27,1750
82.11,1544518230,561.64,51.492019,7.416618,154.98,7.47,-1.75,334.27,1,-101,-14,-1,6,38,7,13416987,62,7,0.10,0.54,1967.00,19.09,1750
91.82,1544518240,637.61,51.492672,7.416122,159.99,8.24,-0.56,341.07,1,-98,-12,-1,8,38,7,13416987,62,8,7.00,1.93,765.00,20.78,1750
123.19,1544518271,937.07,51.494390,7.414036,154.79,13.34,-0.11,257.75,1,-99,-14,0,7,40,10,13542402,34,11,9.00,2.28,347.00,16.72,880
134.47,1544518282,1083.11,51.494125,7.411945,159.87,13.02,-0.18,257.49,1,-98,-15,-6,4,42,10,13542402,34,12,7.00,1.37,520.00,16.50,880
144.83,1544518293,1216.86,51.493865,7.410089,164.10,13.33,-0.16,257.68,1,-99,-17,-5,4,44,10,13542402,34,13,0.50,0.35,1423.00,20.27,880
163.04,1544518310,1491.83,51.493338,7.406208,169.00,13.94,-0.04,258.43,1,-98,-15,-5,5,42,10,13542402,34,15,0.50,0.78,1112.00,18.72,880
