time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.02,1544519015,0.00,51.490146,7.411267,166.32,12.10,0.00,78.10,1,-112,-9,8,7,17,71,13067274,289
1.02,1544519016,12.16,51.490171,7.411441,166.04,12.13,0.03,77.71,1,-112,-9,8,7,17,71,13067274,289
2.03,1544519017,24.39,51.490196,7.411607,165.99,11.87,-0.25,78.22,1,-114,-9,5,7,13,71,13067274,289
3.02,1544519018,36.14,51.490221,7.411765,165.78,11.96,0.09,78.41,1,-114,-9,5,7,13,71,13067274,289
4.02,1544519019,48.10,51.490246,7.411927,165.57,12.11,0.15,78.59,1,-114,-9,5,7,13,71,13067274,289
5.02,1544519020,60.19,51.490272,7.412098,165.28,12.51,0.40,78.14,1,-115,-11,4,8,12,71,13067274,289
6.02,1544519021,72.72,51.490297,7.412282,165.28,13.18,0.67,78.53,1,-115,-11,4,8,12,71,13067274,289
7.02,1544519022,85.88,51.490323,7.412465,165.00,13.53,0.35,78.30,1,-112,-10,10,8,16,71,13067274,289
8.02,1544519023,99.43,51.490356,7.412678,164.94,13.85,0.31,78.60,1,-112,-10,10,8,16,71,13067274,289
9.02,1544519024,113.31,51.490388,7.412878,164.91,14.06,0.21,78.18,1,-113,-10,0,7,14,71,13067274,289
10.02,1544519025,127.36,51.490419,7.413094,165.26,13.98,-0.08,78.24,1,-113,-10,0,7,14,71,13067274,289
11.02,1544519026,141.33,51.490444,7.413281,165.38,13.86,-0.12,78.10,1,-115,-10,4,7,14,71,13067274,289
12.02,1544519027,155.20,51.490468,7.413471,165.13,13.70,-0.16,78.38,1,-115,-10,4,7,14,71,13067274,289
13.02,1544519028,168.88,51.490493,7.413661,164.66,13.67,-0.03,78.87,1,-117,-13,0,7,16,71,13067274,289
14.02,1544519029,182.54,51.490518,7.413852,163.98,13.51,-0.16,78.43,1,-117,-13,0,7,16,71,13067274,289
15.02,1544519030,196.09,51.490544,7.414054,163.02,13.54,0.03,77.97,1,-120,-14,-4,5,12,71,13067274,289
16.02,1544519031,209.63,51.490569,7.414245,162.41,13.49,-0.05,77.83,1,-120,-14,-4,5,12,71,13067274,289
17.02,1544519032,223.10,51.490590,7.414427,161.91,13.62,0.13,78.46,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.02,1544519033,236.71,51.490612,7.414621,161.38,13.85,0.23,79.15,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.02,1544519034,250.56,51.490633,7.414800,160.66,13.68,-0.17,79.69,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.02,1544519035,264.24,51.490656,7.415004,159.78,13.36,-0.32,80.59,nan,nan,nan,nan,nan,nan,nan,nan,nan
21.02,1544519036,277.60,51.490673,7.415188,159.02,13.06,-0.30,81.68,nan,nan,nan,nan,nan,nan,nan,nan,nan
22.02,1544519037,290.66,51.490685,7.415367,158.40,12.69,-0.37,82.79,nan,nan,nan,nan,nan,nan,nan,nan,nan
23.03,1544519038,303.49,51.490695,7.415548,158.08,12.32,-0.37,83.90,nan,nan,nan,nan,nan,nan,nan,nan,nan
24.02,1544519039,315.63,51.490700,7.415731,157.90,11.73,-0.60,85.57,nan,nan,nan,nan,nan,nan,nan,nan,nan
25.02,1544519040,327.42,51.490699,7.415884,157.62,10.27,-1.46,87.60,nan,nan,nan,nan,nan,nan,nan,nan,nan
