time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.32,1544519332,137.15,51.490374,7.412796,165.29,14.71,-0.03,78.40,1,-113,-11,5,7,14,71,13067274,289,0,8.00,1.92,63.00,1865
31.97,1544519354,418.36,51.490617,7.416749,157.95,9.98,-0.62,99.05,1,-110,-15,-7,4,26,23,13532675,385,2,5.00,1.49,680.00,860
42.55,1544519365,520.31,51.491245,7.417071,155.51,12.15,0.26,350.40,1,-107,-15,-5,5,27,23,13532675,385,3,0.50,0.30,1449.00,860
52.44,1544519375,639.64,51.492232,7.416472,156.50,12.79,0.47,332.57,1,-105,-11,8,2,37,14,12806666,385,4,0.50,15.21,59.00,1865
60.69,1544519383,736.35,51.493036,7.416012,158.38,11.18,-0.13,347.61,1,-111,-9,7,10,16,14,12806666,385,5,0.10,1.03,313.00,1865
70.30,1544519392,859.10,51.494138,7.415620,157.11,12.64,-0.17,345.02,1,-100,-9,11,10,28,14,12806666,385,6,9.00,59.50,61.00,1865
80.29,1544519402,949.67,51.494470,7.414752,157.26,11.63,0.76,256.76,1,-100,-7,11,9,24,14,12806666,385,7,7.00,23.85,56.00,1865
90.29,1544519413,1080.42,51.494192,7.412895,160.18,13.85,0.38,258.40,1,-100,-7,8,10,25,14,12806666,385,8,1.00,20.00,78.00,1865
100.30,1544519422,1207.31,51.493963,7.411112,161.62,11.37,-0.30,258.03,1,-103,-7,12,15,24,14,12806666,385,9,5.00,38.91,57.00,1865
110.29,1544519433,1299.34,51.493797,7.409793,163.03,12.48,0.51,257.34,1,-105,-10,12,1,23,14,12806666,385,10,4.00,35.13,52.00,1865
120.28,1544519443,1436.09,51.493528,7.407834,162.10,14.84,0.13,258.43,1,-102,-8,13,11,24,14,12806666,385,11,3.00,36.25,50.00,1865
130.26,1544519452,1579.22,51.493263,7.405818,164.47,14.83,0.33,257.97,1,-103,-8,11,15,25,14,12806666,385,12,4.00,33.79,58.00,1865
140.29,1544519463,1724.47,51.493006,7.403791,162.42,13.49,-0.22,260.19,1,-109,-8,-1,15,20,14,12806666,385,13,4.00,20.41,85.00,1865
150.29,1544519472,1841.37,51.492980,7.402176,160.23,5.23,-1.97,269.21,1,-106,-8,16,15,21,14,12806666,385,14,4.00,26.67,56.00,1865
160.28,1544519482,1851.51,51.492987,7.402092,160.09,0.00,0.00,269.89,1,-107,-9,8,15,27,14,12806666,385,15,0.50,22.86,52.00,1865
170.29,1544519493,1851.51,51.492987,7.402092,159.89,0.00,0.00,269.89,1,-107,-8,9,14,19,14,12806666,385,16,10.00,32.71,59.00,1865
180.30,1544519502,1851.51,51.492987,7.402092,159.71,0.00,0.00,269.89,1,-106,-7,10,10,19,14,12806666,385,17,9.00,30.26,48.00,1865
190.31,1544519513,1873.20,51.492740,7.401784,159.81,9.15,0.76,187.38,1,-110,-9,5,9,16,14,12806666,385,18,10.00,14.74,62.00,1865
200.29,1544519523,1992.63,51.491649,7.401769,161.82,13.75,0.23,181.40,1,-111,-10,-3,11,18,14,12806666,385,19,2.00,10.58,61.00,1865
210.28,1544519533,2133.45,51.490374,7.401737,168.58,14.53,0.10,180.29,1,-111,-12,8,12,21,14,12806666,385,20,10.00,22.59,53.00,1865
220.29,1544519542,2227.18,51.489620,7.401745,170.81,0.00,-0.72,180.60,1,-111,-9,13,12,17,14,12806666,385,21,0.10,16.00,51.00,1865
230.26,1544519552,2227.18,51.489620,7.401745,170.77,0.00,0.00,180.60,1,-109,-10,4,12,17,14,12806666,385,22,4.00,14.36,69.00,1865
240.32,1544519563,2231.56,51.489469,7.401743,170.22,4.73,0.36,179.81,1,-108,-9,6,11,18,14,12806666,385,23,5.00,22.16,48.00,1865
251.44,1544519574,2339.56,51.489360,7.403329,170.30,13.41,-0.18,90.03,1,-112,-10,4,6,16,14,12806666,385,24,9.00,6.55,865.00,1865
261.83,1544519584,2473.01,51.489359,7.405247,172.06,12.23,-0.14,89.04,1,-112,-14,-1,6,20,71,13067274,289,25,3.00,11.09,631.00,1865
270.29,1544519592,2585.48,51.489540,7.406835,174.98,12.02,-0.08,78.03,1,-98,-10,6,9,31,71,13067274,289,26,8.00,19.48,57.00,1865
280.30,1544519602,2694.44,51.489761,7.408398,175.82,12.55,1.11,79.15,1,-102,-12,3,10,30,71,13067274,289,27,0.10,10.39,51.00,1865
