time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
1.09,1544519618,13.29,51.490161,7.411405,166.40,13.04,0.00,77.89,0,-113,-15,0,0,23,0,0,385
1.10,1544519618,13.30,51.490161,7.411405,166.40,13.04,0.00,77.89,0,-113,-16,0,0,23,0,0,200
2.09,1544519619,26.33,51.490184,7.411588,165.98,13.00,0.00,77.60,0,-113,-15,0,0,23,0,0,385
2.10,1544519619,26.34,51.490184,7.411588,165.98,13.00,0.00,77.60,0,-113,-16,0,0,23,0,0,200
5.09,1544519622,65.11,51.490253,7.412129,165.42,12.81,0.00,77.28,0,-121,-17,0,0,17,0,0,347
5.10,1544519622,65.12,51.490253,7.412129,165.42,12.81,0.00,77.28,0,-121,-18,0,0,17,0,0,356
6.09,1544519623,77.92,51.490277,7.412316,165.13,12.90,0.00,77.71,0,-121,-17,0,0,17,0,0,347
6.10,1544519623,77.93,51.490277,7.412316,165.13,12.90,0.00,77.71,0,-121,-18,0,0,17,0,0,356
7.09,1544519624,90.81,51.490297,7.412477,164.59,12.95,0.00,77.92,0,-118,-17,0,0,18,0,0,347
8.09,1544519625,103.76,51.490327,7.412664,164.03,12.99,0.00,77.69,0,-118,-17,0,0,18,0,0,347
9.09,1544519626,116.75,51.490357,7.412854,164.05,12.39,0.00,78.67,0,-121,-16,0,0,17,0,0,347
10.10,1544519627,129.19,51.490388,7.413049,164.11,13.44,0.00,78.68,0,-121,-16,0,0,17,0,0,347
11.09,1544519628,142.57,51.490419,7.413241,164.26,13.68,0.00,78.90,0,-122,-15,0,0,13,0,0,347
12.09,1544519629,156.27,51.490731,7.413707,164.09,13.86,0.00,78.63,0,-122,-15,0,0,13,0,0,347
13.09,1544519630,170.13,51.490472,7.413622,164.06,14.01,0.00,78.69,0,-116,-17,0,0,23,0,0,347
13.10,1544519630,170.14,51.490472,7.413622,164.06,14.01,0.00,78.69,0,-117,-18,0,0,23,0,0,356
14.10,1544519631,184.16,51.490495,7.413815,163.69,14.51,0.00,79.28,0,-116,-17,0,0,23,0,0,347
14.10,1544519631,184.18,51.490495,7.413815,163.69,14.51,0.00,79.28,0,-117,-18,0,0,23,0,0,356
32.09,1544519649,389.74,51.491314,7.417444,155.78,0.34,0.00,99.68,0,-112,-11,0,0,19,0,0,347
32.09,1544519649,389.74,51.491314,7.417444,155.78,0.34,0.00,99.68,0,-117,-16,0,0,19,0,0,345
33.09,1544519650,390.08,51.490619,7.416658,155.79,0.00,0.00,99.68,0,-112,-11,0,0,19,0,0,347
33.10,1544519650,390.08,51.490619,7.416658,155.79,0.00,0.00,99.68,0,-117,-16,0,0,19,0,0,345
34.09,1544519651,390.08,51.490619,7.416658,155.80,0.00,0.00,99.68,0,-111,-8,0,0,16,0,0,347
35.09,1544519652,390.08,51.490619,7.416658,155.81,0.00,0.00,99.68,0,-111,-8,0,0,16,0,0,347
36.09,1544519653,390.08,51.490619,7.416658,155.82,0.00,0.00,99.68,0,-111,-8,0,0,17,0,0,347
37.09,1544519654,390.08,51.490619,7.416658,155.83,0.00,0.00,99.68,0,-111,-8,0,0,17,0,0,347
38.09,1544519655,390.08,51.490619,7.416658,155.84,0.00,0.00,99.68,0,-111,-8,0,0,17,0,0,347
39.09,1544519656,390.08,51.490619,7.416658,155.85,0.00,0.00,99.68,0,-111,-8,0,0,17,0,0,347
40.11,1544519657,390.08,51.490619,7.416658,155.86,0.00,0.00,99.68,0,-110,-8,0,0,17,0,0,347
41.09,1544519658,390.08,51.490619,7.416658,155.96,0.00,0.00,99.68,0,-110,-8,0,0,17,0,0,347
42.09,1544519659,390.08,51.490619,7.416658,156.05,0.00,0.00,105.98,0,-110,-8,0,0,17,0,0,347
43.11,1544519660,390.08,51.490619,7.416658,156.94,0.00,0.00,105.01,0,-105,-14,0,0,31,0,0,347
44.09,1544519661,390.09,51.490584,7.416804,157.10,5.12,0.00,104.44,0,-105,-14,0,0,31,0,0,347
45.09,1544519662,395.22,51.490570,7.416883,157.18,6.00,0.00,103.59,0,-108,-9,0,0,20,0,0,347
46.09,1544519663,401.23,51.490551,7.416989,157.24,6.92,0.00,103.88,0,-108,-9,0,0,20,0,0,347
47.09,1544519664,408.14,51.490552,7.417079,157.39,6.48,0.00,87.41,0,-110,-9,0,0,19,0,0,347
48.09,1544519665,414.62,51.490574,7.417157,157.36,6.53,0.00,58.68,0,-110,-9,0,0,19,0,0,347
49.09,1544519666,421.14,51.490626,7.417202,157.38,7.89,0.00,22.64,0,-115,-10,0,0,16,0,0,347
50.10,1544519667,429.07,51.490690,7.417215,157.38,8.15,0.00,3.20,0,-115,-10,0,0,16,0,0,347
51.09,1544519668,437.15,51.490776,7.417217,156.94,8.88,0.00,359.58,0,-114,-11,0,0,16,0,0,347
52.10,1544519669,446.09,51.491279,7.417399,156.70,9.69,0.00,355.95,0,-114,-11,0,0,16,0,0,347
53.09,1544519670,455.76,51.490929,7.417183,156.77,9.48,0.00,353.35,0,-113,-15,0,0,21,0,0,347
54.09,1544519671,465.21,51.491005,7.417154,156.86,9.41,0.00,351.76,0,-113,-15,0,0,21,0,0,347
55.09,1544519672,474.65,51.491090,7.417124,156.91,9.68,0.00,350.87,0,-112,-14,0,0,21,0,0,347
56.09,1544519673,484.34,51.491178,7.417091,157.04,9.91,0.00,350.15,0,-112,-14,0,0,21,0,0,347
57.10,1544519674,494.26,51.491262,7.417064,156.96,9.49,0.00,350.01,0,-111,-11,0,0,21,0,0,347
57.10,1544519674,494.26,51.491262,7.417064,156.96,9.49,0.00,350.01,0,-114,-13,0,0,20,0,0,216
58.09,1544519675,503.75,51.491344,7.417037,156.88,9.14,0.00,349.28,0,-111,-11,0,0,21,0,0,347
58.10,1544519675,503.76,51.491344,7.417037,156.88,9.14,0.00,349.28,0,-114,-13,0,0,20,0,0,216
59.10,1544519676,512.89,51.491426,7.417005,156.78,9.38,0.00,348.53,0,-113,-12,0,0,18,0,0,347
59.10,1544519676,512.89,51.491426,7.417005,156.78,9.38,0.00,348.53,0,-113,-11,0,0,18,0,0,216
60.10,1544519677,522.30,51.491514,7.416973,156.79,10.24,0.00,348.00,0,-113,-12,0,0,18,0,0,347
60.10,1544519677,522.31,51.491514,7.416973,156.79,10.24,0.00,348.00,0,-113,-11,0,0,18,0,0,216
61.10,1544519678,532.57,51.491609,7.416935,156.70,10.77,0.00,347.08,0,-109,-9,0,0,18,0,0,216
61.10,1544519678,532.58,51.491609,7.416935,156.70,10.77,0.00,347.08,0,-110,-11,0,0,18,0,0,347
62.10,1544519679,543.28,51.491703,7.416881,157.04,11.25,0.00,345.00,0,-109,-9,0,0,18,0,0,216
62.10,1544519679,543.29,51.491703,7.416881,157.04,11.25,0.00,345.00,0,-110,-11,0,0,18,0,0,347
