time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
58.12,1544593368,712.93,51.444649,7.491586,279.43,0.00,0.00,127.88,0,-109,-18,0,0,34,0,0,431
59.13,1544593369,712.93,51.444649,7.491586,279.43,0.00,0.00,127.88,0,-109,-18,0,0,34,0,0,431
60.12,1544593370,712.93,51.444649,7.491586,279.44,0.00,0.00,127.88,0,-110,-14,0,0,30,0,0,431
61.12,1544593371,712.93,51.444649,7.491586,279.44,0.00,0.00,127.88,0,-110,-14,0,0,30,0,0,431
62.13,1544593372,712.93,51.444649,7.491586,279.45,0.00,0.00,127.88,0,-109,-17,0,0,34,0,0,431
63.12,1544593373,712.93,51.444649,7.491586,279.47,0.00,0.00,127.88,0,-109,-17,0,0,34,0,0,431
64.12,1544593374,712.93,51.444649,7.491586,279.48,0.00,0.00,127.88,0,-111,-14,0,0,28,0,0,431
65.12,1544593375,712.93,51.444649,7.491586,279.50,0.00,0.00,127.88,0,-111,-14,0,0,28,0,0,431
66.13,1544593376,712.93,51.444649,7.491586,279.51,0.00,0.00,127.88,0,-112,-14,0,0,27,0,0,431
67.12,1544593377,712.93,51.444649,7.491586,279.52,0.00,0.00,127.88,0,-112,-14,0,0,27,0,0,431
68.12,1544593378,712.93,51.444649,7.491586,279.53,0.00,0.00,127.88,0,-110,-13,0,0,29,0,0,431
69.12,1544593379,712.93,51.444649,7.491586,279.54,0.00,0.00,127.88,0,-110,-13,0,0,29,0,0,431
70.13,1544593380,712.93,51.444649,7.491586,279.55,0.00,0.00,127.88,0,-108,-14,0,0,30,0,0,431
71.13,1544593381,712.93,51.444649,7.491586,279.56,0.00,0.00,127.88,0,-108,-14,0,0,30,0,0,431
72.13,1544593382,712.93,51.444649,7.491586,279.56,0.00,0.00,127.88,0,-110,-14,0,0,29,0,0,431
73.12,1544593383,712.93,51.444649,7.491586,279.57,0.00,0.00,127.88,0,-110,-14,0,0,29,0,0,431
74.12,1544593384,712.93,51.444649,7.491586,279.58,0.00,0.00,127.88,0,-110,-14,0,0,29,0,0,431
75.12,1544593385,712.93,51.444649,7.491586,279.59,0.00,0.00,127.88,0,-109,-13,0,0,29,0,0,431
76.12,1544593386,712.93,51.444649,7.491586,279.59,0.00,0.00,127.88,0,-109,-13,0,0,29,0,0,431
77.12,1544593387,712.93,51.444649,7.491586,279.60,0.00,0.00,127.88,0,-110,-13,0,0,29,0,0,431
78.12,1544593388,712.93,51.444649,7.491586,279.61,0.00,0.00,127.88,0,-110,-13,0,0,29,0,0,431
79.13,1544593389,712.93,51.444649,7.491586,279.62,0.00,0.00,127.88,0,-109,-13,0,0,30,0,0,431
80.12,1544593390,712.93,51.444649,7.491586,279.63,0.00,0.00,127.88,0,-109,-13,0,0,30,0,0,431
81.12,1544593391,712.93,51.444649,7.491586,279.66,0.00,0.00,127.88,0,-109,-14,0,0,31,0,0,431
82.12,1544593392,712.93,51.444649,7.491586,279.67,0.00,0.00,128.41,0,-109,-14,0,0,31,0,0,431
83.12,1544593393,712.93,51.444608,7.491676,279.70,0.00,0.00,129.38,0,-106,-13,0,0,34,0,0,431
84.12,1544593394,712.93,51.444563,7.491721,279.86,1.79,0.00,151.26,0,-106,-13,0,0,34,0,0,431
104.12,1544593414,951.68,51.442659,7.489607,278.34,14.54,0.00,215.46,0,-86,-13,0,0,54,0,0,431
105.12,1544593415,966.28,51.442538,7.489472,278.48,15.52,0.00,215.96,0,-86,-13,0,0,54,0,0,431
108.12,1544593418,1010.11,51.442211,7.489081,279.41,15.53,0.00,217.58,0,-86,-10,0,0,49,0,0,431
109.12,1544593419,1025.62,51.442100,7.488940,279.59,15.20,0.00,218.39,0,-86,-10,0,0,49,0,0,431
110.12,1544593420,1040.81,51.441992,7.488798,279.66,15.03,0.00,219.77,0,-78,-12,0,0,60,0,0,431
111.12,1544593421,1055.78,51.441881,7.488644,279.36,15.59,0.00,221.40,0,-78,-12,0,0,60,0,0,431
112.12,1544593422,1071.38,51.441785,7.488499,278.80,14.42,0.00,223.16,0,-82,-9,0,0,53,0,0,431
113.12,1544593423,1085.86,51.441691,7.488346,278.14,14.54,0.00,225.32,0,-82,-9,0,0,53,0,0,431
127.12,1544593437,1300.06,51.440506,7.485818,276.59,15.86,0.00,232.34,0,-77,-9,0,0,58,0,0,430
128.12,1544593438,1315.93,51.440425,7.485637,277.72,15.53,0.00,232.47,0,-77,-9,0,0,58,0,0,430
129.12,1544593439,1331.46,51.440342,7.485450,278.48,16.00,0.00,232.98,0,-84,-10,0,0,52,0,0,430
130.12,1544593440,1347.46,51.440253,7.485264,279.10,15.89,0.00,232.46,0,-84,-10,0,0,52,0,0,430
131.12,1544593441,1363.30,51.440167,7.485087,279.52,15.44,0.00,232.57,0,-84,-11,0,0,54,0,0,431
132.12,1544593442,1378.72,51.440082,7.484913,280.05,15.40,0.00,233.25,0,-84,-11,0,0,54,0,0,431
154.12,1544593464,1719.11,51.438434,7.480613,286.12,15.75,0.00,240.70,0,-108,-9,0,0,26,0,0,38
155.12,1544593465,1734.87,51.438361,7.480403,285.88,16.08,0.00,240.81,0,-108,-9,0,0,26,0,0,38
156.13,1544593466,1751.08,51.438285,7.480194,285.59,15.99,0.00,240.90,0,-105,-8,0,0,29,0,0,38
157.13,1544593467,1766.98,51.438219,7.479998,285.63,16.05,0.00,241.13,0,-105,-8,0,0,29,0,0,38
158.12,1544593468,1782.98,51.438154,7.479802,285.89,15.13,0.00,241.14,0,-105,-8,0,0,29,0,0,38
159.16,1544593469,1798.70,51.438086,7.479600,286.35,15.67,0.00,241.07,0,-106,-13,0,0,32,0,0,38
160.12,1544593470,1813.75,51.438017,7.479405,286.55,15.73,0.00,240.33,0,-106,-13,0,0,32,0,0,38
161.13,1544593471,1829.54,51.437943,7.479200,286.52,15.73,0.00,240.79,0,-107,-9,0,0,28,0,0,38
161.13,1544593471,1829.54,51.437943,7.479200,286.52,15.73,0.00,240.79,0,-113,-14,0,0,27,0,0,70
162.13,1544593472,1845.25,51.437875,7.478998,286.84,15.42,0.00,241.21,0,-107,-9,0,0,28,0,0,38
162.13,1544593472,1845.27,51.437875,7.478998,286.84,15.42,0.00,241.21,0,-113,-14,0,0,27,0,0,70
163.13,1544593473,1860.67,51.437803,7.478777,286.50,15.69,0.00,242.11,0,-108,-9,0,0,26,0,0,38
163.13,1544593473,1860.69,51.437803,7.478777,286.50,15.69,0.00,242.11,0,-113,-14,0,0,26,0,0,70
164.13,1544593474,1876.36,51.437733,7.478565,286.09,15.68,0.00,242.44,0,-108,-9,0,0,26,0,0,38
164.13,1544593474,1876.38,51.437733,7.478565,286.09,15.68,0.00,242.44,0,-113,-14,0,0,26,0,0,70
165.13,1544593475,1892.04,51.437672,7.478377,286.45,15.09,0.00,241.91,0,-108,-9,0,0,26,0,0,38
165.13,1544593475,1892.04,51.437672,7.478377,286.45,15.09,0.00,241.91,0,-113,-13,0,0,26,0,0,70
166.13,1544593476,1907.13,51.437605,7.478173,286.90,15.57,0.00,241.33,0,-108,-9,0,0,26,0,0,38
166.13,1544593476,1907.14,51.437605,7.478173,286.90,15.57,0.00,241.33,0,-113,-13,0,0,26,0,0,70
167.13,1544593477,1922.72,51.437538,7.477974,287.30,15.60,0.00,241.69,0,-108,-10,0,0,28,0,0,38
167.13,1544593477,1922.74,51.437538,7.477974,287.30,15.60,0.00,241.69,0,-114,-14,0,0,27,0,0,70
167.13,1544593477,1922.75,51.437538,7.477974,287.30,15.60,0.00,241.69,0,-107,-12,0,0,32,0,0,391
167.13,1544593477,1922.75,51.437538,7.477974,287.30,15.60,0.00,241.69,0,-107,-13,0,0,32,0,0,213
167.13,1544593477,1922.77,51.437538,7.477974,287.30,15.60,0.00,241.69,0,-107,-13,0,0,32,0,0,80
168.13,1544593478,1938.30,51.437470,7.477769,287.97,15.55,0.00,242.05,0,-108,-10,0,0,28,0,0,38
168.13,1544593478,1938.32,51.437470,7.477769,287.97,15.55,0.00,242.05,0,-114,-14,0,0,27,0,0,70
