time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
15.08,1544593325,181.94,51.448423,7.488215,258.79,13.77,0.00,191.99,0,-110,-19,0,0,30,0,0,156
15.08,1544593325,181.94,51.448423,7.488215,258.79,13.77,0.00,191.99,0,-111,-20,0,0,31,0,0,26
15.08,1544593325,181.96,51.448423,7.488215,258.79,13.77,0.00,191.99,0,-112,-18,0,0,26,0,0,265
16.08,1544593326,195.71,51.448298,7.488168,259.12,13.97,0.00,192.66,0,-110,-19,0,0,30,0,0,156
16.08,1544593326,195.73,51.448298,7.488168,259.12,13.97,0.00,192.66,0,-111,-20,0,0,31,0,0,26
16.08,1544593326,195.74,51.448298,7.488168,259.12,13.97,0.00,192.66,0,-112,-18,0,0,26,0,0,265
17.08,1544593327,209.67,51.448181,7.488116,259.32,14.08,0.00,193.62,0,-111,-17,0,0,25,0,0,156
17.08,1544593327,209.67,51.448181,7.488116,259.32,14.08,0.00,193.62,0,-113,-18,0,0,25,0,0,26
17.08,1544593327,209.69,51.448181,7.488116,259.32,14.08,0.00,193.62,0,-114,-19,0,0,24,0,0,265
18.08,1544593328,223.77,51.448055,7.488063,259.53,14.10,0.00,193.05,0,-111,-17,0,0,25,0,0,156
18.08,1544593328,223.77,51.448055,7.488063,259.53,14.10,0.00,193.05,0,-113,-18,0,0,25,0,0,26
18.08,1544593328,223.78,51.448055,7.488063,259.53,14.10,0.00,193.05,0,-114,-19,0,0,24,0,0,265
19.08,1544593329,237.88,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-113,-19,0,0,25,0,0,156
19.08,1544593329,237.89,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-113,-18,0,0,24,0,0,265
19.08,1544593329,237.89,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-113,-18,0,0,25,0,0,26
19.08,1544593329,237.91,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-130,-18,0,0,6,0,0,137
19.09,1544593329,237.92,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-125,-15,0,0,9,0,0,288
19.09,1544593329,237.93,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-127,-16,0,0,9,0,0,384
19.09,1544593329,237.95,51.447932,7.488013,259.98,13.82,0.00,192.21,0,-128,-18,0,0,9,0,0,57
20.08,1544593330,251.72,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-113,-19,0,0,25,0,0,156
20.08,1544593330,251.73,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-113,-18,0,0,24,0,0,265
20.09,1544593330,251.75,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-113,-18,0,0,25,0,0,26
20.09,1544593330,251.75,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-130,-18,0,0,6,0,0,137
20.09,1544593330,251.76,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-125,-15,0,0,9,0,0,288
20.09,1544593330,251.77,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-127,-16,0,0,9,0,0,384
20.09,1544593330,251.77,51.447798,7.487967,260.06,13.98,0.00,191.38,0,-128,-18,0,0,9,0,0,57
21.08,1544593331,265.71,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-110,-17,0,0,29,0,0,265
21.09,1544593331,265.72,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-112,-18,0,0,25,0,0,156
21.09,1544593331,265.72,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-115,-20,0,0,25,0,0,26
21.09,1544593331,265.73,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-126,-14,0,0,9,0,0,288
21.09,1544593331,265.75,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-127,-18,0,0,10,0,0,57
21.09,1544593331,265.75,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-127,-17,0,0,10,0,0,384
21.09,1544593331,265.76,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-130,-16,0,0,6,0,0,137
21.09,1544593331,265.77,51.447678,7.487932,260.23,12.63,0.00,189.96,0,-130,-17,0,0,5,0,0,59
22.08,1544593332,278.33,51.447555,7.487902,260.14,12.89,0.00,188.76,0,-110,-17,0,0,29,0,0,265
22.08,1544593332,278.34,51.447555,7.487902,260.14,12.89,0.00,188.76,0,-112,-18,0,0,25,0,0,156
22.09,1544593332,278.35,51.447555,7.487902,260.14,12.89,0.00,188.76,0,-115,-20,0,0,25,0,0,26
22.09,1544593332,278.35,51.447555,7.487902,260.14,12.89,0.00,188.76,0,-126,-14,0,0,9,0,0,288
22.09,1544593332,278.37,51.447555,7.487902,260.14,12.89,0.00,188.76,0,-127,-18,0,0,10,0,0,57
22.09,1544593332,278.38,51.447555,7.487902,260.14,12.89,0.00,188.76,0,-127,-17,0,0,10,0,0,384
