time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.64,1544593321,113.66,51.449031,7.488411,257.98,13.16,-0.02,182.11,1,-99,-7,11,9,25,7,13415170,315,0,6.00,2.03,60.00,860
26.13,1544593336,330.38,51.447071,7.487906,261.92,13.36,0.70,175.77,1,-112,-16,-6,4,22,7,13415170,315,1,8.00,2.26,3177.00,860
32.74,1544593342,410.22,51.446402,7.488274,264.64,13.69,-0.05,158.51,1,-106,-13,-2,6,25,7,13415170,315,2,0.10,0.70,876.00,860
42.63,1544593353,554.16,51.445438,7.489725,273.33,15.19,0.14,129.92,1,-103,-13,3,6,28,7,13415170,315,3,3.00,0.28,3651.00,860
54.81,1544593365,707.08,51.444662,7.491523,280.00,4.87,-1.45,127.28,1,-110,-16,-4,4,21,24,13417219,440,4,8.00,1.10,2695.00,860
65.08,1544593375,716.01,51.444630,7.491592,280.03,0.00,0.00,126.58,1,-112,-12,0,7,18,24,13417219,440,5,0.50,0.37,1809.00,860
76.08,1544593387,716.01,51.444630,7.491592,279.69,0.00,0.00,126.58,1,-111,-12,0,6,20,24,13417219,440,6,7.00,1.55,2800.00,860
84.94,1544593395,716.01,51.444568,7.491684,273.26,0.00,0.00,155.17,1,-111,-14,-2,5,20,24,13417219,440,7,7.00,1.33,1767.00,860
93.32,1544593404,788.06,51.443845,7.491009,274.12,14.37,1.39,214.70,1,-106,-14,-1,5,26,24,13417219,440,8,2.00,0.92,1177.00,860
103.95,1544593414,937.28,51.442780,7.489732,276.05,14.64,-0.63,215.93,1,-107,-14,-1,8,26,24,13417219,440,9,1.00,0.83,1817.00,860
113.92,1544593425,1086.40,51.441717,7.488355,278.78,15.16,0.08,225.04,1,-96,-15,0,8,34,24,13417219,440,10,0.50,0.81,1965.00,860
121.92,1544593432,1211.26,51.441016,7.486892,281.19,15.55,-0.04,232.71,1,-95,-10,9,9,34,24,13417219,440,11,10.00,7.91,687.00,860
