time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.21,1544679446,99.14,51.449242,7.488433,253.01,12.15,0.24,178.78,1,-102,-7,10,7,31,13,12918809,429,0,5.00,7.31,36.00,1845
20.21,1544679456,234.91,51.447986,7.488033,256.16,13.99,-0.06,193.40,1,-97,-6,19,12,34,13,12918809,429,1,3.00,7.02,84.00,1845
30.18,1544679465,370.76,51.446784,7.488022,260.86,13.92,0.05,168.85,1,-98,-7,22,5,34,13,12918809,429,2,0.10,9.30,37.00,1845
40.22,1544679476,513.71,51.445705,7.489184,266.55,14.89,0.06,135.81,1,-98,-6,27,11,34,13,12918809,429,3,2.00,3.78,39.00,1845
50.19,1544679486,660.31,51.444926,7.490914,275.36,12.53,-0.52,127.62,1,-97,-7,11,10,35,13,12918809,429,4,2.00,2.35,40.00,1845
60.18,1544679496,715.90,51.444663,7.491546,274.52,1.60,1.18,127.87,1,-104,-8,10,15,30,13,12918809,429,5,3.00,9.34,46.00,1845
70.18,1544679505,778.14,51.444154,7.491419,277.94,11.17,0.85,215.67,1,-90,-8,30,6,44,13,12918809,429,6,2.00,14.59,38.00,1845
80.16,1544679515,907.25,51.443203,7.490290,277.03,14.18,-0.37,216.73,1,-90,-6,8,10,42,13,12918809,429,7,0.10,5.44,41.00,1845
90.18,1544679526,1047.30,51.442207,7.489080,278.48,14.88,0.24,218.11,1,-81,-7,24,12,52,13,12918809,429,8,3.00,16.97,35.00,1845
100.16,1544679535,1192.82,51.441302,7.487535,279.30,14.65,0.16,231.18,1,-79,-5,26,15,52,2,12918810,431,9,0.10,5.19,60.00,1845
110.20,1544679546,1339.86,51.440508,7.485833,281.50,14.60,0.04,232.38,1,-76,-6,18,13,55,2,12918810,431,10,8.00,11.83,39.00,1845
120.19,1544679556,1486.68,51.439715,7.484127,282.70,14.47,-0.33,233.71,1,-76,-6,22,13,55,4,12918811,430,11,10.00,11.68,107.00,1845
130.22,1544679566,1637.37,51.438969,7.482204,289.31,15.69,0.33,240.31,1,-88,-6,20,12,43,4,12918811,430,12,8.00,4.97,40.00,1845
142.54,1544679578,1822.73,51.438175,7.479857,290.52,15.23,-0.05,240.98,1,-107,-14,-1,8,33,4,12918811,430,13,7.00,3.60,593.00,1845
150.90,1544679587,1935.66,51.437677,7.478346,292.12,14.36,0.05,243.12,1,-111,-13,-2,6,28,4,12918811,430,14,9.00,5.40,405.00,1845
160.93,1544679596,2067.46,51.437178,7.476568,293.81,10.90,-0.13,270.34,1,-109,-11,0,9,27,4,12918811,430,15,9.00,12.70,504.00,1845
170.17,1544679605,2159.27,51.437762,7.476701,291.85,13.20,1.34,50.47,1,-92,-6,21,11,40,4,12918811,430,16,6.00,15.93,33.00,1845
180.18,1544679616,2340.85,51.438712,7.478911,292.31,22.56,0.95,57.64,1,-88,-4,18,15,43,4,12918811,430,17,7.00,22.49,41.00,1845
190.17,1544679626,2583.81,51.440046,7.481803,291.83,24.52,0.11,48.09,1,-89,-6,22,12,42,4,12918811,430,18,2.00,17.47,38.00,1845
200.18,1544679636,2830.87,51.441782,7.484078,279.06,25.09,0.17,31.49,1,-78,-5,37,15,54,4,12918811,430,19,7.00,24.40,46.00,1845
210.20,1544679646,3075.41,51.443688,7.485526,270.19,20.93,-1.79,22.11,1,-70,-5,10,6,63,2,12918809,429,20,4.00,8.94,35.00,1845
220.17,1544679656,3230.26,51.444723,7.486711,264.60,12.28,0.26,82.28,1,-73,-5,31,15,57,2,12918809,429,21,0.50,16.53,35.00,1845
230.17,1544679666,3361.16,51.443914,7.487255,264.35,13.77,0.14,227.38,1,-64,-4,34,15,63,2,12918809,429,22,5.00,11.68,91.00,1845
240.18,1544679676,3525.18,51.443729,7.484912,263.45,20.29,0.78,267.17,1,-91,-6,13,12,41,2,12918809,429,23,6.00,11.46,37.00,1845
250.18,1544679686,3774.79,51.443636,7.481258,261.54,29.30,0.68,265.81,1,-92,-8,25,12,41,6,12918811,430,24,6.00,18.22,37.00,1845
260.18,1544679695,4082.26,51.443305,7.476844,259.25,32.07,0.34,261.78,1,-82,-5,22,12,51,6,12918811,430,25,4.00,15.90,37.00,1845
270.18,1544679706,4400.02,51.442793,7.472365,252.90,30.50,-0.30,259.00,1,-103,-7,7,7,30,6,12918811,430,26,10.00,9.69,40.00,1845
280.17,1544679716,4697.05,51.442267,7.468184,243.44,29.84,0.17,258.85,1,-109,-9,0,6,25,6,12918811,430,27,1.00,2.73,36.00,1845
290.18,1544679726,5001.33,51.441811,7.463876,239.90,30.43,0.04,262.80,1,-108,-10,2,6,28,32,12897050,118,28,0.10,2.97,67.00,1845
300.19,1544679736,5296.02,51.441598,7.459670,236.82,27.19,-0.49,267.64,1,-103,-11,-4,7,33,32,12897050,118,29,9.00,11.12,101.00,1845
310.19,1544679746,5578.35,51.441555,7.455593,233.99,28.97,-0.41,271.00,1,-87,-6,13,10,46,17,14301721,72,30,0.50,8.70,35.00,1845
320.18,1544679756,5865.77,51.441742,7.451486,233.91,27.67,-0.12,276.48,1,-76,-4,29,15,57,17,14301721,72,31,0.50,17.32,34.00,1845
330.20,1544679766,6110.89,51.442041,7.448025,233.50,22.60,0.23,279.73,1,-72,-5,29,15,55,17,14301721,72,32,6.00,12.62,40.00,1845
340.19,1544679775,6340.62,51.442498,7.444810,228.43,23.92,0.39,283.13,1,-73,-5,29,15,58,17,14301721,72,33,10.00,25.56,32.00,1845
350.48,1544679786,6601.42,51.443131,7.441178,223.09,26.81,-0.24,287.06,1,-76,-7,15,15,59,17,14301721,72,34,2.00,4.09,118.00,1845
360.17,1544679795,6859.89,51.443889,7.437684,215.53,25.84,0.06,290.82,1,-69,-4,28,14,57,1,14301723,74,35,0.10,4.79,35.00,1845
370.18,1544679805,7146.37,51.444920,7.433897,203.96,30.32,-0.11,296.77,1,-82,-5,28,15,49,1,14301723,74,36,0.10,5.67,35.00,1845
380.20,1544679815,7457.73,51.446456,7.430141,192.45,31.34,0.25,309.41,1,-88,-6,18,12,41,1,14301723,74,37,0.10,8.51,34.00,1845
390.18,1544679826,7766.65,51.448417,7.427099,184.92,30.22,-0.58,321.97,1,-101,-6,9,7,31,1,14301723,74,38,0.10,2.47,35.00,1845
400.20,1544679836,8065.61,51.450700,7.424908,175.31,30.11,-0.27,334.51,1,-92,-9,4,8,43,16,13806082,70,39,4.00,4.20,37.00,850
410.18,1544679846,8361.08,51.453195,7.423484,161.98,28.97,-0.09,343.42,1,-85,-8,3,10,48,19,12897027,230,40,0.10,3.20,74.00,850
420.20,1544679856,8644.78,51.455636,7.422339,152.67,29.96,0.62,342.15,1,-69,-6,19,9,63,10,13806082,70,41,10.00,8.26,93.00,850
430.17,1544679866,8945.47,51.458151,7.420711,149.91,31.66,0.39,333.78,1,-83,-13,1,10,56,10,13806082,70,42,2.00,3.38,33.00,850
440.19,1544679876,9282.11,51.460745,7.418185,148.93,36.07,0.39,323.75,1,-78,-11,16,8,60,7,13806081,69,43,1.00,12.64,48.00,850
450.18,1544679886,9634.31,51.463132,7.414866,147.52,33.94,-0.04,313.91,1,-78,-5,22,12,53,7,13806081,69,44,8.00,13.74,37.00,850
460.23,1544679896,9978.49,51.465128,7.411083,153.61,33.20,-0.52,308.51,1,-91,-10,2,6,45,7,13806081,69,45,0.10,3.13,31.00,850
507.68,1544679943,11460.03,51.474932,7.395282,168.78,26.32,-0.17,326.67,1,-101,-9,3,7,33,36,13565441,431,50,1.00,2.53,32.00,850
