time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
11.63,1544679448,117.45,51.448996,7.488444,257.67,13.11,0.35,184.12,1,-98,-8,19,8,29,7,13415170,315,0,8.00,0.84,54.00,20.97,890
28.87,1544679464,351.54,51.446924,7.487973,263.44,14.09,-0.40,172.14,1,-113,-17,-7,4,21,11,13415170,315,1,3.00,0.39,3989.00,21.67,890
34.94,1544679471,435.51,51.446220,7.488474,266.20,14.18,-0.18,152.19,1,-103,-15,-13,8,34,11,13415170,315,2,5.00,0.60,3210.00,21.09,890
44.00,1544679480,582.94,51.445299,7.490121,271.66,15.13,-0.10,128.21,1,-106,-16,-13,1,27,11,13415170,315,3,4.00,0.42,5248.00,20.92,890
65.65,1544679501,735.91,51.444456,7.491742,278.35,6.57,0.59,200.49,1,-109,-13,-15,4,22,24,13417219,440,4,4.00,0.80,4671.00,20.33,890
77.92,1544679514,869.88,51.443424,7.490562,274.35,14.45,0.51,216.63,1,-113,-15,-10,1,22,23,13417219,440,6,3.00,0.98,4554.00,21.03,890
85.10,1544679520,982.55,51.442639,7.489623,277.13,13.92,0.19,215.30,1,-111,-15,-15,3,23,23,13417219,440,7,0.50,0.17,3146.00,18.61,890
95.23,1544679531,1126.39,51.441621,7.488226,279.85,12.66,-0.10,227.52,1,-103,-16,-13,4,32,23,13417219,440,8,8.00,2.23,1960.00,20.91,890
102.16,1544679537,1221.28,51.441086,7.487059,282.25,14.50,0.26,233.04,1,-92,-14,-5,7,40,23,13417219,440,9,1.00,1.06,2561.00,13.91,890
111.52,1544679547,1349.64,51.440374,7.485519,285.83,14.04,-0.12,232.51,1,-100,-15,1,7,34,23,13417219,440,10,3.00,1.72,670.00,20.09,890
122.32,1544679558,1509.01,51.439477,7.483622,289.69,14.52,-0.14,233.72,1,-99,-16,-1,6,34,23,13417219,440,11,0.10,0.30,1674.00,16.77,890
143.43,1544679579,1819.95,51.438014,7.479511,291.80,14.27,-0.67,241.77,1,-93,-19,-5,5,45,23,13417219,440,13,8.00,0.56,2589.00,19.72,890
155.04,1544679591,1986.04,51.437280,7.477289,295.78,12.83,-0.55,242.74,1,-88,-15,0,6,45,19,13523715,6,14,0.10,0.16,710.00,18.97,890
162.42,1544679598,2061.42,51.437277,7.476175,293.51,7.51,-0.40,325.39,1,-94,-14,-2,1,37,19,13523715,6,15,6.00,0.45,1658.00,7.56,890
172.04,1544679608,2163.47,51.438041,7.477172,291.80,16.53,1.28,53.16,1,-96,-15,0,1,35,19,13523715,6,16,7.00,0.45,2371.00,15.55,890
184.42,1544679620,2426.66,51.439401,7.480369,294.44,24.72,-0.61,54.09,1,-112,-13,-14,2,22,22,13417219,6,17,3.00,0.21,2189.00,20.64,890
200.63,1544679636,2820.22,51.441938,7.484209,274.37,24.70,-0.30,29.46,1,-117,-11,2,6,12,85,13067273,288,18,10.00,0.91,38269.00,20.34,890
208.51,1544679644,3016.20,51.443518,7.485375,267.82,22.53,-1.49,22.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,19,8.00,0.98,443.00,21.66,1770
