time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.03,1545025365,0.00,51.450106,7.488259,251.16,7.59,0.00,165.63,1,-109,-11,1,7,28,13,12918809,429
1.04,1545025366,7.62,51.450038,7.488287,250.98,8.22,0.63,166.63,1,-106,-9,10,9,29,13,12918809,429
2.04,1545025367,15.84,51.449959,7.488313,250.62,8.94,0.72,167.54,1,-106,-9,10,9,29,13,12918809,429
3.03,1545025368,24.78,51.449877,7.488339,250.25,9.65,0.71,168.54,1,-106,-9,4,8,29,13,12918809,429
4.03,1545025369,34.41,51.449786,7.488363,249.91,10.52,0.87,169.65,1,-106,-9,4,8,29,13,12918809,429
5.03,1545025370,44.96,51.449693,7.488385,249.51,11.15,0.62,171.34,1,-105,-9,8,10,30,13,12918809,429
6.03,1545025371,56.09,51.449593,7.488401,249.07,11.66,0.52,172.82,1,-105,-9,8,10,30,13,12918809,429
7.03,1545025372,67.77,51.449481,7.488411,248.27,12.46,0.80,174.54,1,-105,-8,8,6,30,13,12918809,429
8.03,1545025373,80.23,51.449364,7.488420,247.69,13.03,0.57,176.30,1,-105,-8,8,6,30,13,12918809,429
9.03,1545025374,93.26,51.449237,7.488424,247.30,13.59,0.55,178.22,1,-103,-7,18,7,30,13,12918809,429
10.03,1545025375,106.84,51.449107,7.488417,246.87,13.49,-0.10,180.27,1,-103,-7,18,7,30,13,12918809,429
11.03,1545025376,120.30,51.448986,7.488403,246.93,13.53,0.04,182.85,1,-101,-6,25,12,31,13,12918809,429
12.03,1545025377,133.85,51.448862,7.488380,246.86,13.62,0.08,185.54,1,-101,-6,25,12,31,13,12918809,429
13.03,1545025378,147.50,51.448738,7.488352,246.91,13.84,0.22,188.14,1,-101,-7,15,9,32,13,12918809,429
14.03,1545025379,161.34,51.448617,7.488306,247.36,14.08,0.24,189.82,1,-101,-7,15,9,32,13,12918809,429
15.03,1545025380,175.38,51.448491,7.488250,247.96,14.29,0.20,191.43,1,-99,-5,11,15,33,13,12918809,429
16.03,1545025381,189.71,51.448366,7.488189,248.37,14.31,0.02,192.56,1,-99,-5,11,15,33,13,12918809,429
17.04,1545025382,204.03,51.448235,7.488130,248.65,14.49,0.18,193.11,1,-98,-6,15,11,35,13,12918809,429
18.03,1545025383,218.50,51.448107,7.488072,248.90,14.47,-0.02,193.63,1,-98,-6,15,11,35,13,12918809,429
19.05,1545025384,233.13,51.447976,7.488018,248.99,14.53,0.07,193.25,1,-101,-7,13,10,32,13,12918809,429
20.03,1545025385,247.50,51.447854,7.487973,249.22,14.38,-0.15,192.46,1,-101,-7,13,10,32,13,12918809,429
21.03,1545025386,261.88,51.447731,7.487930,249.40,14.41,0.02,191.95,1,-101,-7,13,10,32,13,12918809,429
22.03,1545025387,276.26,51.447613,7.487901,249.36,14.02,-0.39,189.83,1,-97,-7,14,10,37,13,12918809,429
23.03,1545025388,290.31,51.447491,7.487882,249.27,14.03,0.01,186.40,1,-97,-7,14,10,37,13,12918809,429
24.03,1545025389,304.33,51.447370,7.487872,249.38,13.67,-0.36,183.50,1,-98,-8,14,9,36,13,12918809,429
25.04,1545025390,318.03,51.447249,7.487871,249.49,13.68,0.01,181.11,1,-98,-8,14,9,36,13,12918809,429
26.03,1545025391,331.67,51.447133,7.487884,250.00,13.61,-0.07,178.37,1,-97,-9,15,11,38,13,12918809,429
27.03,1545025392,345.29,51.447009,7.487908,250.64,13.63,0.02,175.08,1,-97,-9,15,11,38,13,12918809,429
28.03,1545025393,358.95,51.446886,7.487945,251.16,13.73,0.10,171.84,1,-98,-11,14,9,40,13,12918809,429
29.03,1545025394,372.68,51.446766,7.487996,251.60,13.76,0.02,168.57,1,-98,-11,14,9,40,13,12918809,429
30.03,1545025395,386.41,51.446637,7.488063,251.88,13.92,0.16,165.21,1,-100,-6,14,9,32,13,12918809,429
31.03,1545025396,400.32,51.446524,7.488134,252.24,13.94,0.03,161.97,1,-100,-6,14,9,32,13,12918809,429
32.03,1545025397,414.29,51.446409,7.488222,252.65,14.13,0.19,158.65,1,-99,-7,16,10,34,13,12918809,429
33.03,1545025398,428.43,51.446296,7.488324,253.40,14.23,0.10,155.66,1,-99,-7,16,10,34,13,12918809,429
34.03,1545025399,442.66,51.446187,7.488433,254.21,14.27,0.04,152.53,1,-96,-5,17,11,36,13,12918809,429
35.03,1545025400,456.93,51.446081,7.488554,255.04,14.39,0.12,149.35,1,-96,-5,17,11,36,13,12918809,429
36.03,1545025401,471.32,51.445976,7.488690,256.03,14.55,0.16,145.86,1,-96,-6,19,11,36,13,12918809,429
37.03,1545025402,485.87,51.445870,7.488843,257.07,14.72,0.17,142.62,1,-96,-6,19,11,36,13,12918809,429
38.03,1545025403,500.59,51.445770,7.489006,258.28,14.87,0.15,139.26,1,-96,-5,20,11,36,13,12918809,429
39.03,1545025404,515.47,51.445674,7.489179,259.04,15.03,0.15,136.47,1,-96,-5,20,11,36,13,12918809,429
40.04,1545025405,530.60,51.445585,7.489353,259.62,15.11,0.09,133.79,1,-97,-6,15,15,35,13,12918809,429
41.03,1545025406,545.57,51.445496,7.489541,260.53,15.29,0.18,131.58,1,-97,-6,15,15,35,13,12918809,429
42.03,1545025407,560.86,51.445414,7.489721,261.69,15.24,-0.05,129.95,1,-97,-6,15,15,35,13,12918809,429
43.04,1545025408,576.15,51.445336,7.489899,262.66,15.02,-0.22,128.68,1,-99,-11,13,9,39,13,12918809,429
44.03,1545025409,591.15,51.445260,7.490071,263.67,14.39,-0.63,128.04,1,-99,-11,13,9,39,13,12918809,429
45.03,1545025410,605.52,51.445183,7.490247,265.03,13.89,-0.49,127.14,1,-102,-8,9,8,32,13,12918809,429
46.04,1545025411,619.44,51.445113,7.490413,266.08,13.85,-0.05,126.20,1,-102,-8,9,8,32,13,12918809,429
47.04,1545025412,633.29,51.445050,7.490572,267.06,13.08,-0.77,125.40,1,-100,-7,8,15,33,13,12918809,429
48.04,1545025413,646.36,51.444983,7.490736,267.85,12.66,-0.42,124.90,1,-100,-7,8,15,33,13,12918809,429
49.03,1545025414,658.97,51.444917,7.490891,268.65,12.41,-0.25,125.57,1,-99,-7,8,15,34,13,12918809,429
50.03,1545025415,671.38,51.444853,7.491044,268.97,11.93,-0.48,126.06,1,-99,-7,8,15,34,13,12918809,429
51.03,1545025416,683.31,51.444794,7.491179,269.52,10.84,-1.09,127.05,1,-101,-7,13,15,32,13,12918809,429
52.03,1545025417,694.19,51.444746,7.491295,269.80,9.55,-1.29,127.77,1,-101,-7,13,15,32,13,12918809,429
53.03,1545025418,703.75,51.444702,7.491393,270.46,7.49,-2.07,126.92,1,-103,-7,4,9,33,13,12918809,429
54.04,1545025419,711.25,51.444669,7.491469,271.39,5.96,-1.52,127.07,1,-103,-7,4,9,33,13,12918809,429
55.04,1545025420,717.22,51.444642,7.491529,272.29,4.66,-1.30,127.23,1,-104,-10,2,8,34,13,12918809,429
56.04,1545025421,721.88,51.444623,7.491573,272.36,2.99,-1.67,127.70,1,-104,-10,2,8,34,13,12918809,429
57.04,1545025422,724.86,51.444617,7.491588,272.45,0.43,-2.57,127.70,1,-100,-6,12,15,32,13,12918809,429
58.03,1545025423,725.29,51.444617,7.491588,272.46,0.00,-0.43,127.70,1,-100,-6,12,15,32,13,12918809,429
59.03,1545025424,725.29,51.444617,7.491588,272.47,0.00,0.00,127.70,1,-104,-6,13,15,29,13,12918809,429
60.15,1545025425,725.29,51.444617,7.491588,272.47,0.00,0.00,127.70,1,-104,-6,13,15,29,13,12918809,429
61.13,1545025426,725.29,51.444617,7.491588,272.48,0.00,0.00,127.70,1,-102,-9,14,9,33,13,12918809,429
62.13,1545025427,725.29,51.444617,7.491588,272.48,0.00,0.00,127.70,1,-102,-9,14,9,33,13,12918809,429
63.14,1545025428,725.29,51.444617,7.491588,272.47,0.00,0.00,127.70,1,-103,-11,13,9,37,13,12918809,429
64.14,1545025429,725.29,51.444617,7.491588,272.46,0.00,0.00,127.70,1,-103,-11,13,9,37,13,12918809,429
65.13,1545025430,725.29,51.444617,7.491588,272.45,0.00,0.00,127.70,1,-103,-11,13,9,37,13,12918809,429
66.13,1545025431,725.29,51.444617,7.491588,272.43,0.00,0.00,127.70,1,-104,-8,13,10,30,13,12918809,429
67.13,1545025432,725.29,51.444617,7.491588,272.41,0.00,0.00,127.70,1,-104,-8,13,10,30,13,12918809,429
68.13,1545025433,725.29,51.444617,7.491588,272.39,0.00,0.00,127.70,1,-104,-8,13,10,30,13,12918809,429
69.13,1545025434,725.29,51.444617,7.491588,272.37,0.00,0.00,127.70,1,-104,-8,13,10,30,13,12918809,429
70.13,1545025435,725.29,51.444617,7.491588,272.35,0.00,0.00,127.70,1,-102,-8,13,10,32,13,12918809,429
71.13,1545025436,725.29,51.444617,7.491588,272.34,0.00,0.00,127.70,1,-102,-8,13,10,32,13,12918809,429
72.13,1545025437,725.29,51.444617,7.491588,272.32,0.00,0.00,127.70,1,-102,-9,14,10,33,13,12918809,429
73.13,1545025438,725.29,51.444617,7.491588,272.31,0.00,0.00,127.70,1,-102,-9,14,10,33,13,12918809,429
74.13,1545025439,725.29,51.444617,7.491588,272.29,0.00,0.00,127.70,1,-103,-7,14,10,32,13,12918809,429
75.14,1545025440,725.29,51.444617,7.491588,272.28,0.00,0.00,127.70,1,-103,-7,14,10,32,13,12918809,429
76.14,1545025441,725.29,51.444617,7.491588,272.27,0.00,0.00,127.70,1,-104,-8,13,8,32,13,12918809,429
77.14,1545025442,725.29,51.444617,7.491588,272.27,0.00,0.00,127.70,1,-104,-8,13,8,32,13,12918809,429
78.14,1545025443,725.29,51.444617,7.491588,272.27,0.00,0.00,127.70,1,-103,-11,12,12,36,13,12918809,429
79.13,1545025444,725.29,51.444617,7.491588,272.26,0.00,0.00,127.70,1,-103,-11,12,12,36,13,12918809,429
80.13,1545025445,725.29,51.444617,7.491588,272.27,0.00,0.00,127.70,1,-99,-11,13,10,36,13,12918809,429
81.13,1545025446,725.29,51.444617,7.491588,272.27,0.00,0.00,127.70,1,-99,-11,13,10,36,13,12918809,429
82.13,1545025447,725.29,51.444617,7.491588,272.27,0.00,0.00,127.70,1,-99,-9,13,11,33,13,12918809,429
83.14,1545025448,725.29,51.444617,7.491588,272.28,0.00,0.00,127.70,1,-99,-9,13,11,33,13,12918809,429
84.13,1545025449,725.29,51.444616,7.491593,272.33,0.00,0.00,139.21,1,-103,-8,11,11,31,13,12918809,429
85.14,1545025450,725.29,51.444598,7.491623,272.35,0.00,0.00,137.81,1,-103,-8,11,11,31,13,12918809,429
86.14,1545025451,725.29,51.444571,7.491671,272.29,2.18,0.00,135.18,1,-101,-8,11,10,34,13,12918809,429
87.13,1545025452,727.45,51.444517,7.491709,272.14,3.98,1.82,160.01,1,-101,-8,11,10,34,13,12918809,429
88.13,1545025453,731.42,51.444459,7.491730,271.58,5.15,1.17,168.21,1,-101,-8,11,10,34,13,12918809,429
89.13,1545025454,736.57,51.444402,7.491682,271.34,6.21,1.06,209.43,1,-95,-6,12,12,37,13,12918809,429
90.13,1545025455,742.78,51.444338,7.491606,271.08,7.16,0.95,216.73,1,-95,-6,12,12,37,13,12918809,429
91.13,1545025456,749.94,51.444270,7.491520,271.40,10.24,3.08,217.91,1,-90,-6,15,15,42,13,12918809,429
