time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.08,1545025365,0.00,51.450152,7.488231,252.06,6.73,0.00,167.95,1,-98,-10,11,8,43,6,28371201,66
1.08,1545025366,6.76,51.450088,7.488254,252.03,7.56,0.82,167.21,1,-101,-11,14,9,41,6,28371201,66
2.08,1545025367,14.31,51.450025,7.488285,251.89,8.20,0.65,166.49,1,-101,-11,14,9,41,6,28371201,66
3.08,1545025368,22.51,51.449943,7.488318,251.74,8.49,0.28,167.44,1,-99,-10,6,8,41,6,28371201,66
4.08,1545025369,31.00,51.449857,7.488349,251.81,9.27,0.79,168.25,1,-99,-10,6,8,41,6,28371201,66
5.09,1545025370,40.37,51.449770,7.488376,251.86,10.14,0.86,169.82,1,-100,-11,8,11,41,6,28371201,66
6.08,1545025371,50.41,51.449673,7.488399,252.14,10.79,0.66,171.63,1,-100,-11,8,11,41,6,28371201,66
7.08,1545025372,61.20,51.449577,7.488419,252.15,11.85,1.06,172.90,1,-100,-11,8,11,41,6,28371201,66
8.08,1545025373,73.05,51.449476,7.488434,252.24,12.33,0.48,174.41,1,-101,-10,8,8,41,6,28371201,66
9.08,1545025374,85.38,51.449358,7.488440,252.08,13.13,0.80,176.15,1,-101,-10,8,8,41,6,28371201,66
10.08,1545025375,98.47,51.449246,7.488446,251.81,13.54,0.41,178.06,1,-102,-11,9,8,41,6,28371201,66
11.08,1545025376,112.05,51.449117,7.488443,251.47,13.73,0.19,179.93,1,-102,-11,9,8,41,6,28371201,66
12.08,1545025377,125.75,51.448991,7.488426,251.19,13.30,-0.44,182.81,1,-103,-12,3,5,39,6,28371201,66
13.08,1545025378,139.10,51.448866,7.488399,250.81,13.59,0.29,185.65,1,-103,-12,3,5,39,6,28371201,66
14.08,1545025379,152.69,51.448744,7.488359,250.39,13.52,-0.07,187.52,1,-103,-11,0,5,39,6,28371201,66
15.08,1545025380,166.20,51.448630,7.488311,250.03,13.78,0.26,189.30,1,-103,-11,0,5,39,6,28371201,66
16.08,1545025381,179.98,51.448511,7.488263,250.19,14.15,0.37,190.76,1,-107,-12,1,5,35,6,28371201,66
17.08,1545025382,194.16,51.448381,7.488213,250.24,14.12,-0.03,191.54,1,-107,-12,1,5,35,6,28371201,66
18.09,1545025383,208.31,51.448243,7.488155,249.77,14.41,0.28,192.59,1,-107,-12,0,5,33,6,28371201,66
19.08,1545025384,222.70,51.448121,7.488098,249.94,14.51,0.10,193.34,1,-107,-12,0,5,33,6,28371201,66
20.08,1545025385,237.18,51.448002,7.488042,250.09,14.48,-0.03,192.35,1,-106,-9,0,5,34,9,27771909,271
21.08,1545025386,251.66,51.447879,7.487993,250.17,14.50,0.02,191.80,1,-106,-9,0,5,34,9,27771909,271
22.08,1545025387,266.14,51.447746,7.487942,249.92,14.16,-0.34,191.45,1,-105,-10,-1,5,39,9,27771909,271
23.08,1545025388,280.34,51.447615,7.487907,249.84,13.72,-0.43,189.97,1,-105,-10,-1,5,39,9,27771909,271
24.08,1545025389,294.07,51.447488,7.487880,250.13,13.51,-0.21,188.70,1,-107,-13,-3,6,39,9,27771909,271
25.08,1545025390,307.56,51.447363,7.487861,250.41,13.13,-0.38,186.90,1,-107,-13,-3,6,39,9,27771909,271
26.10,1545025391,320.91,51.447237,7.487859,250.72,13.27,0.14,184.44,1,-104,-10,0,10,38,9,27771909,271
27.08,1545025392,333.91,51.447116,7.487902,251.11,13.74,0.48,171.68,1,-104,-10,0,10,38,9,27771909,271
28.08,1545025393,347.65,51.446983,7.487944,251.19,13.85,0.10,170.75,1,-104,-10,0,10,38,9,27771909,271
29.08,1545025394,361.53,51.446857,7.487994,250.97,13.70,-0.15,168.76,1,-105,-11,2,5,38,9,27771909,271
30.08,1545025395,375.24,51.446739,7.488052,251.00,13.88,0.18,166.35,1,-105,-11,2,5,38,9,27771909,271
31.08,1545025396,389.15,51.446622,7.488117,251.68,13.92,0.03,163.79,1,-108,-10,5,8,33,9,27771909,271
32.08,1545025397,403.01,51.446514,7.488186,252.83,13.84,-0.08,161.47,1,-108,-10,5,8,33,9,27771909,271
