time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.35,1545197189,120.20,51.448804,7.488380,255.29,14.95,0.42,185.95,1,-97,-6,13,15,33,13,12918809,429,0,0.10,4.79,54.00,20.05,1750
20.40,1545197200,266.62,51.447517,7.487887,253.46,14.28,0.12,188.49,1,-95,-7,8,15,36,13,12918809,429,1,7.00,14.91,39.00,16.78,1750
30.35,1545197209,413.14,51.446263,7.488357,262.08,14.74,-0.04,155.71,1,-93,-5,17,10,38,13,12918809,429,2,0.10,4.82,40.00,17.39,1750
40.40,1545197219,565.84,51.445266,7.490050,268.04,16.00,0.19,128.47,1,-99,-6,15,8,34,13,12918809,429,3,5.00,9.98,51.00,17.97,1750
50.36,1545197229,697.08,51.444640,7.491486,271.99,5.08,-2.06,126.61,1,-101,-6,27,15,30,13,12918809,429,4,0.50,7.07,46.00,14.33,1750
60.40,1545197239,706.66,51.444608,7.491564,272.15,0.00,0.00,125.08,1,-101,-6,10,10,30,13,12918809,429,5,5.00,9.73,40.00,21.00,1750
70.42,1545197249,706.66,51.444608,7.491564,272.31,0.00,0.00,125.08,1,-99,-6,12,3,32,13,12918809,429,6,10.00,10.91,46.00,19.03,1750
80.42,1545197259,706.66,51.444608,7.491564,272.53,0.00,0.00,125.08,1,-99,-6,14,10,34,13,12918809,429,7,6.00,11.98,47.00,19.92,1750
90.40,1545197269,753.07,51.444098,7.491322,278.58,11.77,0.76,215.67,1,-88,-5,24,15,41,13,12918809,429,8,5.00,17.40,42.00,16.20,1750
100.40,1545197279,894.15,51.443058,7.490106,276.76,15.50,-0.08,216.17,1,-90,-7,22,11,41,13,12918809,429,9,5.00,18.70,45.00,17.52,1750
110.40,1545197290,1048.10,51.441942,7.488770,277.09,14.45,-0.44,220.44,1,-85,-9,11,12,48,13,12918809,429,10,9.00,15.81,44.00,14.11,1750
120.37,1545197299,1189.36,51.441132,7.487187,280.83,14.95,-0.06,233.31,1,-79,-5,29,15,51,2,12918810,431,11,5.00,18.36,53.00,3.44,1750
130.50,1545197310,1341.94,51.440320,7.485404,276.56,15.43,0.12,232.98,1,-77,-7,16,15,57,2,12918810,431,12,8.00,18.28,39.00,0.64,1750
140.40,1545197319,1498.06,51.439478,7.483573,278.53,15.74,-0.03,235.42,1,-75,-5,35,14,57,3,12918811,430,13,5.00,18.76,40.00,-0.68,1750
150.40,1545197329,1651.31,51.438774,7.481515,282.99,16.03,0.39,241.34,1,-96,-7,16,13,35,3,12918811,430,14,5.00,9.25,39.00,17.94,1750
160.34,1545197339,1819.18,51.438033,7.479346,283.89,16.10,-0.00,241.34,1,-109,-10,-5,5,27,3,12918811,430,15,2.00,3.74,38.00,20.25,1750
170.86,1545197350,1976.93,51.437351,7.477343,284.76,15.04,-0.71,241.91,1,-114,-14,-2,6,26,3,12918811,430,16,9.00,8.08,515.00,19.77,1750
180.42,1545197359,2086.63,51.437485,7.476202,288.76,9.00,0.91,24.86,1,-102,-7,9,9,31,3,12918811,430,17,7.00,16.63,77.00,20.97,1750
190.41,1545197370,2215.82,51.438238,7.477700,287.53,18.00,0.71,55.01,1,-87,-5,34,15,43,3,12918811,430,18,6.00,18.30,42.00,10.30,1750
200.43,1545197379,2410.28,51.439216,7.480049,281.84,20.81,0.18,55.34,1,-92,-5,32,15,37,3,12918811,430,19,6.00,15.05,50.00,10.27,1750
210.42,1545197390,2635.06,51.440531,7.482545,273.48,23.80,0.19,42.57,1,-85,-6,19,15,45,3,12918811,430,20,9.00,20.30,45.00,10.45,1750
220.41,1545197399,2871.98,51.442282,7.484485,273.74,23.54,-0.02,26.72,1,-77,-5,22,15,53,3,12918811,430,21,10.00,19.10,55.00,2.20,1750
230.41,1545197409,3090.83,51.444041,7.485751,274.40,17.05,-0.99,22.03,1,-67,-5,29,15,63,2,12918809,429,22,9.00,20.57,46.00,-4.17,1750
240.41,1545197419,3233.15,51.444653,7.487137,265.36,13.45,-0.27,118.39,1,-80,-5,39,15,50,2,12918809,429,23,7.00,18.81,43.00,3.47,1750
250.39,1545197429,3366.81,51.443778,7.486813,263.60,14.69,0.53,259.52,1,-75,-5,38,15,57,2,12918809,429,24,8.00,19.10,40.00,-0.68,1750
260.41,1545197440,3547.44,51.443713,7.484224,268.29,20.98,0.27,268.70,1,-90,-6,18,12,42,2,12918809,429,25,10.00,10.26,42.00,17.27,1750
270.38,1545197450,3755.93,51.443652,7.481212,264.28,21.80,0.59,266.67,1,-88,-7,5,6,45,5,12918811,430,26,4.00,17.58,41.00,18.94,1750
280.39,1545197460,3986.58,51.443420,7.477908,260.47,24.10,0.38,263.45,1,-82,-5,24,11,49,5,12918811,430,27,4.00,16.67,42.00,13.59,1750
290.38,1545197469,4224.85,51.443074,7.474511,258.92,24.11,0.12,257.94,1,-91,-5,16,12,39,5,12918811,430,28,2.00,7.82,47.00,17.50,1750
300.37,1545197480,4467.35,51.442619,7.471098,254.64,24.46,0.00,258.44,1,-100,-6,16,11,30,13,12935194,397,29,3.00,4.94,38.00,19.88,1750
311.78,1545197491,4737.68,51.442148,7.467311,244.67,25.02,0.12,259.03,1,-102,-9,1,5,32,13,12935170,448,30,9.00,5.21,32.00,17.67,880
321.33,1545197500,4992.15,51.441774,7.463672,238.28,28.23,0.91,262.18,1,-103,-13,-1,5,35,13,12935170,448,31,0.50,1.01,1122.00,20.08,880
