time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.02,1545197180,0.07,51.450053,7.488264,254.33,8.15,0.00,170.55,0,-96,-10,0,0,45,0,0,67
0.02,1545197180,0.07,51.450053,7.488264,254.33,8.15,0.00,170.55,0,-95,-8,0,0,41,0,0,157
1.01,1545197181,8.20,51.449965,7.488295,254.05,8.74,0.00,169.32,0,-98,-8,0,0,42,0,0,67
1.01,1545197181,8.20,51.449965,7.488295,254.05,8.74,0.00,169.32,0,-94,-8,0,0,42,0,0,157
2.01,1545197182,16.93,51.449883,7.488322,253.73,9.29,0.00,168.66,0,-98,-8,0,0,42,0,0,67
2.01,1545197182,16.93,51.449883,7.488322,253.73,9.29,0.00,168.66,0,-94,-8,0,0,42,0,0,157
3.01,1545197183,26.21,51.449806,7.488347,253.70,9.87,0.00,169.60,0,-97,-8,0,0,42,0,0,67
3.01,1545197183,26.22,51.449806,7.488347,253.70,9.87,0.00,169.60,0,-97,-8,0,0,40,0,0,157
4.01,1545197184,36.08,51.449719,7.488373,253.85,10.55,0.00,170.41,0,-97,-8,0,0,42,0,0,67
4.01,1545197184,36.09,51.449719,7.488373,253.85,10.55,0.00,170.41,0,-97,-8,0,0,40,0,0,157
5.01,1545197185,46.64,51.449631,7.488396,254.26,11.16,0.00,171.92,0,-98,-9,0,0,43,0,0,67
5.02,1545197185,46.65,51.449631,7.488396,254.26,11.16,0.00,171.92,0,-97,-8,0,0,40,0,0,157
6.01,1545197186,57.80,51.449535,7.488421,254.70,11.73,0.00,173.27,0,-98,-9,0,0,43,0,0,67
6.01,1545197186,57.80,51.449535,7.488421,254.70,11.73,0.00,173.27,0,-97,-8,0,0,40,0,0,157
7.02,1545197187,69.64,51.449433,7.488439,254.92,12.33,0.00,175.05,0,-99,-10,0,0,42,0,0,67
7.02,1545197187,69.65,51.449433,7.488439,254.92,12.33,0.00,175.05,0,-98,-9,0,0,39,0,0,157
8.01,1545197188,81.86,51.449312,7.488455,254.75,12.89,0.00,177.11,0,-99,-10,0,0,42,0,0,67
8.02,1545197188,81.87,51.449312,7.488455,254.75,12.89,0.00,177.11,0,-98,-9,0,0,39,0,0,157
9.01,1545197189,94.74,51.449187,7.488460,254.78,13.37,0.00,179.15,0,-99,-10,0,0,42,0,0,67
9.01,1545197189,94.75,51.449187,7.488460,254.78,13.37,0.00,179.15,0,-98,-9,0,0,39,0,0,157
10.02,1545197190,108.23,51.449054,7.488453,255.37,13.95,0.00,181.49,0,-98,-9,0,0,43,0,0,67
10.02,1545197190,108.25,51.449054,7.488453,255.37,13.95,0.00,181.49,0,-96,-9,0,0,43,0,0,157
11.12,1545197191,123.46,51.448930,7.488437,255.71,14.47,0.00,183.84,0,-98,-9,0,0,43,0,0,67
11.12,1545197191,123.46,51.448930,7.488437,255.71,14.47,0.00,183.84,0,-96,-9,0,0,43,0,0,157
12.16,1545197192,138.61,51.448792,7.488403,255.82,14.98,0.00,186.57,0,-103,-10,0,0,38,0,0,67
12.16,1545197192,138.63,51.448792,7.488403,255.82,14.98,0.00,186.57,0,-108,-12,0,0,35,0,0,271
12.16,1545197192,138.63,51.448792,7.488403,255.82,14.98,0.00,186.57,0,-102,-9,0,0,36,0,0,157
12.16,1545197192,138.64,51.448792,7.488403,255.82,14.98,0.00,186.57,0,-106,-12,0,0,35,0,0,318
13.12,1545197193,152.92,51.448659,7.488360,256.09,15.23,0.00,188.66,0,-103,-10,0,0,38,0,0,67
13.12,1545197193,152.93,51.448659,7.488360,256.09,15.23,0.00,188.66,0,-108,-12,0,0,35,0,0,271
13.12,1545197193,152.95,51.448659,7.488360,256.09,15.23,0.00,188.66,0,-102,-9,0,0,36,0,0,157
13.12,1545197193,152.96,51.448659,7.488360,256.09,15.23,0.00,188.66,0,-106,-12,0,0,35,0,0,318
14.12,1545197194,168.15,51.448524,7.488310,256.24,14.46,0.00,190.95,0,-106,-12,0,0,39,0,0,67
14.12,1545197194,168.15,51.448524,7.488310,256.24,14.46,0.00,190.95,0,-107,-13,0,0,39,0,0,271
14.12,1545197194,168.16,51.448524,7.488310,256.24,14.46,0.00,190.95,0,-109,-15,0,0,38,0,0,195
