time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.06,1545283545,0.00,51.449467,7.488385,250.21,12.08,0.00,174.87,1,-97,-6,19,11,28,7,13415170,315
1.06,1545283546,12.13,51.449359,7.488400,251.28,12.09,0.01,176.15,1,-99,-6,11,9,25,7,13415170,315
2.06,1545283547,24.22,51.449249,7.488412,252.23,12.16,0.07,177.73,1,-99,-6,11,9,25,7,13415170,315
3.06,1545283548,36.36,51.449130,7.488418,253.66,12.69,0.54,179.27,1,-98,-6,21,10,28,7,13415170,315
4.06,1545283549,49.07,51.449027,7.488412,254.84,12.79,0.10,181.32,1,-98,-6,21,10,28,7,13415170,315
5.06,1545283550,61.86,51.448916,7.488398,255.88,13.29,0.49,183.17,1,-103,-7,22,7,24,7,13415170,315
6.06,1545283551,75.11,51.448795,7.488375,256.72,13.70,0.42,184.88,1,-103,-7,22,7,24,7,13415170,315
7.06,1545283552,88.85,51.448677,7.488346,257.21,13.79,0.09,187.47,1,-101,-8,18,14,25,7,13415170,315
8.06,1545283553,102.64,51.448556,7.488304,257.63,13.82,0.03,189.80,1,-101,-8,18,14,25,7,13415170,315
9.06,1545283554,116.48,51.448431,7.488258,257.85,13.89,0.06,191.24,1,-107,-9,16,9,22,7,13415170,315
10.07,1545283555,130.39,51.448307,7.488206,257.88,13.95,0.07,192.29,1,-107,-9,16,9,22,7,13415170,315
11.07,1545283556,144.33,51.448187,7.488154,257.66,13.63,-0.32,193.32,1,-108,-9,4,9,21,7,13415170,315
12.07,1545283557,157.97,51.448075,7.488102,257.23,13.66,0.04,192.91,1,-108,-9,4,9,21,7,13415170,315
13.07,1545283558,171.65,51.447967,7.488055,257.18,13.55,-0.12,192.01,1,-109,-15,-2,5,25,7,13415170,315
14.07,1545283559,185.19,51.447852,7.488002,257.24,13.52,-0.03,191.66,1,-109,-15,-2,5,25,7,13415170,315
15.07,1545283560,198.75,51.447731,7.487957,257.92,13.23,-0.29,192.34,1,-111,-16,-5,4,22,31,13246977,315
16.07,1545283561,211.98,51.447616,7.487915,258.54,13.39,0.15,190.77,1,-111,-16,-5,4,22,31,13246977,315
17.08,1545283562,225.49,51.447507,7.487886,258.97,13.08,-0.30,189.50,1,-108,-17,-6,4,25,31,13246977,156
18.07,1545283563,238.41,51.447390,7.487867,259.49,13.23,0.15,187.31,1,-108,-17,-6,4,25,31,13246977,156
19.07,1545283564,251.64,51.447262,7.487864,260.53,13.63,0.39,183.71,1,-108,-17,-6,4,25,31,13246977,156
20.06,1545283565,265.24,51.447140,7.487878,261.74,13.95,0.33,179.82,1,-111,-11,-5,5,20,31,13246977,156
21.07,1545283566,279.21,51.447016,7.487906,262.49,13.97,0.02,176.85,1,-111,-11,-5,5,20,31,13246977,156
22.07,1545283567,293.17,51.446877,7.487950,263.53,14.19,0.22,173.25,1,-112,-15,-4,6,23,31,13246977,156
23.07,1545283568,307.37,51.446750,7.488001,264.88,14.05,-0.14,169.52,1,-112,-15,-4,6,23,31,13246977,156
24.07,1545283569,321.42,51.446627,7.488068,266.30,14.21,0.16,166.11,1,-112,-15,-4,5,23,22,13415426,265
25.07,1545283570,335.63,51.446516,7.488141,267.41,14.36,0.14,162.65,1,-112,-15,-4,5,23,22,13415426,265
26.06,1545283571,349.96,51.446399,7.488233,268.20,14.38,0.02,159.54,1,-108,-11,-4,6,23,12,13415170,315
27.06,1545283572,364.36,51.446278,7.488335,268.60,14.44,0.06,156.51,1,-108,-11,-4,6,23,12,13415170,315
28.07,1545283573,378.81,51.446163,7.488448,268.72,14.47,0.03,152.80,1,-103,-8,7,11,24,12,13415170,315
29.06,1545283574,393.24,51.446048,7.488575,268.71,14.77,0.30,149.50,1,-103,-8,7,11,24,12,13415170,315
30.06,1545283575,408.04,51.445941,7.488710,269.01,14.93,0.16,146.43,1,-102,-8,9,11,27,12,13415170,315
31.06,1545283576,422.95,51.445839,7.488865,269.54,15.09,0.16,142.62,1,-102,-8,9,11,27,12,13415170,315
