time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.26,1547615850,105.15,51.449132,7.488418,245.26,13.90,0.36,180.37,1,-101,-10,9,11,41,6,28371201,66,0,0.50,2.44,106.00,1815
20.35,1547615859,252.19,51.447841,7.487971,250.81,14.28,-0.77,193.69,1,-106,-10,-4,6,35,9,27771909,271,1,0.10,11.59,37.00,1815
30.27,1547615870,395.74,51.446526,7.488146,255.90,14.58,0.09,163.72,1,-105,-9,4,10,36,9,27771909,271,2,5.00,6.93,98.00,1815
40.34,1547615879,541.85,51.445486,7.489524,262.95,15.28,0.15,131.66,1,-106,-9,4,6,35,9,27771909,271,3,1.00,1.31,38.00,1815
52.65,1547615892,713.00,51.444634,7.491496,270.02,5.77,-3.42,127.75,1,-109,-10,-1,4,34,6,27771907,272,4,5.00,2.61,1034.00,1815
61.44,1547615900,723.33,51.444604,7.491580,270.21,0.00,0.00,128.15,1,-109,-9,-5,6,37,6,27771907,272,5,6.00,2.91,604.00,1815
72.36,1547615911,723.33,51.444604,7.491580,270.33,0.00,0.00,128.15,1,-110,-10,-2,7,35,6,27771907,272,6,5.00,2.21,1096.00,1815
80.71,1547615920,723.33,51.444604,7.491580,270.50,0.00,0.00,128.15,1,-108,-13,-3,7,37,6,27771907,272,7,6.00,3.63,173.00,1815
91.77,1547615931,723.33,51.444601,7.491593,270.88,0.00,0.00,188.66,1,-107,-10,-2,4,37,6,27771907,272,8,5.00,4.65,747.00,1815
100.48,1547615939,731.01,51.444448,7.491710,270.93,4.90,0.93,182.38,1,-99,-7,3,8,40,6,27771907,272,9,10.00,26.39,145.00,1815
110.29,1547615949,834.85,51.443575,7.490767,273.65,15.50,0.68,216.49,1,-71,-7,39,15,63,6,27771907,272,10,1.00,7.01,104.00,1815
120.26,1547615959,990.59,51.442445,7.489420,277.80,15.14,-0.37,217.14,1,-76,-5,24,15,60,6,27771907,272,11,0.10,5.16,94.00,1815
130.28,1547615969,1142.93,51.441436,7.487895,281.38,15.33,0.25,230.01,1,-69,-5,40,12,63,6,27771907,272,12,0.10,4.97,90.00,1815
140.27,1547615980,1292.17,51.440629,7.486161,278.12,14.63,0.07,233.70,1,-85,-9,13,15,57,1,27771907,272,13,4.00,18.05,45.00,1815
150.26,1547615989,1440.60,51.439821,7.484423,279.03,14.96,-0.09,231.93,1,-75,-6,30,15,62,1,27771908,270,14,8.00,25.84,39.00,1815
160.28,1547615999,1590.44,51.439101,7.482610,285.20,14.25,-0.59,240.94,1,-78,-6,25,15,57,1,27771908,270,15,7.00,26.42,48.00,1815
170.29,1547616009,1746.72,51.438420,7.480562,288.61,16.70,0.37,240.30,1,-96,-5,21,12,39,1,27771908,270,16,6.00,6.86,37.00,1815
180.29,1547616019,1909.36,51.437716,7.478483,286.21,14.43,-0.42,242.92,1,-104,-7,7,7,34,1,27771908,270,17,6.00,6.74,66.00,1815
190.28,1547616030,2055.08,51.437166,7.476543,288.27,11.33,-0.95,266.40,1,-105,-8,9,8,34,1,27771908,270,18,5.00,14.92,68.00,1815
200.27,1547616040,2152.46,51.437798,7.476733,287.05,13.63,1.32,51.84,1,-78,-4,31,15,61,1,27771908,270,19,3.00,14.45,75.00,1815
210.27,1547616049,2331.80,51.438744,7.478931,287.27,22.72,0.70,57.30,1,-83,-5,31,15,54,1,27771908,270,20,7.00,23.58,37.00,1815
220.28,1547616059,2575.77,51.440011,7.481757,281.80,24.44,0.00,50.95,1,-87,-5,28,12,50,1,27771908,270,21,0.50,7.84,63.00,1815
230.30,1547616070,2821.59,51.441699,7.484022,279.30,24.44,0.13,31.46,1,-88,-7,12,9,51,1,27771908,270,22,6.00,16.40,54.00,1815
240.27,1547616080,3068.47,51.443671,7.485542,275.27,22.52,-1.55,22.71,1,-84,-6,16,13,54,1,27771909,271,23,4.00,16.72,83.00,1815
250.33,1547616089,3238.61,51.444711,7.486928,267.38,13.23,0.10,100.86,1,-79,-5,32,15,58,1,27771909,271,24,10.00,25.89,36.00,1815
260.27,1547616099,3381.21,51.443754,7.486908,262.41,15.12,0.12,243.29,1,-77,-5,30,12,62,1,27771909,271,25,9.00,34.25,37.00,1815
270.26,1547616110,3565.26,51.443689,7.484146,263.28,23.70,0.81,269.19,1,-68,-5,29,12,63,1,27771909,271,26,5.00,22.08,70.00,1815
280.29,1547616119,3836.19,51.443576,7.480218,260.58,30.85,0.54,264.14,1,-90,-7,12,9,48,1,27771909,271,27,1.00,13.63,38.00,1815
290.29,1547616129,4156.01,51.443221,7.475678,256.81,32.11,-0.02,261.35,1,-86,-6,18,12,49,1,27771909,271,28,7.00,13.72,56.00,1815
300.28,1547616139,4475.39,51.442655,7.471132,250.32,32.81,0.60,257.57,1,-107,-7,6,8,31,10,30422273,155,29,1.00,3.27,76.00,1815
310.27,1547616150,4819.49,51.442021,7.466228,241.43,36.09,0.15,259.87,1,-99,-6,13,10,39,27,31281409,195,30,8.00,22.60,42.00,1815
320.27,1547616159,5173.56,51.441635,7.461198,231.98,35.47,0.14,265.85,1,-102,-7,14,11,36,27,31281409,195,31,0.50,2.86,79.00,1815
330.28,1547616169,5537.07,51.441554,7.455937,226.23,37.02,-0.27,270.51,1,-97,-6,1,6,40,25,27771908,270,32,6.00,12.06,46.00,1815
340.27,1547616179,5892.81,51.441801,7.450840,227.01,34.99,-0.00,277.52,1,-79,-5,28,14,59,16,33527552,376,33,8.00,26.27,61.00,1815
