time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.33,1547615850,105.15,51.449132,7.488418,245.26,13.90,0.36,180.37,1,-101,-10,9,11,41,6,28371201,66,0,9.00,7.36,37.00,19.95,1720
20.37,1547615859,252.19,51.447841,7.487971,250.81,14.28,-0.77,193.69,1,-106,-10,-4,6,35,9,27771909,271,1,10.00,13.40,56.00,21.00,1720
30.32,1547615870,395.74,51.446526,7.488146,255.90,14.58,0.09,163.72,1,-105,-9,4,10,36,9,27771909,271,2,6.00,12.63,43.00,21.31,1720
40.31,1547615879,541.85,51.445486,7.489524,262.95,15.28,0.15,131.66,1,-106,-9,4,6,35,9,27771909,271,3,10.00,3.93,38.00,21.12,1720
52.54,1547615891,713.00,51.444634,7.491496,270.02,5.77,-3.42,127.75,1,-109,-10,-1,4,34,6,27771907,272,4,8.00,2.76,971.00,20.94,1720
61.36,1547615901,723.33,51.444604,7.491580,270.21,0.00,0.00,128.15,1,-109,-9,-5,6,37,6,27771907,272,5,10.00,2.93,381.00,20.84,1720
72.21,1547615911,723.33,51.444604,7.491580,270.33,0.00,0.00,128.15,1,-110,-10,-2,7,35,6,27771907,272,6,6.00,1.75,1048.00,20.89,1720
80.69,1547615919,723.33,51.444604,7.491580,270.50,0.00,0.00,128.15,1,-108,-13,-3,7,37,6,27771907,272,7,8.00,3.37,125.00,20.72,1720
91.74,1547615931,723.33,51.444601,7.491593,270.88,0.00,0.00,188.66,1,-107,-10,-2,4,37,6,27771907,272,8,0.50,0.43,736.00,21.78,1720
100.49,1547615939,731.01,51.444448,7.491710,270.93,4.90,0.93,182.38,1,-99,-7,3,8,40,6,27771907,272,9,0.10,4.02,143.00,20.31,1720
110.35,1547615950,834.85,51.443575,7.490767,273.65,15.50,0.68,216.49,1,-71,-7,39,15,63,6,27771907,272,10,10.00,30.34,43.00,-4.06,1720
120.32,1547615960,990.59,51.442445,7.489420,277.80,15.14,-0.37,217.14,1,-76,-5,24,15,60,6,27771907,272,11,7.00,29.03,38.00,0.53,1720
130.33,1547615970,1142.93,51.441436,7.487895,281.38,15.33,0.25,230.01,1,-69,-5,40,12,63,6,27771907,272,12,7.00,33.90,36.00,-7.94,1720
140.32,1547615980,1292.17,51.440629,7.486161,278.12,14.63,0.07,233.70,1,-85,-9,13,15,57,1,27771907,272,13,3.00,30.34,40.00,13.94,1720
150.30,1547615990,1440.60,51.439821,7.484423,279.03,14.96,-0.09,231.93,1,-75,-6,30,15,62,1,27771908,270,14,2.00,21.28,38.00,-4.47,1720
160.28,1547615999,1590.44,51.439101,7.482610,285.20,14.25,-0.59,240.94,1,-78,-6,25,15,57,1,27771908,270,15,0.10,4.62,38.00,0.21,1720
170.37,1547616010,1746.72,51.438420,7.480562,288.61,16.70,0.37,240.30,1,-96,-5,21,12,39,1,27771908,270,16,7.00,9.72,44.00,17.70,1720
180.30,1547616019,1909.36,51.437716,7.478483,286.21,14.43,-0.42,242.92,1,-104,-7,7,7,34,1,27771908,270,17,3.00,4.59,34.00,21.09,1720
190.31,1547616029,2055.08,51.437166,7.476543,288.27,11.33,-0.95,266.40,1,-105,-8,9,8,34,1,27771908,270,18,2.00,11.67,36.00,19.91,1720
200.30,1547616039,2152.46,51.437798,7.476733,287.05,13.63,1.32,51.84,1,-78,-4,31,15,61,1,27771908,270,19,4.00,29.88,38.00,2.03,1720
210.31,1547616050,2331.80,51.438744,7.478931,287.27,22.72,0.70,57.30,1,-83,-5,31,15,54,1,27771908,270,20,2.00,20.57,44.00,12.59,1720
220.30,1547616060,2575.77,51.440011,7.481757,281.80,24.44,0.00,50.95,1,-87,-5,28,12,50,1,27771908,270,21,2.00,22.76,37.00,10.25,1720
230.31,1547616069,2821.59,51.441699,7.484022,279.30,24.44,0.13,31.46,1,-88,-7,12,9,51,1,27771908,270,22,0.50,7.21,37.00,14.97,1720
240.32,1547616080,3068.47,51.443671,7.485542,275.27,22.52,-1.55,22.71,1,-84,-6,16,13,54,1,27771909,271,23,4.00,34.30,38.00,11.68,1720
250.31,1547616089,3238.61,51.444711,7.486928,267.38,13.23,0.10,100.86,1,-79,-5,32,15,58,1,27771909,271,24,6.00,32.88,38.00,3.12,1720
260.28,1547616099,3381.21,51.443754,7.486908,262.41,15.12,0.12,243.29,1,-77,-5,30,12,62,1,27771909,271,25,0.50,8.85,45.00,7.09,1720
270.28,1547616109,3565.26,51.443689,7.484146,263.28,23.70,0.81,269.19,1,-68,-5,29,12,63,1,27771909,271,26,2.00,25.85,39.00,-6.61,1720
280.33,1547616120,3836.19,51.443576,7.480218,260.58,30.85,0.54,264.14,1,-90,-7,12,9,48,1,27771909,271,27,8.00,34.06,47.00,17.42,1720
290.28,1547616129,4156.01,51.443221,7.475678,256.81,32.11,-0.02,261.35,1,-86,-6,18,12,49,1,27771909,271,28,0.50,10.28,38.00,12.50,1720
300.33,1547616139,4475.39,51.442655,7.471132,250.32,32.81,0.60,257.57,1,-107,-7,6,8,31,10,30422273,155,29,4.00,13.17,38.00,21.08,1720
310.26,1547616149,4819.49,51.442021,7.466228,241.43,36.09,0.15,259.87,1,-99,-6,13,10,39,27,31281409,195,30,0.10,4.82,36.00,20.12,1720
320.30,1547616159,5173.56,51.441635,7.461198,231.98,35.47,0.14,265.85,1,-102,-7,14,11,36,27,31281409,195,31,4.00,10.50,38.00,21.03,1720
330.37,1547616169,5537.07,51.441554,7.455937,226.23,37.02,-0.27,270.51,1,-97,-6,1,6,40,25,27771908,270,32,6.00,20.08,40.00,16.98,1720
340.29,1547616179,5892.81,51.441801,7.450840,227.01,34.99,-0.00,277.52,1,-79,-5,28,14,59,16,33527552,376,33,1.00,13.89,37.00,6.14,1720
350.31,1547616189,6243.79,51.442345,7.445893,226.56,34.75,0.17,282.88,1,-74,-5,31,15,62,16,33527552,376,34,4.00,31.78,38.00,1.38,1720
360.30,1547616199,6598.19,51.443181,7.440939,222.24,37.04,0.30,287.17,1,-73,-5,30,12,63,16,33527552,376,35,0.50,9.80,49.00,-5.19,1720
370.32,1547616210,6967.51,51.444340,7.435939,216.31,37.52,0.41,293.61,1,-76,-4,4,6,58,1,33527554,375,36,3.00,26.40,39.00,2.00,1720
380.32,1547616219,7351.57,51.446008,7.431074,204.89,37.77,-0.20,306.10,1,-86,-6,8,12,52,1,33527554,375,37,7.00,35.85,43.00,12.69,1720
390.33,1547616229,7728.64,51.448330,7.427200,189.45,37.56,0.48,322.45,1,-89,-6,13,11,49,1,33527554,375,38,8.00,25.68,37.00,16.67,1720
400.40,1547616239,8108.94,51.451279,7.424468,174.38,37.74,-0.10,336.84,1,-101,-10,2,5,39,50,27771140,375,39,1.00,5.17,38.00,19.92,1720
410.38,1547616249,8478.07,51.454372,7.422905,161.51,35.17,-0.11,343.71,1,-94,-10,2,7,47,49,27771140,49,40,0.50,7.09,37.00,19.58,1720
420.44,1547616260,8829.71,51.457344,7.421272,152.25,34.35,-0.27,336.16,1,-97,-13,-3,7,47,11,33837570,370,41,5.00,22.45,48.00,18.31,1720
430.29,1547616270,9159.33,51.459960,7.419033,150.73,33.75,0.33,327.06,1,-81,-6,10,11,55,27,33527554,375,42,2.00,18.87,40.00,5.55,1720
440.29,1547616279,9494.86,51.462355,7.416072,152.14,33.01,0.18,317.41,1,-80,-6,19,10,54,8,27770883,35,43,0.10,5.48,38.00,4.12,1720
450.34,1547616289,9813.20,51.464299,7.412755,150.48,31.42,0.15,309.61,1,-94,-10,7,8,48,8,27770883,35,44,4.00,24.21,42.00,19.16,1720
460.31,1547616299,10120.42,51.466015,7.409283,152.46,31.70,0.36,308.08,1,-74,-5,24,15,63,4,27770885,33,45,4.00,28.19,37.00,3.36,1720
470.30,1547616309,10432.75,51.467783,7.405764,156.38,32.16,0.18,310.78,1,-81,-6,20,15,56,4,27770885,33,46,4.00,32.55,37.00,7.09,1720
480.32,1547616319,10766.12,51.469824,7.402216,158.34,33.79,0.03,314.46,1,-83,-5,32,10,56,18,27771140,49,47,5.00,27.21,38.00,11.11,1720
490.26,1547616329,11102.52,51.472036,7.398928,160.18,33.21,-0.11,320.15,1,-86,-6,19,10,52,18,27771140,49,48,0.10,5.00,37.00,12.52,1720
500.31,1547616340,11416.51,51.474184,7.396098,166.09,29.71,-0.22,322.84,1,-86,-7,10,15,52,18,27771140,49,49,7.00,30.39,54.00,19.58,1720
510.30,1547616349,11707.15,51.476413,7.393853,170.94,28.91,-0.31,332.97,1,-75,-6,25,14,63,18,27771140,49,50,0.10,5.33,38.00,-3.09,1720
520.34,1547616359,11945.86,51.478392,7.393237,175.56,20.61,0.17,21.03,1,-85,-5,19,11,53,4,27771139,48,51,10.00,35.97,37.00,12.03,1720
530.28,1547616369,12114.01,51.479797,7.393622,181.96,15.17,-0.12,338.90,1,-91,-7,11,13,47,4,27771139,48,52,0.10,3.76,37.00,17.81,1720
540.34,1547616380,12247.59,51.480655,7.394494,186.90,17.70,0.74,57.67,1,-84,-7,9,14,56,4,27771139,48,53,8.00,34.82,36.00,14.66,1720
550.29,1547616389,12427.27,51.481488,7.396719,183.55,15.41,-1.31,59.01,1,-84,-6,10,15,53,4,27771139,48,54,0.50,9.62,40.00,8.89,1720
560.26,1547616399,12542.78,51.482050,7.398012,184.51,7.99,-0.68,51.75,1,-82,-5,25,15,54,4,27771139,48,55,0.10,5.06,38.00,13.20,1720
570.33,1547616409,12587.43,51.482294,7.398421,184.64,0.74,-0.44,46.47,1,-77,-5,25,11,60,4,27771139,48,56,9.00,30.69,41.00,0.80,1720
580.29,1547616420,12588.72,51.482301,7.398423,184.82,0.00,0.00,41.58,1,-78,-5,27,12,58,4,27771139,48,57,2.00,21.28,38.00,6.94,1720
590.32,1547616429,12659.47,51.482925,7.399179,186.77,11.66,0.91,34.47,1,-80,-6,11,15,54,4,27771139,48,58,3.00,24.67,37.00,8.19,1720
600.33,1547616440,12807.52,51.484038,7.400391,188.18,15.66,-0.24,37.88,1,-98,-10,4,7,42,4,27771139,48,59,9.00,18.21,36.00,17.12,1720
610.34,1547616449,12958.49,51.485056,7.401815,186.69,14.48,-0.17,41.72,1,-99,-7,13,7,39,9,28365058,223,60,9.00,16.85,42.00,18.09,1720
620.31,1547616459,13066.62,51.485729,7.402758,184.58,7.30,0.31,341.18,1,-89,-5,1,6,48,16,29391105,167,61,4.00,12.50,37.00,18.80,1720
630.30,1547616469,13180.88,51.486611,7.401889,183.28,14.25,-0.24,334.68,1,-98,-9,0,6,41,14,33519104,128,62,4.00,26.69,39.00,20.27,1720
640.31,1547616479,13320.78,51.487876,7.401685,182.24,13.71,0.19,358.87,1,-85,-6,18,11,53,3,26385409,93,63,0.10,3.16,42.00,10.80,1720
650.28,1547616489,13436.71,51.488876,7.401756,177.04,7.26,-0.40,359.62,1,-84,-8,18,12,56,3,26385409,93,64,1.00,5.34,41.00,7.32,1720
660.33,1547616499,13474.08,51.489177,7.401760,176.24,0.00,0.00,1.61,1,-76,-6,28,15,62,2,26385410,94,65,7.00,26.49,42.00,-0.61,1720
670.31,1547616509,13474.08,51.489177,7.401760,176.33,0.00,0.00,1.61,1,-75,-5,32,13,63,2,26385410,94,66,5.00,31.23,38.00,-5.05,1720
680.30,1547616520,13528.29,51.489416,7.402454,175.86,11.81,0.18,90.16,1,-68,-6,28,12,63,2,26385410,94,67,2.00,22.19,38.00,-6.94,1720
690.31,1547616529,13657.59,51.489389,7.404389,178.41,10.96,0.32,90.93,1,-79,-9,13,11,62,2,26385410,94,68,6.00,23.32,38.00,12.27,1720
700.29,1547616539,13780.97,51.489456,7.406172,180.73,13.24,0.14,81.34,1,-75,-6,11,8,63,1,26385408,95,69,3.00,20.71,40.00,1.02,1720
710.33,1547616549,13917.49,51.489732,7.408102,180.20,14.46,0.26,78.45,1,-75,-5,26,12,61,1,26385408,95,70,10.00,34.16,41.00,0.34,1720
