time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.01,1544535958,0.01,51.490375,7.412366,161.46,3.82,0.00,66.22,0,-100,-18,0,0,44,0,0,146
0.01,1544535958,0.01,51.490375,7.412366,161.46,3.82,0.00,66.22,0,-100,-19,0,0,44,0,0,266
0.01,1544535958,0.02,51.490375,7.412366,161.46,3.82,0.00,66.22,0,-100,-19,0,0,44,0,0,264
1.00,1544535959,3.81,51.490393,7.412491,161.40,4.12,0.00,78.59,0,-103,-16,0,0,38,0,0,450
1.00,1544535959,3.81,51.490393,7.412491,161.40,4.12,0.00,78.59,0,-105,-16,0,0,36,0,0,306
2.00,1544535960,7.94,51.490410,7.412619,161.24,4.53,0.00,79.31,0,-103,-16,0,0,38,0,0,450
2.00,1544535960,7.94,51.490410,7.412619,161.24,4.53,0.00,79.31,0,-105,-16,0,0,36,0,0,306
3.00,1544535961,12.47,51.490434,7.412775,160.29,9.84,0.00,79.12,0,-99,-16,0,0,43,0,0,450
4.00,1544535962,22.32,51.490462,7.412930,159.28,10.26,0.00,78.97,0,-99,-16,0,0,43,0,0,450
5.00,1544535963,32.57,51.490490,7.413089,158.74,10.65,0.00,78.50,0,-100,-13,0,0,39,0,0,450
6.00,1544535964,43.23,51.490516,7.413262,158.38,11.08,0.00,78.99,0,-100,-13,0,0,39,0,0,450
7.01,1544535965,54.40,51.490536,7.413419,158.06,11.08,0.00,79.55,0,-104,-17,0,0,40,0,0,450
8.00,1544535966,65.39,51.490551,7.413566,158.12,11.45,0.00,79.50,0,-104,-17,0,0,40,0,0,450
9.00,1544535967,76.84,51.490568,7.413731,157.52,12.14,0.00,79.02,0,-104,-17,0,0,40,0,0,450
10.00,1544535968,88.99,51.490584,7.413898,157.19,12.42,0.00,78.59,0,-105,-18,0,0,39,0,0,450
11.00,1544535969,101.41,51.490601,7.414072,156.83,12.19,0.00,79.13,0,-105,-18,0,0,39,0,0,450
12.00,1544535970,113.60,51.490617,7.414255,156.49,12.42,0.00,78.25,0,-107,-19,0,0,38,0,0,450
12.00,1544535970,113.61,51.490617,7.414255,156.49,12.42,0.00,78.25,0,-107,-20,0,0,38,0,0,62
13.00,1544535971,126.03,51.490635,7.414441,155.78,12.49,0.00,78.19,0,-107,-19,0,0,38,0,0,450
13.00,1544535971,126.04,51.490635,7.414441,155.78,12.49,0.00,78.19,0,-107,-20,0,0,38,0,0,62
14.00,1544535972,138.52,51.490655,7.414626,155.06,12.54,0.00,79.02,0,-105,-19,0,0,40,0,0,62
14.00,1544535972,138.52,51.490655,7.414626,155.06,12.54,0.00,79.02,0,-105,-19,0,0,40,0,0,450
15.00,1544535973,151.04,51.490673,7.414804,154.04,12.22,0.00,79.47,0,-105,-19,0,0,40,0,0,62
15.00,1544535973,151.05,51.490673,7.414804,154.04,12.22,0.00,79.47,0,-105,-19,0,0,40,0,0,450
16.00,1544535974,163.27,51.490690,7.414980,152.82,12.27,0.00,80.05,0,-102,-16,0,0,40,0,0,62
16.00,1544535974,163.28,51.490690,7.414980,152.82,12.27,0.00,80.05,0,-105,-19,0,0,40,0,0,450
17.00,1544535975,175.55,51.490705,7.415162,151.71,12.18,0.00,81.20,0,-102,-16,0,0,40,0,0,62
17.00,1544535975,175.56,51.490705,7.415162,151.71,12.18,0.00,81.20,0,-105,-19,0,0,40,0,0,450
18.00,1544535976,187.72,51.490712,7.415316,151.02,12.13,0.00,82.47,0,-99,-15,0,0,42,0,0,62
19.00,1544535977,199.86,51.490716,7.415484,150.56,12.14,0.00,83.84,0,-99,-15,0,0,42,0,0,62
20.00,1544535978,212.02,51.490720,7.415680,150.43,11.98,0.00,85.52,0,-99,-14,0,0,41,0,0,62
20.00,1544535978,212.02,51.490720,7.415680,150.43,11.98,0.00,85.52,0,0,0,0,0,63,0,0,357
20.00,1544535978,212.03,51.490720,7.415680,150.43,11.98,0.00,85.52,0,-225,-225,0,0,63,0,0,240
21.00,1544535979,224.01,51.490720,7.415865,150.09,12.08,0.00,87.61,0,-99,-14,0,0,41,0,0,62
21.01,1544535979,224.02,51.490720,7.415865,150.09,12.08,0.00,87.61,0,0,0,0,0,63,0,0,357
21.01,1544535979,224.03,51.490720,7.415865,150.09,12.08,0.00,87.61,0,-225,-225,0,0,63,0,0,240
22.00,1544535980,236.08,51.490715,7.416057,149.77,12.21,0.00,89.68,0,-104,-18,0,0,40,0,0,452
22.00,1544535980,236.08,51.490715,7.416057,149.77,12.21,0.00,89.68,0,-93,-10,0,0,46,0,0,275
