time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.60,1544535969,88.96,51.490584,7.413898,157.19,12.42,0.28,78.59,1,-99,-13,0,4,39,9,13828122,452,0,6.00,1.33,125.00,1845
21.63,1544535980,223.98,51.490720,7.415865,150.09,12.08,0.11,87.61,1,-102,-17,-9,4,40,9,13828122,452,1,8.00,0.53,925.00,1845
32.93,1544535991,308.76,51.490600,7.416908,147.44,0.41,-1.30,105.28,1,-96,-13,1,6,42,7,13416987,62,2,6.00,0.31,4399.00,1845
43.45,1544536002,309.17,51.490600,7.416908,147.49,0.00,0.00,105.28,1,-94,-12,3,6,43,7,13416987,62,3,4.00,0.48,1443.00,1845
52.73,1544536011,309.17,51.490600,7.416908,147.60,0.00,0.00,105.28,1,-98,-14,0,6,40,7,13416987,62,4,6.00,0.49,1604.00,1845
63.73,1544536022,309.17,51.490586,7.416883,148.08,0.00,0.00,254.61,1,-96,-14,-1,7,41,7,13416987,62,5,4.00,0.40,1480.00,1845
72.73,1544536032,342.49,51.490154,7.417324,151.51,11.36,0.89,168.21,1,-97,-13,1,8,41,7,13416987,62,6,0.10,0.15,1518.00,1845
86.18,1544536045,521.59,51.488554,7.417792,155.45,13.70,0.10,179.17,1,-100,-15,-3,4,40,7,13416987,62,7,7.00,0.57,1509.00,1845
92.28,1544536051,606.69,51.487811,7.417763,154.03,14.10,-0.24,178.22,1,-99,-14,-3,6,39,5,13416986,61,8,2.00,0.19,891.00,1845
103.33,1544536062,756.38,51.486662,7.418739,141.86,13.04,-0.01,162.43,1,-102,-17,-5,4,40,5,13416986,61,9,7.00,0.60,1359.00,1845
120.36,1544536079,941.23,51.485033,7.418943,147.81,10.27,-0.21,160.79,1,-106,-18,-7,4,37,5,13416986,61,10,1.00,0.11,1819.00,1845
126.29,1544536084,1008.40,51.484464,7.418891,149.58,12.47,0.70,198.27,1,-105,-16,-8,5,36,5,13416986,61,11,5.00,0.70,12197.00,1845
136.66,1544536095,1149.13,51.483567,7.418008,144.54,12.59,-0.05,213.60,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,6.00,0.87,1325.00,1845
262.16,1544536221,2187.43,51.482574,7.428253,127.09,0.00,0.00,89.95,1,-86,-8,4,12,46,12,13823003,266,25,5.00,6.87,46.00,1845
272.13,1544536230,2187.43,51.482574,7.428253,127.47,0.00,0.00,89.95,1,-85,-11,2,8,51,12,13823003,266,26,0.10,4.23,45.00,1845
282.13,1544536240,2187.43,51.482574,7.428253,127.87,0.00,0.00,89.95,1,-86,-9,0,10,48,12,13823003,266,27,2.00,3.69,45.00,1845
292.14,1544536250,2187.43,51.482574,7.428253,132.60,0.00,0.00,89.53,1,-84,-7,6,8,46,12,13823003,266,28,0.10,5.63,43.00,1845
302.14,1544536260,2284.28,51.482490,7.429928,136.71,11.60,-0.27,96.08,1,-86,-7,13,9,46,12,13823003,266,29,0.10,4.04,67.00,1845
312.11,1544536271,2359.47,51.482392,7.430977,139.57,3.89,0.69,95.79,1,-95,-10,1,8,41,12,13823003,266,30,2.00,3.57,39.00,1845
322.29,1544536281,2433.53,51.482312,7.432042,142.38,7.80,-0.44,96.30,1,-89,-13,10,7,49,12,13823003,266,31,0.50,2.58,71.00,1845
332.10,1544536290,2531.18,51.482215,7.433469,142.53,9.81,-0.16,96.53,1,-77,-6,15,12,53,12,13823003,266,32,6.00,7.99,65.00,1845
342.12,1544536301,2632.38,51.482103,7.434917,143.14,8.72,-1.02,97.00,1,-77,-7,15,10,56,12,13823003,266,33,0.50,5.24,77.00,1845
352.12,1544536311,2673.56,51.482062,7.435541,142.88,3.33,0.37,96.02,1,-81,-7,13,7,52,12,13823003,266,34,7.00,14.93,45.00,1845
362.11,1544536320,2716.34,51.482019,7.436235,144.68,7.92,0.31,95.13,1,-78,-10,12,9,59,12,13823003,266,35,3.00,11.13,67.00,1845
372.13,1544536331,2797.89,51.481934,7.437392,144.78,8.85,-0.85,96.76,1,-70,-6,23,15,59,12,13823003,266,36,5.00,8.18,47.00,1845
382.12,1544536341,2859.53,51.481858,7.438261,146.19,0.46,-0.67,119.79,1,-67,-6,20,13,63,12,13823003,266,37,7.00,15.86,33.00,1845
392.12,1544536351,2859.99,51.481858,7.438261,146.24,0.00,0.00,119.79,1,-68,-9,27,13,63,12,13823003,266,38,9.00,25.37,59.00,1845
402.12,1544536361,2859.99,51.481858,7.438261,146.60,0.00,0.00,74.00,1,-69,-6,26,13,63,12,13823003,266,39,7.00,11.40,46.00,1845
412.11,1544536370,2918.87,51.481807,7.439320,145.88,10.79,0.78,93.97,1,-63,-6,27,14,63,12,13823003,266,40,4.00,10.33,47.00,1845
422.10,1544536380,3036.29,51.481702,7.441045,148.20,11.34,-0.41,97.23,1,-69,-8,16,12,63,12,13823003,266,41,9.00,10.09,44.00,1845
432.10,1544536391,3165.68,51.481045,7.442553,151.86,14.77,-0.04,133.60,1,-69,-6,20,9,62,1,13823002,265,42,10.00,16.33,32.00,1845
442.10,1544536400,3289.59,51.480066,7.443353,151.20,13.47,0.99,154.39,1,-79,-11,7,4,58,1,13823002,265,43,0.10,3.85,120.00,1845
452.09,1544536411,3442.48,51.478848,7.444440,157.78,16.71,0.19,151.68,1,-72,-7,22,15,58,11,12896793,375,44,1.00,2.33,93.00,1845
462.10,1544536421,3605.32,51.477587,7.445557,162.82,16.22,0.04,151.59,1,-71,-7,22,13,59,11,12896793,375,45,8.00,18.41,67.00,1845
472.11,1544536431,3753.06,51.476454,7.446547,163.23,9.31,-1.33,152.14,1,-66,-6,24,15,63,11,12896793,375,46,5.00,5.82,46.00,1845
482.12,1544536441,3810.25,51.476048,7.446907,162.47,0.00,-1.32,150.68,1,-70,-6,22,15,61,11,12896793,375,47,8.00,13.89,81.00,1845
492.10,1544536451,3810.25,51.476048,7.446907,162.44,0.00,0.00,150.68,1,-73,-5,25,15,60,11,12896793,375,48,9.00,20.25,69.00,1845
502.11,1544536461,3854.66,51.475619,7.447288,161.06,7.27,-0.16,151.56,1,-67,-6,31,15,62,11,12896793,375,49,9.00,11.08,98.00,1845
512.13,1544536470,3915.96,51.475182,7.447697,161.58,3.49,-1.10,146.46,1,-78,-7,20,15,54,11,12896793,375,50,10.00,15.09,58.00,1845
522.12,1544536481,3923.55,51.475070,7.447817,161.85,5.51,0.00,146.33,1,-79,-6,22,14,53,11,12896793,375,51,9.00,10.80,91.00,1845
532.11,1544536490,3993.76,51.474553,7.448477,165.63,8.45,-0.27,140.95,1,-79,-11,11,9,57,11,12896793,375,52,1.00,6.49,59.00,1845
542.10,1544536500,4085.93,51.473928,7.449362,165.52,10.09,0.56,136.91,1,-67,-7,16,9,63,11,12896793,375,53,0.10,3.88,86.00,1845
552.14,1544536510,4198.30,51.473279,7.450616,165.01,10.52,-0.06,125.23,1,-71,-7,14,12,58,1,12896794,376,54,2.00,3.22,130.00,1845
562.19,1544536520,4336.13,51.472721,7.452412,160.94,14.92,0.09,109.26,1,-76,-7,21,15,58,1,12896794,376,55,9.00,12.06,53.00,1845
572.11,1544536530,4493.15,51.472374,7.454617,162.41,15.21,-0.23,106.60,1,-66,-6,25,15,63,1,12896794,376,56,6.00,14.48,42.00,1845
582.14,1544536541,4628.81,51.471965,7.456398,156.00,12.56,-0.12,113.69,1,-83,-10,16,10,51,1,12896794,376,57,5.00,9.07,93.00,1845
592.10,1544536551,4747.88,51.471481,7.457928,155.55,11.28,0.17,117.75,1,-92,-10,5,4,43,1,12896794,376,58,7.00,12.47,29.00,1845
602.12,1544536560,4829.75,51.471175,7.458927,154.23,3.83,-0.64,115.57,1,-90,-7,8,10,42,1,12896794,376,59,5.00,11.92,73.00,1845
612.15,1544536571,4847.24,51.471126,7.459121,154.42,0.00,0.00,115.79,1,-88,-6,16,9,45,1,12896794,376,60,2.00,4.41,115.00,1845
622.13,1544536580,4847.24,51.471126,7.459121,154.43,0.00,0.00,115.79,1,-88,-6,13,10,46,1,12896794,376,61,3.00,11.78,54.00,1845
632.18,1544536591,4847.24,51.471126,7.459121,154.43,0.00,0.00,115.79,1,-88,-9,14,9,47,1,12896794,376,62,9.00,9.72,38.00,1845
642.15,1544536601,4847.24,51.471126,7.459121,154.46,0.00,0.00,115.79,1,-88,-8,10,8,46,1,12896794,376,63,9.00,8.41,119.00,1845
652.15,1544536611,4868.24,51.470979,7.459536,153.95,6.75,1.19,117.42,1,-86,-11,14,9,50,1,12896794,376,64,3.00,4.86,62.00,1845
662.11,1544536621,4992.42,51.470505,7.461242,153.46,15.91,0.06,114.70,1,-87,-11,11,9,49,1,12896794,376,65,6.00,6.36,110.00,1845
672.12,1544536630,5157.23,51.469889,7.463430,154.93,18.03,0.14,115.03,1,-93,-11,10,11,44,1,12896794,376,66,4.00,4.48,58.00,1845
682.19,1544536641,5345.60,51.469450,7.466067,153.15,20.35,0.35,94.98,1,-98,-10,3,8,36,1,12896794,376,67,10.00,5.78,46.00,1845
692.23,1544536651,5554.78,51.469640,7.469060,149.63,21.36,0.26,79.66,1,-96,-8,7,9,38,1,12896794,376,68,2.00,4.38,115.00,1845
702.12,1544536661,5758.04,51.469864,7.471935,151.75,19.90,0.42,90.50,1,-96,-8,5,7,37,1,12896794,376,69,2.00,2.44,110.00,1845
714.02,1544536672,5974.88,51.469633,7.475029,162.07,16.20,-0.62,97.29,1,-93,-11,1,6,43,16,12909339,289,70,2.00,2.56,818.00,1845
722.12,1544536681,6092.85,51.469560,7.476659,164.46,13.30,0.24,88.56,1,-88,-7,9,9,45,16,12909339,289,71,2.00,4.48,101.00,1845
732.12,1544536691,6201.53,51.469698,7.478185,162.35,5.79,-0.68,79.04,1,-88,-7,13,9,45,16,12909339,289,72,8.00,3.63,70.00,1845
748.33,1544536707,6223.56,51.469761,7.478497,163.20,0.00,0.00,69.35,1,-91,-13,2,8,47,16,12909339,289,73,4.00,2.13,1352.00,1845
753.10,1544536711,6223.56,51.469761,7.478497,163.43,0.00,0.00,69.35,1,-92,-12,7,6,45,16,12909339,289,74,8.00,4.37,491.00,1845
763.95,1544536722,6223.56,51.469761,7.478497,163.97,0.00,0.00,72.20,1,-90,-11,7,6,47,16,12909339,289,75,5.00,3.84,800.00,1845
772.93,1544536731,6285.13,51.469969,7.479570,171.98,10.34,-0.02,73.53,1,-86,-7,11,8,47,16,12909339,289,76,7.00,5.28,466.00,1845
782.57,1544536741,6409.80,51.470328,7.481281,172.35,10.21,-1.73,73.22,1,-91,-12,5,7,47,16,12909339,289,77,2.00,3.11,265.00,1845
792.11,1544536751,6504.51,51.469691,7.481956,166.12,13.95,0.74,164.81,1,-88,-7,16,10,45,16,12909339,289,78,0.50,7.18,51.00,1845
802.13,1544536761,6639.88,51.468488,7.482427,168.43,13.97,0.52,164.98,1,-86,-7,22,10,43,16,12909339,289,79,2.00,4.24,40.00,1845
812.13,1544536771,6776.90,51.467264,7.482810,166.94,13.78,0.27,175.53,1,-90,-6,14,10,40,16,12909339,289,80,8.00,5.93,148.00,1845
822.68,1544536781,6926.10,51.465950,7.482309,163.67,14.20,0.00,194.29,1,-89,-11,9,7,47,16,12909339,289,81,1.00,1.92,393.00,1845
832.14,1544536791,7072.04,51.464737,7.481428,163.51,15.36,0.81,199.88,1,-97,-8,2,6,36,16,12909339,289,82,7.00,5.15,58.00,1845
842.80,1544536801,7213.59,51.463560,7.480864,171.61,13.73,-0.36,195.76,1,-95,-12,3,6,42,16,12909339,289,83,3.00,6.16,340.00,1845
852.13,1544536811,7329.61,51.462567,7.480416,169.36,7.49,-0.96,193.59,1,-92,-8,8,8,42,16,12909339,289,84,4.00,3.71,114.00,1845
862.13,1544536821,7355.43,51.462396,7.480336,169.26,0.00,0.00,193.90,1,-91,-12,1,8,46,7,12909595,143,85,2.00,6.23,80.00,1845
872.13,1544536830,7367.81,51.462194,7.480234,170.55,0.72,-0.32,195.30,1,-92,-8,2,8,43,7,12909595,143,86,8.00,6.46,98.00,1845
882.20,1544536841,7368.53,51.462194,7.480234,170.70,0.00,0.00,195.30,1,-91,-12,8,8,47,7,12909595,143,87,0.50,4.69,41.00,1845
892.18,1544536851,7373.98,51.462069,7.480337,172.76,6.00,0.54,98.64,1,-90,-9,5,6,45,7,12909595,143,88,10.00,6.72,85.00,1845
903.04,1544536861,7482.02,51.462034,7.481915,172.54,11.74,0.21,91.64,1,-95,-13,4,5,43,7,12909595,143,89,10.00,5.85,774.00,1845
912.53,1544536871,7595.14,51.462039,7.483593,176.85,11.64,-0.47,88.36,1,-100,-18,-9,3,43,7,12909595,143,90,4.00,5.14,321.00,1845
922.14,1544536880,7691.91,51.461517,7.484424,181.34,12.00,0.91,165.94,1,-80,-6,9,12,51,5,12909593,141,91,4.00,7.74,120.00,1845
932.11,1544536891,7828.78,51.460257,7.484545,186.95,15.36,0.84,182.70,1,-79,-7,14,11,53,5,12909593,141,92,2.00,6.20,51.00,1845
942.13,1544536900,7978.96,51.458939,7.484143,187.00,14.97,-0.13,191.30,1,-68,-8,7,6,63,1,12909595,143,93,3.00,5.46,34.00,1845
952.13,1544536910,8096.32,51.457918,7.483780,195.68,12.81,0.37,191.21,1,-77,-9,10,8,55,1,12909595,143,94,3.00,4.51,69.00,1845
962.11,1544536921,8248.44,51.456538,7.483381,204.33,17.20,0.66,189.10,1,-88,-7,5,7,44,3,12909594,142,95,10.00,16.49,40.00,1845
972.13,1544536931,8420.20,51.455013,7.483393,213.06,16.23,-0.44,172.69,1,-83,-6,16,8,48,3,12909594,142,96,9.00,16.10,77.00,1845
982.10,1544536941,8583.15,51.453711,7.484554,221.57,15.37,-0.56,135.47,1,-90,-6,14,8,42,3,12909594,142,97,9.00,9.17,87.00,1845
