time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.03,1544535971,103.14,51.490625,7.414057,148.69,12.15,0.15,77.98,1,-86,-10,6,13,52,7,26385408,95,0,5.00,24.05,44.00,17.48,1720
20.02,1544535981,224.28,51.490766,7.415805,144.02,12.08,0.08,87.16,1,-85,-6,20,13,53,4,29391105,167,1,3.00,22.62,46.00,11.99,1720
29.99,1544535991,304.57,51.490645,7.416922,148.25,2.69,-1.18,103.09,1,-83,-6,25,14,54,4,29391105,167,2,2.00,16.93,48.00,9.62,1720
40.06,1544536001,309.41,51.490625,7.416933,148.31,0.00,0.00,103.09,1,-78,-6,29,1,60,4,29391105,167,3,8.00,26.26,56.00,6.19,1720
50.08,1544536011,309.41,51.490625,7.416933,148.26,0.00,0.00,103.09,1,-78,-6,30,15,60,4,29391105,167,4,9.00,28.64,49.00,7.56,1720
59.99,1544536021,309.41,51.490619,7.416927,148.14,0.00,0.00,103.09,1,-77,-8,28,12,63,4,29391105,167,5,0.10,3.52,67.00,-0.61,1720
70.05,1544536031,327.99,51.490272,7.417280,147.75,10.11,3.29,169.15,1,-83,-5,39,12,55,4,29391105,167,6,9.00,24.73,54.00,10.14,1720
79.99,1544536041,435.99,51.489301,7.417651,148.65,12.68,0.05,168.78,1,-84,-7,13,13,54,4,29391105,167,7,0.10,4.44,66.00,5.62,1720
90.05,1544536051,585.83,51.487925,7.417722,150.52,14.36,-0.02,179.62,1,-96,-9,7,9,43,4,29391105,167,8,4.00,9.41,59.00,19.08,1720
100.04,1544536061,725.36,51.486874,7.418587,145.91,13.44,-0.12,141.47,1,-103,-8,12,13,36,10,28365056,222,9,8.00,13.07,57.00,21.03,1720
109.99,1544536071,834.89,51.485922,7.418532,141.90,11.55,0.33,192.24,1,-95,-6,10,15,42,10,28365056,222,10,2.00,12.20,36.00,18.92,1720
120.00,1544536081,948.63,51.485001,7.418975,147.90,10.68,0.64,174.44,1,-96,-7,23,14,41,12,29391105,167,11,0.50,5.54,145.00,20.33,1720
129.98,1544536091,1057.46,51.484006,7.418520,147.62,13.33,0.01,209.40,1,-95,-7,4,15,41,8,28365056,222,12,1.00,11.19,35.00,20.19,1720
140.10,1544536101,1195.55,51.482976,7.417455,142.31,12.02,-0.13,206.66,1,-105,-10,7,6,35,8,28365056,222,13,8.00,11.53,59.00,20.77,1720
150.17,1544536111,1310.01,51.482022,7.416889,148.24,8.99,-0.62,199.12,1,-86,-10,7,9,51,8,28365056,222,14,10.00,19.89,66.00,20.33,1720
160.00,1544536121,1353.70,51.481708,7.416710,151.93,0.00,-0.41,200.47,1,-91,-9,5,6,49,8,28365056,222,15,1.00,9.80,47.00,15.16,1720
170.02,1544536131,1353.70,51.481708,7.416710,151.96,0.00,0.00,200.47,1,-90,-8,8,7,48,8,28365056,222,16,5.00,17.59,44.00,15.17,1720
179.96,1544536141,1353.70,51.481708,7.416710,152.08,0.00,0.00,200.47,1,-90,-10,1,6,49,8,28365056,222,17,1.00,14.13,37.00,13.19,1720
189.97,1544536151,1363.49,51.481466,7.416828,152.16,3.72,0.46,101.99,1,-88,-11,-2,7,54,8,28365056,222,18,2.00,16.75,36.00,15.27,1720
199.99,1544536161,1474.11,51.481605,7.418697,147.20,14.34,0.22,85.58,1,-91,-9,6,6,48,8,28365056,222,19,9.00,25.86,34.00,15.61,1720
210.00,1544536170,1631.43,51.481749,7.421013,144.18,14.57,0.40,81.53,1,-92,-11,4,4,49,8,28365056,222,20,5.00,20.75,74.00,16.30,1720
220.07,1544536181,1772.75,51.481988,7.423062,129.06,13.85,0.42,78.91,1,-99,-8,8,9,38,8,28365056,222,21,10.00,11.24,85.00,17.69,1720
230.01,1544536191,1902.74,51.482266,7.424879,131.36,12.06,-0.29,76.81,1,-96,-10,6,8,41,16,28368386,213,22,6.00,11.00,54.00,16.12,1720
240.00,1544536201,2011.11,51.482499,7.426469,128.41,9.75,-0.78,76.09,1,-101,-10,3,6,40,16,28368386,213,23,5.00,11.86,35.00,20.66,1720
249.97,1544536211,2109.69,51.482651,7.428060,130.89,7.29,-2.02,88.23,1,-98,-12,1,5,43,16,28368386,213,24,0.10,4.40,35.00,18.41,1720
259.99,1544536221,2130.07,51.482637,7.428313,131.19,0.00,0.00,90.33,1,-94,-9,5,8,45,16,28368386,213,25,5.00,14.96,37.00,15.23,1720
270.16,1544536231,2130.07,51.482637,7.428313,131.60,0.00,0.00,90.33,1,-96,-9,5,5,44,16,28368386,213,26,7.00,18.31,40.00,14.80,1720
279.99,1544536241,2130.07,51.482637,7.428313,131.84,0.00,0.00,90.33,1,-95,-9,8,6,44,16,28368386,213,27,5.00,16.12,39.00,19.91,1720
290.04,1544536251,2130.07,51.482637,7.428313,136.17,0.00,0.00,90.91,1,-96,-10,19,8,45,16,28368386,213,28,7.00,13.40,40.00,16.14,1720
299.96,1544536261,2208.67,51.482546,7.429770,139.54,11.92,-0.55,96.17,1,-98,-8,-1,6,40,14,29563904,96,29,1.00,7.52,32.00,20.48,1720
310.00,1544536271,2295.47,51.482432,7.430957,138.48,4.06,0.89,97.53,1,-94,-7,8,8,43,6,28367106,86,30,3.00,16.21,41.00,20.51,1720
320.02,1544536281,2369.96,51.482326,7.432071,141.31,7.94,-0.22,96.38,1,-94,-9,2,5,44,6,28367106,86,31,10.00,25.00,36.00,15.20,1720
329.97,1544536291,2458.45,51.482233,7.433351,140.17,9.98,-0.39,96.04,1,-90,-8,8,10,48,11,28368386,213,32,0.50,10.84,35.00,17.47,1720
339.98,1544536301,2559.71,51.482120,7.434799,141.90,9.68,-0.28,98.41,1,-93,-9,9,9,46,4,28367106,86,33,3.00,19.54,35.00,19.31,1720
350.04,1544536311,2612.26,51.482096,7.435517,142.10,3.20,0.45,92.68,1,-91,-8,7,10,47,10,28368386,213,34,10.00,17.44,39.00,19.28,1720
360.03,1544536321,2655.47,51.482040,7.436234,148.30,8.09,0.42,97.08,1,-78,-9,0,15,62,3,28367105,85,35,9.00,25.60,68.00,11.89,1720
369.98,1544536331,2726.64,51.481937,7.437257,144.09,8.86,-0.51,95.66,1,-94,-10,12,6,45,4,28367105,213,36,3.00,23.37,39.00,17.72,1720
379.98,1544536341,2793.31,51.481875,7.438259,146.54,1.08,-0.66,83.79,1,-84,-6,19,15,54,4,28367105,85,37,2.00,20.67,45.00,6.06,1720
389.97,1544536351,2794.85,51.481876,7.438249,146.79,0.00,0.00,83.79,1,-87,-5,17,10,49,4,28367105,85,38,2.00,14.61,55.00,16.08,1720
399.98,1544536360,2794.85,51.481876,7.438249,147.16,0.00,0.00,83.79,1,-86,-6,20,14,52,4,28367105,85,39,2.00,16.16,48.00,6.39,1720
409.95,1544536371,2844.22,51.481832,7.439181,150.07,10.16,1.03,94.82,1,-89,-6,3,6,42,9,28368386,213,40,0.50,11.73,35.00,16.50,1720
419.94,1544536381,2960.11,51.481713,7.440856,147.23,11.77,-0.43,96.33,1,-95,-8,10,9,43,9,28368386,213,41,0.10,4.00,36.00,20.28,1720
429.97,1544536391,3086.57,51.481153,7.442404,153.11,14.93,0.16,132.93,1,-90,-6,10,10,44,7,28367105,85,42,0.50,8.99,46.00,17.28,1720
439.99,1544536401,3212.79,51.480188,7.443259,156.29,12.48,0.50,155.80,1,-96,-9,4,7,44,7,28367105,85,43,7.00,9.94,33.00,16.77,1720
450.07,1544536411,3377.43,51.478850,7.444410,160.02,16.76,0.23,151.80,1,-98,-9,6,7,40,7,28368386,213,44,8.00,6.92,34.00,19.36,1720
460.26,1544536421,3540.30,51.477568,7.445532,162.39,16.26,0.11,151.70,1,-100,-11,2,8,38,14,29568768,415,45,7.00,19.57,253.00,20.41,1720
470.04,1544536431,3688.38,51.476433,7.446519,160.56,9.32,-1.42,152.21,1,-93,-7,13,9,43,12,29568768,415,46,8.00,26.06,44.00,20.25,1720
479.98,1544536441,3744.33,51.476029,7.446859,160.99,1.31,-1.55,152.55,1,-85,-6,17,8,51,12,29568768,415,47,5.00,28.47,35.00,14.00,1720
489.99,1544536451,3745.64,51.476029,7.446859,160.91,0.00,0.00,152.55,1,-89,-5,15,8,46,12,29568768,415,48,4.00,26.27,36.00,10.97,1720
500.01,1544536461,3779.28,51.475625,7.447214,156.64,7.22,-0.27,150.88,1,-93,-7,13,11,45,12,29568768,415,49,8.00,21.44,38.00,17.78,1720
510.01,1544536471,3840.14,51.475164,7.447676,161.40,3.55,-0.98,145.72,1,-98,-8,0,6,39,12,29568768,415,50,9.00,18.84,38.00,15.89,1720
519.99,1544536481,3847.83,51.475130,7.447716,161.43,0.00,0.00,145.09,1,-92,-5,28,11,45,8,28368384,215,51,3.00,10.05,42.00,9.47,1720
530.00,1544536491,3917.91,51.474545,7.448441,160.93,8.40,-0.22,141.03,1,-98,-8,19,7,40,8,28368384,215,52,8.00,17.82,42.00,17.48,1720
540.00,1544536501,4009.74,51.473917,7.449312,160.30,9.97,0.32,136.87,1,-85,-6,7,6,51,7,29568768,415,53,6.00,31.89,35.00,17.86,1720
550.00,1544536511,4121.66,51.473271,7.450571,159.58,10.48,-0.05,125.18,1,-79,-5,25,15,58,7,29568768,415,54,8.00,35.58,43.00,11.97,1720
559.99,1544536521,4244.48,51.472792,7.452206,163.18,14.88,-0.14,110.66,1,-76,-5,19,11,58,7,29568768,415,55,6.00,32.61,39.00,-0.39,1720
569.99,1544536531,4401.00,51.472431,7.454394,158.83,15.38,-0.39,106.15,1,-83,-6,20,13,54,7,29568768,415,56,8.00,33.23,34.00,10.27,1720
579.97,1544536541,4538.90,51.472027,7.456232,158.41,12.63,-0.14,113.10,1,-87,-6,19,12,50,7,29568768,415,57,0.50,10.05,41.00,14.70,1720
589.97,1544536551,4658.95,51.471556,7.457779,159.62,11.12,-0.12,118.17,1,-90,-6,12,10,47,7,29568768,415,58,2.00,22.66,43.00,17.08,1720
600.04,1544536561,4751.63,51.471197,7.458922,156.80,3.82,-0.57,115.16,1,-91,-8,10,8,48,7,29568768,415,59,8.00,30.00,43.00,19.47,1720
610.00,1544536571,4769.65,51.471133,7.459132,156.72,0.00,0.00,114.35,1,-94,-8,14,12,46,7,29568768,415,60,10.00,31.67,31.00,18.62,1720
619.96,1544536581,4769.65,51.471133,7.459132,156.71,0.00,0.00,114.35,1,-94,-9,14,8,45,7,29568768,415,61,0.10,3.46,51.00,16.61,1720
630.00,1544536591,4769.65,51.471133,7.459132,156.71,0.00,0.00,114.35,1,-94,-9,14,7,46,7,29568768,415,62,9.00,29.48,43.00,17.84,1720
639.98,1544536601,4769.65,51.471133,7.459132,156.76,0.00,0.00,114.35,1,-93,-8,18,9,46,7,29568768,415,63,3.00,21.88,44.00,18.14,1720
649.97,1544536611,4779.96,51.471037,7.459458,158.63,5.76,0.55,116.67,1,-96,-10,5,6,46,7,29568768,415,64,2.00,19.78,43.00,19.92,1720
659.95,1544536621,4893.90,51.470596,7.461033,157.92,15.82,-0.28,113.18,1,-100,-13,-4,1,43,7,29568768,415,65,1.00,10.65,38.00,19.94,1720
670.01,1544536631,5074.10,51.469907,7.463410,159.05,18.09,0.10,114.94,1,-100,-9,0,7,39,13,26378498,495,66,1.00,11.96,46.00,20.86,1720
680.00,1544536641,5262.39,51.469439,7.466025,152.67,20.43,0.38,98.49,1,-103,-10,0,6,37,13,26378498,495,67,0.50,9.43,36.00,20.45,1720
