time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
9.97,1544619865,103.28,51.490546,7.413916,161.48,12.94,0.01,78.57,1,-120,-13,-8,6,11,64,13067274,289,0,8.00,3.26,81.00,20.59,1770
22.47,1544619877,269.89,51.490708,7.416266,156.88,12.05,-0.12,91.70,1,-115,-15,-3,6,19,21,13392904,347,1,8.00,7.57,1401.00,20.66,1770
39.98,1544619895,326.61,51.490619,7.416969,156.12,0.00,0.00,98.86,1,-110,-9,3,8,16,21,13392904,347,3,4.00,8.75,57.00,21.67,1770
49.90,1544619905,326.61,51.490619,7.416969,156.11,0.00,0.00,98.86,1,-111,-8,6,9,16,21,13392904,347,4,3.00,3.51,59.00,21.34,1770
59.95,1544619915,358.03,51.490246,7.417356,154.00,11.02,1.78,164.58,1,-111,-12,0,8,15,19,12806666,385,5,8.00,5.51,62.00,20.44,1770
71.08,1544619925,527.51,51.488718,7.417760,148.05,15.34,0.16,175.78,1,-110,-9,5,6,17,19,12806666,385,6,1.00,4.61,496.00,20.61,1770
80.06,1544619934,668.78,51.487474,7.417818,144.34,14.70,-0.46,159.73,1,-109,-9,28,6,17,19,12806666,385,7,10.00,3.08,63.00,21.33,1770
93.08,1544619947,838.13,51.486137,7.418647,135.70,9.87,0.12,192.61,1,-113,-13,-2,6,13,16,13392906,346,8,0.50,0.53,1698.00,20.38,1770
101.89,1544619957,915.55,51.485460,7.418663,140.11,10.19,-0.22,163.51,1,-113,-13,1,6,14,16,13392906,346,9,9.00,4.12,1258.00,21.39,1770
110.27,1544619965,1018.03,51.484567,7.418940,144.33,12.55,0.48,193.22,1,-104,-8,6,13,22,16,13392906,346,10,3.00,2.62,327.00,21.05,1770
120.30,1544619975,1156.09,51.483467,7.417950,141.58,14.15,0.03,213.36,1,-105,-8,9,14,20,16,13392906,346,11,3.00,6.32,413.00,21.30,1770
129.94,1544619984,1282.01,51.482490,7.417155,143.32,12.29,-1.04,201.95,1,-111,-8,3,9,15,16,13392906,346,12,6.00,7.59,68.00,21.95,1770
139.97,1544619994,1364.71,51.481819,7.416789,146.69,2.52,-0.89,201.58,1,-108,-8,8,11,17,16,13392906,346,13,7.00,5.60,56.00,21.22,1770
150.13,1544620004,1370.66,51.481787,7.416772,146.79,0.00,0.00,200.93,1,-110,-8,3,9,17,16,13392906,346,14,2.00,5.31,104.00,21.67,1770
160.20,1544620015,1370.66,51.481787,7.416772,146.89,0.00,0.00,200.93,1,-110,-8,2,10,17,16,13392906,346,15,0.50,4.98,83.00,21.67,1770
189.90,1544620044,1550.08,51.481605,7.419049,151.32,14.90,-0.03,84.26,1,-98,-7,8,12,26,16,13392906,346,18,6.00,10.83,70.00,17.19,1770
209.88,1544620064,1849.69,51.482018,7.423321,136.64,13.02,-1.09,76.19,1,-89,-6,16,15,33,16,13392906,346,20,2.00,5.43,65.00,15.58,1770
219.92,1544620075,1975.20,51.482261,7.425041,132.17,11.26,-0.28,77.67,1,-96,-6,23,9,29,16,13392906,346,21,8.00,16.42,65.00,16.77,1770
229.94,1544620084,2085.88,51.482484,7.426607,135.78,10.48,0.04,75.81,1,-89,-8,10,15,38,16,13392906,346,22,10.00,18.01,59.00,17.00,1770
269.94,1544620124,2414.72,51.482364,7.431286,137.52,0.00,0.00,96.12,1,-69,-4,25,15,55,4,13392904,347,26,10.00,38.26,57.00,-1.03,1770
279.96,1544620134,2414.72,51.482364,7.431286,137.54,0.00,0.00,96.12,1,-69,-4,29,14,54,4,13392904,347,27,10.00,35.54,59.00,-4.25,1770
289.93,1544620145,2414.72,51.482339,7.431491,138.64,7.76,0.00,97.09,1,-74,-5,28,15,51,4,13392904,347,28,7.00,31.34,55.00,4.25,1770
309.89,1544620164,2659.82,51.482078,7.435026,140.44,11.86,-0.21,99.46,1,-80,-6,21,15,44,4,13392904,347,30,3.00,18.14,69.00,7.97,1770
319.90,1544620175,2769.46,51.481974,7.436641,141.57,10.94,-0.45,92.47,1,-87,-9,14,12,39,4,13392904,347,31,2.00,22.76,61.00,15.52,1770
339.90,1544620195,2890.65,51.481841,7.438358,144.69,0.00,0.00,98.24,1,-96,-8,4,12,30,5,13392905,345,33,2.00,5.52,54.00,20.62,1770
349.92,1544620205,2933.22,51.481799,7.439181,149.11,9.36,0.52,96.67,1,-98,-7,11,10,27,5,13392905,345,34,3.00,8.27,61.00,19.67,1770
359.91,1544620215,3051.09,51.481722,7.440896,145.20,12.41,-0.21,96.75,1,-96,-7,7,12,28,5,13392905,345,35,6.00,18.20,55.00,16.59,1770
369.89,1544620225,3181.64,51.481097,7.442483,150.97,13.61,-0.07,133.20,1,-102,-6,10,11,22,5,13392905,345,36,4.00,8.76,64.00,20.67,1770
379.89,1544620234,3298.11,51.480199,7.443228,152.48,11.41,0.74,157.75,1,-102,-7,7,11,25,5,13392905,345,37,2.00,5.22,61.00,20.22,1770
389.94,1544620245,3429.15,51.479107,7.444181,157.24,14.96,0.37,151.47,1,-111,-9,5,9,16,5,13392905,345,38,4.00,2.79,63.00,21.22,1770
400.75,1544620255,3593.32,51.477840,7.445292,159.02,14.83,-0.01,151.50,1,-118,-11,-2,7,10,5,13392905,345,39,7.00,14.37,208.00,21.41,1770
409.88,1544620265,3729.81,51.476759,7.446208,160.31,15.20,0.00,151.70,1,-73,-9,4,9,56,3,12973569,333,40,3.00,8.87,47.00,-3.92,890
419.94,1544620275,3871.83,51.475622,7.447196,159.62,13.05,-0.04,150.88,1,-66,-6,19,14,59,3,12973570,334,41,5.00,7.14,45.00,0.86,890
429.93,1544620285,3979.93,51.474886,7.447978,159.79,7.58,-0.18,143.94,1,-77,-7,19,12,50,3,12973570,334,42,9.00,7.50,54.00,12.47,890
439.92,1544620295,4042.39,51.474444,7.448546,161.66,1.97,-1.30,141.21,1,-80,-6,19,12,45,3,12973570,334,43,10.00,8.19,51.00,2.33,890
450.10,1544620304,4045.26,51.474438,7.448555,161.60,0.00,0.00,141.21,1,-77,-6,20,12,50,3,12973570,334,44,1.00,7.32,48.00,5.60,890
459.91,1544620314,4045.26,51.474438,7.448555,161.58,0.00,0.00,141.21,1,-76,-6,22,12,50,3,12973570,334,45,7.00,10.47,47.00,4.81,890
469.92,1544620325,4045.26,51.474438,7.448555,161.55,0.00,0.00,141.21,1,-77,-6,21,12,49,3,12973570,334,46,8.00,9.77,56.00,3.06,890
479.90,1544620335,4045.26,51.474438,7.448555,161.55,0.00,0.00,141.21,1,-79,-7,19,12,49,3,12973570,334,47,7.00,10.10,56.00,10.62,890
489.86,1544620344,4045.26,51.474438,7.448555,161.60,0.00,0.00,141.21,1,-78,-6,21,12,49,3,12973570,334,48,0.50,7.91,44.00,5.10,890
499.91,1544620355,4076.66,51.474104,7.449017,165.46,10.23,0.71,138.87,1,-83,-7,14,10,45,3,12973570,334,49,10.00,9.35,51.00,10.48,890
509.93,1544620364,4206.64,51.473302,7.450426,161.81,14.31,0.12,127.05,1,-84,-10,7,8,45,3,12973570,334,50,9.00,13.14,56.00,15.23,890
540.09,1544620395,4634.01,51.472037,7.456201,159.46,14.54,0.15,112.77,1,-87,-7,13,10,41,6,13394179,495,53,1.00,5.76,53.00,15.66,890
549.92,1544620404,4755.41,51.471558,7.457738,157.00,11.59,-0.33,118.42,1,-84,-7,16,11,43,5,13394177,497,54,8.00,15.39,52.00,16.66,890
559.90,1544620415,4847.08,51.471206,7.458875,154.39,5.81,-0.85,115.43,1,-82,-6,19,11,44,5,13394177,497,55,4.00,16.49,53.00,8.66,890
579.91,1544620434,4863.85,51.471154,7.459056,154.24,0.00,0.00,116.54,1,-78,-5,25,13,49,5,13394177,497,57,7.00,18.11,55.00,1.61,890
589.93,1544620445,4863.85,51.471154,7.459056,154.27,0.00,0.00,116.54,1,-78,-6,19,14,48,5,13394177,497,58,1.00,13.82,62.00,6.07,890
599.88,1544620455,4863.85,51.471154,7.459056,154.32,0.00,0.00,116.54,1,-77,-5,25,15,49,5,13394177,497,59,1.00,14.11,52.00,5.94,890
609.93,1544620465,4905.38,51.470940,7.459782,156.84,9.18,0.53,116.25,1,-80,-6,16,12,47,5,13394177,497,60,9.00,15.09,53.00,8.55,890
