time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.00,1544619857,0.00,51.490364,7.412628,163.07,10.78,0.00,76.54,1,-95,-10,3,7,37,6,13828122,452
1.01,1544619858,10.81,51.490386,7.412798,162.31,11.44,0.66,77.96,1,-95,-10,3,7,37,6,13828122,452
2.01,1544619859,22.34,51.490407,7.412977,161.70,12.24,0.80,78.75,1,-94,-9,18,8,38,6,13828122,452
3.01,1544619860,34.48,51.490425,7.413151,161.57,13.38,1.15,77.61,1,-94,-9,18,8,38,6,13828122,452
4.01,1544619861,47.86,51.490441,7.413327,161.46,12.91,-0.47,77.99,1,-94,-9,18,8,38,6,13828122,452
5.01,1544619862,60.78,51.490464,7.413533,160.87,12.88,-0.03,78.47,1,-93,-9,1,7,40,6,13828122,452
6.00,1544619863,73.63,51.490483,7.413702,160.37,12.95,0.07,79.10,1,-93,-9,1,7,40,6,13828122,452
7.01,1544619864,86.62,51.490508,7.413893,159.67,13.02,0.06,78.19,1,-100,-12,-1,6,37,6,13828122,452
8.01,1544619865,99.64,51.490531,7.414064,158.72,13.14,0.13,78.64,1,-100,-12,-1,6,37,6,13828122,452
9.01,1544619866,112.77,51.490564,7.414276,157.81,13.48,0.33,78.08,1,-100,-10,0,6,36,6,13828122,452
10.01,1544619867,126.25,51.490597,7.414481,157.38,13.36,-0.12,78.90,1,-100,-10,0,6,36,6,13828122,452
11.01,1544619868,139.63,51.490613,7.414641,156.66,13.20,-0.16,79.63,1,-100,-15,-2,5,38,6,13828122,452
12.01,1544619869,152.87,51.490638,7.414848,156.03,13.01,-0.18,79.71,1,-100,-15,-2,5,38,6,13828122,452
13.01,1544619870,165.82,51.490663,7.415050,155.77,13.05,0.04,80.20,1,-103,-15,-6,4,37,6,13828122,452
14.01,1544619871,178.89,51.490683,7.415236,156.25,12.86,-0.20,80.79,1,-103,-15,-6,4,37,6,13828122,452
15.02,1544619872,191.90,51.490702,7.415415,156.99,12.54,-0.31,81.72,1,-99,-14,-8,6,39,8,13416987,62
16.03,1544619873,204.52,51.490716,7.415596,157.84,12.33,-0.20,83.34,1,-99,-14,-8,6,39,8,13416987,62
17.01,1544619874,216.64,51.490725,7.415772,158.29,12.27,-0.06,85.30,1,-97,-13,-1,7,42,8,13416987,62
18.02,1544619875,229.05,51.490728,7.415952,158.19,12.23,-0.04,87.89,1,-97,-13,-1,7,42,8,13416987,62
19.01,1544619876,241.14,51.490721,7.416128,158.12,12.19,-0.04,90.20,1,-99,-13,-2,7,40,8,13416987,62
20.01,1544619877,253.34,51.490710,7.416295,157.58,12.03,-0.16,92.58,1,-99,-13,-2,7,40,8,13416987,62
21.01,1544619878,265.37,51.490696,7.416438,156.59,11.33,-0.71,95.27,1,-97,-12,3,5,41,8,13416987,62
