time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.95,1544708734,81.99,51.490525,7.413718,151.56,11.76,0.15,76.93,1,-115,-14,-13,6,20,63,13067274,289,0,5.00,2.15,70.00,1865
29.99,1544708753,299.29,51.490624,7.416762,148.64,3.70,-1.01,105.35,1,-110,-9,2,8,17,17,12806666,385,2,0.50,23.39,60.00,1865
39.91,1544708763,308.32,51.490608,7.416830,148.74,0.00,0.00,104.92,1,-113,-11,-2,8,16,17,12806666,385,3,10.00,15.90,95.00,1865
50.00,1544708774,308.32,51.490608,7.416830,148.91,0.00,0.00,101.75,1,-114,-11,-1,6,17,17,12806666,385,4,4.00,10.90,59.00,1865
62.20,1544708786,423.35,51.489607,7.417584,149.41,14.22,-0.19,167.27,1,-115,-13,-12,5,24,17,12806666,385,5,3.00,3.73,1301.00,1865
71.28,1544708795,553.68,51.488426,7.417767,150.36,14.93,0.01,179.54,1,-108,-11,-5,5,24,17,12806666,385,6,0.50,1.02,799.00,1865
79.96,1544708804,670.96,51.487371,7.417936,148.69,14.42,0.11,155.20,1,-108,-10,7,7,19,17,12806666,385,7,3.00,3.60,54.00,1865
93.33,1544708817,851.34,51.485911,7.418557,139.89,10.89,0.06,189.89,1,-116,-11,0,9,15,16,13392906,346,8,0.10,0.27,1857.00,1865
102.36,1544708826,956.24,51.485027,7.418929,142.40,11.34,-0.28,162.98,1,-110,-13,-16,6,32,16,13392906,346,9,2.00,1.74,1679.00,1865
112.93,1544708837,1081.47,51.483964,7.418418,143.75,13.14,-0.57,210.04,1,-107,-14,-11,10,29,16,13392906,346,10,2.00,1.18,2276.00,1865
122.80,1544708847,1212.21,51.482983,7.417405,142.26,11.34,-0.65,206.47,1,-110,-12,-10,7,29,16,13392906,346,11,10.00,3.28,1530.00,1865
132.03,1544708855,1317.13,51.482096,7.416858,149.37,10.75,-0.30,198.65,1,-110,-12,-8,5,23,16,13392906,346,12,8.00,3.70,1119.00,1865
143.18,1544708867,1375.33,51.481658,7.416631,152.81,0.00,0.00,200.38,1,-110,-11,-9,7,24,16,13392906,346,13,7.00,7.61,1166.00,1865
151.15,1544708875,1393.91,51.481409,7.416774,154.42,8.51,1.45,130.64,1,-100,-11,-3,12,28,16,13392906,346,14,0.50,9.28,415.00,1865
165.68,1544708889,1589.41,51.481620,7.419636,146.90,16.63,0.31,86.55,1,-101,-7,11,11,36,13,13392905,345,15,3.00,3.76,149.00,1865
172.20,1544708896,1707.70,51.481739,7.421337,143.77,17.78,0.59,81.59,1,-86,-6,1,6,40,12,13532419,390,16,7.00,2.30,631.00,860
184.20,1544708907,1930.32,51.482188,7.424513,133.48,17.65,-0.55,77.58,1,-107,-15,-2,5,26,14,13532161,199,17,3.00,2.16,2100.00,860
192.49,1544708916,2054.07,51.482425,7.426199,128.81,13.54,-0.14,77.34,1,-103,-13,-1,6,28,14,13532161,199,18,1.00,2.51,1404.00,860
200.73,1544708924,2142.81,51.482582,7.427416,130.60,6.29,-0.82,79.82,1,-94,-9,6,10,35,9,13532675,385,19,0.10,1.29,449.00,860
210.90,1544708935,2220.60,51.482596,7.428644,135.42,13.60,0.85,92.09,1,-93,-9,9,10,39,9,13532675,385,20,4.00,13.20,499.00,860
219.92,1544708943,2338.11,51.482474,7.430327,138.06,12.36,0.08,96.28,1,-95,-9,7,7,33,9,13532675,385,21,9.00,35.91,45.00,860
229.93,1544708953,2449.79,51.482333,7.431880,140.03,6.65,-0.72,96.86,1,-97,-9,1,8,31,9,13532675,385,22,0.50,25.97,135.00,860
239.93,1544708964,2468.07,51.482307,7.432090,139.73,0.00,0.00,97.16,1,-98,-10,2,8,31,9,13532675,385,23,8.00,37.36,51.00,860
249.93,1544708973,2468.07,51.482307,7.432090,139.78,0.00,0.00,97.16,1,-96,-9,7,7,33,9,13532675,385,24,4.00,24.13,55.00,860
259.93,1544708983,2468.07,51.482307,7.432090,139.98,0.00,0.00,97.16,1,-96,-9,4,7,32,9,13532675,385,25,3.00,22.24,51.00,860
269.93,1544708994,2468.07,51.482307,7.432090,140.23,0.00,0.00,97.16,1,-97,-10,6,8,33,9,13532675,385,26,2.00,26.76,54.00,860
279.93,1544709003,2495.15,51.482260,7.432676,143.05,9.69,1.03,95.84,1,-91,-7,10,9,37,9,13532675,385,27,9.00,45.69,50.00,860
289.92,1544709014,2599.11,51.482149,7.434162,144.12,11.85,0.46,96.73,1,-97,-9,21,7,31,9,13532675,385,28,7.00,19.55,42.00,860
299.95,1544709023,2726.97,51.482012,7.436036,145.26,12.16,-0.39,96.56,1,-96,-9,5,7,32,11,12973569,333,29,6.00,20.93,42.00,860
309.93,1544709033,2820.90,51.481931,7.437369,146.88,10.01,-0.74,97.10,1,-105,-13,1,5,29,11,12973569,333,30,8.00,24.90,45.00,860
319.96,1544709043,2898.36,51.481849,7.438498,148.59,3.75,-0.12,95.24,1,-93,-7,10,12,35,10,12973569,333,31,8.00,32.24,88.00,860
329.95,1544709053,2978.97,51.481773,7.439724,148.00,12.87,-0.41,94.30,1,-92,-7,0,10,34,10,12973569,333,32,6.00,43.32,51.00,860
339.93,1544709063,3103.17,51.481586,7.441500,150.29,11.82,0.29,118.75,1,-90,-6,8,9,37,10,12973569,333,33,0.10,19.51,45.00,860
349.92,1544709073,3234.12,51.480793,7.442893,154.23,12.39,-0.79,133.19,1,-89,-5,16,12,37,10,12973569,333,34,0.10,14.55,52.00,860
359.91,1544709083,3354.62,51.479769,7.443543,155.58,14.19,0.36,151.63,1,-85,-6,20,12,40,10,12973569,333,35,2.00,61.30,51.00,860
369.91,1544709093,3496.70,51.478682,7.444503,156.02,13.14,-0.30,151.20,1,-75,-6,27,12,51,10,12973569,333,36,3.00,53.93,96.00,860
379.94,1544709104,3623.97,51.477685,7.445392,156.97,12.57,0.15,151.51,1,-64,-6,16,12,63,10,12973569,333,37,7.00,64.67,46.00,860
389.92,1544709114,3760.74,51.476580,7.446343,157.20,13.92,-0.04,152.15,1,-68,-10,0,15,63,2,12973569,333,38,9.00,38.05,71.00,860
399.89,1544709123,3887.86,51.475578,7.447195,156.74,11.95,-0.42,150.62,1,-71,-7,28,15,57,2,12973570,334,39,0.50,24.10,52.00,860
409.91,1544709133,3973.87,51.474962,7.447853,162.31,5.73,-0.42,144.38,1,-72,-7,28,15,56,2,12973570,334,40,3.00,61.54,44.00,860
419.94,1544709143,3996.86,51.474813,7.448049,163.66,0.00,0.00,142.59,1,-77,-6,27,15,50,2,12973570,334,41,5.00,78.28,48.00,860
429.94,1544709154,3996.86,51.474813,7.448049,163.61,0.00,0.00,142.59,1,-77,-7,26,12,54,2,12973570,334,42,8.00,69.04,51.00,860
439.94,1544709163,3996.86,51.474813,7.448049,163.51,0.00,0.00,142.59,1,-77,-6,29,12,50,2,12973570,334,43,0.10,61.54,44.00,860
449.91,1544709173,3996.86,51.474813,7.448049,163.43,0.00,0.00,142.59,1,-78,-8,28,15,51,2,12973570,334,44,4.00,66.12,45.00,860
459.93,1544709183,3996.86,51.474813,7.448049,163.46,0.00,0.00,142.59,1,-77,-7,22,13,51,2,12973570,334,45,0.10,19.51,47.00,860
469.90,1544709194,4027.46,51.474549,7.448395,164.28,7.16,0.71,140.97,1,-83,-6,16,12,43,2,12973570,334,46,6.00,71.01,51.00,860
479.90,1544709204,4118.62,51.473901,7.449268,162.99,10.73,0.44,137.28,1,-82,-7,16,12,44,2,12973570,334,47,4.00,37.17,133.00,860
489.92,1544709213,4229.84,51.473279,7.450439,161.96,9.46,-0.45,125.70,1,-86,-7,5,9,41,2,12973570,334,48,0.10,13.11,58.00,860
499.94,1544709223,4344.20,51.472795,7.451976,162.85,15.30,0.93,112.13,1,-75,-6,2,2,52,6,13394179,495,49,8.00,53.16,50.00,860
509.91,1544709233,4488.55,51.472458,7.453988,162.80,14.37,0.45,105.29,1,-83,-6,19,1,42,6,13394179,495,50,9.00,60.25,55.00,860
519.95,1544709244,4631.86,51.472059,7.455930,161.30,14.39,-0.10,111.90,1,-90,-7,24,10,37,6,13394179,495,51,8.00,40.92,104.00,860
529.92,1544709253,4773.95,51.471518,7.457752,156.19,13.35,-0.48,117.29,1,-85,-7,14,12,41,4,13394177,497,52,5.00,77.22,56.00,860
539.92,1544709263,4900.64,51.471016,7.459389,155.18,12.56,-0.44,116.65,1,-78,-5,8,11,45,4,13394177,497,53,1.00,41.88,50.00,860
549.96,1544709273,5032.19,51.470529,7.461163,154.25,14.36,0.38,113.94,1,-82,-5,14,12,42,4,13394177,497,54,0.50,19.42,66.00,860
559.92,1544709283,5169.73,51.469994,7.463025,154.71,12.48,-0.68,116.13,1,-93,-7,-2,7,36,4,13394177,497,55,4.00,31.56,64.00,860
569.90,1544709293,5320.25,51.469535,7.465072,153.84,16.70,0.20,104.78,1,-88,-8,17,14,39,13,13393923,318,56,8.00,43.78,58.00,860
579.92,1544709304,5505.49,51.469486,7.467758,153.09,19.45,-0.61,82.55,1,-100,-10,2,5,29,13,13393923,318,57,5.00,24.26,61.00,860
589.91,1544709313,5693.77,51.469774,7.470478,155.02,19.39,0.08,80.85,1,-94,-10,-3,7,36,13,13393923,318,58,0.10,7.34,58.00,860
