time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1544794917,0.00,51.490315,7.412316,161.28,3.13,0.00,86.12,1,-88,-6,16,12,47,7,26385408,95
1.04,1544794918,3.14,51.490334,7.412459,161.84,3.41,0.28,77.90,1,-94,-7,21,14,44,7,26385408,95
2.04,1544794919,6.56,51.490347,7.412583,161.78,3.77,0.36,79.99,1,-94,-7,21,14,44,7,26385408,95
3.04,1544794920,10.32,51.490365,7.412733,160.88,7.94,4.17,80.05,1,-87,-6,14,9,48,7,26385408,95
4.04,1544794921,18.26,51.490386,7.412898,159.70,10.92,2.99,78.17,1,-87,-6,14,9,48,7,26385408,95
5.04,1544794922,29.17,51.490419,7.413092,158.32,12.29,1.37,78.31,1,-86,-5,19,10,49,7,26385408,95
6.04,1544794923,41.47,51.490438,7.413250,157.34,12.07,-0.22,77.83,1,-86,-5,19,10,49,7,26385408,95
7.04,1544794924,53.55,51.490459,7.413417,156.25,12.37,0.30,77.51,1,-87,-5,15,11,49,8,26385408,95
8.04,1544794925,65.92,51.490483,7.413611,155.79,12.96,0.59,77.57,1,-87,-5,15,11,49,8,26385408,95
9.04,1544794926,78.90,51.490506,7.413801,155.59,13.59,0.62,78.02,1,-89,-6,15,12,49,9,26385408,95
10.04,1544794927,92.47,51.490528,7.413995,155.33,14.09,0.50,78.54,1,-89,-6,15,12,49,9,26385408,95
11.04,1544794928,106.56,51.490559,7.414208,155.34,14.55,0.46,78.34,1,-86,-5,15,12,51,9,26385408,95
12.04,1544794929,121.12,51.490589,7.414410,155.69,14.64,0.09,79.03,1,-86,-5,15,12,51,9,26385408,95
13.05,1544794930,135.85,51.490611,7.414614,156.01,14.02,-0.62,79.39,1,-81,-5,21,13,53,9,26385408,95
14.04,1544794931,149.77,51.490634,7.414813,155.99,13.79,-0.23,79.75,1,-81,-5,21,13,53,9,26385408,95
15.04,1544794932,163.56,51.490654,7.414999,155.59,13.36,-0.43,80.26,1,-81,-5,21,13,53,9,26385408,95
16.04,1544794933,176.92,51.490671,7.415188,155.30,13.03,-0.33,80.96,1,-83,-5,35,15,52,9,26385408,95
17.04,1544794934,189.95,51.490683,7.415363,154.84,12.82,-0.21,82.22,1,-83,-5,35,15,52,9,26385408,95
18.04,1544794935,202.77,51.490693,7.415539,154.38,12.60,-0.22,83.75,1,-82,-5,16,15,53,10,26385408,95
19.04,1544794936,215.37,51.490701,7.415717,154.10,12.38,-0.22,85.58,1,-82,-5,16,15,53,10,26385408,95
20.04,1544794937,227.76,51.490701,7.415894,153.79,12.21,-0.17,88.05,1,-84,-6,6,11,52,10,26385408,95
21.05,1544794938,240.00,51.490695,7.416069,153.22,12.05,-0.15,90.17,1,-84,-6,6,11,52,10,26385408,95
22.05,1544794939,252.10,51.490683,7.416244,152.95,11.71,-0.35,93.08,1,-79,-5,-4,6,55,4,29391105,167
23.04,1544794940,263.69,51.490665,7.416408,152.75,11.64,-0.07,96.68,1,-79,-5,-4,6,55,4,29391105,167
24.04,1544794941,275.34,51.490643,7.416571,152.75,10.80,-0.84,99.67,1,-83,-8,13,15,55,4,29391105,167
25.04,1544794942,286.17,51.490622,7.416715,152.84,8.66,-2.14,101.30,1,-83,-8,13,15,55,4,29391105,167
26.04,1544794943,294.80,51.490609,7.416820,152.85,6.88,-1.79,101.20,1,-86,-6,13,12,50,4,29391105,167
27.04,1544794944,301.70,51.490597,7.416898,152.60,4.70,-2.17,102.73,1,-86,-6,13,12,50,4,29391105,167
28.04,1544794945,306.40,51.490587,7.416947,152.58,1.21,-3.49,104.73,1,-83,-5,22,12,52,4,29391105,167
29.04,1544794946,307.61,51.490587,7.416947,152.58,0.00,-1.21,104.73,1,-83,-5,22,12,52,4,29391105,167
30.07,1544794947,307.61,51.490587,7.416947,152.58,0.00,0.00,104.73,1,-77,-6,27,14,59,4,29391105,167
31.04,1544794948,307.61,51.490587,7.416947,152.59,0.00,0.00,104.73,1,-77,-6,27,14,59,4,29391105,167
32.04,1544794949,307.61,51.490587,7.416947,152.59,0.00,0.00,104.73,1,-80,-7,22,10,59,4,29391105,167
33.04,1544794950,307.61,51.490587,7.416947,152.59,0.00,0.00,104.73,1,-80,-7,22,10,59,4,29391105,167
34.05,1544794951,307.61,51.490587,7.416947,152.59,0.00,0.00,104.73,1,-81,-8,27,12,59,4,29391105,167
35.04,1544794952,307.61,51.490587,7.416947,152.59,0.00,0.00,104.73,1,-81,-8,27,12,59,4,29391105,167
36.04,1544794953,307.61,51.490587,7.416947,152.59,0.00,0.00,104.73,1,-81,-8,27,12,59,4,29391105,167
37.04,1544794954,307.61,51.490587,7.416947,152.58,0.00,0.00,104.73,1,-77,-7,27,12,60,4,29391105,167
38.04,1544794955,307.61,51.490587,7.416947,152.58,0.00,0.00,104.73,1,-77,-7,27,12,60,4,29391105,167
39.04,1544794956,307.61,51.490587,7.416947,152.57,0.00,0.00,104.73,1,-77,-6,28,12,59,4,29391105,167
40.04,1544794957,307.61,51.490587,7.416947,152.57,0.00,0.00,104.73,1,-77,-6,28,12,59,4,29391105,167
41.04,1544794958,307.61,51.490587,7.416947,152.56,0.00,0.00,104.73,1,-77,-6,28,12,60,4,29391105,167
42.04,1544794959,307.61,51.490587,7.416947,152.55,0.00,0.00,104.73,1,-77,-6,28,12,60,4,29391105,167
43.04,1544794960,307.61,51.490587,7.416947,152.54,0.00,0.00,104.73,1,-78,-6,24,12,60,4,29391105,167
44.04,1544794961,307.61,51.490587,7.416947,152.52,0.00,0.00,104.73,1,-78,-6,24,12,60,4,29391105,167
45.04,1544794962,307.61,51.490587,7.416947,152.51,0.00,0.00,104.73,1,-81,-6,27,12,57,4,29391105,167
46.04,1544794963,307.61,51.490587,7.416947,152.50,0.00,0.00,104.73,1,-81,-6,27,12,57,4,29391105,167
47.04,1544794964,307.61,51.490587,7.416947,152.49,0.00,0.00,104.73,1,-81,-5,28,15,56,4,29391105,167
48.04,1544794965,307.61,51.490587,7.416947,152.48,0.00,0.00,104.73,1,-81,-5,28,15,56,4,29391105,167
49.04,1544794966,307.61,51.490587,7.416947,152.47,0.00,0.00,104.73,1,-77,-8,26,15,62,4,29391105,167
50.04,1544794967,307.61,51.490587,7.416947,152.46,0.00,0.00,104.73,1,-77,-8,26,15,62,4,29391105,167
51.04,1544794968,307.61,51.490587,7.416947,152.45,0.00,0.00,104.73,1,-77,-6,26,15,60,4,29391105,167
52.04,1544794969,307.61,51.490587,7.416947,152.44,0.00,0.00,104.73,1,-77,-6,26,15,60,4,29391105,167
53.04,1544794970,307.61,51.490587,7.416947,152.43,0.00,0.00,104.73,1,-79,-7,25,15,59,4,29391105,167
54.04,1544794971,307.61,51.490587,7.416947,152.42,0.00,0.00,104.73,1,-79,-7,25,15,59,4,29391105,167
55.05,1544794972,307.61,51.490587,7.416947,152.41,0.00,0.00,104.73,1,-81,-5,27,15,56,4,29391105,167
56.04,1544794973,307.61,51.490587,7.416947,152.40,0.00,0.00,104.73,1,-81,-5,27,15,56,4,29391105,167
57.04,1544794974,307.61,51.490587,7.416947,152.39,0.00,0.00,104.73,1,-81,-5,27,15,56,4,29391105,167
58.04,1544794975,307.61,51.490584,7.416946,152.39,0.00,0.00,104.73,1,-77,-6,28,15,60,4,29391105,167
59.04,1544794976,307.61,51.490580,7.416943,152.38,0.00,0.00,104.73,1,-77,-6,28,15,60,4,29391105,167
60.06,1544794977,307.61,51.490577,7.416944,152.24,0.00,0.00,104.73,1,-77,-6,28,15,60,4,29391105,167
61.04,1544794978,307.61,51.490573,7.416946,152.24,0.00,0.00,104.73,1,-77,-6,28,15,60,4,29391105,167
62.04,1544794979,307.61,51.490575,7.416948,152.15,0.00,0.00,26.07,1,-78,-7,24,12,59,4,29391105,167
63.04,1544794980,307.61,51.490569,7.416946,152.10,0.00,0.00,26.07,1,-78,-7,24,12,59,4,29391105,167
64.04,1544794981,307.61,51.490564,7.416937,152.08,0.00,0.00,26.07,1,-78,-6,24,13,57,4,29391105,167
65.04,1544794982,307.61,51.490562,7.416936,152.06,0.00,0.00,26.07,1,-78,-6,24,13,57,4,29391105,167
66.04,1544794983,307.61,51.490561,7.416933,152.03,0.00,0.00,26.07,1,-81,-6,27,15,57,4,29391105,167
67.04,1544794984,307.61,51.490560,7.416928,151.68,0.00,0.00,26.07,1,-81,-6,27,15,57,4,29391105,167
68.04,1544794985,307.61,51.490557,7.416924,151.30,0.00,0.00,26.07,1,-77,-6,25,15,58,4,29391105,167
69.04,1544794986,307.61,51.490558,7.416920,150.91,0.00,0.00,26.07,1,-77,-6,25,15,58,4,29391105,167
70.04,1544794987,307.61,51.490558,7.416905,150.57,0.00,0.00,291.67,1,-77,-6,25,15,60,4,29391105,167
71.04,1544794988,307.61,51.490558,7.416891,150.54,0.00,0.00,291.67,1,-77,-6,25,15,60,4,29391105,167
72.04,1544794989,307.61,51.490560,7.416886,150.52,0.00,0.00,291.67,1,-78,-6,27,15,58,4,29391105,167
73.04,1544794990,307.61,51.490561,7.416884,150.52,0.00,0.00,291.67,1,-78,-6,27,15,58,4,29391105,167
74.04,1544794991,307.61,51.490561,7.416880,150.51,0.00,0.00,291.67,1,-81,-6,28,15,56,4,29391105,167
75.04,1544794992,307.61,51.490560,7.416879,150.51,0.00,0.00,291.67,1,-81,-6,28,15,56,4,29391105,167
76.05,1544794993,307.61,51.490559,7.416877,150.61,0.00,0.00,291.67,1,-81,-5,25,15,56,4,29391105,167
77.04,1544794994,307.61,51.490560,7.416891,150.63,0.00,0.00,91.87,1,-81,-5,25,15,56,4,29391105,167
