time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.42,1544794928,92.47,51.490528,7.413995,155.33,14.09,0.50,78.54,1,-89,-6,15,12,49,9,26385408,95,0,0.50,4.60,94.00,1815
20.15,1544794937,227.76,51.490701,7.415894,153.79,12.21,-0.17,88.05,1,-84,-6,6,11,52,10,26385408,95,1,8.00,21.14,198.00,1815
30.01,1544794948,307.61,51.490587,7.416947,152.58,0.00,0.00,104.73,1,-77,-6,27,14,59,4,29391105,167,2,1.00,10.48,68.00,1815
40.03,1544794957,307.61,51.490587,7.416947,152.57,0.00,0.00,104.73,1,-77,-6,28,12,59,4,29391105,167,3,8.00,20.56,48.00,1815
49.97,1544794967,307.61,51.490587,7.416947,152.47,0.00,0.00,104.73,1,-77,-8,26,15,62,4,29391105,167,4,5.00,18.76,49.00,1815
60.06,1544794978,307.61,51.490577,7.416944,152.24,0.00,0.00,104.73,1,-77,-6,28,15,60,4,29391105,167,5,6.00,26.91,48.00,1815
69.96,1544794987,307.61,51.490558,7.416920,150.91,0.00,0.00,26.07,1,-77,-6,25,15,58,4,29391105,167,6,5.00,18.54,59.00,1815
79.96,1544794997,307.61,51.490526,7.417070,151.32,2.25,0.00,115.46,1,-76,-5,29,15,58,4,29391105,167,7,10.00,21.96,94.00,1815
89.98,1544795007,406.27,51.489541,7.417546,151.79,14.97,0.43,166.91,1,-83,-5,25,15,53,4,29391105,167,8,0.10,4.44,119.00,1815
99.96,1544795017,559.22,51.488172,7.417708,151.58,15.96,0.09,181.29,1,-91,-7,11,9,47,4,29391105,167,9,7.00,13.86,60.00,1815
109.95,1544795028,716.66,51.486912,7.418500,146.20,14.56,-0.42,140.44,1,-102,-8,11,7,36,10,28365056,222,10,1.00,8.37,41.00,1815
119.94,1544795037,838.64,51.485889,7.418507,143.75,9.75,-0.30,188.82,1,-94,-8,24,8,46,10,28365056,222,11,0.10,4.28,81.00,1815
130.04,1544795048,956.46,51.484876,7.418945,150.44,11.93,-0.02,174.51,1,-98,-8,-3,8,40,12,29391105,167,12,4.00,5.39,60.00,1815
139.98,1544795057,1073.86,51.483893,7.418305,148.58,13.70,-0.31,212.51,1,-99,-9,8,7,41,8,28365056,222,13,0.50,4.05,49.00,1815
149.95,1544795067,1207.74,51.482887,7.417329,145.06,13.23,-0.03,205.37,1,-104,-9,7,7,36,8,28365056,222,14,3.00,11.75,37.00,1815
159.94,1544795077,1344.98,51.481770,7.416707,151.32,8.15,-4.66,200.81,1,-90,-11,9,8,52,8,28365056,222,15,0.50,4.15,95.00,1815
169.95,1544795087,1360.80,51.481685,7.416654,152.42,0.00,0.00,200.85,1,-91,-9,7,8,50,8,28365056,222,16,0.10,4.94,51.00,1815
179.94,1544795098,1360.80,51.481685,7.416654,152.57,0.00,0.00,200.85,1,-89,-10,6,7,53,8,28365056,222,17,4.00,11.41,42.00,1815
190.03,1544795107,1360.80,51.481685,7.416654,152.74,0.00,0.00,200.85,1,-90,-11,5,8,53,8,28365056,222,18,10.00,17.21,54.00,1815
199.99,1544795117,1360.80,51.481709,7.416614,153.57,0.00,0.00,354.13,1,-93,-11,6,9,49,8,28365056,222,19,6.00,15.37,46.00,1815
209.93,1544795127,1360.80,51.481749,7.416549,154.23,0.00,0.00,354.13,1,-91,-12,4,8,53,8,28365056,222,20,5.00,10.71,95.00,1815
219.94,1544795137,1401.66,51.481514,7.417312,155.25,12.28,1.18,82.67,1,-86,-9,4,9,54,5,28365057,224,21,5.00,14.49,37.00,1815
229.96,1544795147,1549.27,51.481617,7.419488,148.98,16.90,0.14,85.42,1,-84,-10,5,9,56,5,28365057,224,22,9.00,13.45,37.00,1815
239.94,1544795157,1719.79,51.481813,7.421906,145.43,16.32,0.12,77.87,1,-98,-11,-3,4,44,5,28365057,224,23,3.00,7.76,35.00,1815
250.07,1544795167,1906.15,51.482187,7.424554,136.15,16.41,-0.03,77.93,1,-95,-10,8,8,47,16,28368386,213,24,2.00,2.56,46.00,1815
259.95,1544795177,2050.89,51.482484,7.426563,133.68,13.16,-1.15,77.76,1,-102,-13,-2,6,43,16,28368386,213,25,7.00,10.23,38.00,1815
269.96,1544795187,2131.41,51.482607,7.427686,135.67,6.91,0.16,81.46,1,-97,-12,1,6,45,16,28368386,213,26,6.00,8.81,34.00,1815
280.15,1544795197,2247.59,51.482544,7.429481,135.57,14.43,0.41,95.37,1,-103,-13,-2,6,42,16,28368386,213,27,10.00,9.47,44.00,1815
289.95,1544795207,2366.99,51.482398,7.431132,137.71,7.50,-1.87,97.19,1,-89,-9,4,12,50,5,28367106,86,28,8.00,14.46,41.00,1815
299.95,1544795217,2382.20,51.482384,7.431263,137.91,0.00,0.00,96.05,1,-96,-8,4,6,40,5,28367106,86,29,9.00,20.28,43.00,1815
309.96,1544795227,2382.20,51.482384,7.431263,137.88,0.00,0.00,96.05,1,-94,-9,2,9,45,5,28367106,86,30,9.00,13.25,108.00,1815
319.98,1544795237,2382.20,51.482384,7.431263,137.88,0.00,0.00,96.05,1,-96,-10,0,4,42,5,28367106,86,31,3.00,10.08,43.00,1815
329.98,1544795247,2382.20,51.482384,7.431263,137.90,0.00,0.00,96.05,1,-94,-9,0,4,46,5,28367106,86,32,6.00,10.23,40.00,1815
339.94,1544795257,2427.07,51.482312,7.432062,139.48,5.57,-0.19,96.66,1,-98,-11,3,6,44,12,28368386,213,33,1.00,6.13,42.00,1815
349.96,1544795267,2509.37,51.482211,7.433308,141.00,12.25,0.21,97.30,1,-88,-9,10,11,52,11,28368386,213,34,2.00,7.18,39.00,1815
359.94,1544795277,2637.11,51.482081,7.435139,141.45,12.90,-0.24,96.92,1,-85,-7,10,15,50,4,28367106,86,35,7.00,20.50,38.00,1815
369.97,1544795287,2764.28,51.481943,7.436946,145.17,11.93,-0.46,96.36,1,-91,-10,7,11,50,4,28367105,85,36,4.00,13.34,39.00,1815
379.93,1544795298,2847.05,51.481856,7.438148,147.36,2.46,-0.67,101.48,1,-82,-5,15,8,55,4,28367105,85,37,9.00,18.59,88.00,1815
389.96,1544795307,2871.74,51.481858,7.438575,149.32,5.61,0.85,94.05,1,-93,-6,14,10,43,4,28367105,85,38,2.00,15.07,39.00,1815
399.96,1544795317,2954.36,51.481770,7.439779,149.84,11.53,-0.10,95.52,1,-93,-7,11,7,45,8,28368386,213,39,0.50,3.38,45.00,1815
409.95,1544795327,3071.20,51.481607,7.441440,150.94,12.40,0.44,116.51,1,-97,-11,10,7,44,8,28368386,213,40,3.00,7.81,37.00,1815
419.95,1544795337,3207.88,51.480813,7.442932,153.51,12.79,-0.73,133.71,1,-85,-5,18,15,51,7,28367105,85,41,0.10,4.23,45.00,1815
429.91,1544795347,3336.25,51.479704,7.443619,155.54,15.02,0.46,152.11,1,-101,-10,0,7,39,7,28367105,85,42,1.00,5.10,36.00,1815
439.96,1544795357,3496.51,51.478436,7.444717,157.08,15.85,-0.48,151.26,1,-107,-12,-2,4,36,14,29568768,213,43,1.00,5.39,43.00,1815
449.95,1544795367,3596.94,51.477714,7.445357,157.99,2.48,-1.04,151.52,1,-102,-9,4,7,39,7,28368384,215,44,1.00,5.03,45.00,1815
459.95,1544795377,3602.40,51.477683,7.445387,158.27,0.00,0.00,150.27,1,-100,-9,10,8,39,7,28368384,215,45,9.00,20.13,42.00,1815
469.95,1544795387,3632.00,51.477316,7.445714,159.65,12.54,1.29,151.40,1,-100,-8,11,7,40,7,28368384,215,46,0.10,3.13,36.00,1815
479.95,1544795397,3779.51,51.476136,7.446706,159.27,14.59,-0.26,151.69,1,-84,-9,22,9,57,11,29568768,415,47,4.00,22.94,37.00,1815
490.01,1544795407,3924.24,51.475046,7.447724,161.32,9.28,-0.84,146.05,1,-95,-7,10,12,41,7,28368384,215,48,0.50,8.11,61.00,1815
500.00,1544795417,3997.32,51.474556,7.448359,159.04,7.96,0.13,141.59,1,-97,-9,10,7,44,7,28368384,215,49,9.00,13.54,97.00,1815
509.94,1544795427,4079.57,51.473979,7.449166,157.93,11.17,0.48,137.79,1,-92,-8,11,11,48,7,28368384,215,50,10.00,26.49,37.00,1815
519.98,1544795437,4192.58,51.473293,7.450422,158.26,10.59,-0.49,126.23,1,-83,-5,17,10,54,7,29568768,415,51,10.00,39.04,35.00,1815
529.94,1544795447,4330.89,51.472730,7.452271,157.69,17.16,0.15,110.24,1,-75,-5,33,13,61,7,29568768,415,52,7.00,21.93,39.00,1815
