time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
11.94,1545134380,119.96,51.490554,7.414114,160.36,13.66,0.46,77.44,1,-103,-12,-3,5,36,8,13828122,452,0,2.00,1.99,52.00,19.97,1750
21.51,1545134390,255.95,51.490707,7.416054,156.48,13.13,-0.12,90.24,1,-106,-19,-11,4,40,8,13828122,452,1,7.00,2.75,312.00,17.22,1750
36.50,1545134405,316.29,51.490590,7.416871,153.70,0.00,0.00,103.29,1,-99,-13,2,6,41,6,13416987,62,2,0.10,0.24,885.00,15.00,1750
41.65,1545134410,316.29,51.490590,7.416871,153.66,0.00,0.00,103.29,1,-99,-14,0,6,41,6,13416987,62,3,1.00,4.38,622.00,15.58,1750
51.48,1545134420,337.22,51.490373,7.417223,156.33,10.50,2.50,167.43,1,-100,-12,1,8,39,6,13416987,62,4,4.00,2.51,845.00,21.05,1750
60.92,1545134429,459.00,51.489274,7.417622,158.32,14.44,-0.10,168.28,1,-98,-12,3,6,41,6,13416987,62,5,6.00,4.71,256.00,18.45,1750
70.76,1545134439,604.96,51.487931,7.417676,153.81,15.11,0.18,179.77,1,-102,-14,-5,6,39,5,13416986,61,6,5.00,2.92,645.00,20.55,1750
82.00,1545134451,777.66,51.486620,7.418677,146.84,13.90,-0.83,170.49,1,-106,-14,-3,7,34,5,13416986,61,7,9.00,6.22,58.00,20.94,1750
91.94,1545134460,884.98,51.485659,7.418522,141.40,11.39,0.21,171.07,1,-105,-10,-2,7,32,5,13416986,61,8,1.00,3.39,782.00,19.84,1750
100.51,1545134469,990.86,51.484776,7.418955,148.72,12.78,0.10,180.96,1,-108,-13,-3,4,32,5,13416986,61,9,4.00,3.51,46.00,20.95,1750
110.77,1545134480,1129.20,51.483659,7.418080,146.65,14.31,-0.04,212.99,1,-107,-14,-6,6,33,19,13427483,146,10,0.50,2.36,278.00,18.81,1750
120.48,1545134489,1272.86,51.482536,7.417100,149.69,14.39,-0.14,202.43,1,-100,-8,2,6,34,19,13427483,146,11,3.00,6.98,32.00,20.69,1750
130.74,1545134499,1382.49,51.481667,7.416639,154.86,0.53,-3.19,201.86,1,-99,-16,-4,5,43,12,13495579,146,12,0.50,2.74,270.00,15.83,1750
140.53,1545134509,1383.02,51.481667,7.416639,154.89,0.00,0.00,201.86,1,-91,-13,5,6,47,10,13884185,27,13,7.00,7.82,46.00,18.64,1750
150.47,1545134519,1383.02,51.481667,7.416639,154.88,0.00,0.00,201.86,1,-91,-10,7,6,44,10,13884185,27,14,0.50,3.69,46.00,16.09,1750
160.58,1545134529,1383.02,51.481523,7.416614,156.55,1.05,0.00,165.42,1,-95,-11,0,6,42,13,13495579,134,15,8.00,13.61,59.00,18.25,1750
171.95,1545134541,1486.23,51.481597,7.418488,157.65,15.72,0.60,84.34,1,-92,-15,-1,7,48,9,13884185,27,16,2.00,6.59,1330.00,16.03,1750
181.36,1545134550,1659.79,51.481718,7.421010,146.44,17.92,0.17,82.08,1,-101,-19,-8,4,43,11,13495579,134,17,7.00,7.27,153.00,21.19,1750
230.16,1545134598,2353.53,51.482424,7.430898,141.28,7.19,-0.42,96.07,1,-93,-10,2,1,45,10,13823003,266,22,4.00,14.45,35.00,19.48,1750
240.19,1545134608,2467.39,51.482273,7.432596,143.17,14.92,0.63,96.50,1,-81,-7,22,8,52,10,13823003,266,23,10.00,18.68,34.00,17.33,1750
250.18,1545134619,2618.87,51.482117,7.434779,141.07,15.64,0.12,96.43,1,-82,-7,15,10,52,10,13823003,266,24,9.00,18.73,40.00,11.72,1750
260.29,1545134629,2752.77,51.481957,7.436611,142.78,5.84,-3.01,96.91,1,-75,-6,22,11,57,10,13823003,266,25,8.00,18.25,45.00,5.81,1750
270.17,1545134638,2820.18,51.481902,7.437634,144.55,8.06,0.01,96.21,1,-77,-6,25,12,56,10,13823003,266,26,2.00,13.73,43.00,1.10,1750
280.24,1545134649,2903.87,51.481814,7.438902,148.22,8.37,0.25,97.05,1,-67,-7,31,15,63,10,13823003,266,27,10.00,18.12,44.00,-4.31,1750
290.16,1545134659,2993.96,51.481737,7.440178,147.29,7.94,-0.87,95.60,1,-76,-7,27,11,58,10,13823003,266,28,0.50,9.85,31.00,-0.78,1750
300.19,1545134669,3027.35,51.481718,7.440644,147.85,3.96,0.98,95.51,1,-69,-6,21,11,63,10,13823003,266,29,6.00,16.63,43.00,6.43,1750
310.17,1545134679,3044.17,51.481707,7.440829,148.34,0.00,0.00,96.18,1,-75,-8,6,7,63,10,13823003,266,30,1.00,13.79,41.00,4.22,1750
320.18,1545134688,3049.82,51.481702,7.441056,155.94,6.51,0.84,97.94,1,-68,-9,21,12,63,10,13823003,266,31,2.00,13.90,45.00,-3.22,1750
330.17,1545134699,3137.15,51.481274,7.442176,161.46,12.41,0.35,133.19,1,-74,-6,14,10,59,1,13823002,265,32,7.00,20.00,36.00,-4.23,1750
340.17,1545134709,3256.28,51.480440,7.443161,159.43,9.23,-1.30,175.41,1,-59,-5,18,12,63,1,13823002,265,33,0.50,10.20,38.00,0.38,1750
350.18,1545134719,3370.21,51.479475,7.443815,160.78,13.86,0.47,151.63,1,-87,-15,0,3,55,1,13823002,265,34,2.00,6.74,40.00,10.28,1750
360.15,1545134728,3511.00,51.478373,7.444786,162.77,14.54,-0.11,151.46,1,-80,-7,22,12,54,10,12896793,375,35,0.10,4.04,39.00,-0.82,1750
370.19,1545134739,3653.55,51.477258,7.445759,166.83,13.59,-0.37,151.59,1,-76,-9,24,15,60,10,12896793,375,36,9.00,12.95,47.00,6.08,1750
380.18,1545134748,3772.04,51.476332,7.446575,163.44,8.85,-1.10,152.06,1,-71,-8,28,13,63,10,12896793,375,37,4.00,13.80,50.00,-1.81,1750
390.19,1545134758,3820.16,51.475996,7.446867,163.81,0.00,0.00,151.32,1,-76,-10,19,14,62,10,12896793,375,38,6.00,11.47,40.00,4.23,1750
400.17,1545134768,3820.16,51.475996,7.446867,163.74,0.00,0.00,151.32,1,-77,-7,30,11,59,10,12896793,375,39,4.00,14.17,38.00,10.59,1750
410.15,1545134779,3836.73,51.475672,7.447137,159.40,9.27,0.42,151.29,1,-70,-7,29,15,63,10,12896793,375,40,1.00,11.19,52.00,-7.55,1750
420.15,1545134789,3933.61,51.474980,7.447839,163.54,7.42,-0.69,144.50,1,-80,-7,21,12,55,10,12896793,375,41,0.50,7.56,73.00,11.73,1750
430.18,1545134798,4011.77,51.474410,7.448592,168.33,8.44,0.39,140.06,1,-79,-9,14,9,57,10,12896793,375,42,4.00,10.91,75.00,7.55,1750
440.46,1545134809,4119.32,51.473674,7.449669,165.21,12.35,0.38,133.96,1,-74,-11,15,10,63,10,12896793,375,43,9.00,12.62,40.00,-12.27,1750
450.21,1545134819,4254.09,51.472990,7.451285,164.82,15.65,0.12,119.53,1,-79,-9,14,11,57,1,12896794,376,44,6.00,13.88,53.00,11.80,1750
460.24,1545134828,4405.93,51.472579,7.453387,169.78,15.04,-0.17,104.53,1,-67,-7,20,15,63,1,12896794,376,45,10.00,15.50,39.00,-1.31,1750
470.22,1545134838,4555.00,51.472226,7.455389,165.45,15.75,-0.05,109.64,1,-84,-7,9,11,50,1,12896794,376,46,6.00,14.79,47.00,9.20,1750
480.24,1545134849,4697.11,51.471722,7.457300,165.12,12.47,-0.15,115.52,1,-84,-7,20,11,49,1,12896794,376,47,10.00,12.46,64.00,7.59,1750
490.18,1545134859,4803.71,51.471316,7.458601,164.79,6.58,-1.46,115.05,1,-89,-9,12,10,47,1,12896794,376,48,0.50,7.37,63.00,10.22,1750
500.16,1545134869,4832.08,51.471218,7.458932,163.09,0.00,0.00,114.60,1,-91,-8,15,1,44,1,12896794,376,49,2.00,9.13,74.00,15.19,1750
510.19,1545134879,4832.08,51.471218,7.458932,163.00,0.00,0.00,114.60,1,-90,-8,17,9,44,1,12896794,376,50,7.00,12.02,58.00,19.98,1750
520.18,1545134888,4880.91,51.470929,7.459824,159.72,10.56,1.00,114.71,1,-89,-8,13,8,46,1,12896794,376,51,4.00,13.99,41.00,19.25,1750
530.24,1545134898,5007.93,51.470461,7.461505,159.26,14.00,0.52,115.94,1,-90,-8,17,8,44,1,12896794,376,52,4.00,9.99,67.00,19.31,1750
540.19,1545134909,5153.63,51.469901,7.463454,159.24,14.66,-0.14,113.51,1,-93,-9,-1,4,42,1,12896794,376,53,8.00,8.74,47.00,16.58,1750
550.16,1545134919,5313.15,51.469492,7.465682,158.72,17.35,-0.06,101.07,1,-97,-9,4,7,38,1,12896794,376,54,0.50,4.54,54.00,18.11,1750
560.22,1545134928,5484.59,51.469509,7.468141,156.78,17.22,-0.20,84.12,1,-95,-10,1,6,40,1,12896794,376,55,0.10,3.88,39.00,21.02,1750
570.19,1545134938,5657.11,51.469789,7.470574,158.55,16.93,-0.21,82.02,1,-95,-8,11,7,40,1,12896794,376,56,0.10,4.02,77.00,20.28,1750
580.17,1545134949,5835.60,51.469788,7.473201,162.19,17.59,-0.18,96.11,1,-100,-11,-3,4,37,1,12896794,376,57,0.50,4.83,54.00,20.39,1750
590.20,1545134958,6006.07,51.469553,7.475612,156.84,15.41,-0.32,95.77,1,-96,-14,-6,6,43,13,12909339,289,58,0.10,3.92,50.00,18.50,1750
600.22,1545134968,6149.99,51.469587,7.477644,159.27,11.92,-1.12,82.88,1,-88,-11,21,5,49,13,12909339,289,59,1.00,6.80,51.00,12.95,1750
610.21,1545134979,6212.53,51.469691,7.478400,166.78,0.00,0.00,74.70,1,-91,-12,4,5,47,13,12909339,289,60,0.50,6.99,75.00,15.08,1750
620.17,1545134989,6212.53,51.469691,7.478400,166.98,0.00,0.00,74.70,1,-89,-10,7,9,48,13,12909339,289,61,1.00,9.04,57.00,14.44,1750
630.22,1545134998,6260.06,51.469847,7.479223,177.65,8.50,-0.09,74.19,1,-92,-12,8,8,46,13,12909339,289,62,10.00,13.02,56.00,16.42,1750
641.77,1545135010,6387.65,51.470234,7.481049,173.55,11.99,-1.03,72.44,1,-91,-12,9,6,47,13,12909339,289,63,4.00,4.43,383.00,15.92,1750
650.30,1545135019,6461.33,51.469999,7.481827,170.96,9.07,0.74,162.15,1,-91,-11,9,7,46,13,12909339,289,64,8.00,9.98,56.00,16.70,1750
660.58,1545135029,6583.00,51.468888,7.482266,171.24,12.59,-0.67,167.99,1,-89,-11,9,7,49,13,12909339,289,65,2.00,4.06,922.00,13.97,1750
670.20,1545135038,6700.55,51.467841,7.482670,172.03,8.27,-1.27,167.94,1,-91,-8,28,15,44,13,12909339,289,66,3.00,11.07,48.00,13.33,1750
680.22,1545135049,6768.17,51.467241,7.482745,172.78,9.64,-0.02,178.87,1,-92,-8,29,9,44,13,12909339,289,67,5.00,11.63,47.00,13.80,1750
690.18,1545135058,6883.50,51.466164,7.482453,169.63,13.49,0.53,197.20,1,-90,-9,27,8,44,13,12909339,289,68,0.10,3.45,51.00,14.09,1750
700.19,1545135069,7017.50,51.464983,7.481588,166.60,13.98,-0.33,201.19,1,-92,-8,5,6,41,13,12909339,289,69,0.10,2.49,55.00,18.55,1750
