time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
5.06,1545134373,36.67,51.490399,7.412860,164.41,10.22,0.00,77.60,0,-94,-11,0,0,50,0,0,167
6.06,1545134374,46.90,51.490424,7.413015,163.72,12.03,0.00,76.98,0,-94,-11,0,0,50,0,0,167
11.05,1545134379,109.36,51.490520,7.413937,160.52,13.22,0.00,77.70,0,-88,-8,0,0,54,0,0,167
12.05,1545134380,122.58,51.490547,7.414111,159.90,13.62,0.00,76.94,0,-88,-8,0,0,54,0,0,167
13.05,1545134381,136.19,51.490578,7.414321,159.56,13.76,0.00,77.36,0,-91,-13,0,0,57,0,0,167
14.05,1545134382,149.97,51.490482,7.416378,159.97,13.67,0.00,77.41,0,-91,-13,0,0,57,0,0,167
15.06,1545134383,163.65,51.490632,7.414717,160.39,13.74,0.00,78.16,0,-91,-10,0,0,53,0,0,167
16.06,1545134384,177.45,51.490654,7.414895,159.85,13.59,0.00,79.10,0,-91,-10,0,0,53,0,0,167
17.06,1545134385,190.99,51.490675,7.415082,159.18,13.49,0.00,80.31,0,-88,-8,0,0,52,0,0,167
18.06,1545134386,204.49,51.490692,7.415275,158.75,13.44,0.00,81.78,0,-88,-8,0,0,52,0,0,167
70.06,1545134438,591.09,51.488073,7.417702,152.88,14.96,0.00,181.22,0,-99,-12,0,0,45,0,0,222
70.06,1545134438,591.10,51.488073,7.417702,152.88,14.96,0.00,181.22,0,-101,-14,0,0,46,0,0,418
70.06,1545134438,591.12,51.488073,7.417702,152.88,14.96,0.00,181.22,0,-97,-9,0,0,41,0,0,45
71.06,1545134439,606.05,51.487931,7.417696,152.38,14.87,0.00,180.61,0,-99,-12,0,0,45,0,0,222
71.06,1545134439,606.06,51.487931,7.417696,152.38,14.87,0.00,180.61,0,-101,-14,0,0,46,0,0,418
71.06,1545134439,606.08,51.487931,7.417696,152.38,14.87,0.00,180.61,0,-97,-9,0,0,41,0,0,45
72.06,1545134440,620.92,51.487800,7.417698,151.86,15.08,0.00,178.87,0,-97,-11,0,0,46,0,0,222
72.06,1545134440,620.93,51.487800,7.417698,151.86,15.08,0.00,178.87,0,-96,-8,0,0,41,0,0,45
