time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1547559950,0.02,51.490404,7.412496,168.28,7.72,0.00,75.56,0,-116,-11,0,0,14,0,0,347
0.04,1547559950,0.02,51.490404,7.412496,168.28,7.72,0.00,75.56,0,-111,-13,0,0,23,0,0,385
0.04,1547559950,0.02,51.490404,7.412496,168.28,7.72,0.00,75.56,0,-112,-15,0,0,23,0,0,200
1.04,1547559951,7.77,51.490431,7.412603,167.59,8.96,0.00,76.00,0,-113,-10,0,0,15,0,0,347
1.04,1547559951,7.77,51.490431,7.412603,167.59,8.96,0.00,76.00,0,-117,-14,0,0,15,0,0,345
2.04,1547559952,16.73,51.490457,7.412742,166.03,9.84,0.00,77.53,0,-113,-10,0,0,15,0,0,347
2.04,1547559952,16.74,51.490457,7.412742,166.03,9.84,0.00,77.53,0,-117,-14,0,0,15,0,0,345
5.04,1547559955,49.70,51.490508,7.413217,162.74,12.45,0.00,78.55,0,-117,-14,0,0,15,0,0,347
6.04,1547559956,62.15,51.490526,7.413415,162.10,12.73,0.00,78.19,0,-117,-14,0,0,15,0,0,347
7.05,1547559957,74.98,51.490543,7.413598,161.73,12.86,0.00,77.82,0,-119,-15,0,0,18,0,0,356
8.04,1547559958,87.74,51.490559,7.413781,161.36,13.72,0.00,78.44,0,-119,-15,0,0,18,0,0,356
9.04,1547559959,101.46,51.490575,7.413980,160.94,14.26,0.00,78.19,0,-119,-15,0,0,18,0,0,356
10.04,1547559960,115.75,51.490591,7.414182,160.67,14.58,0.00,77.35,0,-119,-14,0,0,13,0,0,347
10.04,1547559960,115.75,51.490591,7.414182,160.67,14.58,0.00,77.35,0,-120,-15,0,0,13,0,0,356
10.04,1547559960,115.76,51.490591,7.414182,160.67,14.58,0.00,77.35,0,-124,-17,0,0,12,0,0,385
11.04,1547559961,130.33,51.490610,7.414388,160.55,14.78,0.00,78.12,0,-119,-14,0,0,13,0,0,347
11.04,1547559961,130.33,51.490610,7.414388,160.55,14.78,0.00,78.12,0,-120,-15,0,0,13,0,0,356
11.04,1547559961,130.35,51.490610,7.414388,160.55,14.78,0.00,78.12,0,-124,-17,0,0,12,0,0,385
12.04,1547559962,145.13,51.490632,7.414602,160.50,14.69,0.00,78.60,0,-116,-14,0,0,18,0,0,356
12.04,1547559962,145.13,51.490632,7.414602,160.50,14.69,0.00,78.60,0,-117,-14,0,0,18,0,0,347
12.04,1547559962,145.14,51.490632,7.414602,160.50,14.69,0.00,78.60,0,-118,-14,0,0,17,0,0,385
13.04,1547559963,159.78,51.490658,7.414807,160.49,14.49,0.00,78.21,0,-116,-14,0,0,18,0,0,356
13.04,1547559963,159.80,51.490658,7.414807,160.49,14.49,0.00,78.21,0,-117,-14,0,0,18,0,0,347
13.04,1547559963,159.81,51.490658,7.414807,160.49,14.49,0.00,78.21,0,-118,-14,0,0,17,0,0,385
14.04,1547559964,174.31,51.490676,7.415007,160.31,14.54,0.00,79.56,0,-114,-12,0,0,16,0,0,347
14.04,1547559964,174.32,51.490676,7.415007,160.31,14.54,0.00,79.56,0,-118,-13,0,0,15,0,0,385
14.05,1547559964,174.34,51.490676,7.415007,160.31,14.54,0.00,79.56,0,-119,-14,0,0,16,0,0,356
14.05,1547559964,174.34,51.490676,7.415007,160.31,14.54,0.00,79.56,0,-120,-16,0,0,16,0,0,345
14.05,1547559964,174.35,51.490676,7.415007,160.31,14.54,0.00,79.56,0,-112,-14,0,0,21,0,0,274
14.05,1547559964,174.37,51.490676,7.415007,160.31,14.54,0.00,79.56,0,-114,-16,0,0,21,0,0,137
15.04,1547559965,188.86,51.490687,7.415181,159.77,14.28,0.00,81.22,0,-114,-12,0,0,16,0,0,347
15.05,1547559965,188.88,51.490687,7.415181,159.77,14.28,0.00,81.22,0,-118,-13,0,0,15,0,0,385
15.05,1547559965,188.88,51.490687,7.415181,159.77,14.28,0.00,81.22,0,-119,-14,0,0,16,0,0,356
15.05,1547559965,188.89,51.490687,7.415181,159.77,14.28,0.00,81.22,0,-120,-16,0,0,16,0,0,345
15.05,1547559965,188.91,51.490687,7.415181,159.77,14.28,0.00,81.22,0,-112,-14,0,0,21,0,0,274
15.05,1547559965,188.91,51.490687,7.415181,159.77,14.28,0.00,81.22,0,-114,-16,0,0,21,0,0,137
16.04,1547559966,203.08,51.490694,7.415396,159.90,14.14,0.00,82.56,0,-115,-12,0,0,17,0,0,347
16.04,1547559966,203.08,51.490694,7.415396,159.90,14.14,0.00,82.56,0,-117,-15,0,0,16,0,0,345
16.04,1547559966,203.10,51.490694,7.415396,159.90,14.14,0.00,82.56,0,-117,-13,0,0,16,0,0,385
17.04,1547559967,217.24,51.490705,7.415605,160.48,13.62,0.00,83.90,0,-115,-12,0,0,17,0,0,347
17.04,1547559967,217.25,51.490705,7.415605,160.48,13.62,0.00,83.90,0,-117,-15,0,0,16,0,0,345
17.04,1547559967,217.27,51.490705,7.415605,160.48,13.62,0.00,83.90,0,-117,-13,0,0,16,0,0,385
18.04,1547559968,230.88,51.490709,7.415818,161.17,13.68,0.00,86.32,0,-110,-12,0,0,22,0,0,345
18.04,1547559968,230.88,51.490709,7.415818,161.17,13.68,0.00,86.32,0,-112,-14,0,0,22,0,0,346
18.04,1547559968,230.89,51.490709,7.415818,161.17,13.68,0.00,86.32,0,-112,-15,0,0,22,0,0,385
19.04,1547559969,244.55,51.490711,7.416009,161.96,13.59,0.00,88.79,0,-110,-12,0,0,22,0,0,345
19.04,1547559969,244.55,51.490711,7.416009,161.96,13.59,0.00,88.79,0,-112,-14,0,0,22,0,0,346
19.04,1547559969,244.57,51.490711,7.416009,161.96,13.59,0.00,88.79,0,-112,-15,0,0,22,0,0,385
20.04,1547559970,258.12,51.490697,7.416210,161.55,13.14,0.00,91.77,0,-110,-12,0,0,21,0,0,385
21.04,1547559971,271.26,51.490677,7.416411,160.96,12.64,0.00,95.20,0,-110,-12,0,0,21,0,0,385
22.04,1547559972,283.90,51.490651,7.416599,160.38,12.23,0.00,97.87,0,-110,-10,0,0,18,0,0,385
23.04,1547559973,296.14,51.490625,7.416769,160.07,10.88,0.00,100.00,0,-110,-10,0,0,18,0,0,385
24.04,1547559974,307.03,51.490605,7.416905,159.62,9.31,0.00,101.02,0,-111,-11,0,0,20,0,0,385
24.04,1547559974,307.04,51.490605,7.416905,159.62,9.31,0.00,101.02,0,-110,-15,0,0,25,0,0,385
24.04,1547559974,307.04,51.490605,7.416905,159.62,9.31,0.00,101.02,0,-111,-17,0,0,25,0,0,384
