time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1547559950,0.00,51.490404,7.412496,168.28,7.72,0.00,75.56,1,-110,-9,2,6,23,64,13067274,289
1.04,1547559951,7.75,51.490431,7.412603,167.59,8.96,1.24,76.00,1,-112,-11,-7,9,19,64,13067274,289
2.04,1547559952,16.71,51.490457,7.412742,166.03,9.84,0.88,77.53,1,-112,-11,-7,9,19,64,13067274,289
3.04,1547559953,26.53,51.490477,7.412895,164.67,11.00,1.17,78.27,1,-108,-6,9,12,14,64,13067274,289
4.04,1547559954,37.55,51.490494,7.413038,163.65,12.13,1.12,78.90,1,-108,-6,9,12,14,64,13067274,289
5.04,1547559955,49.68,51.490508,7.413217,162.74,12.45,0.32,78.55,1,-114,-9,10,8,11,64,13067274,289
6.04,1547559956,62.12,51.490526,7.413415,162.10,12.73,0.28,78.19,1,-114,-9,10,8,11,64,13067274,289
7.05,1547559957,74.95,51.490543,7.413598,161.73,12.86,0.13,77.82,1,-116,-10,7,7,10,64,13067274,289
8.04,1547559958,87.71,51.490559,7.413781,161.36,13.72,0.87,78.44,1,-116,-10,7,7,10,64,13067274,289
9.04,1547559959,101.45,51.490575,7.413980,160.94,14.26,0.53,78.19,1,-116,-10,7,7,10,64,13067274,289
10.04,1547559960,115.72,51.490591,7.414182,160.67,14.58,0.32,77.35,1,-119,-12,-9,7,13,64,13067274,289
11.04,1547559961,130.30,51.490610,7.414388,160.55,14.78,0.20,78.12,1,-119,-12,-9,7,13,64,13067274,289
12.04,1547559962,145.10,51.490632,7.414602,160.50,14.69,-0.09,78.60,1,-115,-11,7,9,14,64,13067274,289
13.04,1547559963,159.77,51.490658,7.414807,160.49,14.49,-0.20,78.21,1,-115,-11,7,9,14,64,13067274,289
14.04,1547559964,174.29,51.490676,7.415007,160.31,14.54,0.05,79.56,1,-116,-12,2,7,11,64,13067274,289
15.04,1547559965,188.84,51.490687,7.415181,159.77,14.28,-0.27,81.22,1,-116,-12,2,7,11,64,13067274,289
16.04,1547559966,203.06,51.490694,7.415396,159.90,14.14,-0.13,82.56,1,-113,-12,4,8,13,64,13067274,289
17.04,1547559967,217.21,51.490705,7.415605,160.48,13.62,-0.52,83.90,1,-113,-12,4,8,13,64,13067274,289
18.04,1547559968,230.85,51.490709,7.415818,161.17,13.68,0.05,86.32,1,-110,-9,0,6,15,21,13392904,347
19.04,1547559969,244.53,51.490711,7.416009,161.96,13.59,-0.09,88.79,1,-110,-9,0,6,15,21,13392904,347
20.04,1547559970,258.10,51.490697,7.416210,161.55,13.14,-0.45,91.77,1,-112,-9,-6,5,14,21,13392904,347
21.04,1547559971,271.23,51.490677,7.416411,160.96,12.64,-0.50,95.20,1,-112,-9,-6,5,14,21,13392904,347
22.04,1547559972,283.88,51.490651,7.416599,160.38,12.23,-0.41,97.87,1,-111,-10,0,9,15,21,13392904,347
23.04,1547559973,296.12,51.490625,7.416769,160.07,10.88,-1.35,100.00,1,-111,-10,0,9,15,21,13392904,347
24.04,1547559974,307.02,51.490605,7.416905,159.62,9.31,-1.57,101.02,1,-111,-10,0,8,16,21,13392904,347
25.04,1547559975,316.32,51.490584,7.417022,159.29,7.33,-1.97,101.53,1,-111,-10,0,8,16,21,13392904,347
26.04,1547559976,323.64,51.490556,7.417112,158.82,6.55,-0.79,114.95,1,-109,-9,-3,7,18,21,13392904,347
27.04,1547559977,330.19,51.490481,7.417192,158.36,8.22,1.67,150.74,1,-109,-9,-3,7,18,21,13392904,347
28.05,1547559978,338.47,51.490380,7.417234,157.87,9.58,1.35,169.36,1,-110,-10,3,8,19,21,13392904,347
29.04,1547559979,347.98,51.490291,7.417260,157.07,10.44,0.86,169.83,1,-110,-10,3,8,19,21,13392904,347
30.04,1547559980,358.42,51.490183,7.417293,156.13,10.90,0.47,170.23,1,-110,-10,3,8,19,21,13392904,347
31.04,1547559981,369.32,51.490052,7.417334,155.27,13.03,2.13,169.11,1,-108,-9,-2,6,18,17,12806666,347
32.04,1547559982,382.35,51.489925,7.417382,154.39,14.12,1.09,167.05,1,-108,-9,-2,6,18,17,12806666,347
33.04,1547559983,396.49,51.489799,7.417436,153.90,14.35,0.23,166.08,1,-111,-10,-1,8,15,17,12806666,385
34.04,1547559984,410.84,51.489666,7.417490,153.84,14.68,0.33,166.49,1,-111,-10,-1,8,15,17,12806666,385
35.04,1547559985,425.53,51.489525,7.417548,153.90,15.01,0.33,167.05,1,-113,-11,-7,5,15,17,12806666,385
36.04,1547559986,440.53,51.489386,7.417606,154.12,15.06,0.05,167.60,1,-113,-11,-7,5,15,17,12806666,385
37.04,1547559987,455.60,51.489239,7.417660,154.22,15.07,0.01,168.20,1,-110,-11,-6,8,19,17,12806666,385
38.04,1547559988,470.66,51.489092,7.417713,154.29,15.20,0.13,169.12,1,-110,-11,-6,8,19,17,12806666,385
39.04,1547559989,485.84,51.488957,7.417746,153.98,15.01,-0.19,170.79,1,-110,-13,5,10,22,17,12806666,385
40.04,1547559990,500.85,51.488826,7.417769,153.94,15.24,0.24,173.29,1,-110,-13,5,10,22,17,12806666,385
41.04,1547559991,516.09,51.488691,7.417781,153.85,15.55,0.30,175.74,1,-110,-13,4,9,24,17,12806666,385
42.04,1547559992,531.61,51.488556,7.417780,153.32,15.75,0.20,177.83,1,-110,-13,4,9,24,17,12806666,385
43.04,1547559993,547.35,51.488416,7.417772,152.63,15.95,0.20,179.47,1,-105,-12,5,12,23,17,12806666,385
44.04,1547559994,563.30,51.488269,7.417759,151.96,15.94,-0.01,180.71,1,-105,-12,5,12,23,17,12806666,385
45.04,1547559995,579.22,51.488132,7.417741,151.55,16.01,0.08,181.08,1,-104,-12,6,14,21,17,12806666,385
46.04,1547559996,595.28,51.487978,7.417734,151.34,15.98,-0.03,180.62,1,-104,-12,6,14,21,17,12806666,385
47.04,1547559997,611.27,51.487832,7.417732,151.27,16.15,0.18,179.32,1,-100,-10,6,9,24,17,12806666,385
48.04,1547559998,627.43,51.487694,7.417740,151.03,15.71,-0.44,177.10,1,-100,-10,6,9,24,17,12806666,385
49.05,1547559999,643.36,51.487557,7.417762,150.77,15.90,0.19,174.39,1,-108,-10,5,9,18,17,12806666,385
50.04,1547560000,659.09,51.487425,7.417846,150.74,15.48,-0.43,157.89,1,-108,-10,5,9,18,17,12806666,385
51.04,1547560001,674.56,51.487296,7.417939,150.81,15.72,0.24,154.89,1,-108,-10,5,9,18,17,12806666,385
52.04,1547560002,690.28,51.487174,7.418093,150.60,15.93,0.21,139.73,1,-106,-10,4,6,21,17,12806666,385
53.04,1547560003,706.22,51.487071,7.418248,150.51,16.09,0.16,137.75,1,-106,-10,4,6,21,17,12806666,385
54.04,1547560004,722.31,51.486977,7.418396,150.28,15.35,-0.75,137.09,1,-112,-12,2,7,18,17,12806666,385
55.04,1547560005,737.66,51.486880,7.418536,149.79,14.65,-0.69,138.86,1,-112,-12,2,7,18,17,12806666,385
56.04,1547560006,752.33,51.486753,7.418641,149.44,14.50,-0.15,153.44,1,-112,-11,-3,6,21,16,13392905,345
