time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.08,1547727614,0.00,51.509887,7.468580,152.25,8.94,0.00,43.26,1,-110,-12,-4,6,21,5,13392655,91
1.09,1547727615,9.00,51.509906,7.468731,150.94,9.68,0.73,67.56,1,-114,-16,-16,9,21,5,13392655,91
2.09,1547727616,18.68,51.509933,7.468874,149.82,9.52,-0.16,65.76,1,-114,-16,-16,9,21,5,13392655,91
3.08,1547727617,28.18,51.509963,7.469018,148.67,9.20,-0.32,65.28,1,-101,-8,0,7,24,10,12902921,323
4.08,1547727618,37.38,51.509999,7.469169,147.56,10.15,0.95,64.01,1,-101,-8,0,7,24,10,12902921,323
5.08,1547727619,47.50,51.510058,7.469340,147.66,12.52,2.38,61.78,1,-101,-8,7,9,23,10,12902921,323
6.08,1547727620,60.04,51.510116,7.469504,148.07,12.52,0.00,63.13,1,-101,-8,7,9,23,10,12902921,323
7.08,1547727621,72.57,51.510198,7.469659,148.83,13.76,1.24,60.83,1,-104,-9,7,10,22,10,12902921,323
8.08,1547727622,86.26,51.510274,7.469825,149.15,14.01,0.25,59.50,1,-104,-9,7,10,22,10,12902921,323
9.08,1547727623,100.34,51.510349,7.469999,149.36,14.06,0.06,58.51,1,-102,-11,6,2,36,10,12902921,323
10.08,1547727624,114.40,51.510415,7.470177,149.57,13.14,-0.92,58.35,1,-102,-11,6,2,36,10,12902921,323
11.08,1547727625,127.50,51.510484,7.470374,149.95,13.00,-0.15,57.83,1,-112,-12,-3,6,19,5,13392653,90
12.09,1547727626,140.55,51.510558,7.470555,150.06,14.06,1.06,55.28,1,-112,-12,-3,6,19,5,13392653,90
13.09,1547727627,154.62,51.510633,7.470734,151.58,14.04,-0.02,53.10,1,-113,-12,-11,7,17,5,13392653,90
14.09,1547727628,168.65,51.510735,7.470950,152.76,14.04,0.00,54.19,1,-113,-12,-11,7,17,5,13392653,90
15.09,1547727629,182.69,51.510834,7.471054,154.24,14.87,0.83,49.46,1,-94,-10,-11,6,43,8,13175298,60
16.08,1547727630,197.53,51.510951,7.471141,154.12,14.93,0.06,38.53,1,-94,-10,-11,6,43,8,13175298,60
17.09,1547727631,212.50,51.511321,7.470742,153.11,14.84,-0.08,38.62,1,-96,-11,-1,6,33,8,13175298,60
18.08,1547727632,227.29,51.511169,7.471355,151.55,14.69,-0.15,39.51,1,-96,-11,-1,6,33,8,13175298,60
19.08,1547727633,242.00,51.511267,7.471475,149.95,14.20,-0.49,38.80,1,-94,-11,0,9,35,8,13175298,60
20.08,1547727634,256.18,51.511357,7.471604,148.71,13.87,-0.33,38.50,1,-94,-11,0,9,35,8,13175298,60
21.09,1547727635,270.09,51.511449,7.471723,146.61,13.40,-0.47,38.87,1,-91,-11,8,13,39,8,13175298,60
22.08,1547727636,283.41,51.511540,7.471841,144.66,13.40,-0.00,38.17,1,-91,-11,8,13,39,8,13175298,60
23.08,1547727637,296.79,51.511623,7.471954,143.13,12.72,-0.68,38.70,1,-91,-11,8,13,39,8,13175298,60
24.09,1547727638,309.60,51.511708,7.472066,142.01,12.45,-0.27,38.85,1,-92,-11,7,8,36,8,13175298,60
25.08,1547727639,322.01,51.511792,7.472179,141.01,12.36,-0.08,38.24,1,-92,-11,7,8,36,8,13175298,60
26.08,1547727640,334.37,51.511869,7.472280,140.35,11.36,-1.00,38.91,1,-92,-9,6,14,35,8,13175298,60
27.09,1547727641,345.77,51.511945,7.472377,139.97,10.92,-0.45,38.11,1,-92,-9,6,14,35,8,13175298,60
28.08,1547727642,356.65,51.512019,7.472462,140.09,10.20,-0.72,37.03,1,-94,-10,3,8,36,8,13175298,60
29.09,1547727643,366.89,51.512085,7.472540,140.36,9.16,-1.03,35.74,1,-94,-10,3,8,36,8,13175298,60
30.09,1547727644,376.04,51.512147,7.472607,140.32,8.00,-1.16,32.52,1,-93,-11,1,8,37,8,13175298,60
31.12,1547727645,384.34,51.512206,7.472655,140.82,6.40,-1.54,30.51,1,-93,-11,1,8,37,8,13175298,60
32.08,1547727646,390.50,51.512255,7.472684,140.61,5.75,-0.68,28.91,1,-94,-13,1,7,39,8,13175298,60
33.08,1547727647,396.22,51.512287,7.472698,140.62,3.10,-2.66,27.87,1,-94,-13,1,7,39,8,13175298,60
34.08,1547727648,399.33,51.512317,7.472697,140.68,2.18,-0.91,11.33,1,-93,-14,0,9,40,8,13175298,60
35.08,1547727649,401.51,51.512341,7.472698,140.74,1.30,-0.89,12.69,1,-93,-14,0,9,40,8,13175298,60
36.08,1547727650,402.81,51.512360,7.472695,140.82,0.57,-0.73,12.69,1,-94,-14,0,7,40,8,13175298,60
37.09,1547727651,403.38,51.512360,7.472695,140.96,0.36,-0.21,12.69,1,-94,-14,0,7,40,8,13175298,60
