time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.64,1547727626,114.40,51.510415,7.470177,149.57,13.14,-0.92,58.35,1,-102,-11,6,2,36,10,12902921,323,0,5.00,5.80,70.00,21.09,1770
20.45,1547727635,256.18,51.511357,7.471604,148.71,13.87,-0.33,38.50,1,-94,-11,0,9,35,8,13175298,60,1,9.00,6.85,44.00,20.73,890
30.96,1547727645,376.04,51.512147,7.472607,140.32,8.00,-1.16,32.52,1,-93,-11,1,8,37,8,13175298,60,2,8.00,8.18,257.00,12.28,890
40.39,1547727656,403.74,51.512360,7.472695,141.08,0.00,0.00,12.69,1,-94,-13,-5,8,37,8,13175298,60,3,3.00,8.42,53.00,13.17,890
60.46,1547727675,461.80,51.513079,7.472735,154.21,9.41,-0.34,3.84,1,-91,-10,1,10,37,8,13175298,60,5,8.00,10.31,51.00,16.62,890
70.42,1547727685,571.02,51.514054,7.472856,158.84,11.45,-0.22,2.75,1,-83,-8,12,10,44,8,13175298,60,6,10.00,12.97,42.00,12.61,890
80.36,1547727695,656.46,51.514729,7.472831,134.35,2.51,-1.08,4.30,1,-66,-7,17,11,60,8,13175298,60,7,0.10,4.94,45.00,-2.64,890
90.39,1547727705,661.60,51.514771,7.472844,134.05,0.00,0.00,6.87,1,-64,-7,12,12,63,8,13175298,60,8,2.00,15.33,57.00,-9.16,890
100.37,1547727715,661.60,51.514919,7.472867,145.29,6.07,0.00,5.60,1,-60,-7,16,11,63,8,13175298,60,9,1.00,9.94,52.00,-10.69,890
110.37,1547727726,754.96,51.515733,7.472661,140.81,11.89,1.00,342.30,1,-84,-11,1,9,47,8,13175298,60,10,1.00,9.03,44.00,-3.61,890
120.42,1547727735,879.24,51.516506,7.471403,134.91,12.30,-0.31,299.81,1,-85,-7,-1,6,46,4,13175299,62,11,9.00,10.09,62.00,13.72,890
142.80,1547727758,1153.78,51.517405,7.467732,137.99,7.09,0.13,294.66,1,-87,-5,1,10,34,7,13175306,68,13,4.00,35.16,53.00,20.16,1770
150.38,1547727765,1203.33,51.517610,7.467081,137.12,5.96,0.38,293.38,1,-85,-7,21,12,41,2,13530893,347,14,0.10,5.59,44.00,8.85,2510
160.38,1547727775,1261.78,51.517781,7.466274,139.07,5.56,-0.87,284.42,1,-82,-6,25,10,42,3,13530894,345,15,3.00,30.19,52.00,15.31,2510
170.37,1547727785,1348.97,51.517857,7.464867,146.78,10.49,-0.68,270.16,1,-82,-6,25,15,44,3,13530894,345,16,1.00,16.91,43.00,10.94,2510
180.37,1547727795,1470.89,51.517526,7.463307,149.17,13.31,0.50,247.14,1,-86,-7,16,11,40,3,13530894,345,17,2.00,24.81,46.00,9.91,2510
190.39,1547727805,1606.92,51.517059,7.461346,164.62,13.45,0.41,251.75,1,-86,-9,-5,10,44,3,13530894,345,18,2.00,4.61,44.00,1.44,2510
200.42,1547727816,1741.50,51.516707,7.459412,141.82,14.63,0.29,256.77,1,-81,-9,1,9,47,5,13530626,375,19,7.00,9.48,58.00,10.39,890
210.45,1547727825,1882.76,51.516434,7.457462,143.13,9.98,-1.55,257.82,1,-79,-12,-1,6,52,4,13406209,460,20,5.00,12.65,59.00,13.09,890
220.46,1547727835,1951.51,51.516222,7.456403,145.58,8.32,2.36,244.02,1,-74,-9,14,10,57,4,13406209,460,21,9.00,9.63,50.00,2.08,890
230.52,1547727845,2036.32,51.515819,7.455325,136.44,9.89,-0.07,225.23,1,-75,-7,20,11,51,4,13406209,460,22,0.10,4.15,51.00,1.94,890
240.40,1547727855,2136.09,51.514827,7.455208,140.33,13.18,0.83,176.68,1,-84,-9,11,9,43,4,13406209,460,23,5.00,8.75,58.00,12.97,890
250.42,1547727866,2268.25,51.513600,7.455579,144.41,12.53,-0.07,166.36,1,-85,-7,10,15,42,4,13406209,460,24,7.00,5.13,60.00,15.97,890
262.77,1547727877,2413.70,51.512626,7.457089,153.29,11.71,0.00,125.87,1,-102,-15,-1,5,32,4,13406209,460,25,0.50,4.05,53.00,18.75,890
270.43,1547727885,2517.96,51.512048,7.458387,153.51,12.96,0.76,128.03,1,-94,-9,2,6,33,6,14035459,482,26,7.00,5.88,60.00,16.31,890
280.42,1547727895,2649.30,51.511285,7.459990,152.17,13.32,-0.99,131.04,1,-108,-17,-5,4,30,5,13830146,482,27,8.00,8.06,1532.00,21.12,890
290.44,1547727905,2777.64,51.510488,7.461387,157.57,9.25,-0.83,133.28,1,-95,-10,1,9,32,7,13406217,218,28,9.00,7.08,59.00,17.11,1770
300.71,1547727915,2886.44,51.509997,7.462691,157.01,11.85,0.00,114.51,1,-77,-12,9,14,52,3,13830145,486,29,8.00,6.31,98.00,16.70,890
310.84,1547727925,2983.56,51.509903,7.464173,160.01,7.97,0.41,89.58,1,-102,-14,-1,5,32,3,13830145,486,30,7.00,6.95,244.00,21.22,890
