time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.02,1547727946,0.01,51.509769,7.468257,150.03,12.51,0.00,91.78,0,-71,-6,0,0,63,0,0,138
1.02,1547727947,12.46,51.509776,7.468424,149.30,11.96,0.00,87.87,0,-71,-6,0,0,63,0,0,138
2.01,1547727948,24.41,51.509789,7.468594,148.86,12.10,0.00,84.58,0,-78,-6,0,0,58,0,0,138
3.02,1547727949,36.52,51.509825,7.468744,148.28,11.22,0.00,71.26,0,-78,-6,0,0,58,0,0,138
4.01,1547727950,47.73,51.509864,7.468905,148.20,11.84,0.00,70.06,0,-75,-6,0,0,61,0,0,138
5.01,1547727951,59.58,51.509915,7.469080,148.16,12.65,0.00,67.06,0,-75,-6,0,0,61,0,0,138
6.02,1547727952,72.25,51.509980,7.469287,148.23,12.65,0.00,68.51,0,-98,-13,0,0,46,0,0,324
6.02,1547727952,72.25,51.509980,7.469287,148.23,12.65,0.00,68.51,0,-100,-13,0,0,46,0,0,374
6.02,1547727952,72.26,51.509980,7.469287,148.23,12.65,0.00,68.51,0,-77,-6,0,0,60,0,0,138
7.02,1547727953,84.90,51.510056,7.469456,148.04,13.69,0.00,57.97,0,-98,-13,0,0,46,0,0,324
7.02,1547727953,84.90,51.510056,7.469456,148.04,13.69,0.00,57.97,0,-100,-13,0,0,46,0,0,374
7.02,1547727953,84.92,51.510056,7.469456,148.04,13.69,0.00,57.97,0,-77,-6,0,0,60,0,0,138
10.02,1547727956,126.78,51.510283,7.469951,147.60,13.96,0.00,55.73,0,-96,-10,0,0,46,0,0,372
10.02,1547727956,126.78,51.510283,7.469951,147.60,13.96,0.00,55.73,0,-104,-13,0,0,41,0,0,358
10.02,1547727956,126.80,51.510283,7.469951,147.60,13.96,0.00,55.73,0,-103,-11,0,0,40,0,0,199
11.02,1547727957,140.67,51.510341,7.470126,147.99,12.46,0.00,56.59,0,-96,-10,0,0,46,0,0,372
11.02,1547727957,140.68,51.510341,7.470126,147.99,12.46,0.00,56.59,0,-104,-13,0,0,41,0,0,358
11.02,1547727957,140.68,51.510341,7.470126,147.99,12.46,0.00,56.59,0,-103,-11,0,0,40,0,0,199
12.01,1547727958,153.08,51.510402,7.470295,148.32,11.63,0.00,57.26,0,-87,-9,0,0,54,0,0,138
13.01,1547727959,164.71,51.510464,7.470442,149.03,11.19,0.00,56.37,0,-87,-9,0,0,54,0,0,138
14.02,1547727960,175.94,51.510534,7.470589,149.56,12.13,0.00,54.10,0,-85,-9,0,0,57,0,0,138
