time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.05,1547728389,0.00,51.509821,7.467406,155.23,11.66,0.00,95.86,1,-84,-9,23,15,58,2,13403661,21
1.05,1547728390,11.69,51.509809,7.467587,154.90,12.32,0.66,96.55,1,-81,-7,24,12,61,2,13403661,21
2.06,1547728391,24.03,51.509801,7.467770,154.24,12.62,0.30,95.75,1,-81,-7,24,12,61,2,13403661,21
3.06,1547728392,36.64,51.509789,7.467949,153.60,12.38,-0.23,95.85,1,-85,-7,23,12,55,2,13403661,21
4.06,1547728393,49.02,51.509784,7.468134,153.21,12.40,0.02,94.05,1,-85,-7,23,12,55,2,13403661,21
5.06,1547728394,61.42,51.509783,7.468306,153.56,11.70,-0.70,91.71,1,-86,-9,21,15,57,2,13403661,21
6.06,1547728395,73.12,51.509791,7.468473,153.93,11.79,0.09,87.65,1,-86,-9,21,15,57,2,13403661,21
7.06,1547728396,85.01,51.509805,7.468633,154.16,11.65,-0.14,85.04,1,-88,-10,17,15,53,2,13403661,21
8.06,1547728397,96.58,51.509845,7.468786,154.05,11.26,-0.40,70.33,1,-88,-10,17,15,53,2,13403661,21
9.06,1547728398,107.82,51.509883,7.468935,153.82,11.23,-0.03,69.91,1,-88,-10,17,15,53,2,13403661,21
10.07,1547728399,119.20,51.509926,7.469090,153.99,11.20,-0.04,68.53,1,-95,-11,9,5,47,2,13403661,21
11.06,1547728400,130.28,51.509975,7.469247,154.31,11.51,0.32,66.02,1,-95,-11,9,5,47,2,13403661,21
12.05,1547728401,141.75,51.510031,7.469397,154.41,11.70,0.19,63.46,1,-90,-10,2,6,53,2,13403661,21
13.06,1547728402,153.46,51.510091,7.469548,154.45,11.68,-0.02,61.53,1,-90,-10,2,6,53,2,13403661,21
14.05,1547728403,165.09,51.510154,7.469702,153.91,12.28,0.60,60.09,1,-95,-8,3,7,45,7,14345743,399
15.06,1547728404,177.43,51.510226,7.469855,153.70,12.54,0.26,59.07,1,-95,-8,3,7,45,7,14345743,399
16.06,1547728405,189.97,51.510296,7.470009,153.67,13.18,0.64,58.57,1,-101,-11,5,6,43,7,14345743,399
17.06,1547728406,203.15,51.510366,7.470160,154.08,12.70,-0.48,57.57,1,-101,-11,5,6,43,7,14345743,399
18.06,1547728407,215.85,51.510429,7.470306,154.11,11.85,-0.85,58.16,1,-99,-8,5,7,41,7,14345743,399
19.06,1547728408,227.71,51.510497,7.470462,153.88,12.55,0.70,56.53,1,-99,-8,5,7,41,7,14345743,399
20.07,1547728409,240.39,51.510567,7.470610,153.05,12.97,0.41,53.72,1,-101,-13,2,7,45,7,14345743,399
21.06,1547728410,253.21,51.510631,7.470776,153.42,12.90,-0.07,51.90,1,-101,-13,2,7,45,7,14345743,399
22.06,1547728411,266.11,51.510703,7.470946,153.61,12.81,-0.09,48.46,1,-103,-12,3,7,41,7,14345743,399
23.06,1547728412,278.95,51.510783,7.471080,153.13,13.30,0.49,45.77,1,-103,-12,3,7,41,7,14345743,399
24.06,1547728413,292.25,51.510872,7.471202,151.71,13.50,0.19,43.60,1,-102,-7,6,7,38,7,14345743,399
25.06,1547728414,305.74,51.510963,7.471314,149.85,13.49,-0.01,42.02,1,-102,-7,6,7,38,7,14345743,399
26.06,1547728415,319.20,51.511058,7.471433,147.82,14.04,0.55,41.12,1,-99,-8,7,9,40,7,14345743,399
27.06,1547728416,333.26,51.511157,7.471551,146.08,14.17,0.12,40.35,1,-99,-8,7,9,40,7,14345743,399
