time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.04,1547728399,119.20,51.509926,7.469090,153.99,11.20,-0.04,68.53,1,-95,-11,9,5,47,2,13403661,21,0,10.00,23.12,81.00,16.38,2560
20.13,1547728409,240.39,51.510567,7.470610,153.05,12.97,0.41,53.72,1,-101,-13,2,7,45,7,14345743,399,1,5.00,17.50,74.00,17.09,2560
30.04,1547728419,375.53,51.511455,7.471912,142.29,14.18,0.16,39.53,1,-98,-6,13,10,40,7,14345743,399,2,3.00,22.26,60.00,19.59,2560
40.02,1547728429,510.14,51.512531,7.472804,141.41,14.71,1.78,8.44,1,-86,-7,22,15,53,7,14345743,399,3,6.00,27.32,55.00,17.83,2560
50.03,1547728439,639.21,51.513614,7.472918,148.94,6.83,-1.69,3.04,1,-104,-11,3,9,41,7,14345743,399,4,4.00,14.63,180.00,21.86,2560
60.06,1547728449,658.43,51.513736,7.472923,150.84,0.00,0.00,7.21,1,-99,-10,18,11,43,6,14345741,400,5,8.00,23.83,57.00,19.59,2560
69.97,1547728459,706.13,51.514317,7.472960,144.01,8.93,0.82,2.73,1,-98,-11,5,7,44,6,14345741,400,6,0.10,3.29,62.00,18.50,2560
80.07,1547728469,751.29,51.514663,7.472992,142.07,0.00,0.00,4.76,1,-100,-9,16,15,40,6,14345741,400,7,7.00,22.95,61.00,20.27,2560
90.01,1547728479,751.29,51.514663,7.472992,141.69,0.00,0.00,4.76,1,-99,-8,11,12,40,6,14345741,400,8,2.00,16.56,60.00,19.52,2560
100.01,1547728489,751.29,51.514663,7.472992,141.19,0.00,0.00,4.76,1,-100,-8,13,9,40,6,14345741,400,9,1.00,12.74,59.00,17.77,2560
110.05,1547728499,751.29,51.514663,7.472992,140.73,0.00,0.00,4.76,1,-99,-8,16,11,41,6,14345741,400,10,10.00,21.29,52.00,20.50,2560
120.03,1547728509,751.29,51.514663,7.472992,140.41,0.00,0.00,4.76,1,-100,-9,19,15,41,6,14345741,400,11,5.00,19.02,57.00,20.23,2560
130.04,1547728519,751.29,51.514663,7.472992,140.28,0.00,0.00,4.76,1,-100,-9,15,9,41,6,14345741,400,12,7.00,24.33,57.00,21.27,2560
140.03,1547728529,807.81,51.515305,7.472983,140.25,10.15,0.40,356.27,1,-103,-9,14,9,37,6,14345741,400,13,6.00,23.81,56.00,21.03,2560
150.04,1547728539,926.34,51.516240,7.472208,135.42,12.44,-0.51,313.71,1,-101,-9,18,9,39,6,14345741,400,14,7.00,16.29,67.00,20.80,2560
160.02,1547728549,1051.76,51.516766,7.470571,132.42,11.94,-0.16,295.14,1,-106,-8,10,7,35,6,14345741,400,15,6.00,17.07,46.00,21.11,2560
170.48,1547728560,1181.68,51.517164,7.468745,133.76,12.75,-0.74,287.00,1,-90,-12,-2,5,47,13,12903169,15,16,9.00,1.25,60.00,17.84,880
181.47,1547728571,1300.72,51.517592,7.467140,133.96,10.88,-0.31,296.39,1,-96,-19,-7,2,47,24,12904963,15,17,6.00,2.72,3317.00,13.88,880
190.85,1547728580,1395.45,51.517826,7.465831,136.61,10.80,0.75,281.34,1,-91,-19,-8,2,52,11,13881091,461,18,1.00,1.38,3015.00,10.78,880
200.42,1547728589,1501.89,51.517794,7.464325,135.59,11.05,-0.04,260.98,1,-89,-14,-1,5,50,11,13420546,139,19,6.00,2.00,274.00,15.50,880
210.08,1547728600,1618.02,51.517383,7.462724,140.41,11.01,0.35,247.48,1,-95,-18,-7,2,50,6,12899842,19,20,8.00,3.88,422.00,14.98,880
222.10,1547728612,1757.00,51.516982,7.460787,158.31,14.04,-0.15,252.42,1,-85,-14,2,5,54,7,12899842,19,21,0.10,0.21,1057.00,-7.61,880
