time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.22,1547728401,116.96,51.509941,7.469062,147.83,11.43,0.98,72.89,1,-96,-7,4,10,41,7,26379013,199,0,8.00,15.76,63.00,17.47,2530
20.22,1547728412,240.00,51.510573,7.470633,147.98,13.23,0.29,52.62,1,-92,-7,10,10,46,4,27256325,372,1,9.00,26.59,43.00,17.36,2530
30.18,1547728421,375.76,51.511526,7.471855,145.27,14.23,0.34,39.33,1,-85,-6,18,11,52,4,27256325,372,2,0.10,3.96,40.00,10.80,2530
40.39,1547728432,509.22,51.512544,7.472854,147.90,13.61,1.63,13.47,1,-87,-5,11,9,49,4,27256325,372,3,9.00,18.26,41.00,11.97,2530
50.24,1547728441,634.59,51.513657,7.472974,161.45,7.05,-1.75,3.93,1,-84,-6,12,6,53,7,27299331,324,4,8.00,19.67,44.00,17.03,2530
60.20,1547728452,653.12,51.513777,7.472986,164.24,0.00,0.00,2.33,1,-92,-8,19,12,47,9,29398276,358,5,5.00,24.72,50.00,13.95,2530
70.21,1547728462,697.31,51.514446,7.472931,160.51,8.44,-0.27,4.51,1,-89,-7,19,11,49,9,29398276,358,6,1.00,9.99,45.00,14.73,2530
80.19,1547728472,733.76,51.514728,7.472962,155.36,0.00,0.00,5.09,1,-91,-6,16,11,47,9,29398276,358,7,1.00,10.61,46.00,15.28,2530
90.24,1547728482,733.76,51.514728,7.472962,155.35,0.00,0.00,5.09,1,-91,-6,19,1,46,9,29398276,358,8,0.50,5.71,48.00,14.88,2530
100.18,1547728492,733.76,51.514728,7.472962,155.19,0.00,0.00,5.09,1,-91,-6,14,10,47,9,29398276,358,9,1.00,12.70,46.00,14.95,2530
110.19,1547728502,733.76,51.514728,7.472962,154.79,0.00,0.00,5.09,1,-91,-7,13,9,48,9,29398276,358,10,0.50,5.71,43.00,15.59,2530
120.23,1547728512,733.76,51.514728,7.472962,154.33,0.00,0.00,5.09,1,-90,-5,20,8,47,9,29398276,358,11,1.00,11.40,38.00,14.45,2530
130.27,1547728521,733.76,51.514728,7.472962,154.28,0.00,0.00,5.09,1,-91,-6,18,9,47,9,29398276,358,12,8.00,25.83,52.00,10.03,2530
140.25,1547728532,789.49,51.515350,7.472951,155.13,9.26,0.33,355.02,1,-91,-5,18,8,46,9,29398276,358,13,7.00,20.51,36.00,18.42,2530
150.24,1547728542,903.84,51.516247,7.472150,132.04,12.77,-0.19,312.92,1,-97,-8,10,7,42,9,29398276,358,14,1.00,13.61,46.00,20.22,2530
160.28,1547728552,1029.65,51.516749,7.470556,129.44,11.75,-0.43,294.81,1,-93,-7,9,7,44,9,29398276,358,15,7.00,22.30,39.00,17.27,2530
170.21,1547728562,1156.64,51.517159,7.468730,132.10,12.46,-1.11,287.96,1,-94,-6,10,11,43,9,29398276,358,16,4.00,19.79,38.00,20.05,2530
180.21,1547728571,1262.94,51.517548,7.467300,137.65,11.24,0.22,297.24,1,-96,-7,11,6,42,9,29398276,358,17,5.00,17.22,47.00,17.70,2530
190.21,1547728582,1369.51,51.517840,7.465810,134.84,10.93,0.35,281.17,1,-94,-7,1,6,43,11,26376708,470,18,4.00,19.41,37.00,19.58,2530
200.22,1547728591,1476.19,51.517789,7.464283,129.65,10.77,-0.40,261.15,1,-91,-8,2,6,48,13,26796291,24,19,3.00,20.07,44.00,20.14,2530
210.25,1547728601,1592.75,51.517397,7.462721,133.72,11.36,0.73,248.07,1,-88,-8,7,12,51,13,26796291,24,20,5.00,19.25,45.00,18.44,2530
220.22,1547728612,1704.16,51.517044,7.461140,136.99,12.97,-0.06,253.55,1,-85,-6,11,9,53,7,26378754,443,21,7.00,19.36,47.00,17.09,2530
230.18,1547728621,1842.46,51.516693,7.459179,129.12,14.91,0.18,257.75,1,-77,-6,23,12,62,7,26378754,443,22,1.00,15.15,66.00,1.76,2530
240.26,1547728631,1964.25,51.516490,7.457548,131.18,4.36,-2.13,257.96,1,-85,-6,25,11,52,10,27029251,331,23,7.00,27.68,38.00,13.94,2530
250.15,1547728641,1971.05,51.516473,7.457481,137.21,0.00,0.00,257.07,1,-87,-7,8,8,50,10,27029251,331,24,1.00,15.27,70.00,13.09,2530
260.21,1547728651,2028.17,51.516188,7.456326,136.72,10.81,0.39,240.36,1,-90,-8,7,6,50,4,26378754,443,25,3.00,18.52,50.00,15.08,2530
270.22,1547728661,2139.00,51.515493,7.455095,130.54,10.76,-0.39,210.91,1,-84,-7,3,6,53,2,26796291,24,26,9.00,32.67,44.00,14.20,2530
280.22,1547728671,2255.63,51.514405,7.455333,134.82,11.44,-1.12,170.93,1,-76,-5,25,14,58,2,26796291,24,27,7.00,25.36,43.00,0.42,2530
290.20,1547728682,2381.84,51.513270,7.455825,144.57,12.63,0.35,155.89,1,-79,-9,-2,4,61,1,26796290,25,28,1.00,13.22,37.00,4.91,2530
300.24,1547728691,2517.93,51.512450,7.457405,156.58,14.53,0.21,126.83,1,-91,-8,6,9,48,1,26796290,25,29,6.00,23.27,62.00,16.56,2530
310.23,1547728702,2595.71,51.512034,7.458392,157.22,7.82,1.88,131.30,1,-89,-6,14,8,48,3,26378755,441,30,5.00,21.01,60.00,14.95,2530
320.20,1547728711,2665.87,51.511674,7.459168,155.76,0.84,-1.00,132.24,1,-89,-9,13,7,51,3,26378755,441,31,0.50,8.81,82.00,16.09,2530
330.19,1547728722,2666.70,51.511674,7.459168,156.15,0.00,0.00,132.24,1,-87,-6,13,10,50,3,26378755,441,32,2.00,18.39,52.00,15.61,2530
340.27,1547728731,2666.70,51.511674,7.459168,156.67,0.00,0.00,132.24,1,-86,-6,27,9,51,3,26378755,441,33,0.10,4.21,60.00,14.08,2530
350.21,1547728742,2666.70,51.511674,7.459168,156.80,0.00,0.00,132.24,1,-87,-6,24,10,51,3,26378755,441,34,1.00,13.68,62.00,16.27,2530
360.19,1547728751,2670.15,51.511508,7.459527,150.99,7.94,4.49,124.57,1,-88,-7,29,8,50,3,26378755,441,35,0.10,4.10,47.00,13.12,2530
370.21,1547728762,2799.91,51.510630,7.461074,160.85,13.58,-0.11,132.63,1,-88,-7,27,10,51,3,26378755,441,36,6.00,24.77,41.00,13.80,2530
380.20,1547728771,2880.85,51.510194,7.461898,162.28,0.00,-1.34,130.72,1,-85,-8,25,12,54,3,26378755,441,37,0.10,2.33,47.00,17.27,2530
390.29,1547728781,2880.85,51.510194,7.461898,162.49,0.00,0.00,130.72,1,-85,-8,25,12,55,3,26378755,441,38,0.10,5.16,47.00,6.48,2530
400.31,1547728792,2880.85,51.510194,7.461898,162.38,0.00,0.00,130.72,1,-85,-7,26,8,54,3,26378755,441,39,8.00,23.42,62.00,15.92,2530
410.33,1547728801,2880.85,51.510194,7.461898,162.22,0.00,0.00,130.72,1,-85,-7,27,12,54,3,26378755,441,40,7.00,18.22,53.00,13.77,2530
