time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1547728393,0.01,51.509852,7.467568,156.29,11.35,0.00,94.60,0,-102,-11,0,0,30,0,0,90
0.04,1547728393,0.01,51.509852,7.467568,156.29,11.35,0.00,94.60,0,-103,-11,0,0,28,0,0,91
1.04,1547728394,11.40,51.509843,7.467747,155.38,12.39,0.00,94.94,0,-102,-11,0,0,30,0,0,90
1.04,1547728394,11.42,51.509843,7.467747,155.38,12.39,0.00,94.94,0,-103,-11,0,0,28,0,0,91
2.05,1547728395,23.91,51.509839,7.467923,154.72,12.48,0.00,94.49,0,-104,-11,0,0,28,0,0,91
2.05,1547728395,23.92,51.509839,7.467923,154.72,12.48,0.00,94.49,0,-105,-13,0,0,28,0,0,90
3.04,1547728396,36.28,51.509836,7.468103,154.08,12.33,0.00,92.90,0,-104,-11,0,0,28,0,0,91
3.04,1547728396,36.28,51.509836,7.468103,154.08,12.33,0.00,92.90,0,-105,-13,0,0,28,0,0,90
4.04,1547728397,48.61,51.509832,7.468285,153.79,12.11,0.00,90.23,0,-104,-11,0,0,28,0,0,91
4.04,1547728397,48.63,51.509832,7.468285,153.79,12.11,0.00,90.23,0,-105,-13,0,0,28,0,0,90
5.04,1547728398,60.72,51.509839,7.468443,153.25,11.25,0.00,88.18,0,-103,-10,0,0,27,0,0,91
5.04,1547728398,60.73,51.509839,7.468443,153.25,11.25,0.00,88.18,0,-104,-11,0,0,27,0,0,92
6.04,1547728399,71.97,51.509855,7.468594,152.81,10.66,0.00,86.14,0,-103,-10,0,0,27,0,0,91
6.04,1547728399,71.98,51.509855,7.468594,152.81,10.66,0.00,86.14,0,-104,-11,0,0,27,0,0,92
7.04,1547728400,82.63,51.509875,7.468746,152.54,10.72,0.00,83.24,0,-108,-12,0,0,23,0,0,90
7.04,1547728400,82.63,51.509875,7.468746,152.54,10.72,0.00,83.24,0,-109,-13,0,0,23,0,0,91
8.04,1547728401,93.35,51.509915,7.468890,151.95,11.12,0.00,68.34,0,-108,-12,0,0,23,0,0,90
8.04,1547728401,93.36,51.509915,7.468890,151.95,11.12,0.00,68.34,0,-109,-13,0,0,23,0,0,91
9.04,1547728402,104.47,51.509964,7.469042,151.52,11.12,0.00,75.65,0,-108,-13,0,0,24,0,0,90
9.04,1547728402,104.48,51.509964,7.469042,151.52,11.12,0.00,75.65,0,-109,-13,0,0,24,0,0,91
10.04,1547728403,115.59,51.510006,7.469206,151.77,11.28,0.00,68.04,0,-108,-13,0,0,24,0,0,90
10.04,1547728403,115.60,51.510006,7.469206,151.77,11.28,0.00,68.04,0,-109,-13,0,0,24,0,0,91
11.04,1547728404,126.88,51.510067,7.469351,151.77,11.19,0.00,60.16,0,-101,-10,0,0,28,0,0,66
11.04,1547728404,126.89,51.510067,7.469351,151.77,11.19,0.00,60.16,0,-105,-10,0,0,24,0,0,90
11.05,1547728404,126.91,51.510067,7.469351,151.77,11.19,0.00,60.16,0,-108,-12,0,0,24,0,0,203
12.04,1547728405,138.03,51.510130,7.469506,151.71,11.64,0.00,59.81,0,-101,-10,0,0,28,0,0,66
12.04,1547728405,138.03,51.510130,7.469506,151.71,11.64,0.00,59.81,0,-105,-10,0,0,24,0,0,90
12.04,1547728405,138.04,51.510130,7.469506,151.71,11.64,0.00,59.81,0,-108,-12,0,0,24,0,0,203
13.04,1547728406,149.73,51.510188,7.469651,151.60,12.07,0.00,58.87,0,-104,-14,0,0,30,0,0,66
13.05,1547728406,149.74,51.510188,7.469651,151.60,12.07,0.00,58.87,0,-108,-10,0,0,21,0,0,90
13.05,1547728406,149.76,51.510188,7.469651,151.60,12.07,0.00,58.87,0,-109,-11,0,0,22,0,0,203
14.04,1547728407,161.74,51.510254,7.469799,151.28,12.47,0.00,58.44,0,-104,-14,0,0,30,0,0,66
14.04,1547728407,161.74,51.510254,7.469799,151.28,12.47,0.00,58.44,0,-108,-10,0,0,21,0,0,90
14.04,1547728407,161.76,51.510254,7.469799,151.28,12.47,0.00,58.44,0,-109,-11,0,0,22,0,0,203
15.04,1547728408,174.22,51.510321,7.469956,151.00,12.77,0.00,58.19,0,-109,-10,0,0,21,0,0,90
15.04,1547728408,174.22,51.510321,7.469956,151.00,12.77,0.00,58.19,0,-111,-13,0,0,22,0,0,203
16.04,1547728409,187.03,51.510396,7.470156,151.80,12.77,0.00,58.87,0,-109,-10,0,0,21,0,0,90
16.04,1547728409,187.04,51.510396,7.470156,151.80,12.77,0.00,58.87,0,-111,-13,0,0,22,0,0,203
17.04,1547728410,199.81,51.510465,7.470288,151.48,11.95,0.00,54.58,0,-110,-12,0,0,22,0,0,90
17.04,1547728410,199.81,51.510465,7.470288,151.48,11.95,0.00,54.58,0,-111,-14,0,0,23,0,0,203
18.04,1547728411,211.73,51.510539,7.470436,150.52,12.70,0.00,54.14,0,-110,-12,0,0,22,0,0,90
18.04,1547728411,211.74,51.510539,7.470436,150.52,12.70,0.00,54.14,0,-111,-14,0,0,23,0,0,203
19.12,1547728412,225.44,51.510611,7.470684,151.28,12.70,0.00,55.66,0,-110,-13,0,0,23,0,0,90
19.12,1547728412,225.44,51.510611,7.470684,151.28,12.70,0.00,55.66,0,-110,-13,0,0,23,0,0,203
20.04,1547728413,237.16,51.510696,7.470816,152.01,13.02,0.00,44.61,0,-110,-13,0,0,23,0,0,90
20.04,1547728413,237.16,51.510696,7.470816,152.01,13.02,0.00,44.61,0,-110,-13,0,0,23,0,0,203
21.04,1547728414,250.18,51.510771,7.470966,152.38,12.91,0.00,43.85,0,-109,-13,0,0,26,0,0,66
21.04,1547728414,250.19,51.510771,7.470966,152.38,12.91,0.00,43.85,0,-108,-11,0,0,21,0,0,203
21.05,1547728414,250.21,51.510771,7.470966,152.38,12.91,0.00,43.85,0,-111,-12,0,0,20,0,0,90
22.04,1547728415,263.09,51.510841,7.471078,152.35,11.64,0.00,43.50,0,-109,-13,0,0,26,0,0,66
22.04,1547728415,263.09,51.510841,7.471078,152.35,11.64,0.00,43.50,0,-108,-11,0,0,21,0,0,203
22.04,1547728415,263.10,51.510841,7.471078,152.35,11.64,0.00,43.50,0,-111,-12,0,0,20,0,0,90
23.05,1547728416,274.84,51.510923,7.471198,151.05,13.25,0.00,42.51,0,-109,-12,0,0,23,0,0,66
23.05,1547728416,274.84,51.510923,7.471198,151.05,13.25,0.00,42.51,0,-109,-9,0,0,20,0,0,203
23.05,1547728416,274.85,51.510923,7.471198,151.05,13.25,0.00,42.51,0,-115,-13,0,0,18,0,0,90
24.04,1547728417,287.90,51.511010,7.471308,149.57,13.65,0.00,41.33,0,-109,-12,0,0,23,0,0,66
24.04,1547728417,287.90,51.511010,7.471308,149.57,13.65,0.00,41.33,0,-109,-9,0,0,20,0,0,203
24.04,1547728417,287.90,51.511010,7.471308,149.57,13.65,0.00,41.33,0,-115,-13,0,0,18,0,0,90
25.04,1547728418,301.56,51.511105,7.471415,148.13,13.85,0.00,40.67,0,-109,-12,0,0,23,0,0,66
25.04,1547728418,301.57,51.511105,7.471415,148.13,13.85,0.00,40.67,0,-109,-9,0,0,20,0,0,203
25.04,1547728418,301.57,51.511105,7.471415,148.13,13.85,0.00,40.67,0,-115,-13,0,0,18,0,0,90
26.04,1547728419,315.48,51.511208,7.471526,146.76,13.94,0.00,39.74,0,-108,-11,0,0,23,0,0,66
26.04,1547728419,315.49,51.511208,7.471526,146.76,13.94,0.00,39.74,0,-104,-10,0,0,27,0,0,203
26.05,1547728419,315.50,51.511208,7.471526,146.76,13.94,0.00,39.74,0,-110,-17,0,0,27,0,0,33
27.05,1547728420,329.44,51.511306,7.471636,145.30,13.80,0.00,40.28,0,-108,-11,0,0,23,0,0,66
