time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
11.07,1547728854,136.30,51.510045,7.469317,151.52,12.35,0.00,59.92,0,-93,-11,0,0,50,0,0,399
12.07,1547728855,148.66,51.510105,7.469480,151.45,12.65,0.00,59.07,0,-93,-11,0,0,50,0,0,399
13.07,1547728856,161.31,51.510165,7.469643,151.63,12.57,0.00,58.57,0,-92,-7,0,0,48,0,0,399
13.07,1547728856,161.31,51.510165,7.469643,151.63,12.57,0.00,58.57,0,-78,-8,0,0,59,0,0,320
14.08,1547728857,173.92,51.510226,7.469801,151.72,12.55,0.00,58.06,0,-92,-7,0,0,48,0,0,399
14.08,1547728857,173.92,51.510226,7.469801,151.72,12.55,0.00,58.06,0,-78,-8,0,0,59,0,0,320
15.07,1547728858,186.43,51.510287,7.469953,151.37,12.24,0.00,58.00,0,-101,-13,0,0,45,0,0,21
16.07,1547728859,198.66,51.510344,7.470098,151.14,11.73,0.00,57.63,0,-101,-13,0,0,45,0,0,21
17.07,1547728860,210.40,51.510397,7.470235,151.18,10.89,0.00,57.52,0,-106,-14,0,0,41,0,0,21
17.07,1547728860,210.40,51.510397,7.470235,151.18,10.89,0.00,57.52,0,-93,-20,0,0,55,0,0,21
18.08,1547728861,221.33,51.510456,7.470386,151.45,10.89,0.00,58.06,0,-106,-14,0,0,41,0,0,21
18.08,1547728861,221.34,51.510456,7.470386,151.45,10.89,0.00,58.06,0,-93,-20,0,0,55,0,0,21
19.07,1547728862,232.18,51.510527,7.470537,151.31,12.35,0.00,52.78,0,-104,-13,0,0,41,0,0,21
19.07,1547728862,232.19,51.510527,7.470537,151.31,12.35,0.00,52.78,0,-88,-14,0,0,55,0,0,441
19.07,1547728862,232.19,51.510527,7.470537,151.31,12.35,0.00,52.78,0,-90,-16,0,0,55,0,0,31
20.09,1547728863,244.68,51.510527,7.470537,151.31,12.35,0.00,52.78,0,-104,-13,0,0,41,0,0,21
20.09,1547728863,244.68,51.510527,7.470537,151.31,12.35,0.00,52.78,0,-88,-14,0,0,55,0,0,441
20.09,1547728863,244.68,51.510527,7.470537,151.31,12.35,0.00,52.78,0,-90,-16,0,0,55,0,0,31
21.08,1547728864,256.95,51.510686,7.470877,152.44,13.42,0.00,47.91,0,-110,-14,0,0,36,0,0,21
21.08,1547728864,256.95,51.510686,7.470877,152.44,13.42,0.00,47.91,0,-90,-15,0,0,53,0,0,441
21.08,1547728864,256.95,51.510686,7.470877,152.44,13.42,0.00,47.91,0,-92,-16,0,0,53,0,0,31
22.08,1547728865,270.31,51.510783,7.471016,152.43,13.63,0.00,45.92,0,-110,-14,0,0,36,0,0,21
22.08,1547728865,270.31,51.510783,7.471016,152.43,13.63,0.00,45.92,0,-90,-15,0,0,53,0,0,441
22.08,1547728865,270.32,51.510783,7.471016,152.43,13.63,0.00,45.92,0,-92,-16,0,0,53,0,0,31
23.08,1547728866,283.94,51.510883,7.471150,151.45,14.33,0.00,43.95,0,-110,-14,0,0,36,0,0,21
23.08,1547728866,283.94,51.510883,7.471150,151.45,14.33,0.00,43.95,0,-90,-15,0,0,53,0,0,441
23.08,1547728866,283.94,51.510883,7.471150,151.45,14.33,0.00,43.95,0,-92,-16,0,0,53,0,0,31
24.08,1547728867,298.27,51.510987,7.471284,149.78,14.75,0.00,42.02,0,-107,-12,0,0,38,0,0,21
24.08,1547728867,298.29,51.510987,7.471284,149.78,14.75,0.00,42.02,0,-90,-13,0,0,52,0,0,441
24.08,1547728867,298.29,51.510987,7.471284,149.78,14.75,0.00,42.02,0,-94,-18,0,0,54,0,0,443
25.08,1547728868,313.03,51.511085,7.471412,148.07,14.39,0.00,41.05,0,-107,-12,0,0,38,0,0,21
