time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.64,1547729663,107.45,51.509891,7.468999,146.22,12.33,0.00,72.07,1,-94,-7,17,5,42,6,26379013,199,0,0.10,3.21,38.00,2650
19.66,1547729673,247.64,51.510639,7.470715,143.86,14.55,0.08,51.12,1,-91,-6,21,11,46,5,27256325,372,1,4.00,21.68,37.00,2650
29.65,1547729684,400.50,51.511713,7.472121,139.99,15.10,0.13,39.14,1,-85,-5,20,13,52,5,27256325,372,2,1.00,8.71,39.00,2650
39.64,1547729694,543.11,51.512879,7.472876,139.36,15.36,0.52,6.63,1,-90,-5,16,12,46,5,27256325,372,3,8.00,16.46,39.00,2650
49.69,1547729703,651.66,51.513737,7.472944,149.50,2.28,-3.17,2.76,1,-92,-5,5,6,45,10,29398276,358,4,0.50,8.66,36.00,2650
59.66,1547729713,654.93,51.513873,7.472959,150.65,5.56,0.00,8.90,1,-90,-6,35,15,48,10,29398276,358,5,1.00,5.54,38.00,2650
69.64,1547729723,734.10,51.514634,7.472969,148.48,4.73,-0.31,4.15,1,-91,-6,21,15,47,10,29398276,358,6,7.00,15.66,82.00,2650
79.68,1547729734,743.76,51.514689,7.472981,148.29,0.00,0.00,5.47,1,-91,-6,23,10,47,10,29398276,358,7,4.00,16.63,38.00,2650
89.68,1547729743,743.76,51.514689,7.472981,147.52,0.00,0.00,5.47,1,-91,-5,20,9,47,10,29398276,358,8,10.00,20.02,39.00,2650
99.69,1547729753,743.76,51.514689,7.472981,147.03,0.00,0.00,5.47,1,-91,-6,20,7,48,10,29398276,358,9,5.00,16.14,67.00,2650
109.67,1547729764,743.76,51.514689,7.472981,146.73,0.00,0.00,5.47,1,-91,-6,22,10,47,10,29398276,358,10,8.00,23.34,50.00,2650
119.64,1547729773,743.76,51.514689,7.472981,146.20,0.00,0.00,5.47,1,-91,-6,24,12,47,10,29398276,358,11,6.00,21.19,35.00,2650
129.67,1547729783,759.64,51.514999,7.473003,140.02,10.12,1.03,2.79,1,-94,-6,13,9,44,10,29398276,358,12,9.00,16.79,36.00,2650
