time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.37,1547801780,130.81,51.510452,7.470345,143.92,13.49,-0.28,56.06,1,-96,-8,10,9,44,6,14345743,399,0,0.50,6.66,45.00,2680
20.35,1547801789,267.53,51.511411,7.471689,146.59,14.70,0.15,39.54,1,-95,-7,19,11,44,6,14345743,399,1,1.00,4.04,122.00,2680
30.38,1547801799,396.09,51.512323,7.472696,147.59,6.20,-2.45,13.70,1,-84,-6,21,15,54,6,14345743,399,2,5.00,19.99,53.00,2680
40.38,1547801810,410.38,51.512401,7.472714,147.05,0.00,0.00,15.66,1,-82,-7,29,15,57,6,14345743,399,3,3.00,17.53,54.00,2680
50.41,1547801820,410.38,51.512401,7.472714,146.85,0.00,0.00,15.66,1,-83,-7,29,15,55,6,14345743,399,4,1.00,4.65,54.00,2680
60.37,1547801830,410.38,51.512401,7.472714,146.52,0.00,0.00,15.66,1,-83,-9,24,15,59,6,14345743,399,5,3.00,16.39,53.00,2680
70.38,1547801839,443.48,51.512811,7.472732,137.63,10.05,0.35,4.06,1,-87,-10,18,11,56,6,14345743,399,6,6.00,11.92,53.00,2680
80.34,1547801850,535.07,51.513594,7.472808,135.48,3.36,-1.44,3.63,1,-101,-13,-1,7,45,6,14345743,399,7,10.00,18.88,46.00,2680
90.37,1547801859,581.57,51.514060,7.472842,136.30,7.26,0.91,1.40,1,-102,-9,11,11,40,5,14345741,400,8,9.00,17.37,56.00,2680
100.39,1547801869,622.77,51.514452,7.472907,137.40,8.82,1.20,4.60,1,-96,-8,18,12,45,5,14345741,400,9,4.00,14.98,47.00,2680
110.37,1547801880,742.08,51.515541,7.472859,139.76,12.26,-1.13,341.11,1,-101,-10,16,9,41,5,14345741,400,10,1.00,6.35,47.00,2680
120.39,1547801890,879.18,51.516514,7.471577,133.86,14.18,-0.18,299.61,1,-104,-12,10,12,40,5,14345741,400,11,7.00,10.62,56.00,2680
130.32,1547801900,1024.70,51.516984,7.469688,127.54,10.34,-1.41,290.39,1,-109,-9,5,5,31,5,14345741,400,12,1.00,4.89,81.00,2680
140.41,1547801910,1147.68,51.517361,7.467922,125.48,15.82,0.12,292.29,1,-89,-17,-6,3,53,6,14343450,127,13,5.00,1.10,57.00,1845
150.76,1547801920,1294.89,51.517836,7.466009,126.85,13.31,-0.43,283.86,1,-77,-11,11,11,59,7,14343451,128,14,9.00,2.48,230.00,1845
161.21,1547801930,1433.89,51.517784,7.463973,135.02,13.26,0.40,257.41,1,-66,-11,17,11,63,7,14343451,128,15,3.00,2.22,563.00,1845
170.45,1547801940,1555.51,51.517400,7.462307,131.99,13.45,0.09,247.97,1,-84,-18,1,3,60,2,13402395,348,16,5.00,5.11,151.00,1845
180.36,1547801950,1695.09,51.516943,7.460431,131.88,14.81,0.66,253.21,1,-63,-11,9,9,63,2,13402395,348,17,5.00,10.16,46.00,1845
190.39,1547801960,1845.12,51.516614,7.458352,132.34,15.14,-0.37,258.37,1,-72,-6,-1,9,61,2,13402395,348,18,8.00,9.73,48.00,1845
200.39,1547801970,1946.88,51.516422,7.456986,133.38,2.46,-0.59,254.54,1,-81,-6,15,11,56,5,12899854,16,19,8.00,14.18,49.00,2680
210.40,1547801979,1950.38,51.516418,7.456969,133.42,0.00,0.00,254.54,1,-87,-7,14,11,52,5,12899854,16,20,0.10,6.30,53.00,2680
220.38,1547801989,2002.90,51.516112,7.455891,131.13,11.42,0.13,238.14,1,-78,-8,11,12,62,5,12899854,16,21,2.00,7.75,47.00,2680
230.42,1547802000,2123.35,51.515173,7.455127,137.72,12.51,0.48,180.22,1,-78,-6,21,15,61,3,13404431,488,22,10.00,18.93,53.00,2680
240.40,1547802009,2261.61,51.513883,7.455465,143.94,13.77,0.28,170.68,1,-75,-7,6,8,63,3,13404431,488,23,2.00,7.67,54.00,2680
250.38,1547802020,2400.75,51.512862,7.456665,141.59,14.82,0.13,126.50,1,-78,-8,5,6,62,1,13404429,486,24,7.00,17.06,44.00,2680
260.36,1547802030,2554.08,51.512044,7.458498,145.30,15.39,0.28,126.72,1,-80,-11,27,15,63,1,13404429,486,25,3.00,10.34,88.00,2680
270.37,1547802040,2701.03,51.511216,7.460158,145.07,14.02,-0.82,130.96,1,-89,-9,11,8,52,1,13404429,486,26,4.00,9.69,48.00,2680
280.40,1547802050,2837.57,51.510366,7.461588,144.08,7.11,-1.98,133.42,1,-84,-10,11,12,58,2,13403661,21,27,4.00,0.98,154.00,2680
