time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1547802908,0.00,51.509815,7.467397,147.89,11.63,0.00,95.61,1,-85,-7,12,9,50,9,26379013,199
1.04,1547802909,11.68,51.509805,7.467589,148.08,13.07,1.44,96.08,1,-78,-5,23,12,58,9,26379013,199
2.04,1547802910,24.77,51.509797,7.467770,148.00,13.17,0.10,96.15,1,-78,-5,23,12,58,9,26379013,199
3.04,1547802911,37.94,51.509789,7.467955,147.74,13.14,-0.03,95.06,1,-89,-6,12,6,47,9,26379013,199
4.04,1547802912,51.08,51.509785,7.468149,147.79,12.56,-0.59,92.67,1,-89,-6,12,6,47,9,26379013,199
5.04,1547802913,63.64,51.509785,7.468354,147.99,12.80,0.24,90.52,1,-92,-7,11,7,43,9,26379013,199
6.04,1547802914,76.43,51.509795,7.468532,147.97,13.26,0.46,88.59,1,-92,-7,11,7,43,9,26379013,199
7.04,1547802915,89.68,51.509834,7.468703,147.92,13.64,0.39,72.27,1,-91,-7,9,7,46,9,26379013,199
8.04,1547802916,103.33,51.509875,7.468901,147.85,14.42,0.78,71.24,1,-91,-7,9,7,46,9,26379013,199
9.04,1547802917,117.75,51.509940,7.469072,147.56,14.93,0.51,58.45,1,-94,-7,7,5,41,9,26379013,199
10.05,1547802918,132.71,51.510014,7.469260,147.15,14.94,0.00,58.01,1,-94,-7,7,5,41,9,26379013,199
11.05,1547802919,147.67,51.510086,7.469439,146.78,14.77,-0.17,57.57,1,-97,-8,7,4,39,9,26379013,199
12.05,1547802920,162.44,51.510153,7.469616,146.34,14.56,-0.21,57.92,1,-97,-8,7,4,39,9,26379013,199
13.05,1547802921,177.04,51.510222,7.469795,145.75,14.55,-0.00,57.53,1,-96,-10,3,6,43,4,27256324,374
14.04,1547802922,191.49,51.510291,7.469968,145.08,14.57,0.01,57.02,1,-96,-10,3,6,43,4,27256324,374
15.04,1547802923,206.07,51.510364,7.470147,144.47,14.28,-0.28,57.73,1,-96,-10,3,6,43,4,27256324,374
16.05,1547802924,220.38,51.510432,7.470307,144.16,13.93,-0.35,56.89,1,-89,-6,5,6,47,5,27256325,372
17.05,1547802925,234.31,51.510512,7.470472,144.06,12.95,-0.99,54.80,1,-89,-6,5,6,47,5,27256325,372
18.04,1547802926,247.23,51.510588,7.470610,144.10,11.24,-1.71,52.35,1,-89,-6,20,15,47,5,27256325,372
19.04,1547802927,258.47,51.510660,7.470734,144.03,9.81,-1.42,50.06,1,-89,-6,20,15,47,5,27256325,372
20.04,1547802928,268.28,51.510723,7.470827,143.95,8.63,-1.18,47.49,1,-91,-6,17,10,45,5,27256325,372
21.04,1547802929,276.88,51.510777,7.470895,144.03,7.28,-1.36,44.89,1,-91,-6,17,10,45,5,27256325,372
22.04,1547802930,284.17,51.510822,7.470950,144.25,6.01,-1.26,43.08,1,-90,-6,20,12,46,5,27256325,372
23.04,1547802931,290.17,51.510864,7.470999,144.24,4.06,-1.96,41.23,1,-90,-6,20,12,46,5,27256325,372
24.04,1547802932,294.24,51.510877,7.471012,144.20,1.52,-2.53,43.66,1,-89,-6,17,13,47,5,27256325,372
25.04,1547802933,295.76,51.510892,7.471020,144.15,0.59,-0.92,43.66,1,-89,-6,17,13,47,5,27256325,372
26.04,1547802934,296.35,51.510892,7.471020,144.14,0.00,-0.59,43.66,1,-90,-6,18,12,46,5,27256325,372
27.04,1547802935,296.35,51.510892,7.471020,144.13,0.00,0.00,43.66,1,-90,-6,18,12,46,5,27256325,372
28.04,1547802936,296.35,51.510892,7.471020,144.12,0.00,0.00,43.66,1,-90,-6,24,12,47,5,27256325,372
29.04,1547802937,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-90,-6,24,12,47,5,27256325,372
30.04,1547802938,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-90,-6,24,13,47,5,27256325,372
31.05,1547802939,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-90,-6,24,13,47,5,27256325,372
32.04,1547802940,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-91,-8,22,11,48,5,27256325,372
33.04,1547802941,296.35,51.510892,7.471020,144.10,0.00,0.00,43.66,1,-91,-8,22,11,48,5,27256325,372
34.05,1547802942,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-90,-7,21,12,47,5,27256325,372
35.05,1547802943,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-90,-7,21,12,47,5,27256325,372
36.04,1547802944,296.35,51.510892,7.471020,144.11,0.00,0.00,43.66,1,-90,-7,21,12,47,5,27256325,372
37.04,1547802945,296.35,51.510892,7.471020,144.16,0.00,0.00,43.66,1,-90,-6,24,13,47,5,27256325,372
38.04,1547802946,296.35,51.510892,7.471020,144.21,0.00,0.00,37.90,1,-90,-6,24,13,47,5,27256325,372
39.04,1547802947,296.35,51.510892,7.471020,144.31,0.00,0.00,38.23,1,-86,-6,33,13,50,5,27256325,372
40.04,1547802948,296.35,51.510970,7.471079,145.12,4.99,0.00,37.36,1,-86,-6,33,13,50,5,27256325,372
41.05,1547802949,301.35,51.511003,7.471116,145.49,5.51,0.52,38.23,1,-88,-6,14,13,48,5,27256325,372
42.04,1547802950,306.83,51.511042,7.471162,145.59,5.58,0.07,38.27,1,-88,-6,14,13,48,5,27256325,372
43.04,1547802951,312.41,51.511079,7.471202,145.77,4.82,-0.76,38.95,1,-89,-6,20,12,48,5,27256325,372
44.04,1547802952,317.24,51.511116,7.471239,145.80,3.88,-0.94,37.87,1,-89,-6,20,12,48,5,27256325,372
45.04,1547802953,321.11,51.511142,7.471268,145.81,1.46,-2.43,39.35,1,-88,-6,21,11,48,5,27256325,372
46.04,1547802954,322.58,51.511145,7.471276,145.76,1.33,-0.13,39.35,1,-88,-6,21,11,48,5,27256325,372
47.05,1547802955,323.91,51.511165,7.471303,145.68,2.59,1.25,38.61,1,-85,-5,24,13,51,5,27256325,372
48.04,1547802956,326.50,51.511189,7.471339,144.75,6.15,3.56,39.66,1,-85,-5,24,13,51,5,27256325,372
49.04,1547802957,332.64,51.511250,7.471418,144.05,8.51,2.37,39.77,1,-86,-6,23,11,49,5,27256325,372
50.04,1547802958,341.15,51.511308,7.471495,143.46,9.89,1.37,40.02,1,-86,-6,23,11,49,5,27256325,372
51.04,1547802959,351.02,51.511380,7.471593,142.83,10.70,0.82,40.06,1,-87,-6,26,15,49,5,27256325,372
52.04,1547802960,361.75,51.511451,7.471692,142.21,11.37,0.67,39.58,1,-87,-6,26,15,49,5,27256325,372
53.04,1547802961,373.09,51.511525,7.471796,141.58,11.32,-0.05,39.17,1,-87,-6,25,15,49,5,27256325,372
54.05,1547802962,384.45,51.511602,7.471901,141.05,11.19,-0.14,39.02,1,-87,-6,25,15,49,5,27256325,372
55.05,1547802963,395.72,51.511676,7.472004,140.58,10.27,-0.91,39.13,1,-88,-6,10,9,48,5,27256325,372
56.04,1547802964,405.90,51.511748,7.472100,140.16,9.64,-0.63,39.82,1,-88,-6,10,9,48,5,27256325,372
57.04,1547802965,415.55,51.511812,7.472184,139.80,8.99,-0.65,39.53,1,-88,-6,10,9,48,5,27256325,372
58.04,1547802966,424.53,51.511885,7.472276,139.73,9.32,0.33,39.88,1,-86,-6,17,15,49,5,27256325,372
59.04,1547802967,433.86,51.511953,7.472365,139.65,10.61,1.29,39.48,1,-86,-6,17,15,49,5,27256325,372
60.04,1547802968,444.47,51.512031,7.472462,139.81,10.53,-0.08,38.59,1,-86,-6,22,15,51,5,27256325,372
61.05,1547802969,455.03,51.512104,7.472548,139.73,10.29,-0.24,36.63,1,-86,-6,22,15,51,5,27256325,372
62.04,1547802970,465.27,51.512196,7.472639,139.88,10.74,0.46,33.21,1,-81,-6,19,15,53,5,27256325,372
63.04,1547802971,476.00,51.512288,7.472690,139.83,10.80,0.06,19.68,1,-81,-6,19,15,53,5,27256325,372
64.04,1547802972,486.81,51.512375,7.472741,139.14,11.03,0.23,17.99,1,-86,-8,23,15,52,5,27256325,372
65.05,1547802973,497.89,51.512465,7.472779,138.74,12.35,1.32,14.53,1,-86,-8,23,15,52,5,27256325,372
66.05,1547802974,510.23,51.512562,7.472801,138.66,11.12,-1.23,11.04,1,-90,-6,13,10,46,5,27256325,372
67.04,1547802975,521.34,51.512667,7.472816,138.33,11.55,0.42,8.39,1,-90,-6,13,10,46,5,27256325,372
68.04,1547802976,532.89,51.512775,7.472834,138.07,11.80,0.25,6.84,1,-89,-6,28,10,45,5,27256325,372
69.04,1547802977,544.69,51.512880,7.472845,137.97,12.03,0.23,5.60,1,-89,-6,28,10,45,5,27256325,372
70.05,1547802978,556.73,51.512992,7.472855,137.94,11.85,-0.19,5.24,1,-92,-6,11,10,44,5,27256325,372
71.05,1547802979,568.59,51.513102,7.472860,137.77,11.87,0.02,4.40,1,-92,-6,11,10,44,5,27256325,372
72.05,1547802980,580.45,51.513205,7.472863,137.58,11.82,-0.05,4.51,1,-93,-8,2,6,45,5,27256325,372
73.04,1547802981,592.24,51.513315,7.472864,137.13,11.55,-0.28,3.57,1,-93,-8,2,6,45,5,27256325,372
74.05,1547802982,603.83,51.513417,7.472867,136.64,11.54,-0.00,2.72,1,-94,-7,5,6,44,10,29398276,358
75.05,1547802983,615.37,51.513508,7.472872,136.40,10.85,-0.70,3.15,1,-94,-7,5,6,44,10,29398276,358
76.05,1547802984,626.28,51.513594,7.472878,136.22,9.94,-0.90,3.52,1,-83,-6,12,6,50,7,27299331,324
77.04,1547802985,636.13,51.513680,7.472878,136.06,8.85,-1.10,3.70,1,-83,-6,12,6,50,7,27299331,324
78.04,1547802986,644.99,51.513753,7.472882,135.92,7.74,-1.11,3.31,1,-83,-6,12,6,50,7,27299331,324
79.04,1547802987,652.71,51.513819,7.472882,135.66,6.43,-1.31,2.15,1,-90,-6,7,6,46,9,29398276,358
80.04,1547802988,659.15,51.513864,7.472885,135.42,4.55,-1.88,3.27,1,-90,-6,7,6,46,9,29398276,358
81.04,1547802989,663.70,51.513896,7.472889,135.41,3.18,-1.38,4.01,1,-89,-6,18,15,48,9,29398276,358
82.05,1547802990,666.89,51.513920,7.472889,135.43,2.51,-0.66,3.33,1,-89,-6,18,15,48,9,29398276,358
83.04,1547802991,669.39,51.513959,7.472886,135.46,1.26,-1.26,3.52,1,-91,-7,22,15,46,9,29398276,358
84.05,1547802992,670.65,51.513959,7.472886,135.46,0.00,-1.25,3.52,1,-91,-7,22,15,46,9,29398276,358
85.04,1547802993,670.65,51.513959,7.472886,135.46,0.00,0.00,3.52,1,-89,-5,21,15,48,9,29398276,358
86.04,1547802994,670.65,51.513959,7.472886,135.47,0.00,0.00,3.52,1,-89,-5,21,15,48,9,29398276,358
87.04,1547802995,670.65,51.513959,7.472886,135.47,0.00,0.00,3.52,1,-89,-6,22,15,48,9,29398276,358
88.04,1547802996,670.65,51.513959,7.472886,135.48,0.00,0.00,3.52,1,-89,-6,22,15,48,9,29398276,358
89.04,1547802997,670.65,51.513959,7.472886,135.49,0.00,0.00,3.52,1,-89,-6,19,15,49,9,29398276,358
90.04,1547802998,670.65,51.513959,7.472886,135.49,0.00,0.00,3.52,1,-89,-6,19,15,49,9,29398276,358
91.04,1547802999,670.65,51.513959,7.472886,135.49,0.00,0.00,3.52,1,-89,-6,22,15,48,9,29398276,358
