time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.50,1547802921,132.71,51.510052,7.469244,151.90,14.39,-0.46,58.81,1,-97,-11,-1,7,35,6,13392641,223,0,9.00,18.87,40.00,860
20.49,1547802931,268.05,51.511003,7.471044,148.84,8.64,-1.05,47.38,1,-98,-10,0,8,29,6,13175809,68,1,4.00,25.00,28.00,860
30.51,1547802941,296.16,51.510877,7.470985,145.91,0.00,0.00,41.73,1,-95,-8,7,8,32,8,13175298,60,2,0.50,17.17,34.00,860
40.55,1547802951,296.16,51.510927,7.471054,142.80,4.79,0.00,38.77,1,-96,-8,8,11,31,8,13175298,60,3,6.00,26.50,32.00,860
50.52,1547802961,341.52,51.511282,7.471485,138.17,9.84,1.76,40.77,1,-94,-9,2,7,34,8,13175298,60,4,5.00,36.97,34.00,860
60.52,1547802971,444.25,51.512251,7.472384,135.46,10.60,0.04,38.89,1,-94,-10,2,7,36,8,13175298,60,5,8.00,21.76,29.00,860
70.50,1547802981,552.46,51.512999,7.472873,132.97,11.53,-0.35,4.84,1,-89,-8,5,8,39,8,13175298,60,6,3.00,36.31,36.00,860
80.51,1547802991,652.94,51.513876,7.472916,133.32,4.59,-1.85,0.71,1,-84,-8,4,8,45,8,13175298,60,7,10.00,47.28,28.00,860
90.50,1547803000,664.27,51.513981,7.472895,133.45,0.00,0.00,2.57,1,-82,-8,10,11,48,8,13175298,60,8,6.00,48.63,30.00,860
100.51,1547803011,664.27,51.513981,7.472895,133.27,0.00,0.00,2.57,1,-82,-8,11,9,46,8,13175298,60,9,0.10,9.88,76.00,860
110.54,1547803021,664.27,51.513981,7.472895,132.90,0.00,0.00,2.57,1,-81,-7,13,13,45,8,13175298,60,10,8.00,27.15,47.00,860
120.57,1547803031,719.67,51.514624,7.472945,129.32,8.64,-1.51,5.31,1,-75,-8,9,15,54,8,13175298,60,11,3.00,33.61,43.00,860
130.50,1547803041,748.07,51.514839,7.472979,128.73,0.00,0.00,3.20,1,-63,-7,8,11,63,8,13175298,60,12,7.00,62.36,30.00,860
140.53,1547803051,816.69,51.515669,7.472864,129.32,13.17,-0.29,346.54,1,-75,-10,6,12,54,8,13175298,60,13,4.00,33.23,29.00,860
150.49,1547803060,954.99,51.516591,7.471407,139.96,15.04,0.40,295.79,1,-77,-7,-8,8,31,4,13175306,68,14,0.10,13.11,35.00,1865
160.49,1547803071,1096.38,51.517040,7.469532,136.92,13.75,-0.05,289.63,1,-91,-6,11,9,32,4,13175306,68,15,6.00,36.09,30.00,1865
171.63,1547803082,1233.50,51.517449,7.467683,137.01,12.13,0.33,296.69,1,-85,-12,19,15,40,4,13175306,68,16,1.00,15.97,97.00,1865
182.26,1547803093,1366.85,51.517858,7.465928,135.26,10.26,-0.27,282.31,1,-78,-6,15,11,47,3,13530894,345,17,1.00,13.03,46.00,2630
190.53,1547803101,1461.31,51.517863,7.464514,133.48,12.03,-0.08,265.08,1,-84,-8,10,11,45,5,13530894,345,18,10.00,38.13,32.00,2630
200.54,1547803111,1575.86,51.517573,7.462934,129.92,11.05,0.02,248.10,1,-82,-8,18,10,45,5,13530894,345,19,1.00,34.33,34.00,2630
210.54,1547803121,1691.50,51.517218,7.461373,128.89,11.15,-0.11,253.06,1,-85,-8,32,15,42,5,13530894,345,20,8.00,18.48,28.00,2630
223.88,1547803134,1813.17,51.516838,7.459808,130.04,7.75,-0.27,255.05,1,-78,-6,-6,8,44,5,13406216,217,21,8.00,51.86,44.00,2630
232.27,1547803143,1883.26,51.516709,7.458827,132.84,7.53,-0.22,257.78,1,-84,-7,-4,4,40,5,13406216,217,22,8.00,38.32,43.00,1865
240.49,1547803151,1941.88,51.516608,7.457971,135.21,5.62,-0.43,257.81,1,-78,-8,10,7,49,4,13406209,460,23,3.00,12.68,30.00,860
250.53,1547803161,1969.51,51.516566,7.457617,136.61,0.00,0.00,257.03,1,-80,-10,8,9,49,4,13406209,460,24,6.00,20.72,35.00,860
260.49,1547803171,1978.02,51.516523,7.457371,137.32,5.83,1.49,257.15,1,-78,-9,10,8,50,4,13406209,460,25,5.00,24.92,35.00,860
270.55,1547803181,2062.29,51.516239,7.456166,136.21,9.31,0.28,239.87,1,-72,-8,18,12,56,4,13406209,460,26,0.50,27.59,38.00,860
280.50,1547803191,2169.95,51.515516,7.455017,139.07,11.89,-0.07,195.87,1,-72,-6,15,11,53,4,13406209,460,27,9.00,14.74,34.00,860
290.49,1547803201,2298.38,51.514316,7.455267,139.60,11.05,-2.23,171.99,1,-80,-9,16,10,47,4,13406209,460,28,5.00,27.38,35.00,860
300.49,1547803211,2321.04,51.514197,7.455302,138.98,0.00,0.00,171.52,1,-85,-8,12,11,42,4,13406209,460,29,7.00,20.11,38.00,860
