time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz,scenario,provider,timestamp,enodeb,drive_id
10.38,1544432936,100.93,51.490521,7.413815,161.41,11.8,0.13,79.23,1,-99,-9,-1,8,36,9,13828122,452,0,6,2.38,54,1845,campus,o2,2018-12-10T09:08:56Z,54016,1
10.17,1544432937,96.3,51.490553,7.413966,157.63,11.83,0.03,79.35,1,-85,-5,22,10,50,7,26385408,95,0,0.1,6.84,41,1815,campus,tmobile,2018-12-10T09:08:57Z,103068,1
10.53,1544432943,88.76,51.490529,7.413821,159.74,11.7,0.06,78.93,1,-121,-15,-8,4,12,63,13067274,289,0,0.1,3.54,61,1865,campus,vodafone,2018-12-10T09:09:03Z,51044,1
20.16,1544432948,216.95,51.490714,7.415693,152.47,11.45,-0.32,85.25,1,-84,-6,11,13,52,4,29391105,167,1,2,9.71,58,1815,campus,tmobile,2018-12-10T09:09:08Z,114809,1
28.46,1544432955,300.95,51.490628,7.416688,155.68,8.02,0.15,100.75,1,-96,-12,5,5,42,7,13416987,62,1,10,0.9,1573,1845,campus,o2,2018-12-10T09:09:15Z,52410,1
30.86,1544432957,316.6,51.490581,7.416909,156.66,7.93,0.23,102.61,1,-96,-12,5,5,42,7,13416987,62,2,7,1.09,144,1845,campus,o2,2018-12-10T09:09:17Z,52410,1
30.21,1544432957,308.23,51.490603,7.41699,153.29,8.15,0.24,101.39,1,-74,-5,29,15,62,4,29391105,167,2,2,7.31,57,1815,campus,tmobile,2018-12-10T09:09:17Z,114809,1
28.33,1544432961,288.63,51.490621,7.416639,152.22,8.22,0.32,100.24,1,-108,-9,2,2,33,21,13392904,347,1,5,18.57,70,1865,campus,vodafone,2018-12-10T09:09:21Z,52316,1
30.98,1544432963,304.36,51.490567,7.416965,152.24,8,0.53,100.79,1,-111,-13,6,6,20,16,12806666,385,2,1,5.22,548,1865,campus,vodafone,2018-12-10T09:09:23Z,50026,1
40.16,1544432967,384.18,51.491189,7.417066,155.51,9.42,0.43,349.15,1,-92,-6,13,12,44,4,29391105,167,3,3,3.95,163,1815,campus,tmobile,2018-12-10T09:09:27Z,114809,1
47.81,1544432974,464.65,51.491753,7.416834,154.6,10.08,-0.15,344.61,1,-100,-13,-1,7,38,7,13416987,62,3,7,0.45,1346,1845,campus,o2,2018-12-10T09:09:34Z,52410,1
42.58,1544432975,400.26,51.491274,7.417041,152.09,10.6,0.11,349.01,1,-113,-11,1,6,16,16,12806666,385,3,3,3.97,1033,1865,campus,vodafone,2018-12-10T09:09:35Z,50026,1
50.21,1544432978,484.69,51.492077,7.416627,155.58,10.61,0.38,335.05,1,-90,-6,16,9,45,4,29391105,167,4,5,8.55,59,1815,campus,tmobile,2018-12-10T09:09:38Z,114809,1
56.27,1544432983,562.62,51.492567,7.416226,155.12,12.44,-0.16,337.81,1,-101,-14,-3,5,39,7,13416987,62,4,9,0.51,5662,1845,campus,o2,2018-12-10T09:09:43Z,52410,1
50.72,1544432983,482.18,51.492051,7.416616,154.33,10.3,0.36,337.2,1,-106,-8,5,11,21,16,12806666,385,4,8,11.68,648,1865,campus,vodafone,2018-12-10T09:09:43Z,50026,1
60.21,1544432988,603.2,51.493064,7.415978,154.05,11.84,-0.37,344.97,1,-101,-10,13,15,40,4,29391105,167,5,8,11.3,51,1815,campus,tmobile,2018-12-10T09:09:48Z,114809,1
63.97,1544432990,650.24,51.493342,7.415965,153.76,12.03,-0.47,348.88,1,-105,-15,-4,5,36,7,13416987,62,5,3,0.42,786,1845,campus,o2,2018-12-10T09:09:50Z,52410,1
60.69,1544432994,598.31,51.493069,7.415988,154.94,12.28,0.12,345.85,1,-110,-9,9,10,16,16,12806666,385,5,4,35.91,85,1865,campus,vodafone,2018-12-10T09:09:54Z,50026,1
70.96,1544432998,734.34,51.494077,7.415697,150.99,11.52,-0.25,344.8,1,-112,-18,-6,3,31,7,13416987,62,6,3,0.71,151,1845,campus,o2,2018-12-10T09:09:58Z,52410,1
70.24,1544432998,722.22,51.494143,7.415623,153.22,9.75,-2.15,345.36,1,-93,-8,7,10,45,4,29391105,167,6,3,6.78,75,1815,campus,tmobile,2018-12-10T09:09:58Z,114809,1
70.54,1544433003,719.22,51.494038,7.415645,156.32,11.45,-0.2,344.39,1,-93,-5,21,14,31,16,12806666,385,6,0.5,25.32,52,1865,campus,vodafone,2018-12-10T09:10:03Z,50026,1
80.22,1544433007,755.91,51.494432,7.415501,153.62,0,0,346.05,1,-94,-11,0,9,49,4,29391105,167,7,0.1,4.3,55,1815,campus,tmobile,2018-12-10T09:10:07Z,114809,1
82.26,1544433009,780.33,51.494387,7.415546,152.07,0,0,347.22,1,-99,-15,-4,4,41,12,13542402,34,7,0.5,0.63,444,850,campus,o2,2018-12-10T09:10:09Z,52900,1
80.49,1544433013,760.14,51.49436,7.41551,156.09,0,0,346.59,1,-94,-7,23,15,30,16,12806666,385,7,5,62.79,50,1865,campus,vodafone,2018-12-10T09:10:13Z,50026,1
90.17,1544433017,755.91,51.494432,7.415501,154.13,0,0,346.05,1,-94,-11,8,9,49,4,29391105,167,8,5,12.35,72,1815,campus,tmobile,2018-12-10T09:10:17Z,114809,1
