time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz,scenario,provider,start_time,timestamp,enodeb,drive_id
10.49,1544432937,100.93,51.490521,7.413815,161.41,11.8,0.13,79.23,1,-99,-9,-1,8,36,9,13828122,452,0,1,4.66,47,20.56,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:08:57Z,54016,1
21.71,1544432948,233.54,51.490699,7.415705,156.16,11.49,-0.26,85.64,1,-97,-12,-2,9,42,7,13416987,62,1,6,3.97,1493,21.12,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:09:08Z,52410,1
30.83,1544432957,316.6,51.490581,7.416909,156.66,7.93,0.23,102.61,1,-96,-12,5,5,42,7,13416987,62,2,5,6.52,146,21.38,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:09:17Z,52410,1
42.03,1544432968,413.04,51.491307,7.417024,156.02,10.44,0.06,349.23,1,-82,-11,11,15,53,7,13416987,62,3,7,1.37,1348,18.78,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:09:28Z,52410,1
52.86,1544432979,515.22,51.492175,7.416533,155.88,10.92,0.56,333.63,1,-101,-14,-3,6,39,7,13416987,62,4,5,0.8,5621,18.64,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:09:39Z,52410,1
65,1544432991,674.17,51.49355,7.415897,152.9,12.02,0.09,348.79,1,-106,-13,-3,6,33,7,13416987,62,5,8,1.04,679,21.14,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:09:51Z,52410,1
71.84,1544432998,745.71,51.494171,7.415653,150.71,10.28,-1.25,344.37,1,-112,-18,-6,3,31,7,13416987,62,6,9,2.34,152,19.69,1750,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:09:58Z,52410,1
82.83,1544433009,780.33,51.494387,7.415546,152.07,0,0,347.22,1,-99,-15,-4,4,41,12,13542402,34,7,7,4.09,444,13.72,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:10:09Z,52900,1
93.88,1544433020,780.33,51.494387,7.415546,152.37,0,0,347.22,1,-98,-15,-6,7,40,13,13880067,38,8,10,2.18,1387,19.12,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:10:20Z,54219,1
104.86,1544433031,780.33,51.494434,7.41553,153.14,0,0,348.09,1,-97,-14,-4,4,44,13,13880067,38,9,2,0.63,1452,15.27,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:10:31Z,54219,1
114.34,1544433041,792.38,51.494509,7.415481,154.36,0,0,353.53,1,-98,-16,-6,4,43,13,13880067,38,10,9,1.08,1160,16.88,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:10:41Z,54219,1
124.53,1544433050,805.26,51.49451,7.415027,157.94,6.09,1.07,268,1,-99,-16,-3,5,42,13,13880066,37,11,4,1.35,2428,20.05,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:10:50Z,54219,1
135.3,1544433062,927,51.494239,7.413134,159.63,12.36,0.22,257.57,1,-95,-14,-2,6,45,11,13542402,34,12,3,1.49,1520,19.34,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:02Z,52900,1
143.98,1544433070,1029.44,51.49406,7.411695,160.28,13.28,-0.13,257.83,1,-93,-15,-6,5,47,13,13880067,38,13,3,1.61,600,19.92,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:10Z,54219,1
152.9,1544433079,1151.6,51.49382,7.409939,164.21,13.85,0.15,257.87,1,-99,-19,-8,1,46,13,13880067,38,14,9,1.56,1038,14.55,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:19Z,54219,1
163.87,1544433090,1303.32,51.493538,7.407812,166.79,14.13,-0.22,258.1,1,-97,-16,-4,4,45,8,13542402,34,15,9,1.99,1910,14,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:30Z,52900,1
171.97,1544433099,1412.35,51.493332,7.406275,166.36,13.62,-0.16,257.91,1,-93,-14,-1,6,46,8,13542402,34,16,2,0.68,528,17.91,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:39Z,52900,1
183.08,1544433109,1583.27,51.493024,7.403862,165.53,14.01,-0.19,259.41,1,-104,-17,-4,4,39,8,13542402,34,17,4,2.87,1320,18.69,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:49Z,52900,1
193.25,1544433119,1698.78,51.492989,7.402268,163.89,6.65,-1.24,271.01,1,-89,-11,1,7,49,10,13542403,35,18,5,3.4,560,14.73,880,campus,o2,2018-12-10T09:08:46Z,2018-12-10T09:11:59Z,52900,1
