time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.03,1544433264,0.00,51.490218,7.411596,164.16,11.55,0.00,78.89,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.04,1544433265,11.66,51.490234,7.411753,164.34,11.50,-0.05,79.13,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.04,1544433266,23.16,51.490253,7.411918,164.47,11.67,0.17,78.76,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.04,1544433267,34.84,51.490273,7.412090,164.71,11.64,-0.02,78.26,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.04,1544433268,46.49,51.490294,7.412248,164.72,11.94,0.30,78.86,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.04,1544433269,58.42,51.490317,7.412426,164.85,12.60,0.66,78.44,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.04,1544433270,71.02,51.490340,7.412597,164.87,12.73,0.13,79.05,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.04,1544433271,83.76,51.490367,7.412786,164.85,12.74,0.02,79.31,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.04,1544433272,96.50,51.490393,7.412960,164.78,12.87,0.12,79.25,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.04,1544433273,109.35,51.490418,7.413153,164.68,12.81,-0.06,78.44,nan,nan,nan,nan,nan,nan,nan,nan,nan
10.04,1544433274,122.17,51.490441,7.413336,164.73,12.88,0.07,78.07,nan,nan,nan,nan,nan,nan,nan,nan,nan
11.04,1544433275,135.06,51.490464,7.413522,164.60,12.96,0.09,78.58,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.04,1544433276,148.01,51.490488,7.413713,164.24,13.20,0.23,78.90,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.04,1544433277,161.18,51.490510,7.413891,163.88,13.16,-0.04,78.72,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.04,1544433278,174.35,51.490534,7.414074,163.44,13.21,0.06,77.86,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.04,1544433279,187.57,51.490558,7.414253,163.23,13.03,-0.18,78.07,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.05,1544433280,200.68,51.490581,7.414434,163.02,13.20,0.16,78.50,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.04,1544433281,213.78,51.490603,7.414616,162.81,13.04,-0.15,79.28,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.04,1544433282,226.84,51.490624,7.414807,162.36,13.08,0.03,79.83,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.04,1544433283,239.91,51.490642,7.414995,161.67,12.89,-0.18,80.74,nan,nan,nan,nan,nan,nan,nan,nan,nan
20.04,1544433284,252.80,51.490660,7.415180,160.93,12.81,-0.08,81.62,nan,nan,nan,nan,nan,nan,nan,nan,nan
