time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.03,1544433265,0.00,51.490285,7.412097,164.83,11.63,0.00,77.48,1,-92,-6,10,15,45,1,26385408,95
1.04,1544433266,11.68,51.490308,7.412258,164.42,11.95,0.32,78.26,1,-92,-6,10,15,45,1,26385408,95
2.04,1544433267,23.63,51.490331,7.412438,163.83,12.60,0.65,79.12,1,-90,-7,7,15,43,1,26385408,95
3.04,1544433268,36.23,51.490351,7.412610,163.16,12.74,0.15,78.55,1,-90,-7,7,15,43,1,26385408,95
4.04,1544433269,48.97,51.490378,7.412796,162.84,12.93,0.18,77.86,1,-90,-6,12,15,46,1,26385408,95
5.04,1544433270,61.88,51.490408,7.412971,162.74,12.76,-0.17,78.26,1,-90,-6,12,15,46,1,26385408,95
6.04,1544433271,74.65,51.490435,7.413151,162.40,12.73,-0.03,78.56,1,-89,-6,9,15,47,1,26385408,95
7.04,1544433272,87.38,51.490462,7.413321,162.12,12.77,0.05,78.83,1,-89,-6,9,15,47,1,26385408,95
8.04,1544433273,100.15,51.490487,7.413510,161.56,12.99,0.21,78.50,1,-90,-6,15,15,46,1,26385408,95
9.04,1544433274,113.13,51.490513,7.413696,161.25,13.22,0.23,78.63,1,-90,-6,15,15,46,1,26385408,95
10.04,1544433275,126.36,51.490534,7.413869,160.59,13.13,-0.10,78.54,1,-91,-6,7,15,46,1,26385408,95
11.04,1544433276,139.49,51.490556,7.414063,159.95,13.18,0.05,78.28,1,-91,-6,7,15,46,1,26385408,95
12.04,1544433277,152.73,51.490580,7.414244,159.43,12.99,-0.18,77.85,1,-80,-6,10,15,57,1,26385408,95
13.03,1544433278,165.61,51.490603,7.414431,158.88,13.13,0.14,78.14,1,-80,-6,10,15,57,1,26385408,95
14.03,1544433279,178.75,51.490626,7.414613,158.39,13.01,-0.13,78.51,1,-85,-5,23,15,51,1,26385408,95
15.04,1544433280,191.79,51.490648,7.414816,158.12,13.07,0.06,79.36,1,-85,-5,23,15,51,1,26385408,95
16.04,1544433281,204.88,51.490662,7.414985,157.81,12.79,-0.27,80.47,1,-86,-5,17,10,49,1,26385408,95
17.04,1544433282,217.66,51.490676,7.415166,157.25,12.82,0.03,81.48,1,-86,-5,17,10,49,1,26385408,95
18.04,1544433283,230.57,51.490688,7.415340,156.92,12.55,-0.27,82.46,1,-85,-6,3,6,51,4,29391105,167
19.04,1544433284,243.02,51.490696,7.415537,156.44,12.34,-0.22,83.96,1,-85,-6,3,6,51,4,29391105,167
20.04,1544433285,255.36,51.490702,7.415746,155.97,12.13,-0.21,85.86,1,-85,-6,3,6,51,4,29391105,167
21.04,1544433286,267.50,51.490700,7.415889,155.81,11.78,-0.35,87.89,1,-86,-7,23,11,51,4,29391105,167
22.04,1544433287,279.28,51.490696,7.416054,155.77,11.30,-0.48,90.24,1,-86,-7,23,11,51,4,29391105,167
23.04,1544433288,290.56,51.490689,7.416214,155.71,10.04,-1.26,92.65,1,-84,-8,18,12,54,4,29391105,167
24.04,1544433289,300.61,51.490678,7.416332,155.94,8.87,-1.17,95.54,1,-84,-8,18,12,54,4,29391105,167
25.04,1544433290,309.49,51.490653,7.416437,156.04,7.43,-1.44,110.73,1,-83,-7,18,12,55,4,29391105,167
26.04,1544433291,316.93,51.490633,7.416548,155.78,5.75,-1.68,108.07,1,-83,-7,18,12,55,4,29391105,167
27.04,1544433292,322.67,51.490617,7.416633,155.73,5.11,-0.63,107.90,1,-85,-6,19,12,48,4,29391105,167
28.04,1544433293,327.78,51.490608,7.416695,155.74,3.90,-1.21,106.24,1,-85,-6,19,12,48,4,29391105,167
29.04,1544433294,331.69,51.490601,7.416747,155.73,2.86,-1.05,103.70,1,-88,-6,14,11,49,4,29391105,167
30.04,1544433295,334.54,51.490596,7.416780,155.70,1.90,-0.96,104.41,1,-88,-6,14,11,49,4,29391105,167
31.03,1544433296,336.43,51.490591,7.416805,155.69,1.20,-0.70,103.29,1,-83,-6,22,12,55,4,29391105,167
32.03,1544433297,337.63,51.490589,7.416816,155.72,0.80,-0.40,103.29,1,-83,-6,22,12,55,4,29391105,167
33.03,1544433298,338.43,51.490589,7.416816,155.73,0.00,-0.80,103.29,1,-82,-7,19,14,54,4,29391105,167
34.03,1544433299,338.43,51.490589,7.416816,155.73,0.00,0.00,103.29,1,-82,-7,19,14,54,4,29391105,167
35.04,1544433300,338.43,51.490589,7.416816,155.73,0.00,0.00,103.29,1,-84,-6,20,13,49,4,29391105,167
36.04,1544433301,338.43,51.490589,7.416816,155.72,0.00,0.00,103.29,1,-84,-6,20,13,49,4,29391105,167
37.04,1544433302,338.43,51.490589,7.416816,155.72,0.00,0.00,103.29,1,-82,-6,24,15,53,4,29391105,167
38.04,1544433303,338.43,51.490589,7.416816,155.60,0.00,0.00,103.29,1,-82,-6,24,15,53,4,29391105,167
39.05,1544433304,338.43,51.490589,7.416816,155.50,0.00,0.00,103.29,1,-81,-5,22,14,55,4,29391105,167
40.04,1544433305,338.43,51.490589,7.416816,155.49,0.00,0.00,103.29,1,-81,-5,22,14,55,4,29391105,167
41.04,1544433306,338.43,51.490589,7.416816,155.49,0.00,0.00,103.29,1,-81,-5,22,14,55,4,29391105,167
42.04,1544433307,338.43,51.490589,7.416816,155.49,0.00,0.00,103.29,1,-81,-6,25,14,57,4,29391105,167
43.04,1544433308,338.43,51.490589,7.416816,155.50,0.00,0.00,103.29,1,-81,-6,25,14,57,4,29391105,167
44.04,1544433309,338.43,51.490589,7.416816,155.51,0.00,0.00,103.29,1,-83,-6,25,15,53,4,29391105,167
45.04,1544433310,338.43,51.490589,7.416816,155.53,0.00,0.00,103.29,1,-83,-6,25,15,53,4,29391105,167
46.04,1544433311,338.43,51.490589,7.416816,155.54,0.00,0.00,103.29,1,-82,-6,25,12,56,4,29391105,167
47.04,1544433312,338.43,51.490589,7.416816,155.56,0.00,0.00,103.29,1,-82,-6,25,12,56,4,29391105,167
48.04,1544433313,338.43,51.490589,7.416816,155.57,0.00,0.00,103.29,1,-82,-6,24,15,56,4,29391105,167
49.04,1544433314,338.43,51.490589,7.416816,155.59,0.00,0.00,103.29,1,-82,-6,24,15,56,4,29391105,167
50.04,1544433315,338.43,51.490589,7.416816,155.60,0.00,0.00,103.29,1,-81,-7,23,14,57,4,29391105,167
51.03,1544433316,338.43,51.490589,7.416816,155.61,0.00,0.00,103.29,1,-81,-7,23,14,57,4,29391105,167
52.03,1544433317,338.43,51.490589,7.416816,155.63,0.00,0.00,103.29,1,-81,-5,22,11,56,4,29391105,167
53.03,1544433318,338.43,51.490589,7.416816,155.64,0.00,0.00,103.29,1,-81,-5,22,11,56,4,29391105,167
54.03,1544433319,338.43,51.490589,7.416816,155.72,0.00,0.00,107.45,1,-81,-5,20,11,54,4,29391105,167
55.04,1544433320,338.43,51.490589,7.416816,155.79,0.00,0.00,106.66,1,-81,-5,20,11,54,4,29391105,167
56.04,1544433321,338.43,51.490559,7.416961,155.87,3.71,0.00,104.45,1,-82,-6,28,15,55,4,29391105,167
57.04,1544433322,342.15,51.490550,7.417025,156.58,4.20,0.49,102.80,1,-82,-6,28,15,55,4,29391105,167
58.04,1544433323,346.34,51.490542,7.417094,157.04,4.36,0.16,99.06,1,-83,-6,19,15,52,4,29391105,167
59.04,1544433324,350.71,51.490554,7.417168,157.47,4.49,0.13,71.36,1,-83,-6,19,15,52,4,29391105,167
60.04,1544433325,355.23,51.490581,7.417209,157.57,4.63,0.13,47.64,1,-86,-7,20,11,52,4,29391105,167
61.04,1544433326,359.83,51.490615,7.417236,157.75,4.99,0.36,26.89,1,-86,-7,20,11,52,4,29391105,167
62.04,1544433327,364.82,51.490663,7.417234,157.92,6.22,1.23,0.68,1,-86,-7,20,11,52,4,29391105,167
63.04,1544433328,371.05,51.490727,7.417225,158.49,7.04,0.82,356.84,1,-89,-7,19,14,48,4,29391105,167
64.03,1544433329,378.07,51.490804,7.417206,158.83,8.41,1.37,353.66,1,-89,-7,19,14,48,4,29391105,167
65.04,1544433330,386.49,51.490891,7.417193,159.37,9.18,0.77,352.30,1,-94,-7,13,12,43,4,29391105,167
66.04,1544433331,395.67,51.490978,7.417167,159.93,8.91,-0.27,351.12,1,-94,-7,13,12,43,4,29391105,167
67.04,1544433332,404.58,51.491066,7.417137,160.22,9.13,0.22,350.24,1,-97,-7,25,15,39,4,29391105,167
68.04,1544433333,413.72,51.491150,7.417105,160.39,9.10,-0.02,349.78,1,-97,-7,25,15,39,4,29391105,167
69.04,1544433334,422.81,51.491237,7.417064,160.08,9.25,0.15,348.41,1,-92,-6,11,15,46,4,29391105,167
