time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.04,1544433606,0.00,51.490200,7.411612,162.93,12.11,0.00,78.15,1,-113,-9,3,5,11,71,13067274,289
1.04,1544433607,12.13,51.490224,7.411777,162.57,12.03,-0.08,78.60,1,-113,-9,3,5,11,71,13067274,289
2.05,1544433608,24.21,51.490246,7.411950,162.44,11.91,-0.12,77.81,1,-116,-12,0,7,12,71,13067274,289
3.04,1544433609,36.10,51.490268,7.412122,162.45,12.14,0.23,78.16,1,-116,-12,0,7,12,71,13067274,289
4.05,1544433610,48.32,51.490288,7.412293,162.28,12.86,0.71,78.31,1,-114,-12,3,7,14,71,13067274,289
5.04,1544433611,61.08,51.490314,7.412463,162.35,13.26,0.41,78.49,1,-114,-12,3,7,14,71,13067274,289
6.04,1544433612,74.34,51.490343,7.412655,162.77,13.45,0.19,77.62,1,-114,-12,3,7,14,71,13067274,289
7.04,1544433613,87.79,51.490371,7.412847,163.31,13.56,0.11,78.04,1,-114,-13,-6,12,14,71,13067274,289
8.04,1544433614,101.34,51.490400,7.413055,163.41,13.53,-0.03,77.61,1,-114,-13,-6,12,14,71,13067274,289
9.04,1544433615,114.81,51.490425,7.413230,163.81,13.48,-0.05,78.26,1,-116,-11,-5,12,10,71,13067274,289
10.04,1544433616,128.36,51.490450,7.413423,163.91,13.46,-0.01,78.35,1,-116,-11,-5,12,10,71,13067274,289
11.04,1544433617,141.81,51.490476,7.413619,163.60,13.42,-0.05,78.49,1,-111,-14,-8,6,25,71,13067274,289
12.04,1544433618,155.25,51.490498,7.413801,163.49,13.42,0.00,78.66,1,-111,-14,-8,6,25,71,13067274,289
13.04,1544433619,168.67,51.490521,7.413991,163.17,13.44,0.03,78.11,nan,nan,nan,nan,nan,nan,nan,nan,nan
14.04,1544433620,182.10,51.490545,7.414174,163.15,13.62,0.18,77.88,nan,nan,nan,nan,nan,nan,nan,nan,nan
15.04,1544433621,195.72,51.490571,7.414372,162.67,13.62,-0.00,78.54,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.04,1544433622,209.34,51.490595,7.414565,162.34,13.51,-0.11,78.52,nan,nan,nan,nan,nan,nan,nan,nan,nan
17.04,1544433623,222.85,51.490618,7.414761,162.01,13.32,-0.19,79.09,nan,nan,nan,nan,nan,nan,nan,nan,nan
18.04,1544433624,236.17,51.490641,7.414960,161.31,13.20,-0.12,80.08,nan,nan,nan,nan,nan,nan,nan,nan,nan
19.04,1544433625,249.37,51.490657,7.415138,160.46,12.97,-0.23,81.36,1,-115,-22,-6,6,25,62,13067274,385
20.04,1544433626,262.33,51.490671,7.415322,159.87,13.00,0.03,83.10,1,-115,-22,-6,6,25,62,13067274,385
21.04,1544433627,275.34,51.490680,7.415519,159.62,12.49,-0.51,84.68,1,-112,-11,-2,9,14,21,13392904,289
22.04,1544433628,287.83,51.490685,7.415725,159.26,12.18,-0.30,86.21,1,-112,-11,-2,9,14,21,13392904,289
23.05,1544433629,300.03,51.490686,7.415910,158.76,11.96,-0.22,88.15,1,-114,-10,4,9,26,21,13392904,347
24.04,1544433630,311.98,51.490682,7.416078,158.21,11.68,-0.29,90.38,1,-114,-10,4,9,26,21,13392904,347
25.05,1544433631,323.75,51.490672,7.416244,157.73,11.39,-0.28,92.98,1,-114,-10,1,7,25,21,13392904,347
26.05,1544433632,335.06,51.490656,7.416377,157.12,10.35,-1.05,95.81,1,-114,-10,1,7,25,21,13392904,347
27.04,1544433633,345.40,51.490636,7.416518,156.73,8.35,-1.99,98.53,1,-114,-10,1,7,25,21,13392904,347
28.05,1544433634,353.76,51.490619,7.416649,156.52,7.87,-0.49,100.29,1,-113,-10,2,8,27,21,13392904,347
29.04,1544433635,361.61,51.490606,7.416740,156.45,6.92,-0.95,100.76,1,-113,-10,2,8,27,21,13392904,347
30.05,1544433636,368.56,51.490595,7.416822,156.31,5.49,-1.42,100.80,1,-105,-6,8,2,33,17,12806666,385
31.04,1544433637,374.02,51.490588,7.416882,156.30,3.70,-1.80,100.40,1,-105,-6,8,2,33,17,12806666,385
32.04,1544433638,377.71,51.490581,7.416919,156.27,1.71,-1.99,100.99,1,-109,-12,3,11,19,20,13392904,347
33.04,1544433639,379.42,51.490581,7.416919,156.26,0.00,-1.71,100.99,1,-109,-12,3,11,19,20,13392904,347
34.05,1544433640,379.42,51.490581,7.416919,156.25,0.00,0.00,100.99,1,-112,-11,2,7,16,20,13392904,347
35.05,1544433641,379.42,51.490581,7.416919,156.24,0.00,0.00,100.99,1,-112,-11,2,7,16,20,13392904,347
36.05,1544433642,379.42,51.490581,7.416919,156.23,0.00,0.00,100.99,1,-111,-9,3,8,16,20,13392904,347
37.05,1544433643,379.42,51.490581,7.416919,156.21,0.00,0.00,100.99,1,-111,-9,3,8,16,20,13392904,347
38.05,1544433644,379.42,51.490581,7.416919,156.19,0.00,0.00,100.99,1,-111,-9,3,9,17,20,13392904,347
39.05,1544433645,379.42,51.490581,7.416919,156.16,0.00,0.00,100.99,1,-111,-9,3,9,17,20,13392904,347
40.05,1544433646,379.42,51.490581,7.416919,156.14,0.00,0.00,100.99,1,-111,-10,2,9,16,20,13392904,347
41.05,1544433647,379.42,51.490581,7.416919,156.12,0.00,0.00,100.99,1,-111,-10,2,9,16,20,13392904,347
42.04,1544433648,379.42,51.490581,7.416919,156.09,0.00,0.00,100.99,1,-111,-11,2,6,17,20,13392904,347
43.04,1544433649,379.42,51.490581,7.416919,156.07,0.00,0.00,100.99,1,-111,-11,2,6,17,20,13392904,347
