time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
5.05,1544517875,62.43,51.490274,7.412197,160.94,12.98,0.00,78.15,0,-121,-15,0,0,14,0,0,347
6.05,1544517876,75.41,51.490297,7.412380,160.48,13.24,0.00,77.68,0,-121,-15,0,0,14,0,0,347
7.05,1544517877,88.68,51.490321,7.412573,160.25,13.09,0.00,77.93,0,-118,-13,0,0,17,0,0,347
8.05,1544517878,101.80,51.490346,7.412763,160.04,13.49,0.00,78.74,0,-118,-13,0,0,17,0,0,347
11.05,1544517881,141.39,51.490422,7.413326,160.32,13.23,0.00,78.34,0,-122,-16,0,0,15,0,0,347
11.05,1544517881,141.40,51.490422,7.413326,160.32,13.23,0.00,78.34,0,-123,-18,0,0,16,0,0,356
12.05,1544517882,154.62,51.490452,7.413535,160.48,13.02,0.00,78.57,0,-122,-16,0,0,15,0,0,347
12.05,1544517882,154.62,51.490452,7.413535,160.48,13.02,0.00,78.57,0,-123,-18,0,0,16,0,0,356
13.05,1544517883,167.59,51.490477,7.413709,160.46,12.96,0.00,78.35,0,-119,-14,0,0,13,0,0,356
13.05,1544517883,167.59,51.490477,7.413709,160.46,12.96,0.00,78.35,0,-122,-16,0,0,13,0,0,347
13.05,1544517883,167.61,51.490477,7.413709,160.46,12.96,0.00,78.35,0,-126,-19,0,0,12,0,0,385
13.05,1544517883,167.61,51.490477,7.413709,160.46,12.96,0.00,78.35,0,-114,-17,0,0,22,0,0,274
14.06,1544517884,180.63,51.490500,7.413881,160.37,13.27,0.00,78.34,0,-119,-14,0,0,13,0,0,356
14.06,1544517884,180.65,51.490500,7.413881,160.37,13.27,0.00,78.34,0,-122,-16,0,0,13,0,0,347
14.06,1544517884,180.66,51.490500,7.413881,160.37,13.27,0.00,78.34,0,-126,-19,0,0,12,0,0,385
14.06,1544517884,180.66,51.490500,7.413881,160.37,13.27,0.00,78.34,0,-114,-17,0,0,22,0,0,274
45.05,1544517915,391.35,51.490571,7.416972,155.91,5.97,0.00,102.67,0,-112,-10,0,0,18,0,0,385
46.05,1544517916,397.31,51.490558,7.417071,156.11,7.24,0.00,100.69,0,-112,-10,0,0,18,0,0,385
47.05,1544517917,404.57,51.490572,7.417163,156.16,6.65,0.00,72.72,0,-110,-10,0,0,20,0,0,385
47.06,1544517917,404.58,51.490572,7.417163,156.16,6.65,0.00,72.72,0,-109,-14,0,0,25,0,0,333
47.06,1544517917,404.58,51.490572,7.417163,156.16,6.65,0.00,72.72,0,-110,-16,0,0,25,0,0,137
48.05,1544517918,411.19,51.490626,7.417214,155.86,6.97,0.00,28.03,0,-110,-10,0,0,20,0,0,385
48.05,1544517918,411.19,51.490626,7.417214,155.86,6.97,0.00,28.03,0,-109,-14,0,0,25,0,0,333
48.05,1544517918,411.19,51.490626,7.417214,155.86,6.97,0.00,28.03,0,-110,-16,0,0,25,0,0,137
49.05,1544517919,418.16,51.490705,7.417241,155.68,8.48,0.00,1.70,0,-114,-11,0,0,16,0,0,347
50.05,1544517920,426.65,51.490802,7.417219,155.89,10.14,0.00,357.71,0,-114,-11,0,0,16,0,0,347
51.05,1544517921,436.80,51.490911,7.417193,156.25,11.64,0.00,354.70,0,-111,-14,0,0,22,0,0,347
52.05,1544517922,448.43,51.491030,7.417158,156.57,13.45,0.00,352.64,0,-111,-14,0,0,22,0,0,347
53.05,1544517923,461.87,51.491142,7.417117,156.99,13.81,0.00,351.39,0,-110,-13,0,0,20,0,0,347
54.05,1544517924,475.74,51.491254,7.417075,157.41,13.19,0.00,350.43,0,-110,-13,0,0,20,0,0,347
55.05,1544517925,488.87,51.491351,7.417028,157.83,12.48,0.00,349.46,0,-111,-13,0,0,23,0,0,347
55.05,1544517925,488.89,51.491351,7.417028,157.83,12.48,0.00,349.46,0,-112,-13,0,0,22,0,0,216
56.05,1544517926,501.36,51.491467,7.416981,158.05,11.68,0.00,348.74,0,-111,-13,0,0,23,0,0,347
56.05,1544517926,501.36,51.491467,7.416981,158.05,11.68,0.00,348.74,0,-112,-13,0,0,22,0,0,216
57.05,1544517927,513.09,51.491575,7.416936,157.92,11.74,0.00,347.53,0,-110,-14,0,0,23,0,0,347
57.05,1544517927,513.09,51.491575,7.416936,157.92,11.74,0.00,347.53,0,-111,-13,0,0,22,0,0,216
58.05,1544517928,524.77,51.491672,7.416893,157.59,11.86,0.00,346.11,0,-110,-14,0,0,23,0,0,347
58.05,1544517928,524.78,51.491672,7.416893,157.59,11.86,0.00,346.11,0,-111,-13,0,0,22,0,0,216
59.05,1544517929,536.63,51.491766,7.416843,157.33,11.50,0.00,344.23,0,-110,-14,0,0,23,0,0,347
59.05,1544517929,536.64,51.491766,7.416843,157.33,11.50,0.00,344.23,0,-111,-13,0,0,22,0,0,216
60.05,1544517930,548.18,51.491850,7.416787,157.09,11.19,0.00,341.61,0,-110,-13,0,0,23,0,0,216
60.06,1544517930,548.20,51.491850,7.416787,157.09,11.19,0.00,341.61,0,-112,-15,0,0,24,0,0,347
61.05,1544517931,559.36,51.491936,7.416724,157.02,10.98,0.00,338.46,0,-110,-13,0,0,23,0,0,216
61.05,1544517931,559.37,51.491936,7.416724,157.02,10.98,0.00,338.46,0,-112,-15,0,0,24,0,0,347
62.06,1544517932,570.36,51.492033,7.416648,156.89,10.90,0.00,335.57,0,-112,-14,0,0,23,0,0,347
62.06,1544517932,570.36,51.492033,7.416648,156.89,10.90,0.00,335.57,0,-113,-14,0,0,23,0,0,289
63.05,1544517933,581.19,51.492130,7.416565,156.93,10.27,0.00,333.38,0,-112,-14,0,0,23,0,0,347
63.05,1544517933,581.19,51.492130,7.416565,156.93,10.27,0.00,333.38,0,-113,-14,0,0,23,0,0,289
64.05,1544517934,591.51,51.492215,7.416486,157.13,11.12,0.00,332.36,0,-108,-15,0,0,24,0,0,289
