time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
9.64,1544517881,115.21,51.490370,7.412947,159.94,12.99,-0.50,78.15,1,-115,-11,-1,7,17,71,13067274,289,0,0.50,7.71,64.00,1865
49.71,1544517920,418.15,51.490705,7.417241,155.68,8.48,1.51,1.70,1,-112,-10,6,8,20,17,12806666,385,4,4.00,10.44,50.00,1865
60.54,1544517932,548.16,51.491850,7.416787,157.09,11.19,-0.31,341.61,1,-110,-13,-3,6,21,17,12806666,385,5,2.00,11.49,512.00,1865
69.68,1544517941,649.90,51.492686,7.416142,155.58,12.10,0.22,341.73,1,-102,-9,13,8,23,17,12806666,385,6,9.00,29.50,64.00,1865
79.68,1544517950,775.04,51.493799,7.415783,152.20,13.34,0.26,348.45,1,-104,-8,28,10,26,17,12806666,385,7,0.10,14.04,66.00,1865
89.65,1544517961,874.31,51.494556,7.415219,156.18,7.27,-0.75,270.29,1,-96,-6,14,11,29,17,12806666,385,8,9.00,40.86,57.00,1865
99.66,1544517971,970.50,51.494345,7.413839,157.74,12.96,0.38,259.14,1,-106,-10,8,8,22,17,12806666,385,9,7.00,29.95,57.00,1865
109.66,1544517981,1107.02,51.494092,7.411889,161.45,13.93,-0.40,258.01,1,-107,-11,8,8,25,17,12806666,385,10,7.00,36.82,47.00,1865
119.67,1544517990,1242.32,51.493850,7.409987,161.51,14.75,0.39,258.24,1,-106,-8,5,13,19,17,12806666,385,11,5.00,31.57,54.00,1865
129.67,1544518000,1390.41,51.493570,7.407913,162.13,14.63,-0.01,257.88,1,-101,-8,11,15,24,17,12806666,385,12,6.00,35.53,48.00,1865
139.68,1544518011,1537.05,51.493290,7.405849,163.73,14.50,-0.09,258.41,1,-102,-8,13,15,23,17,12806666,385,13,2.00,24.84,54.00,1865
149.68,1544518021,1687.10,51.493001,7.403711,163.40,14.41,-0.16,260.17,1,-108,-8,1,12,18,17,12806666,385,14,1.00,20.67,56.00,1865
159.69,1544518030,1802.89,51.492975,7.402112,161.44,4.35,-1.66,269.59,1,-107,-8,1,9,21,17,12806666,385,15,7.00,26.32,69.00,1865
169.65,1544518040,1808.49,51.492988,7.401929,157.60,0.00,0.00,272.93,1,-106,-7,2,15,20,17,12806666,385,16,0.10,9.09,55.00,1865
179.67,1544518050,1896.81,51.492159,7.401758,159.17,13.85,0.32,181.45,1,-109,-10,8,15,20,17,12806666,385,17,4.00,8.08,61.00,1865
189.69,1544518061,2040.05,51.490861,7.401754,167.66,14.33,0.03,180.87,1,-108,-10,8,6,23,17,12806666,385,18,7.00,20.93,58.00,1865
199.74,1544518071,2167.67,51.489745,7.401750,175.20,6.15,-1.62,180.24,1,-109,-10,1,8,20,17,12806666,385,19,9.00,26.94,56.00,1865
210.41,1544518081,2189.02,51.489528,7.401755,174.01,7.18,1.86,179.94,1,-109,-12,0,11,19,17,12806666,385,20,1.00,3.58,392.00,1865
219.66,1544518090,2251.72,51.489384,7.402612,176.95,5.41,0.50,91.12,1,-105,-8,8,10,21,17,12806666,385,21,9.00,13.73,63.00,1865
229.66,1544518101,2321.04,51.489384,7.403644,176.90,8.41,0.17,90.77,1,-111,-11,-1,8,18,17,12806666,385,22,2.00,10.42,66.00,1865
239.65,1544518111,2415.00,51.489377,7.405002,179.60,9.71,-0.07,89.91,1,-109,-14,-8,6,24,71,13067274,289,23,10.00,8.16,58.00,1865
251.99,1544518123,2537.46,51.489555,7.406733,182.03,10.48,-0.22,77.58,1,-109,-13,-3,6,22,71,13067274,289,24,1.00,2.28,1288.00,1865
260.92,1544518132,2629.00,51.489749,7.408032,179.96,10.13,0.20,79.00,1,-108,-14,-2,8,26,71,13067274,289,25,0.10,0.44,533.00,1865
