time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
20.01,1544519030,265.26,51.490658,7.415176,159.49,12.95,0.00,80.48,0,-89,-8,0,0,51,0,0,167
21.01,1544519031,278.21,51.490670,7.415367,159.13,12.59,0.00,81.92,0,-89,-8,0,0,51,0,0,167
56.02,1544519066,435.76,51.490974,7.417135,157.65,9.22,0.00,349.79,0,-95,-8,0,0,45,0,0,95
56.02,1544519066,435.77,51.490974,7.417135,157.65,9.22,0.00,349.79,0,-99,-7,0,0,37,0,0,469
57.02,1544519067,444.99,51.491058,7.417111,157.36,9.94,0.00,349.32,0,-95,-8,0,0,45,0,0,95
57.02,1544519067,444.99,51.491058,7.417111,157.36,9.94,0.00,349.32,0,-99,-7,0,0,37,0,0,469
58.01,1544519068,454.92,51.491142,7.417085,157.17,9.58,0.00,349.23,0,-97,-6,0,0,39,0,0,469
59.01,1544519069,464.50,51.491226,7.417058,157.29,9.25,0.00,348.61,0,-97,-6,0,0,39,0,0,469
62.02,1544519072,492.29,51.491468,7.416971,157.53,9.38,0.00,347.12,0,-99,-10,0,0,45,0,0,222
62.02,1544519072,492.30,51.491468,7.416971,157.53,9.38,0.00,347.12,0,-98,-9,0,0,41,0,0,45
63.01,1544519073,501.63,51.491557,7.416933,157.92,9.52,0.00,346.18,0,-99,-10,0,0,45,0,0,222
63.01,1544519073,501.63,51.491557,7.416933,157.92,9.52,0.00,346.18,0,-98,-9,0,0,41,0,0,45
64.01,1544519074,511.14,51.491637,7.416899,157.94,10.40,0.00,345.26,0,-99,-9,0,0,39,0,0,45
65.01,1544519075,521.54,51.491720,7.416858,157.87,9.95,0.00,343.58,0,-99,-9,0,0,39,0,0,45
83.02,1544519093,689.37,51.493124,7.416079,155.28,8.14,0.00,350.76,0,-99,-13,0,0,47,0,0,165
83.02,1544519093,689.39,51.493124,7.416079,155.28,8.14,0.00,350.76,0,-101,-15,0,0,47,0,0,222
83.02,1544519093,689.39,51.493124,7.416079,155.28,8.14,0.00,350.76,0,-98,-10,0,0,43,0,0,45
83.02,1544519093,689.40,51.493124,7.416079,155.28,8.14,0.00,350.76,0,-99,-13,0,0,44,0,0,292
84.02,1544519094,697.50,51.493209,7.416043,155.11,9.06,0.00,350.01,0,-99,-13,0,0,47,0,0,165
84.02,1544519094,697.50,51.493209,7.416043,155.11,9.06,0.00,350.01,0,-101,-15,0,0,47,0,0,222
84.02,1544519094,697.51,51.493209,7.416043,155.11,9.06,0.00,350.01,0,-98,-10,0,0,43,0,0,45
84.02,1544519094,697.52,51.493209,7.416043,155.11,9.06,0.00,350.01,0,-99,-13,0,0,44,0,0,292
85.02,1544519095,706.56,51.493292,7.415998,155.37,9.42,0.00,349.30,0,-105,-13,0,0,39,0,0,165
85.02,1544519095,706.57,51.493292,7.415998,155.37,9.42,0.00,349.30,0,-108,-13,0,0,37,0,0,222
85.02,1544519095,706.57,51.493292,7.415998,155.37,9.42,0.00,349.30,0,-108,-14,0,0,38,0,0,418
85.02,1544519095,706.58,51.493292,7.415998,155.37,9.42,0.00,349.30,0,-102,-11,0,0,38,0,0,292
85.02,1544519095,706.59,51.493292,7.415998,155.37,9.42,0.00,349.30,0,-106,-12,0,0,35,0,0,45
86.02,1544519096,715.99,51.493378,7.415948,155.88,10.22,0.00,348.96,0,-105,-13,0,0,39,0,0,165
86.02,1544519096,715.99,51.493378,7.415948,155.88,10.22,0.00,348.96,0,-108,-13,0,0,37,0,0,222
86.02,1544519096,716.00,51.493378,7.415948,155.88,10.22,0.00,348.96,0,-108,-14,0,0,38,0,0,418
86.02,1544519096,716.01,51.493378,7.415948,155.88,10.22,0.00,348.96,0,-102,-11,0,0,38,0,0,292
86.02,1544519096,716.01,51.493378,7.415948,155.88,10.22,0.00,348.96,0,-106,-12,0,0,35,0,0,45
87.02,1544519097,726.19,51.493477,7.415902,156.76,10.58,0.00,348.86,0,-107,-14,0,0,38,0,0,165
87.02,1544519097,726.19,51.493477,7.415902,156.76,10.58,0.00,348.86,0,-104,-12,0,0,36,0,0,292
88.01,1544519098,736.75,51.493566,7.415863,157.42,10.56,0.00,348.81,0,-107,-14,0,0,38,0,0,165
88.02,1544519098,736.76,51.493566,7.415863,157.42,10.56,0.00,348.81,0,-104,-12,0,0,36,0,0,292
89.02,1544519099,747.41,51.493662,7.415823,158.14,10.28,0.00,348.31,0,-100,-13,0,0,46,0,0,165
89.02,1544519099,747.41,51.493662,7.415823,158.14,10.28,0.00,348.31,0,-98,-11,0,0,42,0,0,292
90.01,1544519100,757.59,51.493758,7.415784,158.71,10.48,0.00,347.98,0,-100,-13,0,0,46,0,0,165
90.01,1544519100,757.60,51.493758,7.415784,158.71,10.48,0.00,347.98,0,-98,-11,0,0,42,0,0,292
91.02,1544519101,768.09,51.493851,7.415748,159.07,10.86,0.00,348.20,0,-100,-13,0,0,46,0,0,165
91.02,1544519101,768.09,51.493851,7.415748,159.07,10.86,0.00,348.20,0,-98,-11,0,0,42,0,0,292
92.01,1544519102,778.91,51.493949,7.415708,159.24,11.12,0.00,347.27,0,-95,-12,0,0,49,0,0,165
92.01,1544519102,778.91,51.493949,7.415708,159.24,11.12,0.00,347.27,0,-94,-10,0,0,45,0,0,292
93.01,1544519103,790.03,51.494049,7.415662,159.08,12.13,0.00,345.22,0,-95,-12,0,0,49,0,0,165
93.01,1544519103,790.03,51.494049,7.415662,159.08,12.13,0.00,345.22,0,-94,-10,0,0,45,0,0,292
94.01,1544519104,802.19,51.494137,7.415621,158.91,10.38,0.00,345.49,0,-95,-13,0,0,50,0,0,165
94.02,1544519104,802.20,51.494137,7.415621,158.91,10.38,0.00,345.49,0,-94,-12,0,0,47,0,0,292
95.01,1544519105,812.56,51.494212,7.415591,158.66,7.77,0.00,346.35,0,-95,-13,0,0,50,0,0,165
95.02,1544519105,812.57,51.494212,7.415591,158.66,7.77,0.00,346.35,0,-94,-12,0,0,47,0,0,292
96.02,1544519106,820.33,51.494277,7.415561,158.65,6.05,0.00,347.16,0,-96,-11,0,0,44,0,0,349
96.02,1544519106,820.34,51.494277,7.415561,158.65,6.05,0.00,347.16,0,-96,-12,0,0,45,0,0,292
97.02,1544519107,826.38,51.494329,7.415538,158.93,4.62,0.00,347.37,0,-96,-11,0,0,44,0,0,349
97.02,1544519107,826.38,51.494329,7.415538,158.93,4.62,0.00,347.37,0,-96,-12,0,0,45,0,0,292
98.02,1544519108,831.00,51.494363,7.415524,158.95,2.86,0.00,348.68,0,-94,-10,0,0,47,0,0,418
98.02,1544519108,831.01,51.494363,7.415524,158.95,2.86,0.00,348.68,0,-96,-12,0,0,48,0,0,165
98.02,1544519108,831.01,51.494363,7.415524,158.95,2.86,0.00,348.68,0,-96,-9,0,0,41,0,0,349
98.02,1544519108,831.01,51.494363,7.415524,158.95,2.86,0.00,348.68,0,-99,-11,0,0,41,0,0,292
99.02,1544519109,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-94,-10,0,0,47,0,0,418
99.02,1544519109,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-96,-12,0,0,48,0,0,165
99.02,1544519109,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-96,-9,0,0,41,0,0,349
99.02,1544519109,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-99,-11,0,0,41,0,0,292
100.02,1544519110,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-93,-9,0,0,48,0,0,165
100.02,1544519110,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-97,-12,0,0,46,0,0,418
100.02,1544519110,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-92,-9,0,0,45,0,0,292
100.02,1544519110,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-95,-10,0,0,44,0,0,349
101.01,1544519111,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-93,-9,0,0,48,0,0,165
101.01,1544519111,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-97,-12,0,0,46,0,0,418
101.01,1544519111,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-92,-9,0,0,45,0,0,292
101.01,1544519111,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-95,-10,0,0,44,0,0,349
102.02,1544519112,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-94,-10,0,0,48,0,0,165
102.02,1544519112,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-96,-12,0,0,47,0,0,418
102.02,1544519112,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-91,-9,0,0,47,0,0,292
102.02,1544519112,833.86,51.494363,7.415524,158.95,0.00,0.00,348.68,0,-94,-10,0,0,45,0,0,349
103.01,1544519113,833.86,51.494363,7.415524,158.96,0.00,0.00,348.68,0,-94,-10,0,0,48,0,0,165
103.01,1544519113,833.86,51.494363,7.415524,158.96,0.00,0.00,348.68,0,-96,-12,0,0,47,0,0,418
103.01,1544519113,833.86,51.494363,7.415524,158.96,0.00,0.00,348.68,0,-91,-9,0,0,47,0,0,292
103.01,1544519113,833.86,51.494363,7.415524,158.96,0.00,0.00,348.68,0,-94,-10,0,0,45,0,0,349
104.01,1544519114,833.86,51.494363,7.415524,158.97,0.00,0.00,348.68,0,-94,-11,0,0,49,0,0,165
104.01,1544519114,833.86,51.494363,7.415524,158.97,0.00,0.00,348.68,0,-96,-13,0,0,49,0,0,418
104.01,1544519114,833.86,51.494363,7.415524,158.97,0.00,0.00,348.68,0,-92,-9,0,0,47,0,0,292
104.01,1544519114,833.86,51.494363,7.415524,158.97,0.00,0.00,348.68,0,-94,-10,0,0,45,0,0,349
105.02,1544519115,833.86,51.494363,7.415524,158.98,0.00,0.00,348.68,0,-94,-11,0,0,49,0,0,165
105.02,1544519115,833.86,51.494363,7.415524,158.98,0.00,0.00,348.68,0,-96,-13,0,0,49,0,0,418
105.02,1544519115,833.86,51.494363,7.415524,158.98,0.00,0.00,348.68,0,-92,-9,0,0,47,0,0,292
105.02,1544519115,833.86,51.494363,7.415524,158.98,0.00,0.00,348.68,0,-94,-10,0,0,45,0,0,349
106.02,1544519116,833.86,51.494363,7.415524,159.00,0.00,0.00,348.68,0,-97,-10,0,0,44,0,0,165
106.02,1544519116,833.86,51.494363,7.415524,159.00,0.00,0.00,348.68,0,-99,-11,0,0,43,0,0,418
106.02,1544519116,833.86,51.494363,7.415524,159.00,0.00,0.00,348.68,0,-95,-8,0,0,43,0,0,292
106.02,1544519116,833.86,51.494363,7.415524,159.00,0.00,0.00,348.68,0,-97,-9,0,0,41,0,0,349
107.02,1544519117,833.86,51.494363,7.415524,159.01,0.00,0.00,348.68,0,-97,-10,0,0,44,0,0,165
107.02,1544519117,833.86,51.494363,7.415524,159.01,0.00,0.00,348.68,0,-99,-11,0,0,43,0,0,418
107.02,1544519117,833.86,51.494363,7.415524,159.01,0.00,0.00,348.68,0,-95,-8,0,0,43,0,0,292
107.02,1544519117,833.86,51.494363,7.415524,159.01,0.00,0.00,348.68,0,-97,-9,0,0,41,0,0,349
108.02,1544519118,833.86,51.494363,7.415524,159.03,0.00,0.00,348.68,0,-93,-9,0,0,48,0,0,165
108.02,1544519118,833.86,51.494363,7.415524,159.03,0.00,0.00,348.68,0,-96,-11,0,0,46,0,0,418
108.02,1544519118,833.86,51.494363,7.415524,159.03,0.00,0.00,348.68,0,-92,-9,0,0,46,0,0,292
108.02,1544519118,833.86,51.494363,7.415524,159.03,0.00,0.00,348.68,0,-94,-10,0,0,44,0,0,349
109.02,1544519119,833.86,51.494363,7.415524,159.05,0.00,0.00,348.68,0,-93,-9,0,0,48,0,0,165
109.02,1544519119,833.86,51.494363,7.415524,159.05,0.00,0.00,348.68,0,-96,-11,0,0,46,0,0,418
109.02,1544519119,833.86,51.494363,7.415524,159.05,0.00,0.00,348.68,0,-92,-9,0,0,46,0,0,292
109.02,1544519119,833.86,51.494363,7.415524,159.05,0.00,0.00,348.68,0,-94,-10,0,0,44,0,0,349
110.02,1544519120,833.86,51.494363,7.415524,159.07,0.00,0.00,348.68,0,-93,-10,0,0,49,0,0,165
110.03,1544519120,833.86,51.494363,7.415524,159.07,0.00,0.00,348.68,0,-97,-12,0,0,47,0,0,418
110.03,1544519120,833.86,51.494363,7.415524,159.07,0.00,0.00,348.68,0,-91,-9,0,0,47,0,0,292
110.03,1544519120,833.86,51.494363,7.415524,159.07,0.00,0.00,348.68,0,-93,-10,0,0,46,0,0,349
111.02,1544519121,833.86,51.494363,7.415524,159.09,0.00,0.00,348.68,0,-93,-10,0,0,49,0,0,165
111.02,1544519121,833.86,51.494363,7.415524,159.09,0.00,0.00,348.68,0,-97,-12,0,0,47,0,0,418
111.02,1544519121,833.86,51.494363,7.415524,159.09,0.00,0.00,348.68,0,-91,-9,0,0,47,0,0,292
111.02,1544519121,833.86,51.494363,7.415524,159.09,0.00,0.00,348.68,0,-93,-10,0,0,46,0,0,349
112.02,1544519122,833.86,51.494363,7.415524,159.11,0.00,0.00,348.68,0,-93,-10,0,0,49,0,0,165
112.02,1544519122,833.86,51.494363,7.415524,159.11,0.00,0.00,348.68,0,-97,-12,0,0,47,0,0,418
112.02,1544519122,833.86,51.494363,7.415524,159.11,0.00,0.00,348.68,0,-91,-9,0,0,47,0,0,292
112.02,1544519122,833.86,51.494363,7.415524,159.11,0.00,0.00,348.68,0,-93,-10,0,0,46,0,0,349
113.02,1544519123,833.86,51.494363,7.415524,159.13,0.00,0.00,348.68,0,-94,-12,0,0,50,0,0,165
113.02,1544519123,833.86,51.494363,7.415524,159.13,0.00,0.00,348.68,0,-95,-13,0,0,49,0,0,418
113.02,1544519123,833.86,51.494363,7.415524,159.13,0.00,0.00,348.68,0,-91,-10,0,0,48,0,0,292
113.02,1544519123,833.86,51.494363,7.415524,159.13,0.00,0.00,348.68,0,-94,-13,0,0,47,0,0,349
114.02,1544519124,833.86,51.494363,7.415524,159.16,0.00,0.00,348.68,0,-94,-12,0,0,50,0,0,165
114.02,1544519124,833.86,51.494363,7.415524,159.16,0.00,0.00,348.68,0,-95,-13,0,0,49,0,0,418
114.02,1544519124,833.86,51.494363,7.415524,159.16,0.00,0.00,348.68,0,-91,-10,0,0,48,0,0,292
114.02,1544519124,833.86,51.494363,7.415524,159.16,0.00,0.00,348.68,0,-94,-13,0,0,47,0,0,349
115.02,1544519125,833.86,51.494363,7.415524,159.18,0.00,0.00,348.68,0,-94,-11,0,0,50,0,0,165
115.02,1544519125,833.86,51.494363,7.415524,159.18,0.00,0.00,348.68,0,-95,-13,0,0,49,0,0,418
115.02,1544519125,833.86,51.494363,7.415524,159.18,0.00,0.00,348.68,0,-91,-10,0,0,48,0,0,292
115.02,1544519125,833.86,51.494363,7.415524,159.18,0.00,0.00,348.68,0,-93,-12,0,0,47,0,0,349
116.02,1544519126,833.86,51.494363,7.415524,159.20,0.00,0.00,348.68,0,-94,-11,0,0,50,0,0,165
116.02,1544519126,833.86,51.494363,7.415524,159.20,0.00,0.00,348.68,0,-95,-13,0,0,49,0,0,418
116.02,1544519126,833.86,51.494363,7.415524,159.20,0.00,0.00,348.68,0,-91,-10,0,0,48,0,0,292
116.02,1544519126,833.86,51.494363,7.415524,159.20,0.00,0.00,348.68,0,-93,-12,0,0,47,0,0,349
117.02,1544519127,833.86,51.494363,7.415524,159.22,0.00,0.00,348.68,0,-97,-11,0,0,45,0,0,165
117.02,1544519127,833.86,51.494363,7.415524,159.22,0.00,0.00,348.68,0,-100,-13,0,0,44,0,0,418
117.02,1544519127,833.86,51.494363,7.415524,159.22,0.00,0.00,348.68,0,-94,-9,0,0,44,0,0,292
117.02,1544519127,833.86,51.494363,7.415524,159.22,0.00,0.00,348.68,0,-98,-12,0,0,43,0,0,349
118.02,1544519128,833.86,51.494363,7.415524,159.24,0.00,0.00,348.68,0,-97,-11,0,0,45,0,0,165
118.02,1544519128,833.86,51.494363,7.415524,159.24,0.00,0.00,348.68,0,-100,-13,0,0,44,0,0,418
118.02,1544519128,833.86,51.494363,7.415524,159.24,0.00,0.00,348.68,0,-94,-9,0,0,44,0,0,292
