time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
39.93,1544519051,338.99,51.490666,7.416318,155.58,0.00,0.00,96.60,1,-89,-9,13,11,47,7,13416962,275,3,0.10,4.47,46.00,16.09,880
50.69,1544519062,383.69,51.490595,7.417184,154.95,6.11,0.35,44.14,1,-92,-12,3,5,46,7,13416962,275,4,0.50,2.59,1183.00,13.84,880
61.02,1544519073,478.86,51.491447,7.416952,156.96,9.39,0.18,347.01,1,-94,-14,-1,5,45,7,13416962,275,5,3.00,2.26,60.00,19.97,880
70.80,1544519082,563.07,51.492160,7.416484,156.87,8.45,0.39,334.38,1,-98,-15,-3,4,42,7,13416962,275,6,9.00,1.09,1476.00,13.30,880
91.06,1544519102,761.08,51.493940,7.415687,150.95,11.68,1.59,347.42,1,-102,-16,-5,2,39,7,13416962,275,8,7.00,0.77,613.00,20.70,880
103.88,1544519115,816.69,51.494372,7.415535,151.46,0.00,0.00,347.15,1,-100,-17,-7,3,42,12,13542402,34,9,3.00,0.19,5599.00,21.44,880
113.53,1544519125,816.69,51.494372,7.415535,151.40,0.00,0.00,347.15,1,-101,-16,-6,4,40,12,13542402,34,10,2.00,0.26,1644.00,11.27,880
123.21,1544519135,816.69,51.494372,7.415535,151.44,0.00,0.00,347.15,1,-101,-16,-5,4,41,12,13542402,34,11,2.00,0.65,1534.00,13.33,880
133.98,1544519145,830.22,51.494548,7.415319,155.69,4.45,0.09,265.87,1,-100,-17,-8,4,42,12,13542402,34,12,6.00,1.45,1395.00,17.95,880
142.58,1544519154,919.86,51.494379,7.414011,157.62,13.10,-0.62,257.45,1,-100,-14,1,6,39,12,13542402,34,13,3.00,1.12,1385.00,20.61,880
152.66,1544519164,1052.67,51.494137,7.412125,158.51,14.47,0.12,258.52,1,-102,-18,-7,3,41,12,13542402,34,14,7.00,1.11,1194.00,18.27,880
162.85,1544519174,1197.20,51.493857,7.410051,166.24,14.73,-0.01,258.06,1,-99,-14,-1,5,40,12,13542402,34,15,5.00,1.00,1572.00,20.30,880
175.50,1544519187,1392.33,51.493473,7.407322,170.75,15.13,-0.23,257.73,1,-103,-15,-2,5,37,12,13542402,34,16,3.00,0.69,1785.00,20.23,880
192.08,1544519204,1640.13,51.493016,7.403840,172.56,13.85,-0.26,259.82,1,-108,-18,-6,2,35,12,13542402,34,18,7.00,0.76,1715.00,20.83,880
200.04,1544519212,1727.56,51.493004,7.402645,168.49,7.46,-0.87,268.94,1,-106,-16,-5,4,36,10,13542403,34,19,8.00,0.78,932.00,21.48,880
