time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
45.44,1544519363,557.90,51.491756,7.416843,156.16,11.78,0.00,344.56,0,-96,-14,0,0,44,0,0,52
45.44,1544519363,557.91,51.491756,7.416843,156.16,11.78,0.00,344.56,0,-225,-225,0,0,63,0,0,149
46.45,1544519364,569.72,51.491847,7.416783,156.25,11.64,0.00,341.92,0,-96,-14,0,0,44,0,0,52
46.45,1544519364,569.73,51.491847,7.416783,156.25,11.64,0.00,341.92,0,-225,-225,0,0,63,0,0,149
47.45,1544519365,581.37,51.491945,7.416716,155.96,11.74,0.00,338.93,0,-99,-16,0,0,42,0,0,65
47.45,1544519365,581.38,51.491945,7.416716,155.96,11.74,0.00,338.93,0,-103,-19,0,0,41,0,0,385
48.45,1544519366,593.11,51.492036,7.416643,155.65,11.76,0.00,335.76,0,-99,-16,0,0,42,0,0,65
48.45,1544519366,593.12,51.492036,7.416643,155.65,11.76,0.00,335.76,0,-103,-19,0,0,41,0,0,385
49.45,1544519367,604.86,51.492137,7.416552,154.95,11.51,0.00,333.40,0,-97,-16,0,0,44,0,0,65
50.45,1544519368,616.37,51.492225,7.416467,154.45,12.33,0.00,332.26,0,-97,-16,0,0,44,0,0,65
51.45,1544519369,628.71,51.492317,7.416377,154.52,13.22,0.00,332.70,0,-104,-20,0,0,42,0,0,65
51.45,1544519369,628.71,51.492317,7.416377,154.52,13.22,0.00,332.70,0,-104,-19,0,0,41,0,0,52
52.45,1544519370,641.93,51.492415,7.416294,154.57,12.78,0.00,334.09,0,-104,-20,0,0,42,0,0,65
52.45,1544519370,641.94,51.492415,7.416294,154.57,12.78,0.00,334.09,0,-104,-19,0,0,41,0,0,52
56.45,1544519374,691.20,51.492874,7.416122,154.99,11.50,0.00,354.47,0,-109,-19,0,0,34,0,0,38
57.45,1544519375,702.69,51.492954,7.416112,155.60,10.12,0.00,353.37,0,-109,-19,0,0,34,0,0,38
58.45,1544519376,712.84,51.493045,7.416085,156.40,10.49,0.00,349.58,0,-107,-18,0,0,36,0,0,34
58.45,1544519376,712.84,51.493045,7.416085,156.40,10.49,0.00,349.58,0,-109,-20,0,0,36,0,0,37
58.45,1544519376,712.85,51.493045,7.416085,156.40,10.49,0.00,349.58,0,-106,-12,0,0,31,0,0,62
58.45,1544519376,712.86,51.493045,7.416085,156.40,10.49,0.00,349.58,0,-111,-15,0,0,30,0,0,146
59.45,1544519377,723.35,51.493148,7.416049,156.35,11.47,0.00,348.43,0,-107,-18,0,0,36,0,0,34
59.45,1544519377,723.36,51.493148,7.416049,156.35,11.47,0.00,348.43,0,-109,-20,0,0,36,0,0,37
59.45,1544519377,723.36,51.493148,7.416049,156.35,11.47,0.00,348.43,0,-106,-12,0,0,31,0,0,62
59.45,1544519377,723.37,51.493148,7.416049,156.35,11.47,0.00,348.43,0,-111,-15,0,0,30,0,0,146
60.45,1544519378,734.81,51.493261,7.416008,156.46,12.33,0.00,348.71,0,-103,-15,0,0,38,0,0,34
60.45,1544519378,734.82,51.493261,7.416008,156.46,12.33,0.00,348.71,0,-106,-19,0,0,38,0,0,197
60.45,1544519378,734.83,51.493261,7.416008,156.46,12.33,0.00,348.71,0,-107,-20,0,0,38,0,0,37
61.45,1544519379,747.13,51.493376,7.415967,156.53,12.47,0.00,348.32,0,-103,-15,0,0,38,0,0,34
61.45,1544519379,747.13,51.493376,7.415967,156.53,12.47,0.00,348.32,0,-106,-19,0,0,38,0,0,197
61.45,1544519379,747.14,51.493376,7.415967,156.53,12.47,0.00,348.32,0,-107,-20,0,0,38,0,0,37
62.45,1544519380,759.60,51.493476,7.415920,155.74,12.54,0.00,348.27,0,-102,-14,0,0,37,0,0,34
62.45,1544519380,759.62,51.493476,7.415920,155.74,12.54,0.00,348.27,0,-106,-18,0,0,37,0,0,37
62.45,1544519380,759.63,51.493476,7.415920,155.74,12.54,0.00,348.27,0,0,0,0,0,63,0,0,357
62.45,1544519380,759.64,51.493476,7.415920,155.74,12.54,0.00,348.27,0,-225,-225,0,0,63,0,0,382
