time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
50.96,1544519368,616.34,51.492225,7.416467,154.45,12.33,0.82,332.26,1,-97,-16,-4,5,44,7,13416962,275,4,1.00,1.36,118.00,850
63.27,1544519381,772.14,51.493580,7.415877,154.78,12.25,-0.29,348.16,1,-107,-17,-7,3,36,12,13542402,275,5,0.50,0.70,614.00,850
73.17,1544519391,883.75,51.494522,7.415425,152.30,7.12,-0.27,316.53,1,-101,-15,-6,4,40,12,13542402,34,6,2.00,0.57,1039.00,850
83.71,1544519402,993.37,51.494342,7.413866,155.76,12.96,-0.90,258.58,1,-102,-12,0,5,35,12,13542402,34,7,1.00,0.32,1567.00,850
93.67,1544519411,1127.88,51.494094,7.411944,162.60,12.22,-0.55,257.89,1,-96,-14,-2,6,41,12,13542402,34,8,3.00,0.79,899.00,850
103.67,1544519421,1229.78,51.493906,7.410534,164.96,7.34,1.59,259.77,1,-98,-14,-2,5,40,12,13542402,34,9,0.10,0.27,1242.00,850
112.70,1544519430,1332.04,51.493700,7.409050,168.94,13.56,0.14,258.18,1,-93,-12,4,6,45,12,13542402,34,10,7.00,1.30,1070.00,850
124.72,1544519443,1502.74,51.493385,7.406620,170.49,13.99,0.03,258.01,1,-99,-15,-2,4,41,12,13542402,34,11,6.00,1.50,988.00,850
135.01,1544519453,1662.94,51.493099,7.404402,168.72,14.21,-0.15,257.95,1,-107,-17,-5,3,35,12,13542402,34,12,6.00,2.65,1496.00,850
142.87,1544519460,1758.51,51.493006,7.403024,167.91,12.93,-0.60,268.14,1,-106,-16,-6,4,36,12,13542402,34,13,1.00,1.00,321.00,850
152.79,1544519471,1830.70,51.493004,7.402098,166.03,0.00,0.00,269.73,1,-91,-11,5,7,46,12,13542403,35,14,6.00,5.12,1221.00,850
161.19,1544519479,1830.70,51.493004,7.402098,166.17,0.00,0.00,269.73,1,-91,-12,6,10,46,12,13542403,35,15,4.00,7.29,136.00,850
170.98,1544519489,1830.70,51.493004,7.402098,166.31,0.00,0.00,269.73,1,-91,-7,20,6,43,12,13542403,35,16,0.50,7.58,32.00,850
180.97,1544519499,1830.70,51.493004,7.402098,166.31,0.00,0.00,269.73,1,-94,-8,16,5,41,12,13542403,35,17,3.00,2.26,34.00,850
191.68,1544519509,1891.43,51.492457,7.401732,165.01,11.72,0.07,181.40,1,-100,-10,1,6,36,12,13542403,35,18,0.50,1.13,33.00,850
203.44,1544519521,2049.11,51.491008,7.401751,170.72,14.21,0.07,180.19,1,-105,-16,-5,4,36,12,13542403,35,19,7.00,2.27,1014.00,850
213.31,1544519531,2187.69,51.489765,7.401762,180.38,9.89,-1.96,179.34,1,-109,-16,-8,3,33,23,13880067,35,20,10.00,1.07,964.00,850
223.16,1544519541,2214.96,51.489568,7.401782,182.98,0.00,0.00,180.20,1,-103,-14,-2,5,37,23,13880067,38,21,7.00,0.90,1639.00,850
234.25,1544519552,2214.96,51.489568,7.401782,182.65,0.00,0.00,180.20,1,-102,-15,-4,4,38,42,12893954,316,22,4.00,0.61,3524.00,850
246.72,1544519565,2285.81,51.489401,7.402727,179.52,12.60,0.60,91.75,1,-111,-20,-9,2,34,42,12893954,316,23,0.50,0.17,536.00,850
