time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.03,1544519327,138.95,51.490422,7.413012,164.45,14.54,-0.21,77.20,1,-90,-6,13,10,47,1,26385408,95,0,3.00,23.98,55.00,1815
19.98,1544519338,266.58,51.490630,7.414751,162.81,13.11,-0.27,78.73,1,-84,-5,19,12,51,1,26385408,95,1,2.00,6.00,101.00,1815
30.01,1544519347,405.23,51.490618,7.416735,152.74,8.91,-1.63,99.68,1,-82,-5,20,12,55,4,29391105,167,2,1.00,7.04,89.00,1815
40.03,1544519357,494.49,51.491115,7.417099,154.20,12.60,0.84,350.61,1,-91,-7,13,5,47,4,29391105,167,3,10.00,18.01,51.00,1815
50.02,1544519367,615.13,51.492132,7.416553,154.03,11.02,-0.96,333.28,1,-85,-5,12,10,50,4,29391105,167,4,0.10,3.29,61.00,1815
60.00,1544519377,733.30,51.493180,7.416022,155.73,11.82,-0.34,351.02,1,-101,-7,7,6,37,4,29391105,167,5,0.10,8.25,41.00,1815
70.02,1544519387,857.31,51.494257,7.415591,154.96,10.55,-2.09,345.85,1,-89,-7,10,8,48,4,29391105,167,6,1.00,7.45,99.00,1815
80.01,1544519397,946.75,51.494429,7.414598,157.22,12.64,0.95,257.28,1,-96,-11,1,7,45,4,29391105,167,7,8.00,17.98,97.00,1815
89.99,1544519407,1064.95,51.494186,7.412886,160.63,14.23,0.69,258.04,1,-81,-6,28,15,57,4,29391104,165,8,8.00,24.71,36.00,1815
100.03,1544519417,1204.27,51.493931,7.410933,166.26,10.42,-1.01,257.67,1,-79,-5,17,12,57,4,29391104,165,9,3.00,21.47,37.00,1815
110.02,1544519427,1296.39,51.493763,7.409604,166.64,13.24,0.78,257.74,1,-84,-9,10,11,56,4,29391104,165,10,10.00,22.81,76.00,1815
120.02,1544519437,1435.29,51.493503,7.407629,167.10,14.64,-0.21,258.25,1,-83,-7,23,9,55,3,29391106,166,11,5.00,13.50,132.00,1815
129.98,1544519447,1563.04,51.493270,7.405831,167.45,14.90,0.41,257.93,1,-88,-7,25,4,50,3,29391106,166,12,3.00,15.83,76.00,1815
140.07,1544519458,1722.03,51.492993,7.403576,168.91,13.53,0.07,262.47,1,-91,-7,13,10,46,3,29391106,166,13,5.00,11.21,105.00,1815
150.04,1544519467,1830.24,51.492990,7.402105,170.27,3.73,-1.31,269.39,1,-90,-6,12,9,49,6,26385410,94,14,2.00,12.47,48.00,1815
160.03,1544519477,1835.21,51.492990,7.402081,170.06,0.00,0.00,271.02,1,-91,-8,13,7,48,6,26385410,94,15,8.00,12.03,88.00,1815
170.03,1544519488,1835.21,51.492990,7.402081,169.93,0.00,0.00,271.02,1,-91,-7,11,8,47,6,26385410,94,16,6.00,16.41,50.00,1815
179.99,1544519497,1835.21,51.492990,7.402081,169.84,0.00,0.00,271.02,1,-91,-7,13,7,48,6,26385410,94,17,1.00,6.82,39.00,1815
190.03,1544519507,1867.16,51.492659,7.401750,165.24,10.04,0.97,183.71,1,-87,-6,15,9,50,6,26385410,94,18,7.00,19.14,88.00,1815
200.02,1544519517,1991.16,51.491521,7.401745,167.50,13.85,0.19,181.26,1,-87,-8,18,11,52,6,26385410,94,19,3.00,22.41,59.00,1815
210.01,1544519527,2133.11,51.490243,7.401710,171.42,14.26,-0.17,179.65,1,-82,-6,13,11,55,6,26385410,94,20,0.10,4.62,51.00,1815
220.00,1544519537,2212.81,51.489620,7.401716,175.42,0.00,0.00,180.89,1,-68,-5,21,11,63,6,26385410,94,21,8.00,25.16,64.00,1815
230.02,1544519547,2212.81,51.489620,7.401716,175.56,0.00,0.00,180.89,1,-73,-6,19,10,63,6,26385410,94,22,7.00,16.01,110.00,1815
240.01,1544519557,2217.80,51.489446,7.401761,174.22,5.10,0.11,145.33,1,-68,-6,24,15,63,6,26385410,94,23,4.00,16.01,71.00,1815
250.02,1544519567,2320.31,51.489385,7.403334,176.65,13.25,0.12,91.18,1,-72,-7,16,12,63,6,26385410,94,24,4.00,13.14,94.00,1815
260.01,1544519578,2453.83,51.489393,7.405235,180.22,12.25,-0.13,90.02,1,-72,-6,21,12,63,2,26385408,95,25,9.00,24.44,34.00,1815
270.02,1544519587,2576.93,51.489584,7.406979,182.21,12.06,-0.11,80.27,1,-76,-6,20,10,61,2,26385408,95,26,4.00,13.86,82.00,1815
280.00,1544519597,2684.81,51.489814,7.408525,178.77,13.00,0.68,78.30,1,-77,-5,22,11,59,2,26385408,95,27,10.00,25.15,108.00,1815
