time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.01,1544519327,138.95,51.490422,7.413012,164.45,14.54,-0.21,77.20,1,-90,-6,13,10,47,1,26385408,95,0,0.50,10.42,44.00,16.84,1720
20.06,1544519337,279.68,51.490649,7.414933,161.98,13.10,-0.01,79.51,1,-84,-5,19,12,51,1,26385408,95,1,8.00,24.95,36.00,11.97,1720
30.02,1544519347,405.23,51.490618,7.416735,152.74,8.91,-1.63,99.68,1,-82,-5,20,12,55,4,29391105,167,2,4.00,23.21,57.00,14.26,1720
40.08,1544519357,494.49,51.491115,7.417099,154.20,12.60,0.84,350.61,1,-91,-7,13,5,47,4,29391105,167,3,4.00,13.96,66.00,19.20,1720
50.03,1544519368,615.13,51.492132,7.416553,154.03,11.02,-0.96,333.28,1,-85,-5,12,10,50,4,29391105,167,4,1.00,12.64,46.00,10.16,1720
60.03,1544519377,733.30,51.493180,7.416022,155.73,11.82,-0.34,351.02,1,-101,-7,7,6,37,4,29391105,167,5,7.00,18.79,54.00,20.27,1720
70.05,1544519388,857.31,51.494257,7.415591,154.96,10.55,-2.09,345.85,1,-89,-7,10,8,48,4,29391105,167,6,5.00,24.72,58.00,18.62,1720
80.02,1544519397,946.75,51.494429,7.414598,157.22,12.64,0.95,257.28,1,-96,-11,1,7,45,4,29391105,167,7,5.00,25.48,58.00,17.28,1720
90.04,1544519408,1079.19,51.494157,7.412681,161.19,14.60,0.38,258.39,1,-81,-6,28,15,57,4,29391104,165,8,2.00,18.87,47.00,-1.62,1720
100.05,1544519417,1204.27,51.493931,7.410933,166.26,10.42,-1.01,257.67,1,-79,-5,17,12,57,4,29391104,165,9,8.00,27.67,53.00,1.16,1720
110.01,1544519427,1296.39,51.493763,7.409604,166.64,13.24,0.78,257.74,1,-84,-9,10,11,56,4,29391104,165,10,1.00,14.90,62.00,3.91,1720
120.08,1544519437,1435.29,51.493503,7.407629,167.10,14.64,-0.21,258.25,1,-83,-7,23,9,55,3,29391106,166,11,7.00,28.85,73.00,8.72,1720
130.01,1544519448,1577.96,51.493242,7.405617,167.84,14.94,0.04,258.33,1,-88,-7,25,4,50,3,29391106,166,12,2.00,17.98,46.00,15.16,1720
140.10,1544519457,1722.03,51.492993,7.403576,168.91,13.53,0.07,262.47,1,-91,-7,13,10,46,3,29391106,166,13,5.00,15.97,66.00,17.34,1720
150.05,1544519468,1830.24,51.492990,7.402105,170.27,3.73,-1.31,269.39,1,-90,-6,12,9,49,6,26385410,94,14,2.00,18.67,90.00,13.42,1720
160.15,1544519478,1835.21,51.492990,7.402081,170.06,0.00,0.00,271.02,1,-91,-8,13,7,48,6,26385410,94,15,2.00,8.82,66.00,15.34,1720
170.02,1544519487,1835.21,51.492990,7.402081,169.93,0.00,0.00,271.02,1,-91,-7,11,8,47,6,26385410,94,16,0.10,3.16,48.00,14.36,1720
180.09,1544519498,1835.21,51.492990,7.402081,169.83,0.00,0.00,271.02,1,-91,-7,13,7,48,6,26385410,94,17,1.00,10.44,50.00,15.59,1720
190.05,1544519507,1867.16,51.492659,7.401750,165.24,10.04,0.97,183.71,1,-87,-6,15,9,50,6,26385410,94,18,3.00,21.66,60.00,18.69,1720
200.08,1544519517,1991.16,51.491521,7.401745,167.50,13.85,0.19,181.26,1,-87,-8,18,11,52,6,26385410,94,19,8.00,27.68,61.00,17.83,1720
210.01,1544519527,2133.11,51.490243,7.401710,171.42,14.26,-0.17,179.65,1,-82,-6,13,11,55,6,26385410,94,20,0.10,4.82,40.00,-1.13,1720
220.01,1544519537,2212.81,51.489620,7.401716,175.42,0.00,0.00,180.89,1,-68,-5,21,11,63,6,26385410,94,21,1.00,17.86,50.00,-4.72,1720
230.06,1544519547,2212.81,51.489620,7.401716,175.56,0.00,0.00,180.89,1,-73,-6,19,10,63,6,26385410,94,22,9.00,30.72,54.00,-0.97,1720
240.04,1544519558,2217.80,51.489446,7.401761,174.22,5.10,0.11,145.33,1,-68,-6,24,15,63,6,26385410,94,23,2.00,22.66,49.00,-6.03,1720
250.05,1544519568,2320.31,51.489385,7.403334,176.65,13.25,0.12,91.18,1,-72,-7,16,12,63,6,26385410,94,24,6.00,29.18,50.00,-1.94,1720
260.06,1544519577,2453.83,51.489393,7.405235,180.22,12.25,-0.13,90.02,1,-72,-6,21,12,63,2,26385408,95,25,5.00,27.06,43.00,-2.25,1720
270.06,1544519587,2576.93,51.489584,7.406979,182.21,12.06,-0.11,80.27,1,-76,-6,20,10,61,2,26385408,95,26,4.00,26.67,42.00,2.20,1720
280.05,1544519598,2684.81,51.489814,7.408525,178.77,13.00,0.68,78.30,1,-77,-5,22,11,59,2,26385408,95,27,10.00,29.20,41.00,8.44,1720
