time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,txPower_dbm,f_mhz
10.33,1544519628,129.16,51.490388,7.413049,164.11,13.44,1.05,78.68,1,-114,-11,7,8,16,71,13067274,289,0,0.10,1.43,66.00,20.30,1770
40.20,1544519658,390.08,51.490619,7.416658,155.86,0.00,0.00,99.68,1,-113,-11,-1,8,14,17,12806666,385,3,2.00,4.61,73.00,21.98,1770
50.26,1544519668,429.06,51.490690,7.417215,157.38,8.15,0.26,3.20,1,-114,-9,-3,4,14,17,12806666,385,4,4.00,4.39,135.00,21.50,1770
60.22,1544519677,522.29,51.491514,7.416973,156.79,10.24,0.86,348.00,1,-111,-11,1,7,18,17,12806666,385,5,2.00,7.11,69.00,20.44,1770
70.24,1544519687,642.17,51.492530,7.416213,159.96,13.78,0.32,337.36,1,-100,-8,13,9,25,17,12806666,385,6,7.00,9.38,62.00,20.64,1770
110.24,1544519728,1017.70,51.494269,7.413401,156.51,0.00,0.00,259.16,1,-104,-8,12,8,21,17,12806666,385,10,5.00,14.42,48.00,20.77,1770
120.26,1544519738,1085.86,51.494130,7.412095,158.65,14.76,1.14,259.55,1,-106,-9,13,8,22,17,12806666,385,11,9.00,12.83,63.00,21.14,1770
130.24,1544519748,1235.11,51.493811,7.409986,160.20,14.81,0.08,258.02,1,-106,-9,11,15,23,17,12806666,385,12,6.00,7.35,57.00,20.89,1770
140.23,1544519757,1383.23,51.493527,7.407895,161.78,15.08,-0.13,258.14,1,-103,-8,16,11,22,17,12806666,385,13,4.00,15.84,50.00,21.22,1770
150.23,1544519768,1530.18,51.493258,7.405826,164.39,14.84,0.06,257.86,1,-101,-7,13,10,27,17,12806666,385,14,3.00,9.48,61.00,20.84,1770
160.23,1544519778,1679.13,51.492997,7.403735,163.44,14.07,-0.03,260.75,1,-108,-12,4,8,26,17,12806666,385,15,4.00,8.84,52.00,21.09,1770
170.58,1544519788,1809.91,51.492964,7.401916,160.80,7.17,-1.88,253.57,1,-105,-7,14,10,20,17,12806666,385,16,2.00,6.15,65.00,20.73,1770
180.20,1544519797,1908.64,51.492094,7.401747,162.71,11.85,-0.06,180.26,1,-107,-9,7,14,27,17,12806666,385,17,0.10,3.92,59.00,20.20,1770
190.40,1544519808,2039.73,51.490895,7.401738,169.57,14.65,0.13,181.41,1,-109,-9,10,12,17,17,12806666,385,18,1.00,6.02,57.00,20.23,1770
200.68,1544519818,2181.50,51.489659,7.401753,173.90,6.89,-2.63,179.46,1,-107,-9,10,15,21,17,12806666,385,19,3.00,4.93,69.00,21.94,1770
210.21,1544519828,2193.10,51.489588,7.401746,174.12,0.00,0.00,179.01,1,-111,-12,5,8,21,17,12806666,385,20,3.00,5.38,68.00,21.25,1770
220.20,1544519837,2193.10,51.489588,7.401746,174.20,0.00,0.00,179.01,1,-112,-14,4,7,22,17,12806666,385,21,4.00,5.32,58.00,21.52,1770
230.21,1544519848,2212.54,51.489413,7.401927,174.65,8.26,1.71,93.40,1,-110,-13,5,8,21,17,12806666,385,22,2.00,5.99,71.00,20.00,1770
240.25,1544519858,2330.44,51.489388,7.403667,174.26,13.39,-0.20,90.36,1,-111,-11,-3,7,17,17,12806666,385,23,4.00,3.71,55.00,21.47,1770
250.22,1544519868,2465.44,51.489395,7.405610,176.95,12.93,-0.03,85.44,1,-99,-9,16,11,32,71,13067274,289,24,2.00,9.43,64.00,20.44,1770
