time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci,id,payload_mb,throughput_mbits,rtt_ms,f_mhz
10.68,1544765083,107.96,51.449134,7.488380,252.51,13.52,-0.21,180.29,1,-99,-7,10,12,26,6,13415170,315,0,2.00,6.28,73.00,860
24.35,1544765096,308.61,51.447247,7.487844,253.07,14.17,0.19,182.72,1,-112,-13,-4,5,18,6,13415170,315,1,7.00,3.18,2423.00,860
31.54,1544765104,407.54,51.446406,7.488230,262.68,14.55,0.25,160.12,1,-110,-13,-5,4,21,6,13415170,315,2,9.00,0.88,705.00,860
41.71,1544765114,557.68,51.445379,7.489772,271.68,14.66,-0.61,130.04,1,-103,-13,4,6,27,6,13415170,315,3,4.00,0.89,2925.00,860
58.05,1544765130,712.74,51.444652,7.491517,276.71,0.00,0.00,128.30,1,-110,-16,-6,5,21,23,13417219,440,4,7.00,1.80,2149.00,860
64.00,1544765137,726.08,51.444514,7.491702,277.14,6.53,1.63,175.85,1,-111,-13,-1,7,20,23,13417219,440,5,7.00,1.40,1799.00,860
75.27,1544765148,828.87,51.443711,7.490875,276.90,12.04,0.53,216.30,1,-103,-14,1,8,30,23,13417219,440,6,6.00,1.45,2367.00,860
85.37,1544765158,960.83,51.442754,7.489754,277.19,13.50,-0.04,216.48,1,-107,-14,-1,5,26,23,13417219,440,7,10.00,3.69,2195.00,860
95.41,1544765167,1098.92,51.441755,7.488481,281.48,14.11,0.28,223.98,1,-100,-15,-1,5,34,23,13417219,440,8,1.00,1.35,2216.00,860
102.80,1544765175,1201.46,51.441186,7.487292,282.55,14.77,-0.30,231.76,1,-95,-12,2,11,38,23,13417219,440,9,0.10,0.37,1200.00,860
110.74,1544765183,1315.55,51.440549,7.485932,284.78,14.54,0.85,232.44,1,-94,-13,6,12,39,23,13417219,440,10,0.10,1.17,390.00,860
121.48,1544765194,1475.90,51.439688,7.484088,287.32,14.35,-0.26,232.37,1,-95,-10,7,11,33,23,13417219,440,11,9.00,8.27,756.00,860
130.46,1544765203,1602.57,51.439029,7.482416,290.82,14.38,-0.03,239.85,1,-96,-12,9,11,36,23,13417219,440,12,6.00,15.12,506.00,860
