time_s,timestamp_ms,distance_m,latitude,longitude,altitude,velocity_mps,acceleration_mpss,direction,isRegistered,rsrp_dbm,rsrq_db,rssnr_db,cqi,ss,ta,ci,pci
0.07,1545110762,0.02,51.450207,7.488216,248.09,5.29,0.00,171.09,0,-116,-14,0,0,23,0,0,290
0.07,1545110762,0.02,51.450207,7.488216,248.09,5.29,0.00,171.09,0,-113,-15,0,0,28,0,0,270
0.07,1545110762,0.02,51.450207,7.488216,248.09,5.29,0.00,171.09,0,-116,-18,0,0,27,0,0,52
0.07,1545110762,0.02,51.450207,7.488216,248.09,5.29,0.00,171.09,0,-116,-17,0,0,27,0,0,51
1.07,1545110763,5.32,51.450147,7.488240,248.95,5.43,0.00,167.58,0,-116,-14,0,0,23,0,0,290
1.07,1545110763,5.32,51.450147,7.488240,248.95,5.43,0.00,167.58,0,-113,-15,0,0,28,0,0,270
1.07,1545110763,5.33,51.450147,7.488240,248.95,5.43,0.00,167.58,0,-116,-18,0,0,27,0,0,52
1.07,1545110763,5.34,51.450147,7.488240,248.95,5.43,0.00,167.58,0,-116,-17,0,0,27,0,0,51
2.07,1545110764,10.75,51.450080,7.488263,249.60,7.81,0.00,167.90,0,-116,-14,0,0,23,0,0,290
2.07,1545110764,10.76,51.450080,7.488263,249.60,7.81,0.00,167.90,0,-113,-15,0,0,28,0,0,270
2.07,1545110764,10.77,51.450080,7.488263,249.60,7.81,0.00,167.90,0,-116,-18,0,0,27,0,0,52
2.07,1545110764,10.77,51.450080,7.488263,249.60,7.81,0.00,167.90,0,-116,-17,0,0,27,0,0,51
3.07,1545110765,18.58,51.450010,7.488288,250.39,8.35,0.00,167.02,0,-116,-14,0,0,23,0,0,290
3.07,1545110765,18.58,51.450010,7.488288,250.39,8.35,0.00,167.02,0,-113,-15,0,0,28,0,0,270
3.07,1545110765,18.58,51.450010,7.488288,250.39,8.35,0.00,167.02,0,-116,-18,0,0,27,0,0,52
3.07,1545110765,18.59,51.450010,7.488288,250.39,8.35,0.00,167.02,0,-116,-17,0,0,27,0,0,51
4.07,1545110766,26.92,51.449933,7.488314,251.15,8.98,0.00,167.59,0,-116,-14,0,0,23,0,0,290
4.07,1545110766,26.93,51.449933,7.488314,251.15,8.98,0.00,167.59,0,-113,-15,0,0,28,0,0,270
4.07,1545110766,26.93,51.449933,7.488314,251.15,8.98,0.00,167.59,0,-116,-18,0,0,27,0,0,52
4.07,1545110766,26.93,51.449933,7.488314,251.15,8.98,0.00,167.59,0,-116,-17,0,0,27,0,0,51
5.07,1545110767,35.91,51.449846,7.488342,251.75,9.64,0.00,168.49,0,-116,-14,0,0,23,0,0,290
5.07,1545110767,35.92,51.449846,7.488342,251.75,9.64,0.00,168.49,0,-113,-15,0,0,28,0,0,270
5.07,1545110767,35.93,51.449846,7.488342,251.75,9.64,0.00,168.49,0,-116,-18,0,0,27,0,0,52
5.07,1545110767,35.94,51.449846,7.488342,251.75,9.64,0.00,168.49,0,-116,-17,0,0,27,0,0,51
6.07,1545110768,45.55,51.449750,7.488367,252.19,10.11,0.00,170.05,0,-116,-14,0,0,23,0,0,290
6.07,1545110768,45.56,51.449750,7.488367,252.19,10.11,0.00,170.05,0,-113,-15,0,0,28,0,0,270
6.07,1545110768,45.56,51.449750,7.488367,252.19,10.11,0.00,170.05,0,-116,-18,0,0,27,0,0,52
6.07,1545110768,45.57,51.449750,7.488367,252.19,10.11,0.00,170.05,0,-116,-17,0,0,27,0,0,51
7.07,1545110769,55.66,51.449649,7.488391,252.41,10.84,0.00,171.57,0,-116,-14,0,0,23,0,0,290
7.07,1545110769,55.68,51.449649,7.488391,252.41,10.84,0.00,171.57,0,-113,-15,0,0,28,0,0,270
7.07,1545110769,55.68,51.449649,7.488391,252.41,10.84,0.00,171.57,0,-116,-18,0,0,27,0,0,52
7.07,1545110769,55.69,51.449649,7.488391,252.41,10.84,0.00,171.57,0,-116,-17,0,0,27,0,0,51
8.07,1545110770,66.50,51.449541,7.488413,252.93,11.56,0.00,173.04,0,-116,-14,0,0,23,0,0,290
8.07,1545110770,66.51,51.449541,7.488413,252.93,11.56,0.00,173.04,0,-113,-15,0,0,28,0,0,270
8.07,1545110770,66.52,51.449541,7.488413,252.93,11.56,0.00,173.04,0,-116,-18,0,0,27,0,0,52
8.07,1545110770,66.53,51.449541,7.488413,252.93,11.56,0.00,173.04,0,-116,-17,0,0,27,0,0,51
9.08,1545110771,78.15,51.449429,7.488431,253.69,12.13,0.00,174.66,0,-116,-14,0,0,23,0,0,290
9.08,1545110771,78.16,51.449429,7.488431,253.69,12.13,0.00,174.66,0,-113,-15,0,0,28,0,0,270
9.08,1545110771,78.18,51.449429,7.488431,253.69,12.13,0.00,174.66,0,-116,-18,0,0,27,0,0,52
9.08,1545110771,78.19,51.449429,7.488431,253.69,12.13,0.00,174.66,0,-116,-17,0,0,27,0,0,51
10.07,1545110772,90.20,51.449320,7.488441,254.63,12.52,0.00,176.28,0,-116,-14,0,0,23,0,0,290
10.07,1545110772,90.21,51.449320,7.488441,254.63,12.52,0.00,176.28,0,-113,-15,0,0,28,0,0,270
10.07,1545110772,90.21,51.449320,7.488441,254.63,12.52,0.00,176.28,0,-116,-18,0,0,27,0,0,52
10.07,1545110772,90.22,51.449320,7.488441,254.63,12.52,0.00,176.28,0,-116,-17,0,0,27,0,0,51
11.07,1545110773,102.67,51.449212,7.488446,255.53,12.97,0.00,177.84,0,-116,-14,0,0,23,0,0,290
11.07,1545110773,102.67,51.449212,7.488446,255.53,12.97,0.00,177.84,0,-113,-15,0,0,28,0,0,270
11.07,1545110773,102.67,51.449212,7.488446,255.53,12.97,0.00,177.84,0,-116,-18,0,0,27,0,0,52
11.07,1545110773,102.68,51.449212,7.488446,255.53,12.97,0.00,177.84,0,-116,-17,0,0,27,0,0,51
12.07,1545110774,115.64,51.449093,7.488442,256.10,13.55,0.00,179.61,0,-116,-14,0,0,23,0,0,290
12.07,1545110774,115.65,51.449093,7.488442,256.10,13.55,0.00,179.61,0,-113,-15,0,0,28,0,0,270
12.07,1545110774,115.65,51.449093,7.488442,256.10,13.55,0.00,179.61,0,-116,-18,0,0,27,0,0,52
12.07,1545110774,115.65,51.449093,7.488442,256.10,13.55,0.00,179.61,0,-116,-17,0,0,27,0,0,51
13.07,1545110775,129.24,51.448969,7.488429,256.36,13.69,0.00,182.36,0,-116,-14,0,0,23,0,0,290
13.07,1545110775,129.24,51.448969,7.488429,256.36,13.69,0.00,182.36,0,-113,-15,0,0,28,0,0,270
13.07,1545110775,129.25,51.448969,7.488429,256.36,13.69,0.00,182.36,0,-116,-18,0,0,27,0,0,52
13.07,1545110775,129.27,51.448969,7.488429,256.36,13.69,0.00,182.36,0,-116,-17,0,0,27,0,0,51
14.07,1545110776,142.93,51.448846,7.488407,256.26,13.50,0.00,184.01,0,-116,-14,0,0,23,0,0,290
14.07,1545110776,142.93,51.448846,7.488407,256.26,13.50,0.00,184.01,0,-113,-15,0,0,28,0,0,270
14.07,1545110776,142.94,51.448846,7.488407,256.26,13.50,0.00,184.01,0,-116,-18,0,0,27,0,0,52
14.07,1545110776,142.96,51.448846,7.488407,256.26,13.50,0.00,184.01,0,-116,-17,0,0,27,0,0,51
15.07,1545110777,156.43,51.448735,7.488370,256.63,13.47,0.00,186.99,0,-116,-14,0,0,23,0,0,290
15.07,1545110777,156.43,51.448735,7.488370,256.63,13.47,0.00,186.99,0,-113,-15,0,0,28,0,0,270
15.07,1545110777,156.45,51.448735,7.488370,256.63,13.47,0.00,186.99,0,-116,-18,0,0,27,0,0,52
15.07,1545110777,156.46,51.448735,7.488370,256.63,13.47,0.00,186.99,0,-116,-17,0,0,27,0,0,51
16.07,1545110778,169.88,51.448618,7.488324,256.55,13.46,0.00,190.09,0,-116,-14,0,0,23,0,0,290
16.07,1545110778,169.89,51.448618,7.488324,256.55,13.46,0.00,190.09,0,-113,-15,0,0,28,0,0,270
16.07,1545110778,169.89,51.448618,7.488324,256.55,13.46,0.00,190.09,0,-116,-18,0,0,27,0,0,52
16.07,1545110778,169.91,51.448618,7.488324,256.55,13.46,0.00,190.09,0,-116,-17,0,0,27,0,0,51
17.07,1545110779,183.37,51.448494,7.488274,256.28,13.70,0.00,191.56,0,-116,-14,0,0,23,0,0,290
17.07,1545110779,183.37,51.448494,7.488274,256.28,13.70,0.00,191.56,0,-113,-15,0,0,28,0,0,270
17.07,1545110779,183.38,51.448494,7.488274,256.28,13.70,0.00,191.56,0,-116,-18,0,0,27,0,0,52
17.07,1545110779,183.39,51.448494,7.488274,256.28,13.70,0.00,191.56,0,-116,-17,0,0,27,0,0,51
18.07,1545110780,197.06,51.448371,7.488225,255.87,13.83,0.00,192.50,0,-116,-14,0,0,23,0,0,290
18.07,1545110780,197.06,51.448371,7.488225,255.87,13.83,0.00,192.50,0,-113,-15,0,0,28,0,0,270
18.07,1545110780,197.08,51.448371,7.488225,255.87,13.83,0.00,192.50,0,-116,-18,0,0,27,0,0,52
18.07,1545110780,197.09,51.448371,7.488225,255.87,13.83,0.00,192.50,0,-116,-17,0,0,27,0,0,51
19.07,1545110781,210.89,51.448243,7.488167,255.68,13.94,0.00,193.10,0,-116,-14,0,0,23,0,0,290
19.07,1545110781,210.89,51.448243,7.488167,255.68,13.94,0.00,193.10,0,-113,-15,0,0,28,0,0,270
19.07,1545110781,210.90,51.448243,7.488167,255.68,13.94,0.00,193.10,0,-116,-18,0,0,27,0,0,52
